# FLAMINGOS BARR J-Band Filter MAN-240B	
# Filter Measured at Room Temperature	
# Peak Transmission (%)         82.84E+00
# Cut-on Wavelength (nm)        1171.80
# Cut-off Wavelength (nm)       1326.00
# Wavelength (nm)            Transmission (%)
    1600.00                    45.43E-04
    1599.50                    51.68E-04
    1599.00                    56.06E-04
    1598.50                    53.70E-04
    1598.00                    50.70E-04
    1597.50                    51.67E-04
    1597.00                    55.79E-04
    1596.50                    52.75E-04
    1596.00                    49.42E-04
    1595.50                    53.86E-04
    1595.00                    53.68E-04
    1594.50                    52.55E-04
    1594.00                    53.68E-04
    1593.50                    52.56E-04
    1593.00                    52.54E-04
    1592.50                    51.55E-04
    1592.00                    54.37E-04
    1591.50                    51.63E-04
    1591.00                    46.60E-04
    1590.50                    58.35E-04
    1590.00                    55.87E-04
    1589.50                    52.17E-04
    1589.00                    51.15E-04
    1588.50                    47.54E-04
    1588.00                    58.02E-04
    1587.50                    49.54E-04
    1587.00                    58.74E-04
    1586.50                    46.88E-04
    1586.00                    54.04E-04
    1585.50                    37.99E-04
    1585.00                    50.29E-04
    1584.50                    46.89E-04
    1584.00                    50.69E-04
    1583.50                    52.91E-04
    1583.00                    47.88E-04
    1582.50                    48.41E-04
    1582.00                    50.27E-04
    1581.50                    44.74E-04
    1581.00                    49.15E-04
    1580.50                    47.18E-04
    1580.00                    55.47E-04
    1579.50                    50.36E-04
    1579.00                    50.17E-04
    1578.50                    47.16E-04
    1578.00                    45.16E-04
    1577.50                    48.40E-04
    1577.00                    46.25E-04
    1576.50                    49.09E-04
    1576.00                    38.86E-04
    1575.50                    51.44E-04
    1575.00                    45.16E-04
    1574.50                    39.95E-04
    1574.00                    37.86E-04
    1573.50                    45.08E-04
    1573.00                    47.08E-04
    1572.50                    48.12E-04
    1572.00                    45.24E-04
    1571.50                    49.03E-04
    1571.00                    51.05E-04
    1570.50                    47.33E-04
    1570.00                    43.78E-04
    1569.50                    44.13E-04
    1569.00                    36.90E-04
    1568.50                    35.90E-04
    1568.00                    35.86E-04
    1567.50                    42.79E-04
    1567.00                    47.88E-04
    1566.50                    40.01E-04
    1566.00                    41.93E-04
    1565.50                    36.01E-04
    1565.00                    46.21E-04
    1564.50                    41.01E-04
    1564.00                    38.01E-04
    1563.50                    36.54E-04
    1563.00                    38.55E-04
    1562.50                    42.51E-04
    1562.00                    42.99E-04
    1561.50                    41.10E-04
    1561.00                    38.93E-04
    1560.50                    40.14E-04
    1560.00                    42.17E-04
    1559.50                    46.16E-04
    1559.00                    39.09E-04
    1558.50                    38.79E-04
    1558.00                    40.07E-04
    1557.50                    48.43E-04
    1557.00                    41.18E-04
    1556.50                    42.20E-04
    1556.00                    42.11E-04
    1555.50                    48.32E-04
    1555.00                    49.57E-04
    1554.50                    46.23E-04
    1554.00                    45.34E-04
    1553.50                    44.38E-04
    1553.00                    51.66E-04
    1552.50                    44.37E-04
    1552.00                    33.93E-04
    1551.50                    46.37E-04
    1551.00                    41.15E-04
    1550.50                    44.33E-04
    1550.00                    49.52E-04
    1549.50                    49.58E-04
    1549.00                    47.22E-04
    1548.50                    45.63E-04
    1548.00                    52.20E-04
    1547.50                    51.75E-04
    1547.00                    55.74E-04
    1546.50                    39.29E-04
    1546.00                    50.63E-04
    1545.50                    54.18E-04
    1545.00                    55.48E-04
    1544.50                    47.53E-04
    1544.00                    50.57E-04
    1543.50                    45.30E-04
