# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: V SET a                       "
# "DATE: ""10/ 7/92"   "TIME: ""11:10:51"
# " CWL= "  5410.52A  "FWHM= "  986.45A  "TMAX= "84.92 %
# "TCUTOFF= " 2.00 %  "SLITSIZE= "10 A
# 
# 
# 
# 
# "NPTS= " 251     "DISP= "10.00A/INTERVAL
   4500.00     -.005
   4510.00     -.010
   4520.00     -.010
   4530.00     -.005
   4540.00     -.010
   4550.00     -.005
   4560.00     -.005
   4570.00     -.010
   4580.00     -.005
   4590.00     -.005
   4600.00     -.010
   4610.00     -.005
   4620.00      .000
   4630.00      .000
   4640.00     -.005
   4650.00     -.005
   4660.00     -.005
   4670.00      .000
   4680.00     -.005
   4690.00     -.005
   4700.00     -.005
   4710.00     -.005
   4720.00     -.005
   4730.00     -.005
   4740.00     -.005
   4750.00     -.005
   4760.00      .000
   4770.00      .015
   4780.00      .065
   4790.00      .190
   4800.00      .495
   4810.00     1.155
   4820.00     2.395
   4830.00     4.460
   4840.00     7.520
   4850.00    11.620
   4860.00    16.720
   4870.00    22.490
   4880.00    28.660
   4890.00    35.020
   4900.00    41.230
   4910.00    47.040
   4920.00    52.335
   4930.00    57.070
   4940.00    61.265
   4950.00    64.925
   4960.00    68.095
   4970.00    70.770
   4980.00    73.015
   4990.00    74.975
   5000.00    76.640
   5010.00    78.025
   5020.00    79.190
   5030.00    80.195
   5040.00    81.020
   5050.00    81.755
   5060.00    82.365
   5070.00    82.875
   5080.00    83.285
   5090.00    83.635
   5100.00    83.955
   5110.00    84.200
   5120.00    84.370
   5130.00    84.535
   5140.00    84.625
   5150.00    84.780
   5160.00    84.855
   5170.00    84.890
   5180.00    84.905
   5190.00    84.920
   5200.00    84.900
   5210.00    84.830
   5220.00    84.805
   5230.00    84.705
   5240.00    84.605
   5250.00    84.475
   5260.00    84.365
   5270.00    84.260
   5280.00    84.115
   5290.00    83.945
   5300.00    83.745
   5310.00    83.545
   5320.00    83.335
   5330.00    83.090
   5340.00    82.880
   5350.00    82.575
   5360.00    82.330
   5370.00    82.055
   5380.00    81.735
   5390.00    81.420
   5400.00    81.035
   5410.00    80.685
   5420.00    80.305
   5430.00    79.935
   5440.00    79.525
   5450.00    79.065
   5460.00    78.595
   5470.00    78.125
   5480.00    77.660
   5490.00    77.170
   5500.00    76.555
   5510.00    76.055
   5520.00    75.520
   5530.00    74.930
   5540.00    74.325
   5550.00    73.715
   5560.00    73.045
   5570.00    72.390
   5580.00    71.730
   5590.00    70.990
   5600.00    70.285
   5610.00    69.545
   5620.00    68.735
   5630.00    67.980
   5640.00    67.180
   5650.00    66.355
   5660.00    65.500
   5670.00    64.650
   5680.00    63.755
   5690.00    62.860
   5700.00    62.005
   5710.00    61.025
   5720.00    60.110
   5730.00    59.120
   5740.00    58.130
   5750.00    57.155
   5760.00    56.145
   5770.00    55.125
   5780.00    54.120
   5790.00    53.075
   5800.00    52.055
   5810.00    50.965
   5820.00    49.900
   5830.00    48.810
   5840.00    47.740
   5850.00    46.690
   5860.00    45.595
   5870.00    44.475
   5880.00    43.385
   5890.00    42.305
   5900.00    41.195
   5910.00    40.100
   5920.00    39.035
   5930.00    37.945
   5940.00    36.880
   5950.00    35.800
   5960.00    34.735
   5970.00    33.670
   5980.00    32.640
   5990.00    31.590
   6000.00    30.555
   6010.00    29.520
   6020.00    28.540
   6030.00    27.525
   6040.00    26.535
   6050.00    25.575
   6060.00    24.615
   6070.00    23.685
   6080.00    22.760
   6090.00    21.855
   6100.00    20.965
   6110.00    20.090
   6120.00    19.240
   6130.00    18.425
   6140.00    17.605
   6150.00    16.830
   6160.00    16.065
   6170.00    15.325
   6180.00    14.595
   6190.00    13.905
   6200.00    13.210
   6210.00    12.570
   6220.00    11.915
   6230.00    11.300
   6240.00    10.710
   6250.00    10.145
   6260.00     9.585
   6270.00     9.060
   6280.00     8.545
   6290.00     8.060
   6300.00     7.595
   6310.00     7.140
   6320.00     6.720
   6330.00     6.315
   6340.00     5.920
   6350.00     5.540
   6360.00     5.190
   6370.00     4.855
   6380.00     4.540
   6390.00     4.240
   6400.00     3.950
   6410.00     3.685
   6420.00     3.430
   6430.00     3.180
   6440.00     2.955
   6450.00     2.745
   6460.00     2.535
   6470.00     2.350
   6480.00     2.175
   6490.00     2.010
   6500.00     1.850
   6510.00     1.710
   6520.00     1.570
   6530.00     1.450
   6540.00     1.330
   6550.00     1.215
   6560.00     1.115
   6570.00     1.020
   6580.00      .935
   6590.00      .855
   6600.00      .780
   6610.00      .710
   6620.00      .645
   6630.00      .590
   6640.00      .535
   6650.00      .485
   6660.00      .440
   6670.00      .400
   6680.00      .355
   6690.00      .325
   6700.00      .290
   6710.00      .265
   6720.00      .240
   6730.00      .215
   6740.00      .190
   6750.00      .170
   6760.00      .155
   6770.00      .140
   6780.00      .125
   6790.00      .110
   6800.00      .095
   6810.00      .085
   6820.00      .075
   6830.00      .070
   6840.00      .060
   6850.00      .055
   6860.00      .050
   6870.00      .040
   6880.00      .035
   6890.00      .030
   6900.00      .025
   6910.00      .020
   6920.00      .020
   6930.00      .015
   6940.00      .015
   6950.00      .015
   6960.00      .010
   6970.00      .010
   6980.00      .010
   6990.00      .005
   7000.00      .010
