# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: KP1421 HARRIS V TEMP=72       "
# "DATE: "" 7/28/93"   "TIME: ""14: 9:11"
# " CWL= "  5397.35A  "FWHM= " 1058.83A  "TMAX= "87.60 %
# "TCUTOFF= " 2.00 %  "SLITSIZE= "10 A
# 
# 
# 
# 
# "NPTS= " 901     "DISP= "10.00A/INTERVAL
   3000.00     -.010
   3010.00     -.010
   3020.00     -.010
   3030.00     -.010
   3040.00     -.010
   3050.00     -.010
   3060.00     -.010
   3070.00     -.010
   3080.00     -.005
   3090.00     -.010
   3100.00     -.010
   3110.00     -.010
   3120.00     -.010
   3130.00     -.010
   3140.00     -.010
   3150.00     -.010
   3160.00     -.005
   3170.00     -.010
   3180.00     -.020
   3190.00     -.030
   3200.00     -.010
   3210.00     -.010
   3220.00     -.005
   3230.00     -.010
   3240.00     -.010
   3250.00     -.010
   3260.00     -.010
   3270.00     -.010
   3280.00     -.010
   3290.00     -.010
   3300.00     -.010
   3310.00     -.010
   3320.00     -.010
   3330.00     -.010
   3340.00     -.005
   3350.00     -.005
   3360.00     -.010
   3370.00     -.010
   3380.00     -.010
   3390.00     -.010
   3400.00     -.010
   3410.00     -.005
   3420.00     -.010
   3430.00     -.010
   3440.00     -.010
   3450.00     -.010
   3460.00     -.005
   3470.00     -.005
   3480.00     -.005
   3490.00     -.010
   3500.00     -.010
   3510.00     -.005
   3520.00     -.010
   3530.00     -.005
   3540.00     -.005
   3550.00     -.010
   3560.00     -.005
   3570.00     -.010
   3580.00     -.005
   3590.00     -.005
   3600.00     -.005
   3610.00     -.005
   3620.00     -.010
   3630.00     -.005
   3640.00     -.005
   3650.00     -.005
   3660.00     -.005
   3670.00     -.005
   3680.00     -.005
   3690.00     -.005
   3700.00     -.005
   3710.00     -.005
   3720.00     -.005
   3730.00     -.010
   3740.00     -.005
   3750.00     -.005
   3760.00     -.010
   3770.00     -.005
   3780.00     -.015
   3790.00     -.005
   3800.00     -.005
   3810.00     -.005
   3820.00     -.010
   3830.00     -.005
   3840.00     -.010
   3850.00     -.005
   3860.00     -.005
   3870.00     -.005
   3880.00     -.005
   3890.00     -.010
   3900.00     -.005
   3910.00     -.005
   3920.00     -.010
   3930.00     -.005
   3940.00     -.005
   3950.00     -.005
   3960.00     -.010
   3970.00     -.005
   3980.00     -.005
   3990.00     -.005
   4000.00     -.010
   4010.00     -.010
   4020.00     -.010
   4030.00     -.005
   4040.00     -.005
   4050.00     -.010
   4060.00     -.005
   4070.00     -.010
   4080.00     -.005
   4090.00     -.005
   4100.00     -.005
   4110.00     -.010
   4120.00     -.005
   4130.00     -.005
   4140.00     -.010
   4150.00     -.005
   4160.00     -.005
   4170.00     -.005
   4180.00     -.005
   4190.00     -.010
   4200.00     -.010
   4210.00     -.005
   4220.00     -.005
   4230.00     -.010
   4240.00     -.005
   4250.00     -.005
   4260.00     -.010
   4270.00     -.005
   4280.00     -.005
   4290.00     -.005
   4300.00     -.005
   4310.00     -.005
   4320.00     -.010
   4330.00     -.005
   4340.00     -.005
   4350.00     -.005
   4360.00     -.010
   4370.00     -.005
   4380.00     -.005
   4390.00     -.005
   4400.00     -.010
   4410.00     -.005
   4420.00     -.005
   4430.00     -.005
   4440.00     -.010
   4450.00     -.010
   4460.00     -.005
   4470.00     -.005
   4480.00     -.005
   4490.00     -.005
   4500.00     -.005
   4510.00     -.005
   4520.00     -.005
   4530.00     -.005
   4540.00     -.005
   4550.00     -.010
   4560.00     -.010
   4570.00     -.005
   4580.00     -.005
   4590.00     -.005
   4600.00     -.005
   4610.00     -.005
   4620.00     -.005
   4630.00     -.005
   4640.00     -.005
   4650.00     -.005
   4660.00     -.005
   4670.00     -.005
   4680.00     -.005
   4690.00      .005
   4700.00      .025
   4710.00      .080
   4720.00      .200
   4730.00      .460
   4740.00      .970
   4750.00     1.875
   4760.00     3.350
   4770.00     5.510
   4780.00     8.445
   4790.00    12.150
   4800.00    16.570
   4810.00    21.620
   4820.00    26.985
   4830.00    32.475
   4840.00    37.870
   4850.00    43.125
   4860.00    48.005
   4870.00    52.585
   4880.00    56.720
   4890.00    60.475
   4900.00    63.820
   4910.00    66.825
   4920.00    69.410
   4930.00    71.730
   4940.00    73.740
   4950.00    75.525
   4960.00    77.070
   4970.00    78.455
   4980.00    79.615
   4990.00    80.660
   5000.00    81.615
   5010.00    82.425
   5020.00    83.135
   5030.00    83.785
   5040.00    84.320
   5050.00    84.825
   5060.00    85.250
   5070.00    85.620
   5080.00    85.950
   5090.00    86.240
   5100.00    86.500
   5110.00    86.710
   5120.00    86.925
   5130.00    87.120
   5140.00    87.220
   5150.00    87.325
   5160.00    87.385
   5170.00    87.525
   5180.00    87.550
   5190.00    87.585
   5200.00    87.595
   5210.00    87.585
   5220.00    87.595
   5230.00    87.480
   5240.00    87.460
   5250.00    87.345
   5260.00    87.260
   5270.00    87.215
   5280.00    87.070
   5290.00    86.950
   5300.00    86.760
   5310.00    86.635
   5320.00    86.435
   5330.00    86.250
   5340.00    86.065
   5350.00    85.850
   5360.00    85.575
   5370.00    85.330
   5380.00    85.035
   5390.00    84.755
   5400.00    84.430
   5410.00    84.135
   5420.00    83.740
   5430.00    83.390
   5440.00    83.055
   5450.00    82.600
   5460.00    82.190
   5470.00    81.775
   5480.00    81.305
   5490.00    80.795
   5500.00    80.310
   5510.00    79.760
   5520.00    79.185
   5530.00    78.610
   5540.00    78.045
   5550.00    77.480
   5560.00    76.835
   5570.00    76.235
   5580.00    75.520
   5590.00    74.835
   5600.00    74.165
   5610.00    73.390
   5620.00    72.675
   5630.00    71.855
   5640.00    71.095
   5650.00    70.325
   5660.00    69.470
   5670.00    68.650
   5680.00    67.700
   5690.00    66.885
   5700.00    65.940
   5710.00    65.040
   5720.00    64.050
   5730.00    63.120
   5740.00    62.135
   5750.00    61.170
   5760.00    60.185
   5770.00    59.130
   5780.00    58.110
   5790.00    57.050
   5800.00    56.035
   5810.00    54.945
   5820.00    53.815
   5830.00    52.745
   5840.00    51.620
   5850.00    50.615
   5860.00    49.480
   5870.00    48.325
   5880.00    47.195
   5890.00    46.060
   5900.00    44.945
   5910.00    43.820
   5920.00    42.740
   5930.00    41.620
   5940.00    40.460
   5950.00    39.365
   5960.00    38.255
   5970.00    37.155
   5980.00    36.060
   5990.00    34.960
   6000.00    33.890
   6010.00    32.820
   6020.00    31.745
   6030.00    30.720
   6040.00    29.685
   6050.00    28.675
   6060.00    27.670
   6070.00    26.665
   6080.00    25.660
   6090.00    24.720
   6100.00    23.770
   6110.00    22.820
   6120.00    21.945
   6130.00    21.040
   6140.00    20.165
   6150.00    19.310
   6160.00    18.495
   6170.00    17.685
   6180.00    16.885
   6190.00    16.135
   6200.00    15.395
   6210.00    14.650
   6220.00    13.960
   6230.00    13.275
   6240.00    12.610
   6250.00    11.975
   6260.00    11.370
   6270.00    10.770
   6280.00    10.200
   6290.00     9.640
   6300.00     9.125
   6310.00     8.600
   6320.00     8.115
   6330.00     7.660
   6340.00     7.210
   6350.00     6.775
   6360.00     6.380
   6370.00     5.995
   6380.00     5.610
   6390.00     5.275
   6400.00     4.920
   6410.00     4.605
   6420.00     4.305
   6430.00     4.015
   6440.00     3.745
   6450.00     3.490
   6460.00     3.250
   6470.00     3.015
   6480.00     2.800
   6490.00     2.600
   6500.00     2.405
   6510.00     2.235
