WAVE	FLUX	T	QE	NU	STARToverNU	EXTINCT	THROUGHPUT	R	SOLGEL	WINDOW	TOTAL
----	----	-	--	--	-----------	-------	----------	-	------	------	-----
1150.0	0	0	0			3.03669e-21	0.120849	0.9485	0.947222	0.43125	0
1155.0	0	0	0			3.41224e-21	0.121651	0.94845	0.947278	0.432625	0
1160.0	0	0	0			3.83425e-21	0.122456	0.9484	0.947333	0.434	0
1165.0	0	0	0			4.30844e-21	0.123263	0.94835	0.947389	0.435375	0
1170.0	0	0	0			4.84128e-21	0.124073	0.9483	0.947444	0.43675	0
1175.0	0	0	0			5.44001e-21	0.124887	0.94825	0.9475	0.438125	0
1180.0	0	0	0			6.1128e-21	0.125703	0.9482	0.947556	0.4395	0
1185.0	0	0	0			6.86879e-21	0.126522	0.94815	0.947611	0.440875	0
1190.0	0	0	0			7.71827e-21	0.127344	0.9481	0.947667	0.44225	0
1195.0	0	0	0			8.67281e-21	0.128168	0.94805	0.947722	0.443625	0
1200.0	0	0	0			9.74541e-21	0.128996	0.948	0.947778	0.445	0
1205.0	0	0	0			1.09507e-20	0.129826	0.94795	0.947833	0.446375	0
1210.0	0	0	0			1.2305e-20	0.13066	0.9479	0.947889	0.44775	0
1215.0	0	0	0			1.38267e-20	0.131495	0.94785	0.947944	0.449125	0
1220.0	0	0	0			1.55367e-20	0.132334	0.9478	0.948	0.4505	0
1225.0	0	0	0			1.74582e-20	0.133177	0.94775	0.948056	0.451875	0
1230.0	0	0	0			1.96173e-20	0.134021	0.9477	0.948111	0.45325	0
1235.0	0	0	0			2.20435e-20	0.134869	0.94765	0.948167	0.454625	0
1240.0	0	0	0			2.47697e-20	0.135719	0.9476	0.948222	0.456	0
1245.0	0	0	0			2.7833e-20	0.136572	0.94755	0.948278	0.457375	0
1250.0	0	0	0			3.12752e-20	0.137428	0.9475	0.948333	0.45875	0
1255.0	0	0	0			3.51431e-20	0.138288	0.94745	0.948389	0.460125	0
1260.0	0	0	0			3.94894e-20	0.139149	0.9474	0.948444	0.4615	0
1265.0	0	0	0			4.43731e-20	0.140014	0.94735	0.9485	0.462875	0
1270.0	0	0	0			4.98609e-20	0.140882	0.9473	0.948556	0.46425	0
1275.0	0	0	0			5.60273e-20	0.141753	0.94725	0.948611	0.465625	0
1280.0	0	0	0			6.29564e-20	0.142626	0.9472	0.948667	0.467	0
1285.0	0	0	0			7.07424e-20	0.143502	0.94715	0.948722	0.468375	0
1290.0	0	0	0			7.94914e-20	0.144382	0.9471	0.948778	0.46975	0
1295.0	0	0	0			8.93223e-20	0.145264	0.94705	0.948833	0.471125	0
1300.0	0	0	0			1.00369e-19	0.146149	0.947	0.948889	0.4725	0
1305.0	0	0	0			1.12782e-19	0.147037	0.94695	0.948944	0.473875	0
1310.0	0	0	0			1.2673e-19	0.147928	0.9469	0.949	0.47525	0
1315.0	0	0	0			1.42403e-19	0.148822	0.94685	0.949056	0.476625	0
1320.0	0	0	0			1.60015e-19	0.149718	0.9468	0.949111	0.478	0
1325.0	0	0	0			1.79804e-19	0.150618	0.94675	0.949167	0.479375	0
1330.0	0	0	0			2.02041e-19	0.15152	0.9467	0.949222	0.48075	0
1335.0	0	0	0			2.27028e-19	0.152426	0.94665	0.949278	0.482125	0
1340.0	0	0	0			2.55106e-19	0.153334	0.9466	0.949333	0.4835	0
1345.0	0	0	0			2.86655e-19	0.154245	0.94655	0.949389	0.484875	0
1350.0	0	0	0			3.22107e-19	0.155159	0.9465	0.949444	0.48625	0
1355.0	0	0	0			3.61943e-19	0.156076	0.94645	0.9495	0.487625	0
1360.0	0	0	0			4.06705e-19	0.156997	0.9464	0.949556	0.489	0
1365.0	0	0	0			4.57004e-19	0.157919	0.94635	0.949611	0.490375	0
1370.0	0	0	0			5.13523e-19	0.158845	0.9463	0.949667	0.49175	0
1375.0	0	0	0			5.77032e-19	0.159774	0.94625	0.949722	0.493125	0
1380.0	0	0	0			6.48396e-19	0.160706	0.9462	0.949778	0.4945	0
1385.0	0	0	0			7.28585e-19	0.16164	0.94615	0.949833	0.495875	0
1390.0	0	0	0			8.18691e-19	0.162578	0.9461	0.949889	0.49725	0
1395.0	0	0	0			9.19941e-19	0.163518	0.94605	0.949944	0.498625	0
1400.0	0	0	0			1.03371e-18	0.164461	0.946	0.95	0.5	0
1405.0	0	0	0			1.16156e-18	0.165408	0.94595	0.950056	0.501375	0
1410.0	0	0	0			1.30521e-18	0.166357	0.9459	0.950111	0.50275	0
1415.0	0	0	0			1.46663e-18	0.16731	0.94585	0.950167	0.504125	0
1420.0	0	0	0			1.64801e-18	0.168264	0.9458	0.950222	0.5055	0
1425.0	0	0	0			1.85183e-18	0.169223	0.94575	0.950278	0.506875	0
1430.0	0	0	0			2.08085e-18	0.170183	0.9457	0.950333	0.50825	0
1435.0	0	0	0			2.33819e-18	0.171148	0.94565	0.950389	0.509625	0
1440.0	0	0	0			2.62736e-18	0.172114	0.9456	0.950444	0.511	0
1445.0	0	0	0			2.9523e-18	0.173084	0.94555	0.9505	0.512375	0
1450.0	0	0	0			3.31742e-18	0.174058	0.9455	0.950556	0.51375	0
1455.0	0	0	0			3.72769e-18	0.175033	0.94545	0.950611	0.515125	0
1460.0	0	0	0			4.18871e-18	0.176012	0.9454	0.950667	0.5165	0
1465.0	0	0	0			4.70674e-18	0.176993	0.94535	0.950722	0.517875	0
1470.0	0	0	0			5.28883e-18	0.177978	0.9453	0.950778	0.51925	0
1475.0	0	0	0			5.94292e-18	0.178965	0.94525	0.950833	0.520625	0
1480.0	0	0	0			6.6779e-18	0.179956	0.9452	0.950889	0.522	0
1485.0	0	0	0			7.50378e-18	0.180949	0.94515	0.950944	0.523375	0
1490.0	0	0	0			8.43179e-18	0.181946	0.9451	0.951	0.52475	0
1495.0	0	0	0			9.47458e-18	0.182946	0.94505	0.951056	0.526125	0
1500.0	0	0	0			1.06463e-17	0.183948	0.945	0.951111	0.5275	0
1505.0	0	0	0			1.1963e-17	0.184954	0.94495	0.951167	0.528875	0
1510.0	0	0	0			1.34425e-17	0.185962	0.9449	0.951222	0.53025	0
1515.0	0	0	0			1.5105e-17	0.186974	0.94485	0.951278	0.531625	0
1520.0	0	0	0			1.69731e-17	0.187988	0.9448	0.951333	0.533	0
1525.0	0	0	0			1.90722e-17	0.189006	0.94475	0.951389	0.534375	0
1530.0	0	0	0			2.14309e-17	0.190025	0.9447	0.951444	0.53575	0
1535.0	0	0	0			2.40813e-17	0.191049	0.94465	0.9515	0.537125	0
1540.0	0	0	0			2.70595e-17	0.192076	0.9446	0.951556	0.5385	0
1545.0	0	0	0			3.0406e-17	0.193105	0.94455	0.951611	0.539875	0
1550.0	0	0	0			3.41665e-17	0.194138	0.9445	0.951667	0.54125	0
1555.0	0	0	0			3.83919e-17	0.195172	0.94445	0.951722	0.542625	0
1560.0	0	0	0			4.314e-17	0.196211	0.9444	0.951778	0.544	0
1565.0	0	0	0			4.84752e-17	0.197252	0.94435	0.951833	0.545375	0
1570.0	0	0	0			5.44703e-17	0.198297	0.9443	0.951889	0.54675	0
1575.0	0	0	0			6.12068e-17	0.199343	0.94425	0.951944	0.548125	0
1580.0	0	0	0			6.87765e-17	0.200394	0.9442	0.952	0.5495	0
1585.0	0	0	0			7.72823e-17	0.201448	0.94415	0.952056	0.550875	0
1590.0	0	0	0			8.684e-17	0.202504	0.9441	0.952111	0.55225	0
1595.0	0	0	0			9.75798e-17	0.203564	0.94405	0.952167	0.553625	0
1600.0	0	0	0			1.09648e-16	0.204625	0.944	0.952222	0.555	0
1605.0	0	0	0			1.23208e-16	0.205691	0.94395	0.952278	0.556375	0
1610.0	0	0	0			1.38446e-16	0.206759	0.9439	0.952333	0.55775	0
1615.0	0	0	0			1.55568e-16	0.207831	0.94385	0.952389	0.559125	0
1620.0	0	0	0			1.74807e-16	0.208905	0.9438	0.952444	0.5605	0
1625.0	0	0	0			1.96426e-16	0.209983	0.94375	0.9525	0.561875	0
1630.0	0	0	0			2.20719e-16	0.211064	0.9437	0.952556	0.56325	0
1635.0	0	0	0			2.48016e-16	0.212146	0.94365	0.952611	0.564625	0
1640.0	0	0	0			2.78689e-16	0.213234	0.9436	0.952667	0.566	0
1645.0	0	0	0			3.13155e-16	0.214322	0.94355	0.952722	0.567375	0
1650.0	0	0	0			3.51884e-16	0.215416	0.9435	0.952778	0.56875	0
1655.0	0	0	0			3.95403e-16	0.21651	0.94345	0.952833	0.570125	0
1660.0	0	0	0			4.44304e-16	0.21761	0.9434	0.952889	0.5715	0
1665.0	0	0	0			4.99252e-16	0.218711	0.94335	0.952944	0.572875	0
1670.0	0	0	0			5.60996e-16	0.219816	0.9433	0.953	0.57425	0
1675.0	0	0	0			6.30376e-16	0.220924	0.94325	0.953056	0.575625	0
1680.0	0	0	0			7.08337e-16	0.222034	0.9432	0.953111	0.577	0
1685.0	0	0	0			7.95939e-16	0.223149	0.94315	0.953167	0.578375	0
1690.0	0	0	0			8.94376e-16	0.224265	0.9431	0.953222	0.57975	0
1695.0	0	0	0			1.00499e-15	0.225386	0.94305	0.953278	0.581125	0
1700.0	0	0	0			1.12928e-15	0.226508	0.943	0.953333	0.5825	0
1705.0	0	0	0			1.26894e-15	0.227634	0.94295	0.953389	0.583875	0
1710.0	0	0	0			1.42587e-15	0.228763	0.9429	0.953444	0.58525	0
1715.0	0	0	0			1.60221e-15	0.229896	0.94285	0.9535	0.586625	0
1720.0	0	0	0			1.80036e-15	0.231031	0.9428	0.953556	0.588	0
1725.0	0	0	0			2.02302e-15	0.232169	0.94275	0.953611	0.589375	0
1730.0	0	0	0			2.27321e-15	0.233311	0.9427	0.953667	0.59075	0
1735.0	0	0	0			2.55435e-15	0.234454	0.94265	0.953722	0.592125	0
1740.0	0	0	0			2.87025e-15	0.235603	0.9426	0.953778	0.5935	0
1745.0	0	0	0			3.22522e-15	0.236752	0.94255	0.953833	0.594875	0
1750.0	0	0	0			3.6241e-15	0.237907	0.9425	0.953889	0.59625	0
1755.0	0	0	0			4.0723e-15	0.239062	0.94245	0.953944	0.597625	0
1760.0	0	0	0			4.57594e-15	0.240223	0.9424	0.954	0.599	0
1765.0	0	0	0			5.14186e-15	0.241386	0.94235	0.954056	0.600375	0
1770.0	0	0	0			5.77777e-15	0.242552	0.9423	0.954111	0.60175	0
1775.0	0	0	0			6.49232e-15	0.243721	0.94225	0.954167	0.603125	0
1780.0	0	0	0			7.29525e-15	0.244892	0.9422	0.954222	0.6045	0
1785.0	0	0	0			8.19747e-15	0.246068	0.94215	0.954278	0.605875	0
1790.0	0	0	0			9.21128e-15	0.247246	0.9421	0.954333	0.60725	0
1795.0	0	0	0			1.03505e-14	0.248428	0.94205	0.954389	0.608625	0
1800.0	0	0	0			1.16305e-14	0.249611	0.942	0.954444	0.61	0
1805.0	0	0	0			1.30689e-14	0.250799	0.94195	0.9545	0.611375	0
1810.0	0	0	0			1.46852e-14	0.251991	0.9419	0.954556	0.61275	0
