# manual trim-down of MIPSfiltsumm.txt
#lambda      response
  49.95998    -0.00029  
  50.21104     6.6E-05  
  50.46463    0.000866  
   50.7208    0.001816  
  50.97958    0.002936  
  51.24101    0.004346  
  51.50514    0.006087  
    51.772     0.00817  
  52.04165    0.010677  
  52.31412     0.01409  
  52.58946    0.018454  
  52.86771    0.023109  
  53.14892    0.027443  
  53.43314    0.032523  
  53.72041    0.040173  
  54.01079    0.049711  
  54.30433    0.060504  
  54.60108    0.073617  
  54.90108    0.090147  
   55.2044    0.109523  
  55.51109     0.12962  
  55.82121    0.145772  
  56.13481    0.153541  
  56.45196    0.158599  
  56.77271    0.170037  
  57.09713    0.189803  
  57.42527    0.214929  
  57.75721    0.241451  
  58.09301    0.263499  
  58.43273    0.279945  
  58.77645    0.294817  
  59.12424    0.312668  
  59.47617    0.336648  
  59.83232    0.369982  
  60.19275    0.412077  
  60.55756    0.454126  
  60.92681    0.491189  
   61.3006    0.526436  
  61.67899    0.559559  
  62.06209     0.59515  
  62.44998    0.641587  
  62.84275    0.694072  
  63.24049     0.73797  
  63.64329     0.77468  
  64.05126    0.808052  
   64.4645    0.827862  
   64.8831    0.838341  
  65.30717    0.848857  
  65.73682    0.860528  
  66.17217    0.869998  
  66.61331    0.883175  
  67.06038    0.903375  
  67.51349    0.923421  
  67.97277    0.945281  
  68.43834    0.970016  
  68.91032    0.984766  
  69.38887    0.989037  
  69.87411    0.995237  
  70.36618           1  
  70.86523    0.998268  
  71.37141    0.999989  
  71.88487    1.000645  
  72.40578    0.992201  
  72.93429    0.982083  
  73.47057    0.972578  
  74.01479    0.958518  
  74.56714    0.938603  
   75.1278    0.917937  
  75.69695    0.883038  
  76.27479    0.832029  
  76.86152    0.781721  
  77.45734    0.729882  
  78.06248    0.670221  
  78.67714    0.611989  
  79.30157    0.558421  
  79.93598    0.505731  
  80.58062    0.456761  
  81.23575    0.416541  
  81.90162    0.379062  
  82.57849    0.340729  
  83.26664    0.307558  
  83.96636    0.279367  
  84.67794    0.250857  
  85.40169    0.223651  
  86.13791    0.200818  
  86.88693    0.178981  
   87.6491    0.159608  
  88.42475    0.144221  
  89.21426    0.130385  
  90.01799    0.117319  
  90.83634    0.107147  
   91.6697    0.098924  
  92.51849    0.089555  
  93.38315    0.081557  
  94.26413    0.075779  
  95.16188     0.06901  
   96.0769    0.061375  
  97.00968    0.056092  
  97.96076    0.051865  
  98.93067    0.046722  
  99.91997     0.04214  
  100.9293    0.038231  
  101.9592    0.034554  
  103.0103    0.033021  
  104.0833     0.03299  
  105.1789    0.032422  
  106.2978    0.030687  
  107.4408    0.030265  
  108.6087    0.030992  
  109.8022     0.03027  
  111.0222     0.02935  
