Transmission for IRAC band        1
 
Wavelength   Transmiss   Trans(P)    Trans(S)
----------   ---------   ---------   ---------
   2.8850    0.000431    0.000525    0.000329
   2.8920    0.000668    0.000656    0.000679
   2.8980    0.000546    0.000321    0.000777
   2.9050    0.000401    0.000443    0.000359
   2.9120    0.000378    0.000282    0.000473
   2.9190    0.000288    0.000135    0.000437
   2.9250    0.000567    0.000327    0.000797
   2.9320    0.001140    0.000112    0.002110
   2.9390    0.001161    0.001217    0.001105
   2.9460    0.000589    0.000392    0.000755
   2.9520    0.001088    0.001792    0.000440
   2.9590    0.000848    0.001180    0.000516
   2.9660    0.001153    0.000436    0.001914
   2.9730    0.000509    0.000340    0.000693
   2.9790    0.001334    0.000853    0.001881
   2.9860    0.001132    0.001072    0.001180
   2.9930    0.001540    0.001410    0.001670
   3.0000    0.000905    0.000804    0.001013
   3.0060    0.000194    0.000282    0.000102
   3.0130    0.000719    0.000472    0.000970
   3.0200    0.000697    0.000646    0.000748
   3.0270    0.000671    0.000653    0.000688
   3.0330    0.000860    0.000481    0.001242
   3.0400    0.000453    0.000198    0.000709
   3.0470    0.000735    0.000215    0.001260
   3.0540    0.000416    0.000482    0.000350
   3.0600    0.000563    0.000881    0.000238
   3.0670    0.000855    0.001077    0.000630
   3.0740    0.000568    0.000933    0.000196
   3.0810    0.000468    0.000533    0.000402
   3.0870    0.000241    0.000404    0.000075
   3.0940    0.000532    0.000612    0.000449
   3.1010    0.000497    0.000276    0.000723
   3.1080    0.001367    0.000964    0.001782
   3.1140    0.002160    0.002295    0.002021
   3.1210    0.003529    0.003461    0.003597
   3.1280    0.005852    0.005628    0.006081
   3.1350    0.008984    0.008750    0.009221
   3.1410    0.016030    0.015140    0.016940
   3.1480    0.026890    0.024940    0.028880
   3.1550    0.049270    0.044860    0.053770
   3.1620    0.088750    0.079870    0.097850
   3.1680    0.154800    0.138100    0.171900
   3.1750    0.248700    0.223800    0.274300
   3.1820    0.354900    0.325600    0.385100
   3.1890    0.446900    0.420900    0.473500
   3.1950    0.507300    0.488900    0.526000
   3.2020    0.530100    0.519300    0.540900
   3.2090    0.529600    0.523500    0.535600
   3.2160    0.515500    0.510400    0.520500
   3.2220    0.501600    0.496800    0.506200
   3.2290    0.490600    0.484400    0.496700
   3.2360    0.487900    0.480600    0.495200
   3.2430    0.492400    0.484300    0.500600
   3.2490    0.505800    0.495400    0.516200
   3.2560    0.522700    0.512100    0.533300
   3.2630    0.541700    0.530800    0.552700
   3.2700    0.558800    0.550200    0.567500
   3.2760    0.574700    0.564700    0.584700
   3.2830    0.583800    0.575000    0.592600
   3.2900    0.586000    0.577100    0.595000
   3.2970    0.585700    0.577300    0.594100
   3.3030    0.581500    0.572700    0.590300
   3.3100    0.576600    0.567200    0.585900
   3.3170    0.572600    0.563200    0.582000
   3.3240    0.568200    0.560900    0.575600
   3.3300    0.567300    0.559200    0.575300
   3.3370    0.569600    0.563000    0.576200
   3.3440    0.569800    0.562100    0.577400
   3.3510    0.570700    0.563300    0.578100
   3.3570    0.568200    0.561300    0.575000
   3.3640    0.565800    0.558700    0.572900
   3.3710    0.560900    0.553200    0.568600
   3.3780    0.561800    0.553700    0.569800
   3.3840    0.561700    0.553900    0.569600
   3.3910    0.570200    0.562000    0.578500
   3.3980    0.580800    0.573700    0.587900
   3.4050    0.592600    0.583800    0.601500
   3.4110    0.602500    0.593900    0.611200
   3.4180    0.606700    0.598500    0.614800
   3.4250    0.612300    0.603700    0.620900
   3.4320    0.605600    0.596100    0.615200
   3.4380    0.600500    0.591100    0.609900
   3.4450    0.590400    0.581200    0.599800
   3.4520    0.582500    0.572900    0.592200
   3.4590    0.576900    0.568900    0.584900
   3.4650    0.577100    0.567900    0.586200
   3.4720    0.577700    0.570800    0.584700
   3.4790    0.585300    0.579100    0.591600
   3.4860    0.596000    0.589600    0.602400
   3.4920    0.606500    0.600300    0.612600
   3.4990    0.618300    0.612100    0.624400
   3.5060    0.625600    0.619100    0.632000
   3.5130    0.635200    0.630600    0.639900
   3.5190    0.640700    0.634000    0.647300
   3.5260    0.642700    0.637000    0.648400
   3.5330    0.645200    0.638600    0.651700
   3.5400    0.639400    0.633800    0.645000
   3.5460    0.636400    0.631100    0.641700
   3.5530    0.634100    0.628700    0.639500
   3.5600    0.629500    0.624500    0.634500
   3.5670    0.628600    0.623900    0.633300
   3.5730    0.623700    0.619400    0.628000
   3.5800    0.624300    0.619300    0.629300
   3.5870    0.625400    0.620300    0.630400
   3.5940    0.629600    0.625200    0.634000
   3.6000    0.631500    0.627600    0.635400
   3.6070    0.631300    0.626800    0.635900
   3.6140    0.634000    0.629000    0.639000
   3.6210    0.632600    0.628100    0.637200
   3.6270    0.632100    0.627900    0.636300
   3.6340    0.626400    0.621300    0.631500
   3.6410    0.621800    0.617600    0.626000
   3.6480    0.615200    0.609700    0.620700
   3.6540    0.609100    0.603400    0.614800
   3.6610    0.604200    0.599500    0.608800
   3.6680    0.601800    0.597000    0.606700
   3.6750    0.602900    0.598200    0.607700
   3.6810    0.604500    0.600400    0.608600
   3.6880    0.608400    0.605900    0.610900
   3.6950    0.616400    0.613400    0.619500
   3.7020    0.622700    0.620000    0.625300
   3.7080    0.630500    0.628400    0.632600
   3.7150    0.639000    0.636600    0.641400
   3.7220    0.641400    0.638900    0.643900
   3.7290    0.647000    0.645000    0.649100
   3.7350    0.649100    0.647100    0.651100
   3.7420    0.651100    0.649800    0.652500
   3.7490    0.650300    0.647900    0.652600
