# lambda       B1            B2          B3           B4
#
  3300.0   0.00048275   0.00092205   0.00063757   0.00093294 
  3305.3   0.00070018   0.00082994   0.00061320   0.00077398 
  3310.5   0.00108873   0.00064624   0.00095299   0.00078274 
  3315.8   0.00039654   0.00068334   0.00058502   0.00105378 
  3321.1   0.00057027   0.00064079   0.00093756   0.00085458 
  3326.4   0.00057859   0.00063188   0.00051779   0.00067079 
  3331.6   0.00063157   0.00090617   0.00087820   0.00054100 
  3336.9   0.00045858   0.00079755   0.00055435   0.00064772 
  3342.2   0.00047075   0.00063207   0.00043699   0.00061533 
  3347.5   0.00050725   0.00045209   0.00071156   0.00079161 
  3352.7   0.00049462   0.00050184   0.00059181   0.00081686 
  3358.0   0.00031460   0.00051071   0.00079053   0.00096616 
  3363.3   0.00029430   0.00072906   0.00045726   0.00076902 
  3368.5   0.00042594   0.00062773   0.00049143   0.00067299 
  3373.8   0.00080070   0.00060863   0.00031474   0.00069687 
  3379.1   0.00040968   0.00038529   0.00035515   0.00041387 
  3384.4   0.00035871   0.00038335   0.00059348   0.00075452 
  3389.6   0.00048922   0.00037084   0.00042015   0.00055588 
  3394.9   0.00037402   0.00039376   0.00062628   0.00058588 
  3400.2   0.00034229   0.00039331   0.00056703   0.00065255 
  3405.4   0.00033220   0.00028540   0.00037155   0.00053180 
  3410.7   0.00036666   0.00043418   0.00038902   0.00037820 
  3416.0   0.00048010   0.00046379   0.00036625   0.00048437 
  3421.3   0.00043473   0.00032024   0.00045705   0.00057119 
  3426.5   0.00034127   0.00038743   0.00028291   0.00066525 
  3431.8   0.00037432   0.00046978   0.00042584   0.00043887 
  3437.1   0.00033456   0.00035580   0.00050360   0.00062274 
  3442.3   0.00038221   0.00034046   0.00037196   0.00063581 
  3447.6   0.00025961   0.00033656   0.00030784   0.00045615 
  3452.9   0.00038999   0.00018960   0.00062440   0.00044153 
  3458.2   0.00034694   0.00032813   0.00046883   0.00039362 
  3463.4   0.00020383   0.00032164   0.00037066   0.00042558 
  3468.7   0.00034137   0.00028902   0.00044430   0.00040069 
  3474.0   0.00035153   0.00043616   0.00042501   0.00047486 
  3479.2   0.00037274   0.00026053   0.00037809   0.00048960 
  3484.5   0.00029727   0.00039897   0.00036511   0.00052417 
  3489.8   0.00027469   0.00023494   0.00040961   0.00047745 
  3495.1   0.00032315   0.00019324   0.00033278   0.00051265 
  3500.3   0.00026173   0.00024646   0.00037076   0.00046580 
  3505.6   0.00027163   0.00030580   0.00042932   0.00026923 
