# wave    I1          I2         I3         I4
#
5000 9.67795e-05 0.000214297 0.000128158 0.000125276
5007.11 0.00021415 0.000104246 0.000105724 8.10217e-05
5014.22 4.16881e-05 0.000218284 0.000116904 0.000138916
5021.33 9.73378e-05 0.000122393 0.00011168 0.000117077
5028.45 0.000142491 0.000136438 4.68705e-05 9.64176e-05
5035.56 0.000191575 0.000115974 0.000135294 0.000112424
5042.67 0.000130565 8.01926e-05 0.000117662 0.000104667
5049.78 7.64766e-05 8.49398e-05 0.000122061 0.000127517
5056.89 0.00010649 0.000103773 0.000117692 0.000151151
5064 0.000139228 0.000159589 8.01587e-05 8.43479e-05
5071.12 0.000179209 0.000131863 0.000175681 9.89163e-05
5078.23 0.000184713 0.000161411 0.000104004 0.000127511
5085.34 0.000207188 0.000121366 9.22503e-05 9.26128e-05
5092.45 0.000157513 0.000108709 0.000111069 0.000106214
5099.56 0.000128048 0.000182722 0.000132129 9.79897e-05
5106.67 0.000143044 0.000133316 0.000138483 7.71453e-05
5113.78 7.71797e-05 0.000195259 0.000144189 7.17686e-05
5120.9 8.58595e-05 0.000133229 0.000176067 5.11001e-05
5128.01 4.93156e-05 7.36956e-05 0.000129622 3.89428e-05
5135.12 0.000187129 0.000123664 0.00010083 0.000109787
5142.23 0.000184274 0.000155643 0.000239334 0.000133419
5149.34 0.000133596 0.000179812 4.46006e-05 0.000110091
5156.45 5.05185e-05 0.00014083 7.96947e-05 7.57308e-05
5163.56 9.18362e-05 0.000100862 0.000127196 8.32173e-05
5170.68 0.000140888 7.98281e-05 0.000161306 6.80588e-05
5177.79 0.000193481 5.56875e-05 0.000151858 0.000205016
5184.9 0.000160879 9.80972e-05 0.000139476 8.18437e-05
5192.01 0.000172086 5.05964e-05 0.0001429 0.000102067
5199.12 0.000158116 6.17918e-05 9.7427e-05 0.000111597
5206.23 8.94784e-05 0.000187205 0.000156632 0.000141514
5213.35 0.000117878 0.000128902 0.000179591 0.000119261
5220.46 9.00146e-05 0.000100122 0.00011384 8.05567e-05
5227.57 0.000112946 9.53368e-05 0.000174794 5.42883e-05
5234.68 0.000179979 0.000101034 0.000108017 7.7809e-05
5241.79 0.000107991 7.67013e-05 0.000159153 6.01194e-05
5248.9 0.000136427 0.000112578 0.000138528 0.000144735
5256.01 0.000106768 0.000124753 0.000179923 0.000117404
5263.13 5.1778e-05 0.00010026 0.000106145 9.99829e-05
5270.24 0.00011552 0.000140352 0.000132743 0.000229818
5277.35 0.000133442 0.000147617 0.000104562 0.000113015
5284.46 0.000216989 0.000178186 0.000144204 9.39022e-05
5291.57 0.000127435 7.43777e-05 0.000108239 5.88065e-05
5298.68 0.000137755 8.09809e-05 0.000140149 0.000138538
5305.8 0.000154673 0.000110486 7.82353e-05 0.000115236
5312.91 0.000204095 0.00011214 0.000124222 0.000103653
5320.02 0.00012766 0.000118781 0.000101646 0.000109339
5327.13 0.000237501 0.000122406 0.000223431 7.86732e-05
5334.24 0.000130132 8.47939e-05 0.000100696 4.83173e-05
5341.35 0.000145096 0.000110944 9.86657e-05 9.01223e-05
5348.46 0.000153853 0.00013048 0.000100139 9.15588e-05
5355.58 6.45971e-05 5.9077e-05 0.000100327 0.000143347
5362.69 0.000110935 8.15536e-05 0.000194986 9.47261e-05
5369.8 0.000110317 0.000137333 0.000156665 5.93584e-05
5376.91 0.000102937 0.000128337 0.000130359 0.000182868
5384.02 0.000113644 0.000120119 6.90399e-05 9.51858e-05
5391.13 7.34784e-05 0.000204723 0.00018236 0.000127509
5398.24 0.000162477 0.000130774 9.94506e-05 0.000115686
5405.36 4.97289e-05 0.000109572 0.000103671 5.42771e-05
5412.47 0.000176061 0.000102073 0.00014724 7.74321e-05
5419.58 0.000186662 0.000164567 8.86709e-05 3.64908e-05
5426.69 0.000191891 6.25738e-05 0.000130122 9.51765e-05
5433.8 6.84115e-05 5.3626e-05 9.19519e-05 8.30155e-05
5440.91 0.000249699 9.42234e-05 0.00019289 5.07183e-05
5448.03 0.000187372 0.000122086 0.000128615 0.000118377
5455.14 0.000145934 8.4495e-05 0.000152879 0.000139151
5462.25 0.00010596 9.82013e-05 0.00014317 0.000110204
5469.36 0.000249653 6.7017e-05 5.35136e-05 0.000124385
5476.47 5.4653e-05 8.47457e-05 0.000130784 7.01056e-05
5483.58 0.000130977 9.70467e-05 7.81566e-05 0.000148405
5490.69 0.000126244 8.01878e-05 8.80697e-05 0.00014173
5497.81 0.000123199 7.61278e-05 0.0001171 9.66189e-05
5504.92 8.51388e-05 0.000110798 7.55665e-05 7.23658e-05
5512.03 0.000103659 0.000117347 0.000137299 8.55637e-05
5519.14 0.000117907 5.78174e-05 0.00011371 5.48286e-05
5526.25 9.51446e-05 9.38689e-05 0.000138082 9.50662e-05
5533.36 0.000133975 8.02209e-05 0.000169585 6.30464e-05
5540.48 0.000152581 8.87019e-05 5.40959e-05 7.30684e-05
5547.59 0.000176362 0.000167092 0.000144841 0.000101296
5554.7 0.000111555 7.85357e-05 0.000169218 8.857e-05
5561.81 0.000158847 0.000115041 0.000125303 4.56314e-05
5568.92 0.000227146 0.000129677 0.000135817 0.000152026
5576.03 0.000136918 9.12712e-05 0.000116665 7.70021e-05
5583.14 8.05039e-05 8.87476e-05 0.0001748 9.85681e-05
5590.26 0.000163311 0.00016132 0.000108262 0.0001265
5597.37 7.64975e-05 0.000288955 5.4851e-05 0.000120078
5604.48 0.000123217 0.000110632 8.14297e-05 0.000106719
5611.59 0.000136058 8.99708e-05 7.81997e-05 7.72619e-05
5618.7 5.92184e-05 0.000183326 8.63152e-05 9.682e-05
5625.81 0.000112854 8.80149e-05 6.28404e-05 6.1555e-05
5632.92 0.000115514 6.43421e-05 8.87912e-05 5.49818e-05
5640.04 8.50673e-05 6.71865e-05 0.000146852 0.000134244
5647.15 5.54078e-05 0.000120494 8.73152e-05 0.000144395
5654.26 0.000128166 8.48875e-05 8.57428e-05 9.1242e-05
5661.37 0.000111916 0.000103298 0.000186103 7.03207e-05
5668.48 0.000153091 0.000113185 0.000136189 6.36704e-05
5675.59 0.000132942 0.000166298 0.000109184 6.57656e-05
5682.71 0.00017049 9.33887e-05 0.000128395 6.00309e-05
5689.82 0.000139035 9.57406e-05 8.46387e-05 4.60834e-05
5696.93 0.000147629 7.05179e-05 8.74111e-05 0.000118795
5704.04 0.00016868 7.53794e-05 0.000127786 8.71681e-05
5711.15 0.000258276 0.00011759 7.97736e-05 7.61814e-05
5718.26 0.000115849 8.02811e-05 0.00014188 9.67853e-05
5725.37 0.00017037 0.000145076 5.73889e-05 0.000115707
5732.49 0.000204788 7.83025e-05 0.000113381 6.42245e-05
5739.6 0.000177323 0.000104321 4.90146e-05 6.44058e-05
5746.71 0.000141172 5.77607e-05 7.25723e-05 0.000117339
5753.82 7.75012e-05 9.80594e-05 7.34802e-05 0.000119555
5760.93 0.00017346 0.000124599 5.03246e-05 8.46421e-05
5768.04 0.000124027 0.000131853 0.000109904 0.000141103
