ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
2-0.0           1402.0   54.0 36:44.526 13:47.32 >28.63 >28.63    ...    ...  >3.47  25.81   0.34  0.28   0.88  158         BS
2-1.0            321.0   65.0 36:47.068 13:08.11  27.82  27.71    ...  >2.26   0.59  10.15   0.06  0.10   0.54   42         BS
2-2.0           1495.0   71.0 36:44.401 13:50.98  27.60  27.89  >0.02   1.02   0.10  11.27   0.07  0.08   0.91  105         BS
2-4.0           1185.0   78.0 36:45.150 13:39.80  29.64  29.51 >-0.32  -0.04   0.47   4.52   0.04  0.07   0.78  160          S
2-5.0           1201.0   79.0 36:45.118 13:40.39  28.80  29.21    ...  >0.47   0.36   5.39   0.05  0.10   0.56   50          S
2-6.0           1411.0   80.0 36:44.641 13:48.06  27.79  27.90  >0.05   0.63   0.23  12.46   0.09  0.08   0.90   27         BS
2-7.0            440.0   57.0 36:46.752 13:12.32 >28.21 >28.21  >0.16 <-1.07  >3.91  56.68   0.95  0.42   0.31   76        FBS
2-8.0            779.0   91.0 36:46.151 13:25.21  28.34  28.70 >-0.44   0.31  -0.06   6.23   0.09  0.14   0.52  170          S
2-9.0            811.0   52.0 36:45.874 13:25.75  22.35  22.76  >1.55   1.77   0.77 184.71   4.70  0.84   0.65   21        FBS
2-10.0          1673.0   56.0 36:43.913 13:57.22  23.64  23.76  >1.29   1.82   0.25  85.30   1.58  0.62   0.31   78         BS
2-12.0          1563.0   86.0 36:44.323 13:53.70  26.33  26.52  >0.12   0.96   0.12  16.76   0.62  0.32   0.70   52          B
2-12.1          1563.0   86.0 36:44.323 13:53.70  26.61  27.13 >-0.11   1.10   0.19  16.33   0.28  0.27   0.64   82          S
2-12.2          1557.0   76.0 36:44.284 13:53.32  27.96  28.48 >-0.51   0.87  -0.02   9.45   0.08  0.18   0.28   13         BS
2-14.0           960.0  104.0 36:45.803 13:32.02  29.12  29.01    ...  >0.66   0.36   6.85   0.08  0.08   0.88  138          S
