         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 3.000E-01 1.000E+05 2.800E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.750E-01 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
1.270E+00  1.478E-26  4.979E-19 COBE-DIRBE
2.220E+00  3.475E-26  2.046E-18 COBE-DIRBE
3.530E+00  1.250E-25  1.170E-17 COBE-DIRBE
4.880E+00  5.203E-26  6.735E-18 COBE-DIRBE
1.229E+01  2.909E-25  9.483E-17 COBE-DIRBE
2.079E+01  1.985E-25  1.095E-16 COBE-DIRBE
5.599E+01  2.523E-25  3.747E-16 COBE-DIRBE
9.770E+01  4.234E-25  1.097E-15 COBE-DIRBE
1.479E+02  5.098E-25  2.000E-15 COBE-DIRBE
2.479E+02  3.144E-25  2.067E-15 COBE-DIRBE
1.200E+01  3.673E-25  1.169E-16 IRAS
2.500E+01  1.995E-25  1.323E-16 IRAS
6.000E+01  2.653E-25  4.223E-16 IRAS
1.000E+02  4.330E-25  1.149E-15 IRAS
3.548E+00  1.430E-25  1.345E-17 SST-IRAC
4.492E+00  4.522E-26  5.388E-18 SST-IRAC
5.661E+00  3.808E-25  5.718E-17 SST-IRAC
7.870E+00  7.729E-25  1.614E-16 SST-IRAC
2.400E+01  2.262E-25  1.440E-16 SST-MIPS
7.000E+01  3.025E-25  5.616E-16 SST-MIPS
1.600E+02  4.554E-25  1.933E-15 SST-MIPS

lambda     nu*dP/dnu      j_nu
  (um)   (erg s-1 H-1)  (Jy sr-1)
 1.000E+04  3.382E-31  8.971E-43
 9.908E+03  3.505E-31  9.213E-43
 9.817E+03  3.633E-31  9.462E-43
 9.727E+03  3.766E-31  9.718E-43
 9.638E+03  3.904E-31  9.981E-43
 9.550E+03  4.047E-31  1.025E-42
 9.462E+03  4.195E-31  1.053E-42
 9.376E+03  4.348E-31  1.081E-42
 9.290E+03  4.508E-31  1.111E-42
 9.204E+03  4.673E-31  1.141E-42
 9.120E+03  4.845E-31  1.172E-42
 9.036E+03  5.022E-31  1.204E-42
 8.954E+03  5.207E-31  1.237E-42
 8.872E+03  5.398E-31  1.270E-42
 8.790E+03  5.597E-31  1.305E-42
 8.710E+03  5.803E-31  1.341E-42
 8.630E+03  6.017E-31  1.377E-42
 8.551E+03  6.239E-31  1.415E-42
 8.472E+03  6.469E-31  1.454E-42
 8.395E+03  6.707E-31  1.494E-42
 8.318E+03  6.955E-31  1.535E-42
 8.241E+03  7.212E-31  1.577E-42
 8.166E+03  7.479E-31  1.620E-42
 8.091E+03  7.755E-31  1.664E-42
 8.017E+03  8.043E-31  1.710E-42
 7.943E+03  8.340E-31  1.757E-42
 7.870E+03  8.650E-31  1.806E-42
 7.798E+03  8.970E-31  1.856E-42
 7.727E+03  9.303E-31  1.907E-42
