# FLAMINGOS BARR J-Band Witness Sample MAN-240-W
# Witness Measured at 77 K		
# Peak Transmission (%)         83.34E+00
# Cut-on Wavelength (nm)	1169.80
# Cut-off Wavelength (nm)	1326.15
# Wavelength (nm)           Transmission (%)
    1600.00                    19.40E-02	
    1599.50                    02.40E-02
    1599.00                    -06.40E-02
    1598.50                    09.80E-02
    1598.00                    09.90E-02
    1597.50                    01.90E-02
    1597.00                    07.10E-02
    1596.50                    -01.60E-02
    1596.00                    04.60E-02
    1595.50                    01.40E-02
    1595.00                    08.20E-02
    1594.50                    01.30E-02
    1594.00                    02.50E-02
    1593.50                    06.40E-02
    1593.00                    05.40E-02
    1592.50                    08.00E-02
    1592.00                    09.70E-02
    1591.50                    -10.20E-02
    1591.00                    29.40E-02
    1590.50                    -23.80E-02
    1590.00                    02.00E-02
    1589.50                    09.30E-02
    1589.00                    -08.80E-02
    1588.50                    48.10E-02
    1588.00                    -32.80E-02
    1587.50                    38.10E-02
    1587.00                    -32.10E-02
    1586.50                    32.10E-02
    1586.00                    -09.30E-02
    1585.50                    -06.40E-02
    1585.00                    18.80E-02
    1584.50                    -28.60E-02
    1584.00                    07.70E-02
    1583.50                    22.20E-02
    1583.00                    -11.80E-02
    1582.50                    19.60E-02
    1582.00                    12.50E-02
    1581.50                    -30.40E-02
    1581.00                    24.60E-02
    1580.50                    -05.00E-02
    1580.00                    01.80E-02
    1579.50                    05.20E-02
    1579.00                    -50.00E-04
    1578.50                    00.00E+00
    1578.00                    -02.80E-02
    1577.50                    12.40E-02
    1577.00                    01.40E-02
    1576.50                    -01.70E-02
    1576.00                    06.70E-02
    1575.50                    -02.00E-02
    1575.00                    06.00E-02
    1574.50                    -05.10E-02
    1574.00                    -05.30E-02
    1573.50                    10.80E-02
    1573.00                    07.60E-02
    1572.50                    -07.20E-02
    1572.00                    -02.90E-02
    1571.50                    02.60E-02
    1571.00                    -01.00E-02
    1570.50                    -20.00E-04
    1570.00                    80.00E-04
    1569.50                    -01.00E-02
    1569.00                    30.00E-04
    1568.50                    02.60E-02
    1568.00                    -40.00E-04
    1567.50                    -07.10E-02
    1567.00                    05.40E-02
    1566.50                    07.80E-02
    1566.00                    -10.00E-04
    1565.50                    01.40E-02
    1565.00                    -70.00E-04
    1564.50                    -02.60E-02
    1564.00                    -01.80E-02
    1563.50                    80.00E-04
    1563.00                    -20.00E-04
    1562.50                    02.10E-02
    1562.00                    03.00E-02
    1561.50                    -70.00E-04
    1561.00                    -03.90E-02
    1560.50                    -01.60E-02
    1560.00                    03.50E-02
    1559.50                    01.10E-02
    1559.00                    -01.70E-02
    1558.50                    -03.00E-02
    1558.00                    01.00E-02
    1557.50                    04.90E-02
    1557.00                    09.10E-02
    1556.50                    01.40E-02
    1556.00                    04.90E-02
    1555.50                    -04.70E-02
    1555.00                    04.20E-02
    1554.50                    11.10E-02
    1554.00                    -50.00E-04
    1553.50                    04.00E-02
    1553.00                    04.40E-02
    1552.50                    09.10E-02
    1552.00                    02.50E-02
    1551.50                    11.90E-02
    1551.00                    40.00E-04
    1550.50                    01.80E-02
    1550.00                    10.80E-02
    1549.50                    04.60E-02
    1549.00                    12.40E-02
    1548.50                    10.90E-02
    1548.00                    08.40E-02
    1547.50                    06.40E-02
    1547.00                    06.50E-02
    1546.50                    06.40E-02
    1546.00                    05.00E-02
    1545.50                    02.10E-02
    1545.00                    07.10E-02
    1544.50                    07.20E-02
