Wavelength     Transmission   Atm. Trans    Tot. Trans.
(micron)       (fractional)   (fractional)  (fractional)
      53.8500   0.00519158     0.968440   0.00502774
      53.9000   0.00530459     0.965311   0.00512058
      53.9500   0.00548528     0.971011   0.00532627
      54.0000   0.00568983     0.972375   0.00553265
      54.0500   0.00589192     0.972221   0.00572825
      54.1000   0.00605004     0.964039   0.00583247
      54.1500   0.00622702     0.964255   0.00600444
      54.2000   0.00646895     0.959948   0.00620985
      54.2500   0.00674566     0.967366   0.00652552
      54.3000   0.00702739     0.963229   0.00676899
      54.3500   0.00730565     0.953269   0.00696425
      54.4000   0.00757132     0.926487   0.00701473
      54.4500   0.00786280     0.809830   0.00636753
      54.5000   0.00819969  9.64689e-05  7.91015e-07
      54.5500   0.00851453     0.713432   0.00607453
      54.6000   0.00884227     0.907283   0.00802244
      54.6500   0.00919173     0.940877   0.00864829
      54.7000   0.00959599     0.949807   0.00911434
      54.7500   0.00999453     0.950508   0.00949988
      54.8000    0.0103748     0.944862   0.00980272
      54.8500    0.0107764     0.937708    0.0101051
      54.9000    0.0111409     0.920833    0.0102590
      54.9500    0.0114356     0.888045    0.0101554
      55.0000    0.0117752     0.814062   0.00958572
      55.0500    0.0121586     0.598568   0.00727773
      55.1000    0.0126255    0.0342084  0.000431898
      55.1500    0.0131072  0.000528113  6.92210e-06
      55.2000    0.0136109     0.518793   0.00706126
      55.2500    0.0141789     0.783683    0.0111118
      55.3000    0.0148036     0.868626    0.0128588
      55.3500    0.0154718     0.902628    0.0139653
      55.4000    0.0162122     0.924459    0.0149875
      55.4500    0.0169609     0.926531    0.0157148
      55.5000    0.0177159     0.900556    0.0159541
      55.5500    0.0185061     0.938128    0.0173611
      55.6000    0.0193696     0.938268    0.0181739
      55.6500    0.0203061     0.935333    0.0189929
      55.7000    0.0212732     0.929484    0.0197731
      55.7500    0.0222053     0.819205    0.0181907
      55.8000    0.0230877     0.682486    0.0157571
      55.8500    0.0240417     0.432503    0.0103981
      55.9000    0.0250226     0.864209    0.0216247
      55.9500    0.0260284     0.845522    0.0220076
      56.0000    0.0270498     0.757219    0.0204826
      56.0500    0.0281005     0.757206    0.0212778
      56.1000    0.0293312     0.691010    0.0202682
      56.1500    0.0306162     0.553049    0.0169322
      56.2000    0.0319433     0.319781    0.0102149
      56.2500    0.0333823    0.0435418   0.00145353
      56.3000    0.0348989      0.00000      0.00000
      56.3500    0.0365687      0.00000      0.00000
      56.4000    0.0383666    0.0485778   0.00186376
      56.4500    0.0402320     0.321159    0.0129209
      56.5000    0.0422021     0.540568    0.0228131
      56.5500    0.0441856     0.661773    0.0292408
      56.6000    0.0461783     0.639253    0.0295196
      56.6500    0.0483432     0.722464    0.0349262
      56.7000    0.0505356     0.642199    0.0324539
      56.7500    0.0527835     0.104771   0.00553018
      56.8000    0.0551044  9.62062e-05  5.30138e-06
      56.8500    0.0574806     0.133229   0.00765810
      56.9000    0.0600516     0.629724    0.0378159
      56.9500    0.0626395     0.782572    0.0490199
      57.0000    0.0652596     0.846906    0.0552687
      57.0500    0.0680610     0.820664    0.0558552
      57.1000    0.0709721     0.881824    0.0625848
      57.1500    0.0740733     0.887137    0.0657132
      57.2000    0.0772619     0.881955    0.0681415
      57.2500    0.0805334     0.876618    0.0705970
      57.3000    0.0841382     0.861685    0.0725006
      57.3500    0.0879216     0.836274    0.0735266
      57.4000    0.0921093     0.788657    0.0726427
      57.4500    0.0964983     0.717332    0.0692214
      57.5000     0.101045     0.570060    0.0576020
      57.5500     0.105794     0.275389    0.0291344
      57.6000     0.110626   0.00119095  0.000131751
      57.6500     0.115701      0.00000      0.00000
      57.7000     0.120785      0.00000      0.00000
      57.7500     0.125850     0.246944    0.0310778
      57.8000     0.130868     0.575563    0.0753228
      57.8500     0.135880     0.620025    0.0842491
      57.9000     0.141077     0.764887     0.107908
      57.9500     0.146394     0.770275     0.112764
      58.0000     0.151839     0.805886     0.122365
      58.0500     0.157413     0.803303     0.126451
      58.1000     0.163028     0.797388     0.129997
      58.1500     0.169030     0.780120     0.131863
      58.2000     0.175299     0.752904     0.131983
      58.2500     0.182026     0.716446     0.130412
      58.3000     0.189096     0.664798     0.125711
      58.3500     0.196350     0.594266     0.116684
      58.4000     0.204256     0.498839     0.101891
      58.4500     0.212280     0.372195    0.0790096
      58.5000     0.220398     0.215593    0.0475162
      58.5500     0.228841    0.0655929    0.0150104
      58.6000     0.237532   0.00208708  0.000495750
      58.6500     0.246279      0.00000      0.00000
      58.7000     0.255024      0.00000      0.00000
      58.7500     0.262860      0.00000      0.00000
      58.8000     0.270989   0.00311193  0.000843298
      58.8500     0.279616    0.0678170    0.0189627
      58.9000     0.287986     0.224279    0.0645892
      58.9500     0.296004     0.378223     0.111955
      59.0000     0.303533     0.498390     0.151278
      59.0500     0.311000     0.452574     0.140751
      59.1000     0.319524     0.658671     0.210461
      59.1500     0.328033     0.723917     0.237469
      59.2000     0.336271     0.765103     0.257282
      59.2500     0.344289     0.792105     0.272713
      59.3000     0.352078     0.787792     0.277364
      59.3500     0.360515    0.0101522   0.00366000
      59.4000     0.369313     0.822436     0.303736
      59.4500     0.378041     0.863969     0.326616
      59.5000     0.386909     0.878812     0.340020
      59.5500     0.395850     0.887075     0.351149
      59.6000     0.405157     0.891239     0.361092
      59.6500     0.415056     0.891717     0.370113
      59.7000     0.424457     0.884689     0.375513
      59.7500     0.433580     0.873348     0.378667
      59.8000     0.441718     0.843918     0.372773
      59.8500     0.449617     0.773961     0.347986
      59.9000     0.457774     0.580512     0.265743
      59.9500     0.465610    0.0628248    0.0292518
      60.0000     0.472154      0.00000      0.00000
      60.0500     0.477951     0.386278     0.184622
      60.1000     0.482620     0.662786     0.319874
      60.1500     0.487349     0.122689    0.0597924
      60.2000     0.492010     0.693994     0.341452
      60.2500     0.496454     0.866615     0.430235
      60.3000     0.500797     0.829341     0.415332
      60.3500     0.505422     0.925708     0.467873
      60.4000     0.510121     0.936814     0.477888
      60.4500     0.514586     0.771408     0.396956
      60.5000     0.518917     0.924309     0.479640
      60.5500     0.522745     0.953778     0.498583
      60.6000     0.526725     0.958427     0.504828
      60.6500     0.530913     0.961093     0.510257
      60.7000     0.535307     0.963213     0.515614
      60.7500     0.539846     0.964833     0.520861
      60.8000     0.544245     0.966274     0.525890
      60.8500     0.548567     0.967394     0.530680
      60.9000     0.552092     0.965453     0.533019
      60.9500     0.555463     0.962303     0.534524
      61.0000     0.557667     0.963531     0.537329
      61.0500     0.559810     0.969900     0.542960
      61.1000     0.561528     0.969109     0.544182
      61.1500     0.562893     0.905866     0.509905
      61.2000     0.562780     0.968270     0.544923
      61.2500     0.562054     0.970278     0.545349
      61.3000     0.559936     0.958033     0.536437
      61.3500     0.558113     0.969168     0.540905
      61.4000     0.556712     0.970833     0.540475
      61.4500     0.555657     0.970319     0.539164
      61.5000     0.554956     0.969271     0.537903
      61.5500     0.554667     0.959327     0.532107
      61.6000     0.554641     0.963832     0.534581
      61.6500     0.554610     0.956999     0.530761
      61.7000     0.554554     0.938229     0.520298
      61.7500     0.554393     0.856781     0.474993
      61.8000     0.554209    0.0197449    0.0109428
      61.8500     0.554705     0.758662     0.420834
      61.9000     0.555328     0.918984     0.510337
      61.9500     0.555765     0.948996     0.527419
      62.0000     0.556151     0.959065     0.533385
      62.0500     0.556256     0.962910     0.535624
      62.1000     0.556319     0.964314     0.536466
      62.1500     0.555716     0.964355     0.535908
      62.2000     0.555146     0.963328     0.534788
      62.2500     0.554704     0.960631     0.532866
      62.3000     0.554302     0.954212     0.528922
      62.3500     0.554192     0.931149     0.516036
      62.4000     0.553795     0.693175     0.383877
      62.4500     0.552146     0.725372     0.400511
      62.5000     0.550291     0.932693     0.513253
      62.5500     0.547672     0.945490     0.517819
      62.6000     0.545485     0.941928     0.513808
      62.6500     0.544520     0.919351     0.500605
      62.7000     0.543881     0.934671     0.508350
      62.7500     0.544026     0.935889     0.509148
      62.8000     0.543979     0.925153     0.503264
      62.8500     0.543419     0.899205     0.488645
      62.9000     0.543166     0.722470     0.392421
      62.9500     0.543613     0.600203     0.326278
      63.0000     0.544346     0.847114     0.461123
      63.0500     0.545752     0.836113     0.456311
      63.1000     0.547110     0.785970     0.430012
      63.1500     0.548318     0.697318     0.382352
      63.2000     0.549524     0.515171     0.283099
      63.2500     0.550650     0.170061    0.0936439
      63.3000     0.551518      0.00000      0.00000
      63.3500     0.551789      0.00000      0.00000
      63.4000     0.551882    0.0900660    0.0497058
      63.4500     0.551520      0.00000      0.00000
      63.5000     0.551111     0.147397    0.0812320
      63.5500     0.550518     0.510391     0.280979
      63.6000     0.549827     0.416526     0.229017
      63.6500     0.548748     0.800899     0.439491
      63.7000     0.547671     0.835261     0.457448
      63.7500     0.546625     0.854210     0.466933
      63.8000     0.545672     0.860517     0.469560
      63.8500     0.545393     0.790230     0.430986
      63.9000     0.545074     0.238666     0.130091
      63.9500     0.544134    0.0310135    0.0168755
      64.0000     0.543195     0.620250     0.336917
      64.0500     0.542408     0.882047     0.478429
      64.1000     0.541621     0.899765     0.487332
      64.1500     0.541688     0.902390     0.488813
      64.2000     0.541816     0.775516     0.420188
      64.2500     0.541934     0.896387     0.485783
      64.3000     0.542052     0.902942     0.489441
      64.3500     0.542428     0.900192     0.488289
      64.4000     0.542869     0.895113     0.485929
      64.4500     0.543542     0.888061     0.482698
      64.5000     0.544319     0.879288     0.478613
      64.5500     0.544659     0.834005     0.454248
      64.6000     0.544718     0.854278     0.465341
      64.6500     0.544093     0.833816     0.453674
      64.7000     0.542760     0.810846     0.440095
      64.7500     0.541343     0.781898     0.423275
      64.8000     0.539789     0.741332     0.400163
      64.8500     0.538146     0.680191     0.366042
      64.9000     0.536306     0.249815     0.133977
      64.9500     0.534337     0.478495     0.255677
      65.0000     0.531593     0.299304     0.159108
      65.0500     0.528852    0.0958200    0.0506746
      65.1000     0.525642  0.000836209  0.000439547
      65.1500     0.522445      0.00000      0.00000
      65.2000     0.518903      0.00000      0.00000
      65.2500     0.515319    0.0142142   0.00732482
      65.3000     0.511973     0.153469    0.0785722
      65.3500     0.508713     0.355395     0.180794
      65.4000     0.505941     0.487840     0.246818
      65.4500     0.503504     0.562116     0.283028
      65.5000     0.501276     0.606741     0.304145
      65.5500     0.499308     0.601950     0.300559
      65.6000     0.497294     0.613266     0.304973
      65.6500     0.495085     0.644471     0.319068
      65.7000     0.492837     0.620885     0.305995
      65.7500     0.490088    0.0946311    0.0463776
      65.8000     0.487331     0.554999     0.270468
      65.8500     0.484513     0.489901     0.237363
      65.9000     0.481689     0.424566     0.204509
      65.9500     0.478462     0.303922     0.145415
      66.0000     0.475104     0.126133    0.0599264
      66.0500     0.471267  0.000852231  0.000401629
      66.1000     0.467056      0.00000      0.00000
      66.1500     0.462579   0.00694577   0.00321297
      66.2000     0.457516    0.0338641    0.0154934
      66.2500     0.452401    0.0134582   0.00608851
      66.3000     0.447091  0.000633236  0.000283114
      66.3500     0.441777      0.00000      0.00000
      66.4000     0.436587      0.00000      0.00000
      66.4500     0.431438      0.00000      0.00000
      66.5000     0.426020      0.00000      0.00000
      66.5500     0.420383      0.00000      0.00000
      66.6000     0.414840   0.00510157   0.00211634
      66.6500     0.409352    0.0390315    0.0159776
      66.7000     0.403828     0.100395    0.0405426
      66.7500     0.398333     0.161360    0.0642752
      66.8000     0.392872     0.191044    0.0750559
      66.8500     0.387794     0.163115    0.0632550
      66.9000     0.382729     0.139199    0.0532757
      66.9500     0.378054    0.0525910    0.0198822
      67.0000     0.373525   0.00185635  0.000693393
      67.0500     0.368795      0.00000      0.00000
      67.1000     0.363845      0.00000      0.00000
      67.1500     0.358874      0.00000      0.00000
      67.2000     0.353557   0.00279541  0.000988338
      67.2500     0.348253    0.0104436   0.00363702
      67.3000     0.343225     0.102887    0.0353133
      67.3500     0.338221     0.355181     0.120130
      67.4000     0.333239     0.487867     0.162576
      67.4500     0.328253     0.575077     0.188770
      67.5000     0.323199     0.562638     0.181844
      67.5500     0.317992     0.684953     0.217810
      67.6000     0.312775     0.723260     0.226218
      67.6500     0.307483     0.759930     0.233666
      67.7000     0.302197     0.782207     0.236381
      67.7500     0.296700     0.757142     0.224644
      67.8000     0.291139     0.812966     0.236686
      67.8500     0.285644     0.774390     0.221200
      67.9000     0.280244     0.632628     0.177291
      67.9500     0.274871     0.842988     0.231713
      68.0000     0.269617     0.867018     0.233762
      68.0500     0.264386     0.877496     0.231998
      68.1000     0.259362     0.887200     0.230106
      68.1500     0.254395     0.891701     0.226845
      68.2000     0.249572     0.900870     0.224831
      68.2500     0.244940     0.905172     0.221713
      68.3000     0.240318     0.911003     0.218930
      68.3500     0.235873     0.915224     0.215876
      68.4000     0.231433     0.919100     0.212710
      68.4500     0.227094     0.922085     0.209400
      68.5000     0.222776     0.907062     0.202071
      68.5500     0.218421     0.927003     0.202477
      68.6000     0.214001     0.930085     0.199039
      68.6500     0.209573     0.915657     0.191897
      68.7000     0.205297     0.935244     0.192003
      68.7500     0.201016     0.901633     0.181242
      68.8000     0.196725     0.938632     0.184653
      68.8500     0.192429     0.939803     0.180846
      68.9000     0.188107     0.938991     0.176631
      68.9500     0.183734     0.923972     0.169765
      69.0000     0.179362     0.846868     0.151896
      69.0500     0.175101     0.941057     0.164780
      69.1000     0.170871     0.944953     0.161465
      69.1500     0.166598     0.935810     0.155904
      69.2000     0.162256     0.941188     0.152713
      69.2500     0.157929     0.947803     0.149686
      69.3000     0.153873     0.948329     0.145922
      69.3500     0.149826     0.948737     0.142145
      69.4000     0.145995     0.948965     0.138544
      69.4500     0.142319     0.948697     0.135018
      69.5000     0.138692     0.919294     0.127499
      69.5500     0.135224     0.947655     0.128146
      69.6000     0.131759     0.948210     0.124936
      69.6500     0.128447     0.947900     0.121755
      69.7000     0.125195     0.947246     0.118590
      69.7500     0.121981     0.946265     0.115426
      69.8000     0.118902     0.945327     0.112401
      69.8500     0.115828     0.944019     0.109344
      69.9000     0.112892     0.942458     0.106396
      69.9500     0.109988     0.940457     0.103439
      70.0000     0.107141     0.938168     0.100517
      70.0500     0.104391     0.876032    0.0914497
      70.1000     0.101629     0.932296    0.0947485
      70.1500    0.0989996     0.923763    0.0914521
      70.2000    0.0963873     0.921942    0.0888635
      70.2500    0.0938325     0.917565    0.0860974
      70.3000    0.0913667     0.902203    0.0824313
      70.3500    0.0889165     0.890654    0.0791938
      70.4000    0.0865842     0.891798    0.0772156
      70.4500    0.0842576     0.877989    0.0739772
      70.5000    0.0819342     0.861079    0.0705518
      70.5500    0.0796319     0.829648    0.0660664
      70.6000    0.0773146     0.766215    0.0592396
      70.6500    0.0750484     0.549391    0.0412309
      70.7000    0.0728018      0.00000      0.00000
      70.7500    0.0706332     0.463296    0.0327241
      70.8000    0.0685689     0.599434    0.0411025
      70.8500    0.0665150     0.534713    0.0355665
      70.9000    0.0646726     0.386492    0.0249955
      70.9500    0.0628620     0.159741    0.0100416
      71.0000    0.0610637   0.00476904  0.000291215
      71.0500    0.0593102      0.00000      0.00000
      71.1000    0.0575637      0.00000      0.00000
      71.1500    0.0559011    0.0315245   0.00176225
      71.2000    0.0542692     0.224463    0.0121814
      71.2500    0.0526943     0.390374    0.0205705
      71.3000    0.0512751     0.460398    0.0236069
      71.3500    0.0498516     0.478222    0.0238401
      71.4000    0.0484705     0.387012    0.0187587
      71.4500    0.0471113     0.167929   0.00791133
      71.5000    0.0457536  0.000413794  1.89326e-05
      71.5500    0.0444988      0.00000      0.00000
      71.6000    0.0432513    0.0337721   0.00146069
      71.6500    0.0420791     0.245049    0.0103114
      71.7000    0.0409717     0.326636    0.0133828
      71.7500    0.0398563     0.177410   0.00707089
      71.8000    0.0387964     0.153938   0.00597225
      71.8500    0.0377375    0.0193174  0.000728992
      71.9000    0.0366784      0.00000      0.00000
      71.9500    0.0356303      0.00000      0.00000
      72.0000    0.0345906      0.00000      0.00000
      72.0500    0.0336077    0.0120723  0.000405724
      72.1000    0.0326470     0.127498   0.00416243
      72.1500    0.0316885     0.383146    0.0121413
      72.2000    0.0307681     0.502371    0.0154570
      72.2500    0.0298499     0.388473    0.0115959
      72.3000    0.0289575     0.688595    0.0199400
      72.3500    0.0280949     0.752381    0.0211380
      72.4000    0.0272358     0.793356    0.0216077
      72.4500    0.0264579     0.822263    0.0217554
      72.5000    0.0256970     0.842798    0.0216574
      72.5500    0.0249413     0.860580    0.0214640
      72.6000    0.0242115     0.874820    0.0211807
      72.6500    0.0234812     0.885485    0.0207922
      72.7000    0.0227917     0.893215    0.0203579
      72.7500    0.0221400     0.893218    0.0197759
      72.8000    0.0214902     0.810239    0.0174122
      72.8500    0.0209164     0.909549    0.0190245
