# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: KP1444 HARRIS I TEMP 70f      "
# "DATE: "" 7/22/93"   "TIME: ""15:19:26"
# " CWL= "  8268.49A  "FWHM= " 2110.58A  "TMAX= "86.82 %
# "TCUTOFF= " 2.00 %  "SLITSIZE= "10 A
# 
# 
# 
# 
# "NPTS= " 361     "DISP= "10.00A/INTERVAL
   6900.00     -.050
   6910.00     -.005
   6920.00     -.005
   6930.00      .005
   6940.00      .010
   6950.00      .030
   6960.00      .050
   6970.00      .085
   6980.00      .145
   6990.00      .230
   7000.00      .350
   7010.00      .515
   7020.00      .740
   7030.00     1.050
   7040.00     1.425
   7050.00     1.910
   7060.00     2.500
   7070.00     3.230
   7080.00     4.100
   7090.00     5.095
   7100.00     6.265
   7110.00     7.580
   7120.00     9.075
   7130.00    10.720
   7140.00    12.515
   7150.00    14.465
   7160.00    16.570
   7170.00    18.770
   7180.00    21.060
   7190.00    23.515
   7200.00    26.035
   7210.00    28.595
   7220.00    31.275
   7230.00    33.960
   7240.00    36.690
   7250.00    39.290
   7260.00    41.955
   7270.00    44.485
   7280.00    47.070
   7290.00    49.485
   7300.00    51.935
   7310.00    54.065
   7320.00    56.360
   7330.00    58.440
   7340.00    60.290
   7350.00    62.150
   7360.00    63.835
   7370.00    65.575
   7380.00    66.910
   7390.00    68.295
   7400.00    69.530
   7410.00    70.715
   7420.00    71.915
   7430.00    72.910
   7440.00    73.900
   7450.00    74.730
   7460.00    75.575
   7470.00    76.365
   7480.00    76.810
   7490.00    77.580
   7500.00    78.145
   7510.00    78.790
   7520.00    79.360
   7530.00    79.735
   7540.00    80.080
   7550.00    80.655
   7560.00    81.215
   7570.00    81.590
   7580.00    81.840
   7590.00    82.225
   7600.00    82.550
   7610.00    82.875
   7620.00    83.255
   7630.00    83.440
   7640.00    83.635
   7650.00    84.015
   7660.00    84.350
   7670.00    84.540
   7680.00    84.535
   7690.00    84.815
   7700.00    84.915
   7710.00    85.380
   7720.00    85.420
   7730.00    85.460
   7740.00    85.645
   7750.00    85.645
   7760.00    85.810
   7770.00    85.860
   7780.00    85.900
   7790.00    86.215
   7800.00    86.340
   7810.00    86.385
   7820.00    86.200
   7830.00    86.335
   7840.00    86.615
   7850.00    86.470
   7860.00    86.440
   7870.00    86.460
   7880.00    86.825
   7890.00    86.570
   7900.00    86.425
   7910.00    86.570
   7920.00    86.570
   7930.00    86.610
   7940.00    86.635
   7950.00    86.575
   7960.00    86.690
   7970.00    86.630
   7980.00    86.475
   7990.00    86.685
   8000.00    86.285
   8010.00    86.335
   8020.00    86.575
   8030.00    86.285
   8040.00    86.070
   8050.00    86.290
   8060.00    85.880
   8070.00    85.530
   8080.00    85.665
   8090.00    85.360
   8100.00    85.070
   8110.00    84.935
   8120.00    84.960
   8130.00    84.500
   8140.00    84.330
   8150.00    83.965
   8160.00    83.675
   8170.00    83.800
   8180.00    83.125
   8190.00    83.060
   8200.00    82.810
   8210.00    82.615
   8220.00    82.435
   8230.00    81.890
   8240.00    82.095
   8250.00    81.705
   8260.00    81.205
   8270.00    81.185
   8280.00    81.005
   8290.00    80.910
   8300.00    80.985
   8310.00    80.615
   8320.00    80.765
   8330.00    80.765
   8340.00    80.475
   8350.00    80.270
   8360.00    80.235
   8370.00    80.490
   8380.00    80.215
   8390.00    80.125
   8400.00    80.490
   8410.00    80.565
   8420.00    81.025
   8430.00    80.745
   8440.00    81.345
   8450.00    81.015
   8460.00    81.355
   8470.00    81.545
   8480.00    81.730
   8490.00    82.175
   8500.00    82.000
   8510.00    82.665
   8520.00    82.705
   8530.00    83.300
   8540.00    83.360
   8550.00    83.050
   8560.00    83.610
   8570.00    84.090
   8580.00    83.840
   8590.00    84.830
