# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: WIYN HARRIS R                 "
# "DATE: ""12/ 6/94"   "TIME: ""16: 0:23"
# " CWL= "  6460.54A  "FWHM= " 1526.12A  "TMAX= "82.57 %
# "TCUTOFF= " 2.00 %  "SLITSIZE= "10 A
# 
# 
# 
# 
# "NPTS= " 901     "DISP= "10.00A/INTERVAL
   3000.00     -.010
   3010.00     -.010
   3020.00     -.005
   3030.00     -.010
   3040.00     -.005
   3050.00     -.010
   3060.00     -.005
   3070.00     -.005
   3080.00     -.005
   3090.00     -.010
   3100.00     -.010
   3110.00     -.010
   3120.00     -.010
   3130.00     -.010
   3140.00     -.010
   3150.00     -.005
   3160.00     -.010
   3170.00     -.005
   3180.00     -.025
   3190.00     -.035
   3200.00     -.005
   3210.00     -.005
   3220.00     -.010
   3230.00     -.010
   3240.00     -.010
   3250.00     -.005
   3260.00     -.005
   3270.00     -.005
   3280.00     -.005
   3290.00     -.005
   3300.00     -.010
   3310.00     -.010
   3320.00     -.005
   3330.00     -.005
   3340.00     -.010
   3350.00     -.005
   3360.00     -.005
   3370.00      .000
   3380.00     -.005
   3390.00     -.010
   3400.00     -.010
   3410.00     -.010
   3420.00     -.005
   3430.00     -.010
   3440.00     -.010
   3450.00     -.010
   3460.00     -.005
   3470.00     -.005
   3480.00     -.005
   3490.00     -.005
   3500.00     -.010
   3510.00     -.005
   3520.00     -.005
   3530.00     -.005
   3540.00     -.005
   3550.00     -.005
   3560.00     -.005
   3570.00     -.005
   3580.00     -.005
   3590.00     -.005
   3600.00     -.005
   3610.00     -.005
   3620.00     -.010
   3630.00     -.010
   3640.00     -.005
   3650.00     -.005
   3660.00     -.005
   3670.00     -.005
   3680.00     -.005
   3690.00     -.005
   3700.00     -.010
   3710.00     -.010
   3720.00     -.005
   3730.00      .000
   3740.00     -.005
   3750.00      .000
   3760.00     -.005
   3770.00     -.005
   3780.00     -.015
   3790.00     -.010
   3800.00     -.010
   3810.00     -.005
   3820.00     -.010
   3830.00     -.005
   3840.00      .000
   3850.00     -.005
   3860.00     -.005
   3870.00     -.005
   3880.00     -.005
   3890.00     -.010
   3900.00     -.005
   3910.00     -.010
   3920.00     -.005
   3930.00      .000
   3940.00     -.005
   3950.00     -.005
   3960.00     -.010
   3970.00     -.005
   3980.00     -.010
   3990.00     -.010
   4000.00     -.010
   4010.00     -.005
   4020.00     -.010
   4030.00     -.005
   4040.00     -.005
   4050.00     -.005
   4060.00     -.005
   4070.00     -.005
   4080.00     -.005
   4090.00     -.005
   4100.00     -.005
   4110.00     -.010
   4120.00     -.005
   4130.00     -.005
   4140.00     -.010
   4150.00     -.010
   4160.00     -.005
   4170.00     -.005
   4180.00     -.010
   4190.00     -.005
   4200.00     -.010
   4210.00     -.005
   4220.00     -.005
   4230.00     -.010
   4240.00     -.005
   4250.00     -.005
   4260.00     -.010
   4270.00     -.005
   4280.00     -.005
   4290.00     -.005
   4300.00     -.005
   4310.00     -.005
   4320.00     -.010
   4330.00     -.005
   4340.00     -.005
   4350.00     -.005
   4360.00     -.005
   4370.00     -.005
   4380.00     -.010
   4390.00      .000
   4400.00      .000
   4410.00     -.005
   4420.00     -.010
   4430.00     -.010
   4440.00     -.010
   4450.00     -.015
   4460.00     -.010
   4470.00     -.005
   4480.00      .000
   4490.00      .000
   4500.00     -.005
   4510.00     -.010
   4520.00     -.015
   4530.00     -.010
   4540.00     -.010
   4550.00     -.005
   4560.00     -.005
   4570.00     -.010
   4580.00      .000
   4590.00     -.005
   4600.00     -.005
   4610.00     -.010
   4620.00     -.010
   4630.00     -.010
   4640.00     -.010
   4650.00     -.010
   4660.00     -.010
   4670.00     -.010
   4680.00     -.010
   4690.00     -.005
   4700.00     -.005
   4710.00      .000
   4720.00     -.005
   4730.00     -.010
   4740.00     -.005
   4750.00     -.010
   4760.00     -.005
   4770.00     -.005
   4780.00     -.005
   4790.00     -.005
   4800.00     -.010
   4810.00     -.005
   4820.00     -.005
   4830.00     -.010
   4840.00     -.010
   4850.00     -.010
   4860.00     -.005
   4870.00     -.005
   4880.00     -.005
   4890.00     -.005
   4900.00     -.005
   4910.00     -.010
   4920.00     -.005
   4930.00     -.005
   4940.00     -.005
   4950.00     -.010
   4960.00     -.005
   4970.00     -.010
   4980.00      .000
   4990.00     -.005
   5000.00     -.005
   5010.00     -.005
   5020.00     -.005
   5030.00     -.005
   5040.00     -.005
   5050.00     -.005
   5060.00     -.005
   5070.00     -.010
   5080.00     -.010
   5090.00     -.005
   5100.00      .000
   5110.00     -.005
   5120.00     -.005
   5130.00     -.005
   5140.00     -.005
   5150.00     -.010
   5160.00      .000
   5170.00      .000
   5180.00      .000
   5190.00      .000
   5200.00     -.005
   5210.00     -.010
   5220.00     -.010
   5230.00     -.010
   5240.00     -.005
   5250.00     -.005
   5260.00     -.010
   5270.00     -.005
   5280.00     -.005
   5290.00     -.010
   5300.00     -.005
   5310.00     -.010
   5320.00     -.005
   5330.00     -.005
   5340.00     -.010
   5350.00     -.005
   5360.00     -.005
   5370.00     -.005
   5380.00     -.005
   5390.00     -.005
   5400.00      .000
   5410.00      .000
   5420.00      .005
   5430.00      .015
   5440.00      .045
   5450.00      .090
   5460.00      .180
   5470.00      .340
   5480.00      .605
   5490.00     1.045
   5500.00     1.710
   5510.00     2.695
   5520.00     4.035
   5530.00     5.785
   5540.00     8.030
   5550.00    10.715
   5560.00    13.825
   5570.00    17.320
   5580.00    21.080
   5590.00    25.130
   5600.00    29.290
   5610.00    33.395
   5620.00    37.430
   5630.00    41.470
   5640.00    45.280
   5650.00    48.930
   5660.00    52.275
   5670.00    55.395
   5680.00    58.285
   5690.00    60.945
   5700.00    63.340
   5710.00    65.570
   5720.00    67.560
   5730.00    69.395
   5740.00    71.030
   5750.00    72.415
   5760.00    73.750
   5770.00    74.915
   5780.00    75.950
   5790.00    76.855
   5800.00    77.675
   5810.00    78.455
   5820.00    79.030
   5830.00    79.635
   5840.00    80.095
   5850.00    80.475
   5860.00    80.945
   5870.00    81.230
   5880.00    81.555
   5890.00    81.785
   5900.00    81.955
   5910.00    82.135
   5920.00    82.270
   5930.00    82.370
   5940.00    82.465
   5950.00    82.485
   5960.00    82.450
   5970.00    82.565
   5980.00    82.490
   5990.00    82.490
   6000.00    82.415
   6010.00    82.370
   6020.00    82.310
   6030.00    82.200
   6040.00    82.035
   6050.00    81.995
   6060.00    81.910
   6070.00    81.765
   6080.00    81.580
   6090.00    81.415
   6100.00    81.295
   6110.00    81.100
   6120.00    80.900
   6130.00    80.660
   6140.00    80.495
   6150.00    80.285
   6160.00    80.065
   6170.00    79.865
   6180.00    79.595
   6190.00    79.345
   6200.00    79.120
   6210.00    78.895
   6220.00    78.620
   6230.00    78.340
   6240.00    78.120
   6250.00    77.805
   6260.00    77.545
   6270.00    77.215
   6280.00    76.935
   6290.00    76.560
   6300.00    76.350
   6310.00    76.035
   6320.00    75.780
   6330.00    75.405
   6340.00    75.085
   6350.00    74.825
   6360.00    74.525
   6370.00    74.165
   6380.00    73.755
   6390.00    73.525
   6400.00    73.135
   6410.00    72.830
   6420.00    72.555
   6430.00    72.125
   6440.00    71.805
   6450.00    71.485
   6460.00    71.155
   6470.00    70.720
   6480.00    70.345
   6490.00    70.075
   6500.00    69.725
   6510.00    69.335
   6520.00    68.985
   6530.00    68.630
