#  Table f606w_sys.tab  Mon 11:02:25 21-Aug-95
#      WAVELENGTH      THROUGHPUT
#       angstroms                
         4002.226     1.989491E-7
          4008.18     2.088414E-7
         4014.143     1.971134E-7
         4020.117     1.755224E-7
         4026.101     1.372381E-7
          4032.09     1.050282E-7
         4038.089     8.416780E-8
         4044.099     8.251511E-8
         4050.113     9.009678E-8
         4056.141     1.115669E-7
         4062.178     1.266782E-7
         4068.221     1.304949E-7
         4074.274     1.204998E-7
         4080.337     1.052555E-7
         4086.408     9.879392E-8
         4092.487     8.854645E-8
         4098.578     7.281949E-8
         4104.676     6.021100E-8
         4110.783     5.172546E-8
           4116.9     6.488068E-8
         4123.025     7.986490E-8
         4129.162     9.673370E-8
         4135.305     9.412041E-8
         4141.457     8.918988E-8
         4147.619     8.672512E-8
         4153.792     8.962863E-8
         4159.971     9.590515E-8
         4166.163     1.022187E-7
          4172.36     1.018147E-7
         4178.568     9.048419E-8
         4184.785     7.063974E-8
         4191.015     5.120061E-8
         4197.248     4.704503E-8
         4203.495     4.834727E-8
         4209.749     5.397064E-8
         4216.011     4.043121E-8
         4222.284     2.831861E-8
         4228.568     2.016720E-8
         4234.859     1.801714E-8
         4241.162     1.771532E-8
         4247.471     1.774108E-8
          4253.79     1.776688E-8
         4260.119     1.779270E-8
         4266.461     1.781817E-8
         4272.809     1.784366E-8
         4279.166     1.786919E-8
         4285.532     1.789441E-8
         4291.908     1.791961E-8
         4298.295     1.794482E-8
         4304.692     1.796979E-8
         4311.094     1.799469E-8
         4317.511     1.801962E-8
         4323.934     1.804456E-8
         4330.367     1.806952E-8
         4336.812     1.809449E-8
         4343.266     1.811931E-8
         4349.728     1.814397E-8
         4356.199     1.816830E-8
          4362.68     1.993962E-8
          4369.17     2.420363E-8
         4375.673     1.817549E-7
         4382.185     1.079128E-6
         4388.705     3.402688E-6
         4395.234     6.885597E-6
         4401.775     1.025885E-5
         4408.322     1.253846E-5
         4414.885     1.334119E-5
         4421.453     1.322288E-5
         4428.031     1.165240E-5
         4434.622     9.367757E-6
         4441.216     6.798321E-6
         4447.826     4.324895E-6
         4454.446     2.454902E-6
         4461.073     1.041367E-6
          4467.71     4.667489E-7
         4474.359     1.937931E-7
         4481.014     9.553688E-8
         4487.683     8.311093E-8
         4494.361     7.753804E-8
         4501.048     7.549904E-8
         4507.744     7.277167E-8
         4514.451     8.099521E-8
         4521.169     9.441423E-8
         4527.898     1.054241E-7
         4534.635     1.101449E-7
         4541.381     1.108182E-7
         4548.137     1.069301E-7
         4554.904     9.777879E-8
         4561.683     8.836237E-8
         4568.472     8.450930E-8
         4575.269     9.550114E-8
         4582.076     1.128188E-7
         4588.893     1.345514E-7
         4595.722     1.608146E-7
         4602.562     2.337874E-7
         4609.409     3.843066E-7
         4616.267     1.026011E-6
         4623.135     2.592046E-6
         4630.015     5.239635E-6
         4636.903     1.549558E-5
         4643.805     4.080108E-5
         4650.713     8.723785E-5
         4657.632     2.093810E-4
         4664.562     4.674386E-4
         4671.504     8.512506E-4
         4678.457     0.001429446
         4685.414     0.002580669
         4692.388     0.003910685
         4699.369     0.005257479
         4706.363     0.006622418
         4713.367     0.008004879
         4720.377     0.009483505
         4727.402       0.0122827
         4734.435      0.01489721
         4741.479      0.01742432
         4748.536      0.02003103
           4755.6      0.02289398
         4762.678      0.02610794
         4769.763       0.0297242
         4776.859      0.03371075
         4783.969      0.03805327
         4791.083      0.04258393
         4798.214      0.04705777
         4805.355      0.05117226
         4812.504      0.05474044
         4819.667      0.05756913
         4826.834      0.05963324
         4834.018      0.06097403
         4841.213      0.06172696
         4848.415        0.062101
         4855.628      0.06223889
         4862.853      0.06227868
         4870.087      0.06239853
         4877.335      0.06260108
         4884.594      0.06296105
