Transmission for IRAC band        3
 
Wavelength   Transmiss   Trans(P)    Trans(S)
----------   ---------   ---------   ---------
   4.3940    0.000072    0.000070    0.000070
   4.4070    0.000097    0.000131    0.000069
   4.4200    0.000103    0.000135    0.000076
   4.4330    0.000204    0.000300    0.000123
   4.4460    0.000169    0.000221    0.000123
   4.4590    0.000126    0.000185    0.000073
   4.4720    0.000129    0.000213    0.000053
   4.4840    0.000173    0.000205    0.000144
   4.4970    0.000189    0.000264    0.000118
   4.5100    0.000143    0.000110    0.000174
   4.5230    0.000172    0.000169    0.000174
   4.5360    0.000173    0.000064    0.000280
   4.5490    0.000210    0.000088    0.000330
   4.5620    0.000242    0.000109    0.000372
   4.5750    0.000319    0.000065    0.000569
   4.5880    0.000335    0.000080    0.000585
   4.6010    0.000310    0.000077    0.000538
   4.6140    0.000311    0.000134    0.000484
   4.6270    0.000222    0.000142    0.000299
   4.6390    0.000271    0.000296    0.000247
   4.6520    0.000337    0.000279    0.000393
   4.6650    0.000263    0.000185    0.000338
   4.6780    0.000242    0.000222    0.000261
   4.6910    0.000217    0.000182    0.000251
   4.7040    0.000180    0.000238    0.000124
   4.7170    0.000026    0.000029    0.000022
   4.7300    0.000161    0.000052    0.000267
   4.7430    0.000159    0.000114    0.000203
   4.7560    0.000091    0.000008    0.000173
   4.7690    0.000253    0.000152    0.000352
   4.7820    0.000303    0.000377    0.000229
   4.7940    0.000281    0.000316    0.000247
   4.8070    0.000208    0.000118    0.000298
   4.8200    0.000212    0.000192    0.000231
   4.8330    0.000153    0.000151    0.000156
   4.8460    0.000225    0.000142    0.000306
   4.8590    0.000362    0.000214    0.000507
   4.8720    0.000187    0.000128    0.000244
   4.8850    0.000246    0.000114    0.000377
   4.8980    0.000865    0.000119    0.001604
   4.9110    0.000137    0.000218    0.000057
   4.9240    0.001601    0.000535    0.002654
   4.9360    0.006612    0.001610    0.011550
   4.9490    0.019280    0.000786    0.037540
   4.9620    0.046840    0.003932    0.089170
   4.9750    0.083780    0.012880    0.153700
   4.9880    0.122200    0.031450    0.211500
   5.0010    0.158400    0.063180    0.252100
   5.0140    0.191000    0.111300    0.269300
   5.0270    0.216500    0.168100    0.263900
   5.0400    0.228100    0.209700    0.246100
   5.0530    0.224700    0.218400    0.230700
   5.0660    0.220000    0.210200    0.229500
   5.0790    0.226600    0.210600    0.242100
   5.0910    0.244400    0.228500    0.259900
   5.1040    0.263300    0.253000    0.273200
   5.1170    0.274400    0.272400    0.276200
   5.1300    0.277100    0.281500    0.272700
   5.1430    0.274200    0.280400    0.268100
   5.1560    0.269300    0.273700    0.264900
   5.1690    0.264500    0.265800    0.263100
   5.1820    0.260900    0.260400    0.261100
   5.1950    0.260000    0.258200    0.261700
   5.2080    0.264300    0.261300    0.267000
   5.2210    0.272800    0.269100    0.276100
   5.2340    0.281000    0.278000    0.283600
   5.2460    0.284800    0.283900    0.285500
   5.2590    0.282200    0.283000    0.281200
   5.2720    0.273700    0.274500    0.272700
   5.2850    0.261900    0.261400    0.262100
   5.2980    0.252200    0.250200    0.253900
   5.3110    0.249300    0.247200    0.251000
   5.3240    0.254800    0.253400    0.256000
   5.3370    0.265500    0.264700    0.266000
   5.3500    0.275200    0.275000    0.275100
   5.3630    0.279300    0.281100    0.277300
   5.3760    0.280200    0.284800    0.275600
   5.3890    0.279900    0.285700    0.274100
   5.4010    0.278400    0.282600    0.274100
   5.4140    0.276000    0.275100    0.276600
   5.4270    0.272900    0.266100    0.279400
   5.4400    0.269600    0.257100    0.281600
   5.4530    0.267100    0.249600    0.283900
   5.4660    0.265100    0.245400    0.284000
   5.4790    0.263300    0.246700    0.279300
   5.4920    0.261700    0.251700    0.271300
   5.5050    0.259900    0.254500    0.265100
   5.5180    0.257300    0.250800    0.263500
   5.5310    0.256500    0.244900    0.267600
   5.5440    0.259000    0.243400    0.274000
   5.5560    0.264900    0.249200    0.280200
   5.5690    0.269900    0.257200    0.282300
   5.5820    0.271800    0.260100    0.283100
   5.5950    0.269100    0.255500    0.282300
   5.6080    0.265900    0.247900    0.283400
   5.6210    0.262700    0.241800    0.283100
   5.6340    0.261600    0.240100    0.282600
   5.6470    0.262400    0.243200    0.281200
   5.6600    0.264700    0.249500    0.279700
   5.6730    0.268000    0.256000    0.279800
   5.6860    0.269000    0.259500    0.278400
   5.6980    0.267400    0.257700    0.276900
   5.7110    0.264800    0.252900    0.276600
   5.7240    0.262800    0.250100    0.275400
   5.7370    0.265000    0.252900    0.277100
   5.7500    0.269600    0.259300    0.279900
   5.7630    0.272000    0.262200    0.281800
   5.7760    0.269100    0.258100    0.280000
   5.7890    0.263900    0.249300    0.278300
   5.8020    0.260100    0.240800    0.279300
   5.8150    0.260100    0.237400    0.282800
   5.8280    0.262600    0.238300    0.286900
   5.8410    0.263900    0.240700    0.287100
   5.8530    0.264400    0.244300    0.284500
   5.8660    0.264400    0.248000    0.280800
   5.8790    0.265500    0.251000    0.280000
   5.8920    0.264700    0.251700    0.277600
   5.9050    0.263800    0.249300    0.278200
   5.9180    0.261400    0.244300    0.278500
   5.9310    0.258600    0.240000    0.277100
   5.9440    0.256700    0.240100    0.273300
   5.9570    0.256700    0.244100    0.269300
   5.9700    0.259900    0.250800    0.269000
   5.9830    0.261300    0.253100    0.269600
   5.9960    0.261300    0.251000    0.271600
   6.0080    0.257500    0.244300    0.270800
   6.0210    0.253200    0.237600    0.268700
   6.0340    0.249500    0.234400    0.264500
   6.0470    0.249800    0.236500    0.262900
   6.0600    0.249200    0.241400    0.256900
   6.0730    0.250700    0.247500    0.253800
   6.0860    0.248500    0.248700    0.248400
   6.0990    0.246000    0.245900    0.246100
   6.1120    0.242000    0.238500    0.245400
   6.1250    0.236800    0.229800    0.243800
   6.1380    0.232700    0.222100    0.243300
   6.1510    0.230600    0.218100    0.243000
