# lambda        U1          U2           U3           U4
#
  3329.0   0.01600770   0.00407083   0.02551241   0.00063908 
  3334.3   0.01688680   0.00499093   0.02739177   0.00089361 
  3339.5   0.01862230   0.00576532   0.02763783   0.00128861 
  3344.8   0.01819130   0.00660368   0.03006235   0.00158384 
  3350.1   0.02225560   0.00798193   0.03243013   0.00165327 
  3355.4   0.02425480   0.00967926   0.03319191   0.00219542 
  3360.6   0.02592140   0.01104793   0.03448568   0.00270709 
  3365.9   0.02772230   0.01270819   0.03678770   0.00323233 
  3371.2   0.02939540   0.01415233   0.03879991   0.00387229 
  3376.5   0.03094220   0.01543487   0.04070382   0.00485716 
  3381.7   0.03491450   0.01741314   0.04251798   0.00578588 
  3387.0   0.03515150   0.01965391   0.04409464   0.00700385 
  3392.3   0.03646890   0.02125417   0.04562379   0.00817121 
  3397.5   0.03836640   0.02252588   0.04707129   0.00933254 
  3402.8   0.04079530   0.02363098   0.04829711   0.01088547 
  3408.1   0.04336910   0.02677129   0.04950180   0.01187769 
  3413.4   0.04615780   0.02978281   0.05065017   0.01339662 
  3418.6   0.04884210   0.03125031   0.05160231   0.01474812 
  3423.9   0.05145960   0.03385067   0.05256428   0.01662200 
  3429.2   0.05408940   0.03666380   0.05349719   0.01813418 
  3434.4   0.05646250   0.03985892   0.05426152   0.01977577 
  3439.7   0.05881960   0.04318262   0.05505948   0.02150696 
  3445.0   0.06090460   0.04657973   0.05585119   0.02507153 
  3450.3   0.06285530   0.04998981   0.05649622   0.02890604 
  3455.5   0.06482420   0.05325058   0.05719714   0.02960237 
  3460.8   0.06655910   0.05650614   0.05788965   0.03191120 
  3466.1   0.06835600   0.05964362   0.05852437   0.03453940 
  3471.3   0.06995880   0.06254939   0.05919865   0.03760629 
  3476.6   0.07152730   0.06541121   0.05974266   0.04078692 
  3481.9   0.07322420   0.06812825   0.06035249   0.04410397 
  3487.2   0.07478260   0.07060091   0.06098184   0.04743939 
  3492.4   0.07650480   0.07303695   0.06149090   0.05062314 
  3497.7   0.07811450   0.07535631   0.06206455   0.05376570 
