ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
4-0.0            522.0  125.0 36:48.542 12:48.53 >29.52 >29.52    ...    ...  >2.35  11.99   0.09  0.13   0.65   26         BS
4-1.0           1152.0  124.0 36:49.944 12:25.43 >29.16 >29.16   0.65 <-2.76  >3.70  45.19   0.23  0.14   0.62  160         BS
4-2.0            337.0  132.0 36:48.095 12:55.21  29.79  29.12    ...  >0.50   0.59   5.98   0.05  0.09   0.42   42         BS
4-3.0            392.0  137.0 36:48.191 12:53.11  28.79  29.32    ...  >0.29   0.53   5.36   0.05  0.10   0.80   17         BS
4-5.0            917.0  147.0 36:49.302 12:33.70  28.98  29.16 >-0.14  -0.17  -0.08   5.35   0.06  0.08   0.62   69         BS
4-6.0           1950.0  136.0 36:51.650 11:55.97 >29.10 >29.10    ...    ...  >1.36   9.42   0.23  0.30   0.45  112         BS
4-7.0            243.0  150.0 36:47.792 12:58.38  28.07  28.11 >-0.09   0.43   0.39   9.88   0.12  0.11   0.68   35         BS
4-8.0            567.0  155.0 36:48.484 12:46.41  27.43  27.57  >0.50   0.12  -0.34  11.94   0.17  0.15   0.55  175         BS
4-9.0           1975.0  153.0 36:51.616 11:54.79 >29.34 >29.34  -0.24 <-1.16  >1.49   8.91   0.20  0.20   0.53  147         BS
4-10.0           351.0  157.0 36:47.995 12:54.31  28.73  28.91 >-0.47   0.40  -0.35   6.58   0.06  0.07   0.70   73         BS
4-11.0           217.0  153.0 36:47.719 12:59.29  27.74  28.42   0.18  -0.44   0.39   9.17   0.15  0.16   0.64   82         BS
4-12.0          1169.0  154.0 36:49.824 12:24.34  27.43  27.56   0.64   0.06  -0.04  12.76   0.20  0.14   0.57   75         BS
4-13.0          1950.0  161.0 36:51.519 11:55.58  29.18  30.03    ... >-0.22  <0.39   2.29   0.05  0.18   0.20  155          S
4-14.0          1901.0  161.0 36:51.410 11:57.38  29.09  29.52    ...  >0.10   0.40   4.65   0.06  0.12   0.60   43         BS
4-15.0          1573.0  163.0 36:50.673 12:09.38  29.18  29.66    ...  >0.28  -0.03   4.55   0.05  0.15   0.54  179          S
4-16.0          1819.0  166.0 36:51.202 12:00.31 >30.62 >30.62    ...    ...  >1.38   4.24   0.04  0.13   0.21  147          S
4-18.0          1945.0  165.0 36:51.486 11:55.70  28.90  29.45    ...  >0.04   0.52   4.00   0.08  0.12   0.61  138          S
4-19.0           478.0  148.0 36:48.324 12:49.79  22.77  22.93  >2.40   1.38   2.05 526.47   2.30  0.16   0.92   31         BS
4-20.0           986.0  166.0 36:49.356 12:30.87  28.41  28.62 >-0.38   0.39   0.61   9.15   0.14  0.14   0.57   31          S
4-23.0          1935.0  170.0 36:51.438 11:55.99  28.26  28.69    ...  >0.51   0.40   5.75   0.18  0.26   0.26  147          S
4-25.0          1620.0  172.0 36:50.730 12:07.52  28.62  28.83    ...  >0.77   0.44   8.53   0.11  0.11   0.64   86          S
4-26.0           860.0  176.0 36:49.024 12:35.34  29.62  30.48    ... >-0.18   0.61   3.31   0.04  0.11   0.22   38          S
4-27.0          2030.0  177.0 36:51.612 11:52.39  28.75  29.44 >-0.42  -0.07   1.03   5.72   0.05  0.12   0.26  162         BS
4-28.0           452.0  172.0 36:48.140 12:50.37  28.91  29.35    ...  >0.32   1.16   6.97   0.12  0.18   0.27   98          S
4-29.0           231.0  182.0 36:47.597 12:58.32  29.18  29.54    ...  >0.62  -0.01   6.19   0.05  0.08   0.72  122          S
4-30.0           569.0  181.0 36:48.352 12:45.94  28.71  28.93    ...  >0.68   1.36  11.25   0.14  0.11   0.83   80          S
4-31.0          1154.0  179.0 36:49.660 12:24.51  27.20  27.32  >0.89   0.12   0.03  18.20   0.30  0.20   0.49  152          S
4-32.0          1896.0  180.0 36:51.299 11:57.27  29.47  29.64 >-0.11  -0.61   0.65   4.62   0.09  0.13   0.56  180          S
4-33.0          1363.0  172.0 36:50.160 12:16.95  24.01  24.04   1.26   1.15   1.55 148.87   3.06  0.48   0.35  159         BS
4-34.0          1065.0  180.0 36:49.457 12:27.76  28.24  28.49 >-0.67   0.66   0.38   8.28   0.23  0.20   0.48   95          S
4-37.0           157.0  185.0 36:47.417 13:00.99  26.61  26.77  >0.09   0.69   0.06  17.05   0.48  0.33   0.25  102         BS
4-38.0          1704.0  189.0 36:50.826 12:04.17  28.57  28.79 >-0.38   0.32   0.36   8.09   0.15  0.20   0.40   26          S
4-40.0           545.0  191.0 36:48.246 12:46.66  28.07  28.14  >0.45   0.42  -0.10  16.26   0.10  0.09   0.88   43          S
4-42.0          1986.0  191.0 36:51.441 11:53.79  26.55  26.75  >0.68   0.32   0.30  13.00   0.45  0.60   0.16  103          B
4-42.1          1986.0  191.0 36:51.441 11:53.79  26.91  27.39  >0.94   0.14   0.10  13.15   0.15  0.16   0.33   76          S
4-42.2          2000.0  171.0 36:51.577 11:53.59  27.91  28.39    ...  >1.15   0.49   8.24   0.09  0.19   0.27  137         BS
4-45.0          1947.0  196.0 36:51.328 11:55.15  29.33  29.64    ...  >0.26   0.40   3.75   0.08  0.17   0.42  151          S
4-47.0          1095.0  200.0 36:49.419 12:26.34  29.39  30.24    ...  >0.10   0.56   4.13   0.05  0.08   0.58  146          S
4-48.0          1933.0  201.0 36:51.271 11:55.58  29.53  30.15    ... >-0.08   0.58   3.10   0.06  0.16   0.30  179          S
4-50.0          1372.0  200.0 36:50.033 12:16.18  27.87  27.92  >1.00   0.06  -0.18  16.15   0.15  0.12   0.71  154          S
4-51.0          1845.0  199.0 36:51.086 11:58.84  26.88  27.06  >0.14   1.08   0.16  21.57   0.36  0.20   0.62  167          S
4-52.0           298.0  187.0 36:47.720 12:55.79  24.37  24.51  >1.36   0.73   0.45  59.51   2.73  0.74   0.29  107          B
