# FLAMINGOS BARR J-Band Filter MAN-240A	
# Filter Measured at Room Temperature	
# Peak Transmission (%)         82.72E+00
# Cut-on Wavelength (nm)        1172.00
# Cut-off Wavelength (nm)       1326.00
# Wavelength (nm)             Transmission (%)
    1600.00                        49.67E-04
    1599.50                        38.30E-04
    1599.00                        51.61E-04
    1598.50                        55.88E-04
    1598.00                        51.97E-04
    1597.50                        52.76E-04
    1597.00                        52.62E-04
    1596.50                        51.63E-04
    1596.00                        55.61E-04
    1595.50                        48.79E-04
    1595.00                        48.53E-04
    1594.50                        52.50E-04
    1594.00                        44.32E-04
    1593.50                        44.52E-04
    1593.00                        57.59E-04
    1592.50                        53.61E-04
    1592.00                        48.29E-04
    1591.50                        52.48E-04
    1591.00                        51.24E-04
    1590.50                        54.60E-04
    1590.00                        46.28E-04
    1589.50                        46.34E-04
    1589.00                        41.91E-04
    1588.50                        46.56E-04
    1588.00                        52.02E-04
    1587.50                        53.66E-04
    1587.00                        49.90E-04
    1586.50                        50.52E-04
    1586.00                        53.61E-04
    1585.50                        51.95E-04
    1585.00                        49.84E-04
    1584.50                        50.33E-04
    1584.00                        48.13E-04
    1583.50                        52.95E-04
    1583.00                        54.74E-04
    1582.50                        43.45E-04
    1582.00                        51.31E-04
    1581.50                        52.16E-04
    1581.00                        51.22E-04
    1580.50                        50.09E-04
    1580.00                        42.90E-04
    1579.50                        54.53E-04
    1579.00                        55.39E-04
    1578.50                        51.31E-04
    1578.00                        47.12E-04
    1577.50                        41.01E-04
    1577.00                        47.45E-04
    1576.50                        53.26E-04
    1576.00                        51.18E-04
    1575.50                        49.30E-04
    1575.00                        46.06E-04
    1574.50                        47.44E-04
    1574.00                        44.07E-04
    1573.50                        42.97E-04
    1573.00                        50.38E-04
    1572.50                        52.27E-04
    1572.00                        51.27E-04
    1571.50                        46.23E-04
    1571.00                        52.04E-04
    1570.50                        48.48E-04
    1570.00                        52.97E-04
    1569.50                        43.19E-04
    1569.00                        49.27E-04
    1568.50                        52.31E-04
    1568.00                        53.41E-04
    1567.50                        51.83E-04
    1567.00                        47.72E-04
    1566.50                        44.18E-04
    1566.00                        53.28E-04
    1565.50                        53.17E-04
    1565.00                        51.10E-04
    1564.50                        53.54E-04
    1564.00                        52.53E-04
    1563.50                        48.91E-04
    1563.00                        54.01E-04
    1562.50                        56.69E-04
    1562.00                        55.25E-04
    1561.50                        45.24E-04
    1561.00                        49.27E-04
    1560.50                        42.08E-04
    1560.00                        47.18E-04
    1559.50                        48.30E-04
    1559.00                        51.33E-04
    1558.50                        46.23E-04
    1558.00                        54.53E-04
    1557.50                        45.33E-04
    1557.00                        48.39E-04
    1556.50                        45.25E-04
    1556.00                        49.27E-04
    1555.50                        46.32E-04
    1555.00                        52.77E-04
    1554.50                        49.90E-04
    1554.00                        51.57E-04
    1553.50                        50.34E-04
    1553.00                        52.47E-04
    1552.50                        42.39E-04
    1552.00                        52.56E-04
    1551.50                        52.43E-04
    1551.00                        50.63E-04
    1550.50                        57.80E-04
    1550.00                        49.59E-04
    1549.50                        47.51E-04
    1549.00                        52.37E-04
    1548.50                        53.81E-04
    1548.00                        59.40E-04
    1547.50                        56.81E-04
    1547.00                        51.30E-04
    1546.50                        51.48E-04
    1546.00                        55.67E-04
    1545.50                        54.74E-04
    1545.00                        54.80E-04
    1544.50                        50.70E-04
    1544.00                        50.07E-04
    1543.50                        56.98E-04
    1543.00                        49.50E-04
    1542.50                        61.74E-04
    1542.00                        52.46E-04
    1541.50                        51.43E-04
    1541.00                        52.74E-04
    1540.50                        49.25E-04
    1540.00                        51.36E-04
    1539.50                        51.83E-04
    1539.00                        50.41E-04
    1538.50                        47.80E-04
    1538.00                        47.24E-04
    1537.50                        48.66E-04
    1537.00                        52.75E-04
    1536.50                        51.77E-04
    1536.00                        47.64E-04
    1535.50                        45.56E-04
    1535.00                        52.89E-04
    1534.50                        56.88E-04
    1534.00                        55.69E-04
    1533.50                        51.87E-04
    1533.00                        52.76E-04
    1532.50                        48.79E-04
    1532.00                        53.91E-04
    1531.50                        49.71E-04
    1531.00                        52.84E-04
    1530.50                        51.02E-04
    1530.00                        46.53E-04
    1529.50                        46.78E-04
    1529.00                        56.69E-04
    1528.50                        49.66E-04
    1528.00                        53.07E-04
    1527.50                        41.41E-04
    1527.00                        51.25E-04
    1526.50                        50.48E-04
    1526.00                        53.43E-04
    1525.50                        50.90E-04
    1525.00                        46.53E-04
    1524.50                        57.75E-04
    1524.00                        53.41E-04
    1523.50                        49.59E-04
    1523.00                        52.25E-04
    1522.50                        48.16E-04
    1522.00                        54.16E-04
    1521.50                        51.47E-04
    1521.00                        48.63E-04
    1520.50                        49.40E-04
    1520.00                        49.42E-04
    1519.50                        50.79E-04
    1519.00                        56.13E-04
    1518.50                        51.31E-04
    1518.00                        46.10E-04
    1517.50                        57.35E-04
    1517.00                        50.44E-04
    1516.50                        50.91E-04
    1516.00                        57.11E-04
    1515.50                        49.70E-04
    1515.00                        56.97E-04
    1514.50                        52.87E-04
    1514.00                        51.75E-04
    1513.50                        41.65E-04
    1513.00                        54.94E-04
    1512.50                        53.86E-04
    1512.00                        54.83E-04
    1511.50                        62.26E-04
    1511.00                        55.93E-04
    1510.50                        52.75E-04
    1510.00                        52.07E-04
    1509.50                        53.89E-04
    1509.00                        52.68E-04
    1508.50                        54.96E-04
    1508.00                        54.80E-04
    1507.50                        51.65E-04
    1507.00                        54.89E-04
    1506.50                        52.96E-04
    1506.00                        49.58E-04
    1505.50                        49.78E-04
    1505.00                        55.54E-04
    1504.50                        54.90E-04
    1504.00                        54.55E-04
    1503.50                        52.69E-04
    1503.00                        46.37E-04
    1502.50                        47.77E-04
    1502.00                        51.38E-04
    1501.50                        45.74E-04
    1501.00                        47.00E-04
    1500.50                        46.81E-04
    1500.00                        46.72E-04
    1499.50                        49.04E-04
    1499.00                        47.01E-04
    1498.50                        51.93E-04
    1498.00                        45.96E-04
    1497.50                        45.06E-04
    1497.00                        44.94E-04
    1496.50                        46.87E-04
    1496.00                        44.84E-04
    1495.50                        44.82E-04
    1495.00                        42.28E-04
    1494.50                        41.54E-04
    1494.00                        41.25E-04
    1493.50                        42.76E-04
    1493.00                        48.32E-04
    1492.50                        43.41E-04
    1492.00                        44.53E-04
    1491.50                        40.88E-04
    1491.00                        41.52E-04
    1490.50                        44.91E-04
    1490.00                        42.05E-04
    1489.50                        41.38E-04
    1489.00                        42.15E-04
    1488.50                        39.24E-04
    1488.00                        42.39E-04
    1487.50                        49.64E-04
    1487.00                        44.32E-04
    1486.50                        47.53E-04
    1486.00                        43.47E-04
    1485.50                        48.55E-04
    1485.00                        47.49E-04
    1484.50                        45.45E-04
    1484.00                        49.87E-04
    1483.50                        46.37E-04
    1483.00                        48.46E-04
    1482.50                        50.46E-04
    1482.00                        50.54E-04
    1481.50                        53.90E-04
    1481.00                        52.26E-04
    1480.50                        45.15E-04
    1480.00                        55.15E-04
    1479.50                        51.35E-04
    1479.00                        48.51E-04
    1478.50                        41.27E-04
    1478.00                        51.35E-04
    1477.50                        51.96E-04
    1477.00                        47.78E-04
    1476.50                        45.13E-04
    1476.00                        48.15E-04
    1475.50                        50.61E-04
    1475.00                        48.42E-04
    1474.50                        50.54E-04
    1474.00                        49.43E-04
    1473.50                        43.18E-04
    1473.00                        46.25E-04
    1472.50                        48.70E-04
    1472.00                        45.50E-04
    1471.50                        43.28E-04
    1471.00                        44.00E-04
    1470.50                        48.05E-04
    1470.00                        48.36E-04
    1469.50                        44.23E-04
    1469.00                        46.76E-04
    1468.50                        47.35E-04
    1468.00                        41.96E-04
    1467.50                        47.62E-04
    1467.00                        49.71E-04
    1466.50                        45.18E-04
    1466.00                        36.93E-04
    1465.50                        46.43E-04
    1465.00                        42.61E-04
    1464.50                        46.19E-04
    1464.00                        38.70E-04
    1463.50                        37.42E-04
    1463.00                        36.09E-04
    1462.50                        40.41E-04
    1462.00                        46.25E-04
    1461.50                        49.71E-04
    1461.00                        44.49E-04
    1460.50                        44.53E-04
    1460.00                        43.64E-04
    1459.50                        49.60E-04
    1459.00                        44.34E-04
    1458.50                        49.63E-04
    1458.00                        48.65E-04
    1457.50                        47.90E-04
    1457.00                        45.42E-04
    1456.50                        43.39E-04
    1456.00                        43.64E-04
    1455.50                        43.57E-04
    1455.00                        43.78E-04
    1454.50                        44.60E-04
    1454.00                        51.46E-04
    1453.50                        49.69E-04
    1453.00                        50.93E-04
    1452.50                        43.57E-04
    1452.00                        51.58E-04
    1451.50                        54.33E-04
    1451.00                        52.84E-04
    1450.50                        48.91E-04
    1450.00                        54.42E-04
    1449.50                        49.83E-04
    1449.00                        49.48E-04
    1448.50                        54.34E-04
    1448.00                        47.80E-04
    1447.50                        55.80E-04
    1447.00                        55.19E-04
    1446.50                        46.54E-04
    1446.00                        54.13E-04
    1445.50                        49.07E-04
    1445.00                        57.52E-04
    1444.50                        52.70E-04
    1444.00                        61.34E-04
    1443.50                        58.35E-04
    1443.00                        54.96E-04
    1442.50                        54.69E-04
    1442.00                        54.32E-04
    1441.50                        55.11E-04
    1441.00                        53.24E-04
    1440.50                        53.07E-04
    1440.00                        50.28E-04
    1439.50                        53.77E-04
    1439.00                        53.50E-04
    1438.50                        47.67E-04
    1438.00                        53.53E-04
    1437.50                        49.61E-04
    1437.00                        58.24E-04
    1436.50                        54.41E-04
    1436.00                        51.55E-04
    1435.50                        43.94E-04
    1435.00                        53.53E-04
    1434.50                        53.11E-04
    1434.00                        53.06E-04
    1433.50                        51.35E-04
    1433.00                        50.55E-04
    1432.50                        52.30E-04
    1432.00                        53.32E-04
    1431.50                        46.96E-04
    1431.00                        56.36E-04
    1430.50                        52.98E-04
    1430.00                        46.89E-04
    1429.50                        54.42E-04
    1429.00                        52.70E-04
    1428.50                        51.15E-04
    1428.00                        51.87E-04
    1427.50                        50.79E-04
    1427.00                        43.49E-04
    1426.50                        49.45E-04
    1426.00                        50.43E-04
    1425.50                        53.14E-04
    1425.00                        53.06E-04
    1424.50                        39.37E-04
    1424.00                        44.54E-04
    1423.50                        55.23E-04
    1423.00                        53.79E-04
    1422.50                        53.23E-04
    1422.00                        53.52E-04
    1421.50                        46.55E-04
    1421.00                        55.50E-04
    1420.50                        52.03E-04
    1420.00                        51.30E-04
    1419.50                        53.89E-04
    1419.00                        59.81E-04
    1418.50                        52.34E-04
    1418.00                        52.19E-04
    1417.50                        52.03E-04
    1417.00                        51.97E-04
    1416.50                        48.42E-04
    1416.00                        52.56E-04
    1415.50                        53.11E-04
    1415.00                        58.54E-04
    1414.50                        54.23E-04
    1414.00                        54.31E-04
    1413.50                        54.24E-04
    1413.00                        55.16E-04
    1412.50                        53.78E-04
    1412.00                        49.55E-04
    1411.50                        60.72E-04
    1411.00                        51.16E-04
    1410.50                        45.77E-04
    1410.00                        56.15E-04
    1409.50                        57.35E-04
    1409.00                        60.79E-04
    1408.50                        54.49E-04
    1408.00                        54.46E-04
    1407.50                        58.49E-04
    1407.00                        57.03E-04
    1406.50                        56.36E-04
    1406.00                        52.25E-04
    1405.50                        53.03E-04
    1405.00                        51.45E-04
    1404.50                        57.97E-04
    1404.00                        47.68E-04
    1403.50                        56.28E-04
    1403.00                        56.99E-04
    1402.50                        53.10E-04
    1402.00                        53.52E-04
    1401.50                        59.63E-04
    1401.00                        58.20E-04
    1400.50                        56.89E-04
    1400.00                        60.56E-04
    1399.50                        57.26E-04
    1399.00                        60.95E-04
    1398.50                        61.85E-04
    1398.00                        58.36E-04
    1397.50                        58.51E-04
    1397.00                        55.46E-04
    1396.50                        48.13E-04
    1396.00                        61.67E-04
    1395.50                        55.74E-04
    1395.00                        64.09E-04
    1394.50                        61.42E-04
    1394.00                        52.32E-04
    1393.50                        63.76E-04
