Wavelength     Transmission     Atm. Trans      Tot. Trans.
(micron)       (fractional)     (fractional)    (fractional)
      44.5000   0.00557339     0.902486   0.00502990
      44.5600   0.00606192     0.894958   0.00542516
      44.6200   0.00672860     0.821183   0.00552542
      44.6800   0.00745039     0.114780  0.000855154
      44.7400   0.00824107     0.506980   0.00417805
      44.8000   0.00910328     0.846050   0.00770183
      44.8600   0.00999764     0.873449   0.00873243
      44.9200    0.0108600     0.838134   0.00910214
      44.9800    0.0117641     0.718866   0.00845683
      45.0400    0.0129199     0.345855   0.00446842
      45.1000    0.0138131      0.00000      0.00000
      45.1600    0.0147919     0.105170   0.00155566
      45.2200    0.0156446     0.626811   0.00980617
      45.2800    0.0166466     0.821803    0.0136803
      45.3400    0.0180036     0.896142    0.0161338
      45.4000    0.0192654     0.931581    0.0179473
      45.4600    0.0205360     0.951018    0.0195301
      45.5200    0.0215918     0.962951    0.0207919
      45.5800    0.0229752     0.970637    0.0223005
      45.6400    0.0236206     0.975991    0.0230535
      45.7000    0.0252005     0.979679    0.0246884
      45.7600    0.0262698     0.982305    0.0258049
      45.8200    0.0275725     0.984184    0.0271364
      45.8800    0.0288388     0.985402    0.0284178
      45.9400    0.0302174     0.985534    0.0297803
      46.0000    0.0315827     0.986627    0.0311603
      46.0600    0.0326617     0.986251    0.0322127
      46.1200    0.0341815     0.982066    0.0335685
      46.1800    0.0355756     0.984704    0.0350315
      46.2400    0.0375408     0.982077    0.0368680
      46.3000    0.0388444     0.977175    0.0379578
      46.3600    0.0404030     0.968104    0.0391143
      46.4200    0.0424031     0.931604    0.0395029
      46.4800    0.0439513   0.00144190  6.33732e-05
      46.5400    0.0460499   0.00492779  0.000226924
      46.6000    0.0472887     0.107564   0.00508657
      46.6600    0.0502665     0.809188    0.0406750
      46.7200    0.0523554     0.228218    0.0119484
      46.7800    0.0545847     0.394171    0.0215157
      46.8400    0.0572837     0.841960    0.0482306
      46.9000    0.0594043     0.930463    0.0552735
      46.9600    0.0625236     0.931598    0.0582468
      47.0200    0.0646605     0.384702    0.0248750
      47.0800    0.0675945     0.873649    0.0590538
      47.1400    0.0698894     0.944071    0.0659805
      47.2000    0.0732581     0.954468    0.0699226
      47.2600    0.0778994     0.943329    0.0734848
      47.3200    0.0801813     0.939871    0.0753601
      47.3800    0.0851273     0.870407    0.0740953
      47.4400    0.0889670     0.689309    0.0613257
      47.5000    0.0927641     0.903661    0.0838273
      47.5600    0.0984013     0.895366    0.0881052
      47.6200     0.102414     0.866893    0.0887822
      47.6800     0.107231     0.817769    0.0876899
      47.7400     0.111661     0.732173    0.0817550
      47.8000     0.116645     0.572426    0.0667704
      47.8600     0.122845     0.273088    0.0335476
      47.9200     0.127716   0.00267650  0.000341831
      47.9800     0.134852      0.00000      0.00000
      48.0400     0.141580    0.0283050   0.00400742
      48.1000     0.148514     0.357147    0.0530414
      48.1600     0.155934     0.603923    0.0941721
      48.2200     0.163132     0.737122     0.120248
      48.2800     0.171583     0.279423    0.0479443
      48.3400     0.178580     0.843671     0.150663
