LRIS V FILTER, printed from ~mhc/keck/filters/filter_v.spc  
by mhc 9/8/97.  


Column     Wavelength      Value
  
  
       1     3700.0000       0.00000000E+00
       2     3702.4900       0.00000000E+00
       3     3704.9800       0.00000000E+00
       4     3707.4700       0.00000000E+00
       5     3709.9600       0.00000000E+00
       6     3712.4500       0.00000000E+00
       7     3714.9399       0.00000000E+00
       8     3717.4299       0.00000000E+00
       9     3719.9199       0.00000000E+00
      10     3722.4099       0.00000000E+00
      11     3724.8999       0.00000000E+00
      12     3727.3899       0.00000000E+00
      13     3729.8799       0.00000000E+00
      14     3732.3701       0.00000000E+00
      15     3734.8601       0.00000000E+00
      16     3737.3501       0.00000000E+00
      17     3739.8401       0.00000000E+00
      18     3742.3301       0.00000000E+00
      19     3744.8201       0.00000000E+00
      20     3747.3101       0.00000000E+00
      21     3749.8000       0.00000000E+00
      22     3752.2900       0.00000000E+00
      23     3754.7800       0.00000000E+00
      24     3757.2700       0.00000000E+00
      25     3759.7600       0.00000000E+00
      26     3762.2500       0.00000000E+00
      27     3764.7400       0.00000000E+00
      28     3767.2300       0.00000000E+00
      29     3769.7200       0.00000000E+00
      30     3772.2100       0.00000000E+00
      31     3774.7000       0.00000000E+00
      32     3777.1899       0.00000000E+00
      33     3779.6799       0.00000000E+00
      34     3782.1699       0.00000000E+00
      35     3784.6599       0.00000000E+00
      36     3787.1499       0.00000000E+00
      37     3789.6399       0.00000000E+00
      38     3792.1299       0.00000000E+00
      39     3794.6201       0.00000000E+00
      40     3797.1101       0.00000000E+00
      41     3799.6001       0.00000000E+00
      42     3802.0901       0.00000000E+00
      43     3804.5801       0.00000000E+00
      44     3807.0701       0.00000000E+00
      45     3809.5601       0.00000000E+00
      46     3812.0500       0.00000000E+00
      47     3814.5400       0.00000000E+00
      48     3817.0300       0.00000000E+00
      49     3819.5200       0.00000000E+00
      50     3822.0100       0.00000000E+00
      51     3824.5000       0.00000000E+00
      52     3826.9900       0.00000000E+00
      53     3829.4800       0.00000000E+00
      54     3831.9700       0.00000000E+00
      55     3834.4600       0.00000000E+00
      56     3836.9500       0.00000000E+00
      57     3839.4399       0.00000000E+00
      58     3841.9299       0.00000000E+00
      59     3844.4199       0.00000000E+00
      60     3846.9099       0.00000000E+00
      61     3849.3999       0.00000000E+00
      62     3851.8899       0.00000000E+00
      63     3854.3799       0.00000000E+00
      64     3856.8701       0.00000000E+00
      65     3859.3601       0.00000000E+00
      66     3861.8501       0.00000000E+00
      67     3864.3401       0.00000000E+00
      68     3866.8301       0.00000000E+00
      69     3869.3201       0.00000000E+00
      70     3871.8101       0.00000000E+00
      71     3874.3000       0.00000000E+00
      72     3876.7900       0.00000000E+00
      73     3879.2800       0.00000000E+00
      74     3881.7700       0.00000000E+00
      75     3884.2600       0.00000000E+00
      76     3886.7500       0.00000000E+00
      77     3889.2400       0.00000000E+00
      78     3891.7300       0.00000000E+00
      79     3894.2200       0.00000000E+00
      80     3896.7100       0.00000000E+00
      81     3899.2000       0.00000000E+00
      82     3901.6899       0.00000000E+00
      83     3904.1799       0.00000000E+00
      84     3906.6699       0.00000000E+00
      85     3909.1599       0.00000000E+00
      86     3911.6499       0.00000000E+00
