         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 5.000E-01 1.000E+05 2.500E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.497E+00 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
1.270E+00  3.069E-26  1.034E-18 COBE-DIRBE
2.220E+00  7.116E-26  4.191E-18 COBE-DIRBE
3.530E+00  2.479E-25  2.321E-17 COBE-DIRBE
4.880E+00  1.138E-25  1.473E-17 COBE-DIRBE
1.229E+01  6.339E-25  2.067E-16 COBE-DIRBE
2.079E+01  5.020E-25  2.768E-16 COBE-DIRBE
5.599E+01  1.596E-24  2.371E-15 COBE-DIRBE
9.770E+01  3.375E-24  8.746E-15 COBE-DIRBE
1.479E+02  3.333E-24  1.308E-14 COBE-DIRBE
2.479E+02  1.396E-24  9.176E-15 COBE-DIRBE
1.200E+01  8.143E-25  2.592E-16 IRAS
2.500E+01  5.316E-25  3.525E-16 IRAS
6.000E+01  1.777E-24  2.829E-15 IRAS
1.000E+02  3.436E-24  9.114E-15 IRAS
3.548E+00  2.828E-25  2.662E-17 SST-IRAC
4.492E+00  9.701E-26  1.156E-17 SST-IRAC
5.661E+00  8.869E-25  1.332E-16 SST-IRAC
7.870E+00  1.827E-24  3.815E-16 SST-IRAC
2.400E+01  5.908E-25  3.761E-16 SST-MIPS
7.000E+01  2.325E-24  4.317E-15 SST-MIPS
1.600E+02  2.845E-24  1.208E-14 SST-MIPS

lambda     nu*dP/dnu      j_nu
  (um)   (erg s-1 H-1)  (Jy sr-1)
 1.000E+04  5.232E-31  1.388E-42
 9.908E+03  5.424E-31  1.425E-42
 9.817E+03  5.622E-31  1.464E-42
 9.727E+03  5.828E-31  1.504E-42
 9.638E+03  6.042E-31  1.545E-42
 9.550E+03  6.264E-31  1.587E-42
 9.462E+03  6.494E-31  1.630E-42
 9.376E+03  6.733E-31  1.675E-42
 9.290E+03  6.981E-31  1.720E-42
 9.204E+03  7.238E-31  1.767E-42
 9.120E+03  7.505E-31  1.816E-42
 9.036E+03  7.781E-31  1.865E-42
 8.954E+03  8.069E-31  1.916E-42
 8.872E+03  8.367E-31  1.969E-42
 8.790E+03  8.676E-31  2.023E-42
 8.710E+03  8.996E-31  2.078E-42
 8.630E+03  9.329E-31  2.136E-42
 8.551E+03  9.675E-31  2.194E-42
 8.472E+03  1.003E-30  2.255E-42
 8.395E+03  1.041E-30  2.317E-42
 8.318E+03  1.079E-30  2.381E-42
 8.241E+03  1.119E-30  2.447E-42
 8.166E+03  1.161E-30  2.514E-42
 8.091E+03  1.204E-30  2.584E-42
 8.017E+03  1.249E-30  2.656E-42
 7.943E+03  1.295E-30  2.729E-42
 7.870E+03  1.344E-30  2.805E-42
 7.798E+03  1.394E-30  2.883E-42
 7.727E+03  1.446E-30  2.963E-42
 7.656E+03  1.500E-30  3.045E-42
 7.586E+03  1.556E-30  3.130E-42
 7.516E+03  1.614E-30  3.217E-42
 7.447E+03  1.674E-30  3.307E-42
 7.379E+03  1.737E-30  3.400E-42
 7.311E+03  1.802E-30  3.495E-42
 7.244E+03  1.869E-30  3.592E-42
 7.178E+03  1.940E-30  3.693E-42
 7.112E+03  2.012E-30  3.796E-42
 7.047E+03  2.088E-30  3.903E-42
 6.982E+03  2.166E-30  4.012E-42
 6.918E+03  2.248E-30  4.125E-42
 6.855E+03  2.332E-30  4.241E-42
 6.792E+03  2.420E-30  4.361E-42
 6.730E+03  2.512E-30  4.483E-42
 6.668E+03  2.606E-30  4.610E-42
 6.607E+03  2.705E-30  4.740E-42
 6.546E+03  2.807E-30  4.874E-42
 6.486E+03  2.913E-30  5.012E-42
 6.427E+03  3.023E-30  5.153E-42
 6.368E+03  3.137E-30  5.299E-42
 6.310E+03  3.256E-30  5.449E-42
 6.252E+03  3.379E-30  5.604E-42
 6.194E+03  3.507E-30  5.763E-42
 6.138E+03  3.640E-30  5.927E-42
 6.081E+03  3.779E-30  6.095E-42
 6.026E+03  3.922E-30  6.269E-42
 5.970E+03  4.071E-30  6.447E-42
 5.916E+03  4.226E-30  6.631E-42
 5.861E+03  4.387E-30  6.820E-42
 5.808E+03  4.554E-30  7.015E-42
 5.754E+03  4.727E-30  7.215E-42
 5.702E+03  4.907E-30  7.422E-42
 5.649E+03  5.094E-30  7.634E-42
 5.598E+03  5.289E-30  7.853E-42
 5.546E+03  5.491E-30  8.078E-42
 5.495E+03  5.701E-30  8.310E-42
 5.445E+03  5.918E-30  8.548E-42
 5.395E+03  6.145E-30  8.794E-42
 5.346E+03  6.380E-30  9.047E-42
 5.297E+03  6.624E-30  9.307E-42
 5.248E+03  6.878E-30  9.575E-42
 5.200E+03  7.142E-30  9.851E-42
 5.152E+03  7.416E-30  1.014E-41
 5.105E+03  7.701E-30  1.043E-41
 5.058E+03  7.997E-30  1.073E-41
 5.012E+03  8.304E-30  1.104E-41
 4.966E+03  8.623E-30  1.136E-41
 4.920E+03  8.955E-30  1.169E-41
 4.875E+03  9.300E-30  1.203E-41
 4.831E+03  9.658E-30  1.238E-41
 4.786E+03  1.003E-29  1.273E-41
 4.742E+03  1.042E-29  1.310E-41
 4.699E+03  1.082E-29  1.348E-41
 4.656E+03  1.124E-29  1.388E-41
 4.613E+03  1.167E-29  1.428E-41
 4.571E+03  1.212E-29  1.470E-41
 4.529E+03  1.259E-29  1.513E-41
 4.487E+03  1.308E-29  1.557E-41
 4.446E+03  1.358E-29  1.602E-41
 4.406E+03  1.411E-29  1.649E-41
 4.365E+03  1.466E-29  1.697E-41
 4.325E+03  1.522E-29  1.747E-41
 4.285E+03  1.582E-29  1.798E-41
 4.246E+03  1.643E-29  1.850E-41
 4.207E+03  1.707E-29  1.905E-41
 4.169E+03  1.773E-29  1.961E-41
 4.130E+03  1.842E-29  2.018E-41
 4.093E+03  1.913E-29  2.077E-41
 4.055E+03  1.988E-29  2.138E-41
 4.018E+03  2.065E-29  2.201E-41
 3.981E+03  2.146E-29  2.266E-41
 3.945E+03  2.229E-29  2.333E-41
 3.908E+03  2.316E-29  2.401E-41
 3.873E+03  2.407E-29  2.472E-41
 3.837E+03  2.500E-29  2.545E-41
 3.802E+03  2.598E-29  2.620E-41
 3.767E+03  2.699E-29  2.697E-41
 3.733E+03  2.805E-29  2.777E-41
 3.698E+03  2.915E-29  2.859E-41
 3.664E+03  3.028E-29  2.944E-41
 3.631E+03  3.147E-29  3.031E-41
 3.597E+03  3.270E-29  3.120E-41
 3.565E+03  3.398E-29  3.213E-41
 3.532E+03  3.531E-29  3.308E-41
 3.499E+03  3.669E-29  3.406E-41
 3.467E+03  3.813E-29  3.507E-41
 3.436E+03  3.963E-29  3.611E-41
 3.404E+03  4.118E-29  3.719E-41
 3.373E+03  4.280E-29  3.829E-41
 3.342E+03  4.448E-29  3.943E-41
 3.311E+03  4.622E-29  4.060E-41
 3.281E+03  4.804E-29  4.181E-41
 3.251E+03  4.993E-29  4.305E-41
 3.221E+03  5.189E-29  4.433E-41
 3.192E+03  5.393E-29  4.565E-41
 3.162E+03  5.605E-29  4.701E-41
 3.133E+03  5.825E-29  4.842E-41
 3.105E+03  6.054E-29  4.986E-41
 3.076E+03  6.293E-29  5.135E-41
 3.048E+03  6.541E-29  5.288E-41
 3.020E+03  6.798E-29  5.446E-41
 2.992E+03  7.066E-29  5.608E-41
 2.965E+03  7.343E-29  5.775E-41
 2.938E+03  7.632E-29  5.947E-41
 2.911E+03  7.932E-29  6.125E-41
 2.884E+03  8.244E-29  6.307E-41
 2.858E+03  8.569E-29  6.495E-41
 2.831E+03  8.906E-29  6.689E-41
 2.805E+03  9.257E-29  6.889E-41
 2.780E+03  9.622E-29  7.094E-41
 2.754E+03  1.000E-28  7.306E-41
 2.729E+03  1.039E-28  7.525E-41
 2.704E+03  1.080E-28  7.750E-41
 2.679E+03  1.123E-28  7.981E-41
 2.655E+03  1.167E-28  8.220E-41
 2.630E+03  1.213E-28  8.466E-41
 2.606E+03  1.261E-28  8.719E-41
 2.582E+03  1.311E-28  8.980E-41
 2.559E+03  1.363E-28  9.249E-41
 2.535E+03  1.417E-28  9.526E-41
 2.512E+03  1.473E-28  9.812E-41
 2.489E+03  1.531E-28  1.011E-40
 2.466E+03  1.591E-28  1.041E-40
 2.443E+03  1.654E-28  1.072E-40
 2.421E+03  1.719E-28  1.104E-40
 2.399E+03  1.787E-28  1.137E-40
 2.377E+03  1.858E-28  1.171E-40
 2.355E+03  1.931E-28  1.206E-40
 2.333E+03  2.008E-28  1.243E-40
 2.312E+03  2.087E-28  1.280E-40
 2.291E+03  2.169E-28  1.318E-40
 2.270E+03  2.255E-28  1.358E-40
 2.249E+03  2.344E-28  1.399E-40
 2.228E+03  2.437E-28  1.440E-40
 2.208E+03  2.533E-28  1.484E-40
 2.188E+03  2.633E-28  1.528E-40
 2.168E+03  2.737E-28  1.574E-40
 2.148E+03  2.845E-28  1.621E-40
 2.128E+03  2.958E-28  1.670E-40
