# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: R SET a                       "
# "DATE: ""10/ 7/92"   "TIME: ""11:11:11"
# " CWL= "  6492.27A  "FWHM= " 1544.34A  "TMAX= "79.99 %
# "TCUTOFF= " 2.00 %  "SLITSIZE= "10 A
# 
# 
# 
# 
# "NPTS= " 461     "DISP= "10.00A/INTERVAL
   5400.00     -.005
   5410.00     -.005
   5420.00     -.005
   5430.00      .005
   5440.00      .005
   5450.00      .020
   5460.00      .040
   5470.00      .090
   5480.00      .175
   5490.00      .320
   5500.00      .570
   5510.00      .965
   5520.00     1.570
   5530.00     2.460
   5540.00     3.705
   5550.00     5.355
   5560.00     7.450
   5570.00    10.000
   5580.00    12.985
   5590.00    16.390
   5600.00    20.120
   5610.00    24.000
   5620.00    28.030
   5630.00    32.165
   5640.00    36.225
   5650.00    40.155
   5660.00    43.915
   5670.00    47.495
   5680.00    50.835
   5690.00    53.920
   5700.00    56.840
   5710.00    59.435
   5720.00    61.835
   5730.00    63.975
   5740.00    65.910
   5750.00    67.610
   5760.00    69.215
   5770.00    70.575
   5780.00    71.825
   5790.00    72.900
   5800.00    73.895
   5810.00    74.755
   5820.00    75.530
   5830.00    76.190
   5840.00    76.785
   5850.00    77.325
   5860.00    77.770
   5870.00    78.160
   5880.00    78.490
   5890.00    78.820
   5900.00    79.050
   5910.00    79.220
   5920.00    79.440
   5930.00    79.600
   5940.00    79.730
   5950.00    79.825
   5960.00    79.865
   5970.00    79.935
   5980.00    79.990
   5990.00    79.965
   6000.00    79.955
   6010.00    79.915
   6020.00    79.905
   6030.00    79.830
   6040.00    79.735
   6050.00    79.660
   6060.00    79.575
   6070.00    79.450
   6080.00    79.350
   6090.00    79.235
   6100.00    79.065
   6110.00    78.905
   6120.00    78.755
   6130.00    78.595
   6140.00    78.455
   6150.00    78.250
   6160.00    78.030
   6170.00    77.845
   6180.00    77.605
   6190.00    77.495
   6200.00    77.200
   6210.00    76.965
   6220.00    76.750
   6230.00    76.500
   6240.00    76.275
   6250.00    75.995
   6260.00    75.750
   6270.00    75.485
   6280.00    75.195
   6290.00    74.945
   6300.00    74.690
   6310.00    74.445
   6320.00    74.155
   6330.00    73.830
   6340.00    73.555
   6350.00    73.315
   6360.00    72.945
   6370.00    72.710
   6380.00    72.385
   6390.00    72.120
   6400.00    71.830
   6410.00    71.550
   6420.00    71.180
   6430.00    70.895
   6440.00    70.545
   6450.00    70.255
   6460.00    69.905
   6470.00    69.570
   6480.00    69.290
   6490.00    68.960
   6500.00    68.625
   6510.00    68.265
   6520.00    67.960
   6530.00    67.570
   6540.00    67.270
   6550.00    66.860
   6560.00    66.565
   6570.00    66.185
   6580.00    65.910
   6590.00    65.550
   6600.00    65.155
   6610.00    64.810
   6620.00    64.485
   6630.00    64.145
   6640.00    63.800
   6650.00    63.420
   6660.00    63.120
   6670.00    62.700
   6680.00    62.335
   6690.00    61.995
   6700.00    61.595
   6710.00    61.235
   6720.00    60.890
   6730.00    60.495
   6740.00    60.120
   6750.00    59.735
   6760.00    59.330
   6770.00    58.935
   6780.00    58.520
   6790.00    58.070
   6800.00    57.610
   6810.00    57.130
   6820.00    56.720
   6830.00    56.280
   6840.00    55.805
   6850.00    55.435
   6860.00    54.975
   6870.00    54.510
   6880.00    54.055
   6890.00    53.610
   6900.00    53.165
   6910.00    52.690
   6920.00    52.240
   6930.00    51.810
   6940.00    51.340
   6950.00    50.875
   6960.00    50.445
   6970.00    49.995
   6980.00    49.525
   6990.00    49.080
   7000.00    48.640
   7010.00    48.125
   7020.00    47.680
   7030.00    47.235
   7040.00    46.775
   7050.00    46.355
   7060.00    45.935
   7070.00    45.465
   7080.00    45.035
   7090.00    44.525
   7100.00    44.090
   7110.00    43.625
   7120.00    43.230
   7130.00    42.800
   7140.00    42.330
   7150.00    41.890
   7160.00    41.485
   7170.00    41.060
   7180.00    40.590
   7190.00    40.180
   7200.00    39.710
   7210.00    39.295
   7220.00    38.900
   7230.00    38.440
   7240.00    37.990
   7250.00    37.570
   7260.00    37.155
   7270.00    36.750
   7280.00    36.295
   7290.00    35.890
   7300.00    35.490
   7310.00    35.065
   7320.00    34.625
   7330.00    34.240
   7340.00    33.825
   7350.00    33.425
   7360.00    33.030
   7370.00    32.615
   7380.00    32.165
   7390.00    31.810
   7400.00    31.340
   7410.00    30.970
   7420.00    30.590
   7430.00    30.175
   7440.00    29.800
   7450.00    29.430
   7460.00    29.040
   7470.00    28.625
   7480.00    28.250
   7490.00    27.885
   7500.00    27.435
   7510.00    27.050
   7520.00    26.710
   7530.00    26.365
   7540.00    25.960
   7550.00    25.570
   7560.00    25.205
   7570.00    24.875
   7580.00    24.465
   7590.00    24.125
   7600.00    23.765
   7610.00    23.405
   7620.00    23.050
   7630.00    22.695
   7640.00    22.345
   7650.00    22.025
   7660.00    21.700
   7670.00    21.325
   7680.00    21.000
   7690.00    20.705
   7700.00    20.350
   7710.00    20.010
   7720.00    19.690
   7730.00    19.360
   7740.00    19.080
   7750.00    18.760
   7760.00    18.430
   7770.00    18.135
   7780.00    17.855
   7790.00    17.525
   7800.00    17.290
   7810.00    16.930
   7820.00    16.675
   7830.00    16.370
   7840.00    16.075
   7850.00    15.810
   7860.00    15.555
   7870.00    15.255
   7880.00    15.015
   7890.00    14.735
   7900.00    14.455
   7910.00    14.225
   7920.00    13.980
   7930.00    13.695
   7940.00    13.445
   7950.00    13.205
   7960.00    12.950
   7970.00    12.770
   7980.00    12.520
   7990.00    12.280
   8000.00    12.040
   8010.00    11.790
   8020.00    11.595
   8030.00    11.385
   8040.00    11.140
   8050.00    10.990
   8060.00    10.745
   8070.00    10.510
   8080.00    10.350
   8090.00    10.170
   8100.00     9.940
   8110.00     9.755
   8120.00     9.535
   8130.00     9.315
   8140.00     9.190
   8150.00     9.000
   8160.00     8.835
   8170.00     8.640
   8180.00     8.475
   8190.00     8.310
   8200.00     8.125
   8210.00     7.985
   8220.00     7.810
   8230.00     7.645
   8240.00     7.490
   8250.00     7.355
   8260.00     7.180
   8270.00     7.020
   8280.00     6.905
   8290.00     6.740
   8300.00     6.630
   8310.00     6.465
   8320.00     6.360
   8330.00     6.215
   8340.00     6.075
   8350.00     5.975
   8360.00     5.845
   8370.00     5.705
   8380.00     5.575
   8390.00     5.465
   8400.00     5.375
   8410.00     5.205
   8420.00     5.130
   8430.00     5.010
   8440.00     4.875
   8450.00     4.790
   8460.00     4.705
   8470.00     4.590
   8480.00     4.485
   8490.00     4.390
   8500.00     4.255
   8510.00     4.180
   8520.00     4.125
   8530.00     4.025
   8540.00     3.920
   8550.00     3.855
   8560.00     3.745
   8570.00     3.615
   8580.00     3.590
   8590.00     3.485
   8600.00     3.435
   8610.00     3.640
   8620.00     3.565
   8630.00     3.400
   8640.00     3.425
   8650.00     3.300
   8660.00     3.225
   8670.00     3.165
   8680.00     3.020
   8690.00     2.955
   8700.00     2.930
   8710.00     2.895
   8720.00     2.825
   8730.00     2.755
   8740.00     2.655
   8750.00     2.690
   8760.00     2.625
   8770.00     2.535
   8780.00     2.465
   8790.00     2.350
   8800.00     2.370
   8810.00     2.305
   8820.00     2.215
   8830.00     2.190
   8840.00     2.090
   8850.00     2.085
   8860.00     2.070
   8870.00     1.985
   8880.00     1.915
   8890.00     1.970
   8900.00     1.825
   8910.00     1.845
   8920.00     1.800
   8930.00     1.655
   8940.00     1.720
   8950.00     1.655
   8960.00     1.625
   8970.00     1.590
   8980.00     1.555
   8990.00     1.550
   9000.00     1.455
   9010.00     1.420
   9020.00     1.340
   9030.00     1.450
   9040.00     1.425
   9050.00     1.340
   9060.00     1.290
   9070.00     1.250
   9080.00     1.125
   9090.00     1.260
   9100.00     1.155
   9110.00     1.130
   9120.00     1.150
   9130.00     1.085
   9140.00     1.040
   9150.00     1.030
   9160.00      .945
   9170.00     1.030
   9180.00      .985
   9190.00      .950
   9200.00      .875
   9210.00      .895
   9220.00      .810
   9230.00      .875
   9240.00      .835
   9250.00      .805
   9260.00      .810
   9270.00      .785
   9280.00      .745
   9290.00      .845
   9300.00      .705
   9310.00      .720
   9320.00      .730
   9330.00      .705
   9340.00      .645
   9350.00      .740
   9360.00      .630
   9370.00      .610
   9380.00      .650
   9390.00      .580
   9400.00      .635
   9410.00      .555
   9420.00      .475
   9430.00      .520
   9440.00      .540
   9450.00      .550
   9460.00      .535
   9470.00      .510
   9480.00      .510
   9490.00      .455
   9500.00      .455
   9510.00      .475
   9520.00      .440
   9530.00      .455
   9540.00      .445
   9550.00      .430
   9560.00      .410
   9570.00      .390
   9580.00      .370
   9590.00      .375
   9600.00      .340
   9610.00      .370
   9620.00      .370
   9630.00      .310
   9640.00      .300
   9650.00      .410
   9660.00      .390
   9670.00      .330
   9680.00      .335
   9690.00      .305
   9700.00      .320
   9710.00      .290
   9720.00      .255
   9730.00      .280
   9740.00      .300
   9750.00      .220
   9760.00      .255
   9770.00      .235
   9780.00      .225
   9790.00      .270
   9800.00      .250
   9810.00      .220
   9820.00      .165
   9830.00      .155
   9840.00      .270
   9850.00      .170
   9860.00      .195
   9870.00      .215
   9880.00      .190
   9890.00      .215
   9900.00      .210
   9910.00      .180
   9920.00      .115
   9930.00      .165
   9940.00      .175
   9950.00      .215
   9960.00      .230
   9970.00      .215
   9980.00      .220
   9990.00      .240
  10000.00      .160
