LRIS B FILTER, printed from ~mhc/keck/filters/filter_b.spc  
by mhc 9/8/97.


Column     Wavelength      Value
  
  
       1     3700.0000       5.22374325E-02
       2     3702.4900       4.82954681E-02
       3     3704.9800       4.73195538E-02
       4     3707.4700       5.33403307E-02
       5     3709.9600       5.31685352E-02
       6     3712.4500       5.57370335E-02
       7     3714.9399       4.70562354E-02
       8     3717.4299       4.76652682E-02
       9     3719.9199       6.21279404E-02
      10     3722.4099       6.64892346E-02
      11     3724.8999       6.17446676E-02
      12     3727.3899       6.40777647E-02
      13     3729.8799       6.08355030E-02
      14     3732.3701       6.39939755E-02
      15     3734.8601       5.79741448E-02
      16     3737.3501       7.36289248E-02
      17     3739.8401       7.17809796E-02
      18     3742.3301       7.37493932E-02
      19     3744.8201       7.17764795E-02
      20     3747.3101       7.41984695E-02
      21     3749.8000       8.55771303E-02
      22     3752.2900       7.51274973E-02
      23     3754.7800       7.89891779E-02
      24     3757.2700       8.43151659E-02
      25     3759.7600       8.50071236E-02
      26     3762.2500       9.65919048E-02
      27     3764.7400       9.57015008E-02
      28     3767.2300       9.83042866E-02
      29     3769.7200       1.00807115E-01
      30     3772.2100       1.04685858E-01
      31     3774.7000       1.04128756E-01
      32     3777.1899       1.07158989E-01
      33     3779.6799       1.06895536E-01
      34     3782.1699       1.13436878E-01
      35     3784.6599       1.11339204E-01
      36     3787.1499       1.26055837E-01
      37     3789.6399       1.18270159E-01
      38     3792.1299       1.36283547E-01
      39     3794.6201       1.33995041E-01
      40     3797.1101       1.27482504E-01
      41     3799.6001       1.40251160E-01
      42     3802.0901       1.47239178E-01
      43     3804.5801       1.48090571E-01
      44     3807.0701       1.48237705E-01
      45     3809.5601       1.51823327E-01
      46     3812.0500       1.65498450E-01
      47     3814.5400       1.65531069E-01
      48     3817.0300       1.60666466E-01
      49     3819.5200       1.76861823E-01
      50     3822.0100       1.71689898E-01
      51     3824.5000       1.84337720E-01
      52     3826.9900       1.88430205E-01
      53     3829.4800       1.88947588E-01
      54     3831.9700       1.97369099E-01
      55     3834.4600       2.00540885E-01
      56     3836.9500       2.06617758E-01
      57     3839.4399       2.15326428E-01
      58     3841.9299       2.13491738E-01
      59     3844.4199       2.23556116E-01
      60     3846.9099       2.27422699E-01
      61     3849.3999       2.44698554E-01
      62     3851.8899       2.45308459E-01
      63     3854.3799       2.53461659E-01
      64     3856.8701       2.49955654E-01
      65     3859.3601       2.66336679E-01
      66     3861.8501       2.69484758E-01
      67     3864.3401       2.72771358E-01
      68     3866.8301       2.82565027E-01
      69     3869.3201       2.89389491E-01
      70     3871.8101       3.04059744E-01
      71     3874.3000       3.03744495E-01
      72     3876.7900       3.15219700E-01
      73     3879.2800       3.06561381E-01
      74     3881.7700       3.26859653E-01
      75     3884.2600       3.30821782E-01
      76     3886.7500       3.43687117E-01
      77     3889.2400       3.47815871E-01
      78     3891.7300       3.55180264E-01
      79     3894.2200       3.59019965E-01
      80     3896.7100       3.60887289E-01
      81     3899.2000       3.62866938E-01
      82     3901.6899       3.75790775E-01
      83     3904.1799       3.83720636E-01
      84     3906.6699       3.96048129E-01
      85     3909.1599       3.96823466E-01
      86     3911.6499       4.17279780E-01
