# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): 954
# 
# Instrument: Calar Alto/LAICA
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Notes: response function including filter+QE+telescope
#   optics+atmosphere.  Obtained from Leopoldo Infante (Chile)
# 
# J. Moustakas, 2014-Jul-06, Siena
|   lambda |            pass |
|  9274.05 |  0.338452955804 |
|  9276.25 |  0.189182507628 |
| 9277.982 |  0.284172841728 |
| 9279.733 |  0.228133645632 |
|  9281.83 |  0.227813603516 |
| 9283.561 |  0.393444859653 |
| 9285.312 |  0.235967830877 |
| 9287.044 |  0.329444068966 |
| 9289.167 |  0.320911365226 |
| 9290.899 |   0.21945305175 |
|  9292.63 |   0.41628069986 |
| 9294.382 |  0.346365991508 |
| 9296.478 |  0.393377950889 |
| 9298.216 |  0.564539534334 |
| 9299.961 |  0.477638214779 |
|   9301.7 |   0.60159607216 |
|   9303.9 |  0.860190131167 |
| 9305.547 |  0.846930870921 |
| 9307.279 |  1.117923351774 |
| 9309.017 |  1.444428277695 |
| 9310.762 |  1.625628509419 |
|   9312.5 |   2.15974421496 |
| 9314.701 |  2.954757373692 |
| 9316.433 |  3.638301446387 |
| 9318.184 |  4.658821662362 |
| 9319.916 |  6.249386172662 |
| 9321.648 |   8.14321696219 |
| 9323.483 | 10.637408756466 |
| 9325.228 | 13.645746041199 |
| 9327.044 | 17.215045905733 |
| 9328.796 | 21.701264652663 |
| 9330.716 | 27.417117283322 |
| 9332.546 | 33.050338539496 |
| 9334.466 | 39.310360684668 |
|   9336.4 | 45.585123683599 |
| 9338.399 | 51.352077228812 |
| 9340.416 | 56.403409988929 |
| 9342.429 | 61.672491065554 |
| 9344.447 | 64.680074871787 |
|  9346.55 | 67.551072446513 |
| 9348.666 | 69.946896230593 |
| 9350.665 | 71.639096080645 |
| 9352.781 | 72.846269449814 |
| 9354.882 | 74.183917816455 |
| 9356.979 | 75.134209148794 |
| 9359.095 | 75.923343276405 |
| 9361.296 | 76.802128739074 |
| 9363.399 | 78.820902487604 |
| 9365.495 | 79.578566380393 |
| 9367.617 | 81.063820561714 |
| 9369.798 |  83.06990243976 |
| 9371.915 | 83.062282145804 |
| 9374.115 |  85.24371447542 |
| 9376.296 | 85.867847087735 |
| 9378.412 | 87.013027231249 |
| 9380.612 | 87.772771929342 |
| 9382.799 |   88.1232511233 |
|   9385.0 | 88.083444291349 |
| 9387.201 | 88.454966393804 |
| 9389.297 | 88.476014943392 |
| 9391.497 | 88.093058780891 |
| 9393.699 | 88.458079172386 |
| 9395.899 | 88.592013095867 |
| 9398.099 |   88.7953554805 |
|  9400.28 | 88.317675802214 |
| 9402.481 | 88.637599663427 |
| 9404.596 | 89.080308923343 |
| 9406.784 |  89.11695669014 |
| 9408.977 | 89.555939319307 |
| 9411.179 | 89.358993971068 |
| 9413.378 | 89.766404069399 |
|  9415.58 | 90.056242748581 |
|  9417.78 | 90.009899650302 |
| 9419.961 | 89.685560888236 |
| 9422.162 | 90.052537981918 |
| 9424.362 | 89.333646543114 |
| 9426.465 | 90.680965920718 |
| 9428.666 | 90.024429331021 |
| 9430.867 | 90.040992141776 |
| 9433.067 | 89.299702014117 |
| 9435.266 | 89.837007315802 |
| 9437.449 |  89.45041220367 |
| 9439.648 | 89.536652336086 |
| 9441.849 | 89.009022828137 |
| 9444.049 | 89.424000854537 |
|  9446.25 |  88.98345488969 |
| 9448.451 | 89.046564150608 |
| 9450.632 | 89.528095543367 |
| 9452.833 | 88.892124203607 |
| 9454.949 |   89.1073349573 |
| 9457.128 | 88.675585803639 |
|  9459.33 | 89.099100869869 |
|  9461.53 |  88.73204313849 |
| 9463.731 | 88.932928027327 |
| 9465.931 | 89.015380783908 |
| 9468.113 |  89.28850961303 |
| 9470.313 | 88.661239684527 |
| 9472.512 | 89.151298776315 |
| 9474.714 | 89.743596749507 |
| 9476.914 | 89.485140596069 |
| 9479.115 | 89.493658352295 |
| 9481.211 | 90.104126626683 |
| 9483.412 | 89.412914745978 |
| 9485.612 | 89.065340803805 |
| 9487.799 |  89.37988543815 |
|   9490.0 | 90.620875005862 |
| 9492.201 | 89.353783859392 |
| 9494.394 | 89.772113921984 |
| 9496.595 |  90.29702649144 |
| 9498.783 | 89.593970904406 |
| 9500.984 | 88.868332734731 |
| 9503.183 |    90.320500654 |
| 9505.377 | 88.593815939884 |
| 9507.579 | 89.842432342809 |
| 9509.779 | 89.860675258399 |
| 9511.966 | 88.918424906776 |
| 9514.166 | 89.084380264213 |
| 9516.368 | 89.070765794333 |
| 9518.562 | 88.666235274171 |
| 9520.761 |  89.52354098524 |
| 9522.865 | 88.794156207537 |
| 9525.065 | 89.194688140079 |
| 9527.266 | 87.911921785801 |
| 9529.447 | 89.526165149755 |
| 9531.648 | 88.909560907973 |
| 9533.848 | 89.143519935712 |
| 9536.047 | 88.745545199533 |
|  9538.25 | 88.837103017341 |
|  9540.45 | 89.103622652347 |
|  9542.63 |  89.12430169335 |
| 9544.831 | 89.001711273139 |
| 9547.032 | 88.754435670333 |
| 9549.232 | 88.930355452861 |
| 9551.432 | 88.811499407718 |
| 9553.528 | 88.745235660918 |
|  9555.73 | 88.258903727563 |
| 9557.929 | 88.702325204127 |
| 9560.118 | 88.259167531904 |
| 9562.311 | 88.837048480293 |
| 9564.512 | 88.035230378575 |
| 9566.712 | 88.262321237866 |
| 9568.913 | 87.968315571252 |
| 9571.114 | 88.027085476858 |
| 9573.293 | 88.061271083954 |
| 9575.417 | 87.446676272832 |
| 9577.618 | 87.958501496531 |
| 9579.798 | 88.017518977292 |
|   9582.0 | 87.741248452636 |
| 9584.199 | 87.932375370625 |
|   9586.4 |  88.07588572517 |
|   9588.6 | 87.809595439124 |
| 9590.697 | 87.260893883155 |
| 9592.898 | 87.571852306433 |
| 9595.098 |  86.67661183382 |
| 9597.279 |  85.88938653934 |
| 9599.479 | 85.246830738622 |
| 9601.595 | 83.595125306512 |
| 9603.783 | 82.440900706652 |
| 9605.899 | 81.930988348378 |
| 9608.099 | 79.833799050905 |
| 9610.195 | 79.502779412593 |
| 9612.298 | 78.679298255509 |
|   9614.5 |  77.87832002988 |
| 9616.595 |  77.92131072739 |
| 9618.711 | 77.673803077348 |
| 9620.911 | 78.956662376842 |
| 9623.015 | 78.857832613441 |
| 9625.117 | 80.305258621032 |
| 9627.311 | 80.120861400979 |
| 9629.415 | 80.649107598471 |
| 9631.615 | 78.696761346915 |
|  9633.71 | 76.155270752792 |
| 9635.833 | 71.308857018257 |
|  9637.93 | 64.972863999056 |
| 9639.948 | 57.547471108461 |
| 9641.965 |  49.15846779256 |
|  9643.88 | 41.515461577619 |
| 9645.794 | 33.904479377312 |
|  9647.63 | 27.164561670104 |
| 9649.563 | 21.718724206811 |
| 9651.296 | 16.828911472691 |
| 9653.132 | 13.059688192281 |
| 9654.864 | 10.187459954708 |
|   9656.7 |  7.896278591728 |
| 9658.431 |  6.163928837477 |
| 9660.183 |  4.953372434798 |
| 9661.915 |  3.985143648164 |
| 9663.666 |  3.121202621953 |
| 9665.398 |  2.425736146303 |
| 9667.129 |  2.092268880153 |
|  9668.88 |  1.714063071161 |
| 9670.612 |  1.236285362386 |
|  9672.35 |  1.064343105649 |
| 9674.465 |  0.847156635701 |
| 9676.199 |  0.586664446447 |
|  9677.93 |  0.663703717003 |
| 9679.681 |   0.46227205327 |
| 9681.785 |  0.355448500498 |
| 9683.516 |  0.470932289715 |
| 9685.267 |   0.26977243095 |
| 9686.999 |  0.255151893421 |
|  9688.73 |  0.356380505307 |
| 9690.846 |  0.162297181365 |
| 9692.578 |  0.261751014445 |
| 9694.329 |  0.193110626725 |
| 9696.061 |  0.085178375006 |
| 9698.262 |   0.29426902675 |
| 9699.916 |  0.131520535659 |
| 9701.648 |  0.177933556259 |
| 9703.379 |  0.302655052862 |
|  9705.58 |  0.069658508715 |
| 9707.233 |  0.208754728659 |
| 9708.965 |  0.139377895672 |
| 9711.166 |  0.085267623897 |
| 9712.917 |  0.247270678171 |
| 9714.649 |  0.124100324304 |
| 9716.296 |  0.147179728905 |
| 9718.497 |   0.17818464202 |
| 9720.228 |  0.069715788443 |
| 9721.966 |  0.193401915222 |
| 9723.613 |  0.131417772681 |
| 9725.365 |  0.031028159226 |
| 9727.546 |  0.255759039008 |
| 9729.297 |  0.108395777693 |
| 9731.029 |  0.170579513951 |
| 9732.683 |  0.263655586676 |
| 9734.882 |             0.0 |
| 9736.614 |  0.241007397245 |
| 9738.711 |  0.046536831561 |
| 9740.461 |  0.140070168814 |
| 9742.201 |  0.209950099241 |
| 9743.933 |  0.069949808339 |
| 9745.684 |  0.225386968761 |
|  9747.78 |  0.069950661761 |
| 9749.532 |  0.124483889813 |
| 9751.263 |   0.21107086892 |
| 9753.367 |  0.015546620071 |
| 9755.117 |    0.1560210831 |
| 9756.849 |  0.070123241489 |
| 9758.946 |  0.155792094027 |
| 9760.697 |  0.078124927067 |
| 9762.429 |  0.015567195205 |
| 9764.531 |  0.195596549447 |
| 9766.283 |  0.015602877515 |
| 9768.014 |  0.140733137196 |
| 9770.118 |  0.031238585131 |
| 9771.862 |  0.039059093076 |
| 9773.601 |  0.172169809031 |
| 9775.333 |  0.039032301522 |
| 9777.533 |  0.070384551747 |
| 9779.284 |  0.141018480556 |
| 9780.912 | -0.015662145487 |
| 9782.664 |   0.09415799586 |
| 9784.863 |  0.015696012146 |
| 9786.595 |     0.039155174 |
| 9788.249 |  0.140875654559 |
| 9789.981 | -0.015741765495 |
| 9792.181 |   0.05485498502 |
| 9793.913 |  0.047164118251 |
| 9795.567 | -0.047280961244 |
| 9797.767 |  0.133883035096 |
|   9799.5 |  0.007865337253 |
|  9801.25 |  0.062996367962 |
| 9802.982 |  0.173154970073 |
| 9805.098 | -0.047123645777 |
|  9806.83 |   0.11864127859 |
| 9808.484 |             0.0 |
| 9810.684 |  0.094748598621 |
| 9812.416 |  0.031606458354 |
| 9814.147 | -0.047362346721 |
| 9816.263 |  0.157785010192 |
| 9817.995 | -0.102851852379 |
| 9819.734 |  0.070971647352 |
| 9821.849 | -0.007913911758 |
| 9823.582 | -0.063263418111 |
| 9825.313 |   0.10283403357 |
| 9827.064 | -0.015871462992 |
| 9828.795 | -0.007918935809 |
| 9830.898 |   0.15094407308 |
| 9832.649 |  0.007941728336 |
| 9834.382 |  0.047639693766 |
| 9836.114 |  0.166858362033 |
| 9837.865 | -0.031815465984 |
| 9839.961 |  0.055493369653 |
| 9841.712 |  0.039797129739 |
| 9843.451 | -0.015908513589 |
| 9845.644 |  0.127184856572 |
| 9847.298 | -0.103561724029 |
|  9849.03 |  0.071555241869 |
| 9851.133 |             0.0 |
| 9852.877 |  0.031876686048 |
| 9854.617 |  0.087621163197 |
| 9856.817 |  0.031880846105 |
| 9858.464 |  0.191636253271 |
| 9860.644 | -0.087607299671 |
| 9862.395 |  0.072040249484 |
| 9864.127 |  0.023927452143 |
| 9865.781 | -0.048113298683 |
| 9867.513 |  0.120168934148 |
| 9869.714 |             0.0 |
| 9871.465 |  0.056306136472 |
