# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): H
# 
# Instrument: Calar Alto/Omega
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Notes: response function including filter+QE+telescope
#   optics+atmosphere.  Obtained from Leopoldo Infante (Chile)
# 
# J. Moustakas, 2014-Jul-06, Siena
|  lambda |    pass |
| 12946.0 |   1e-06 |
| 12951.0 | 0.00023 |
| 12956.0 |   1e-06 |
| 12961.0 |   1e-06 |
| 12966.0 | 0.00077 |
| 12971.0 | 0.00033 |
| 12976.0 |   1e-06 |
| 12981.0 | 0.00041 |
| 12986.0 |   1e-06 |
| 12991.0 |   1e-06 |
| 12996.0 |  0.0006 |
| 13001.0 |  0.0003 |
| 13006.0 | 0.00032 |
| 13011.0 | 0.00014 |
| 13016.0 |   1e-06 |
| 13021.0 |   6e-05 |
| 13026.0 |   1e-06 |
| 13031.0 | 0.00046 |
| 13036.0 |   1e-06 |
| 13041.0 |   1e-06 |
| 13046.0 | 0.00024 |
| 13051.0 | 0.00045 |
| 13056.0 | 0.00014 |
| 13061.0 | 0.00019 |
| 13066.0 |   9e-05 |
| 13071.0 | 0.00068 |
| 13076.0 |   7e-05 |
| 13081.0 |   1e-06 |
| 13086.0 |  0.0005 |
| 13091.0 | 0.00016 |
| 13096.0 | 0.00026 |
| 13101.0 |   1e-06 |
| 13106.0 |   1e-06 |
| 13111.0 |   1e-06 |
| 13116.0 |   1e-06 |
| 13121.0 | 0.00126 |
| 13126.0 |   3e-05 |
| 13131.0 |   1e-05 |
| 13136.0 | 0.00036 |
| 13141.0 |   1e-06 |
| 13146.0 | 0.00042 |
| 13151.0 |   1e-06 |
| 13156.0 |   1e-06 |
| 13161.0 | 0.00089 |
| 13166.0 |   1e-06 |
| 13171.0 | 0.00041 |
| 13176.0 |   1e-06 |
| 13181.0 | 0.00035 |
| 13186.0 |   1e-06 |
| 13191.0 | 0.00011 |
| 13196.0 | 0.00027 |
| 13201.0 |   1e-06 |
| 13206.0 |   1e-06 |
| 13211.0 |   1e-06 |
| 13216.0 |   1e-06 |
| 13221.0 | 0.00064 |
| 13226.0 |   1e-06 |
| 13231.0 | 0.00024 |
| 13236.0 |   1e-06 |
| 13241.0 | 0.00023 |
| 13246.0 | 0.00067 |
| 13251.0 |   1e-06 |
| 13256.0 | 0.00022 |
| 13261.0 | 0.00011 |
| 13266.0 | 0.00049 |
| 13271.0 |   1e-06 |
| 13276.0 | 0.00014 |
| 13281.0 | 0.00042 |
| 13286.0 |   1e-06 |
| 13291.0 | 0.00017 |
| 13296.0 |   1e-06 |
| 13301.0 |   8e-05 |
| 13306.0 | 0.00017 |
| 13311.0 | 0.00013 |
| 13316.0 |   1e-06 |
| 13321.0 |   1e-06 |
| 13326.0 | 0.00098 |
| 13331.0 |   1e-06 |
| 13336.0 |   1e-06 |
| 13341.0 |   1e-06 |
| 13346.0 |   4e-05 |
| 13351.0 |   1e-06 |
| 13356.0 | 0.00046 |
| 13361.0 |   1e-06 |
| 13366.0 |   1e-06 |
| 13371.0 |   3e-05 |
| 13376.0 |   1e-06 |
| 13381.0 | 0.00042 |
| 13386.0 | 0.00018 |
| 13391.0 |   1e-06 |
| 13396.0 |   6e-05 |
| 13401.0 |   1e-06 |
| 13406.0 | 0.00038 |
| 13411.0 |   1e-06 |
| 13416.0 | 0.00039 |
| 13421.0 | 0.00061 |
| 13426.0 |   1e-06 |
| 13431.0 | 0.00017 |
| 13436.0 | 0.00052 |
| 13441.0 |   1e-06 |
| 13446.0 |   1e-06 |
| 13451.0 | 0.00024 |
| 13456.0 | 0.00041 |
| 13461.0 | 0.00015 |
| 13466.0 |   1e-06 |
| 13471.0 | 0.00032 |
| 13476.0 | 0.00035 |
| 13481.0 | 0.00045 |
| 13486.0 |   1e-06 |
| 13491.0 |   1e-06 |
| 13496.0 |   1e-06 |
| 13501.0 | 0.00046 |
| 13506.0 | 0.00021 |
| 13511.0 | 0.00031 |
| 13516.0 |   1e-06 |
| 13521.0 |   1e-06 |
| 13526.0 |  0.0003 |
| 13531.0 |   1e-06 |
| 13536.0 |   1e-06 |
| 13541.0 | 0.00023 |
| 13546.0 |   7e-05 |
| 13551.0 |   7e-05 |
| 13556.0 |   1e-06 |
| 13561.0 |   1e-06 |
| 13566.0 |   1e-06 |
| 13571.0 |   1e-06 |
| 13576.0 | 0.00021 |
| 13581.0 | 0.00102 |
| 13586.0 |   1e-06 |
| 13591.0 |   1e-06 |
| 13596.0 |   7e-05 |
| 13601.0 | 0.00021 |
| 13606.0 |   1e-05 |
| 13611.0 |   4e-05 |
| 13616.0 |   1e-06 |
| 13621.0 |   1e-06 |
| 13626.0 |  0.0005 |
| 13631.0 |   1e-06 |
| 13636.0 |   1e-06 |
| 13641.0 |   1e-06 |
| 13646.0 | 0.00026 |
| 13651.0 |   1e-06 |
| 13656.0 | 0.00033 |
| 13661.0 | 0.00027 |
| 13666.0 |   1e-06 |
| 13671.0 |   1e-06 |
| 13676.0 | 0.00017 |
| 13681.0 |   1e-06 |
| 13686.0 | 0.00044 |
| 13691.0 | 0.00041 |
| 13696.0 |   1e-06 |
| 13701.0 |   1e-06 |
| 13706.0 | 0.00028 |
| 13711.0 |   5e-05 |
| 13716.0 |   1e-06 |
| 13721.0 |   1e-06 |
| 13726.0 | 0.00051 |
| 13731.0 |   1e-06 |
| 13736.0 |   1e-06 |
| 13741.0 | 0.00012 |
| 13746.0 |   4e-05 |
| 13751.0 |   1e-06 |
| 13756.0 |   1e-06 |
| 13761.0 | 0.00112 |
| 13766.0 | 0.00056 |
| 13771.0 |   1e-06 |
| 13776.0 | 0.00035 |
| 13781.0 | 0.00037 |
| 13786.0 |   1e-06 |
| 13791.0 | 0.00033 |
| 13796.0 |  0.0004 |
| 13801.0 | 0.00046 |
| 13806.0 | 0.00065 |
| 13811.0 |   9e-05 |
| 13816.0 |   6e-05 |
| 13821.0 |   1e-06 |
| 13826.0 | 0.00015 |
| 13831.0 |   1e-06 |
| 13836.0 | 0.00087 |
| 13841.0 |   1e-06 |
| 13846.0 | 0.00025 |
| 13851.0 | 0.00015 |
| 13856.0 |   4e-05 |
| 13861.0 | 0.00012 |
| 13866.0 |  0.0001 |
| 13871.0 | 0.00032 |
| 13876.0 | 0.00027 |
| 13881.0 | 0.00013 |
| 13886.0 |   1e-06 |
| 13891.0 | 0.00041 |
| 13896.0 |   1e-06 |
| 13901.0 |   1e-06 |
| 13906.0 | 0.00028 |
| 13911.0 |  0.0003 |
| 13916.0 |   1e-06 |
| 13921.0 | 0.00041 |
| 13926.0 | 0.00012 |
| 13931.0 |   1e-06 |
| 13936.0 |   1e-06 |
| 13941.0 |   1e-06 |
| 13946.0 |   3e-05 |
| 13951.0 | 0.00018 |
| 13956.0 |   1e-06 |
| 13961.0 |   1e-06 |
| 13966.0 | 0.00031 |
| 13971.0 | 0.00057 |
| 13976.0 |   1e-06 |
| 13981.0 |   1e-06 |
| 13986.0 | 0.00046 |
| 13991.0 |   3e-05 |
| 13996.0 |   1e-06 |
| 14001.0 | 0.00027 |
| 14006.0 | 0.00026 |
| 14011.0 | 0.00045 |
| 14016.0 |   1e-06 |
| 14021.0 |   3e-05 |
| 14026.0 |   4e-05 |
| 14031.0 | 0.00026 |
| 14036.0 |   1e-06 |
| 14041.0 |   1e-06 |
| 14046.0 |   8e-05 |
| 14051.0 | 0.00027 |
| 14056.0 |   1e-06 |
| 14061.0 |   1e-06 |
| 14066.0 |   1e-06 |
| 14071.0 |   8e-05 |
| 14076.0 |   9e-05 |
| 14081.0 | 0.00018 |
| 14086.0 |   7e-05 |
| 14091.0 | 0.00024 |
| 14096.0 |  0.0001 |
| 14101.0 |   1e-06 |
| 14106.0 |   1e-06 |
| 14111.0 | 0.00018 |
| 14116.0 | 0.00012 |
| 14121.0 | 0.00057 |
| 14126.0 | 0.00047 |
| 14131.0 | 0.00053 |
| 14136.0 |   1e-06 |
| 14141.0 |  0.0005 |
| 14146.0 |   1e-06 |
| 14151.0 | 0.00027 |
| 14156.0 |   2e-05 |
| 14161.0 |   1e-06 |
| 14166.0 |   1e-06 |
| 14171.0 | 0.00054 |
| 14176.0 |   1e-06 |
| 14181.0 |   1e-06 |
| 14186.0 | 0.00045 |
| 14191.0 | 0.00011 |
| 14196.0 |   1e-06 |
| 14201.0 | 0.00014 |
| 14206.0 |   1e-06 |
| 14211.0 |   1e-06 |
| 14216.0 |   1e-06 |
| 14221.0 |   1e-06 |
