# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): J
# 
# Instrument: Calar Alto/Omega
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Notes: response function including filter+QE+telescope
#   optics+atmosphere.  Obtained from Leopoldo Infante (Chile)
# 
# J. Moustakas, 2014-Jul-06, Siena
|  lambda |       pass |
| 10296.8 | 0.00152693 |
| 10558.9 |  0.0027234 |
| 10656.1 | 0.00355523 |
| 10706.8 |  0.0109392 |
| 10737.7 |  0.0207161 |
| 10755.8 |  0.0371362 |
| 10779.4 |  0.0711502 |
| 10799.8 |   0.131225 |
| 10818.3 |   0.231318 |
| 10836.5 |   0.357494 |
| 10854.4 |    0.50065 |
| 10876.3 |   0.671699 |
| 10882.8 |   0.722669 |
| 10892.1 |    0.76393 |
| 10901.6 |   0.796087 |
| 10911.2 |   0.819754 |
| 10918.1 |   0.830078 |
| 10929.3 |   0.833747 |
| 10947.7 |   0.829543 |
| 10963.3 |   0.822295 |
| 10981.7 |   0.818091 |
| 11005.6 |   0.823002 |
| 11030.8 |   0.835787 |
| 11057.4 |   0.845553 |
| 11082.7 |   0.850452 |
| 11129.2 |   0.852993 |
| 11194.0 |   0.854953 |
| 11220.8 |   0.851991 |
| 11243.5 |   0.846578 |
| 11267.5 |   0.841177 |
| 11288.6 |   0.838191 |
| 11318.3 |   0.835833 |
| 11347.9 |   0.838932 |
| 11390.0 |   0.848116 |
| 11440.6 |   0.862178 |
| 11478.5 |   0.871374 |
| 11512.3 |   0.875681 |
| 11564.4 |   0.878837 |
| 11615.1 |   0.880774 |
| 11668.6 |   0.886347 |
| 11719.3 |   0.890095 |
| 11758.7 |   0.890187 |
| 11809.6 |   0.882415 |
| 11843.5 |   0.869767 |
| 11871.9 |    0.85223 |
| 11898.9 |   0.834112 |
| 11923.0 |   0.820825 |
| 11951.4 |    0.81057 |
| 11973.9 |   0.808815 |
| 12004.8 |   0.818581 |
| 12039.8 |   0.843524 |
| 12063.5 |   0.866007 |
| 12091.3 |   0.889731 |
| 12117.9 |   0.909193 |
| 12141.7 |   0.918344 |
| 12164.2 |   0.922024 |
| 12202.4 |   0.916053 |
| 12239.2 |   0.902186 |
| 12274.5 |   0.893172 |
| 12304.2 |   0.889594 |
| 12332.3 |   0.891486 |
| 12357.6 |   0.895178 |
| 12380.2 |    0.89887 |
| 12422.3 |   0.906846 |
| 12467.3 |   0.914219 |
| 12502.5 |   0.919757 |
| 12539.1 |   0.922867 |
| 12581.4 |   0.921158 |
| 12606.9 |   0.912111 |
| 12646.6 |   0.890984 |
| 12679.2 |   0.871647 |
| 12704.8 |   0.855933 |
| 12727.5 |    0.84447 |
| 12757.1 |   0.840892 |
| 12786.6 |   0.847022 |
| 12817.4 |   0.863465 |
| 12846.8 |   0.884147 |
| 12874.7 |   0.906652 |
| 12906.9 |   0.923699 |
| 12937.8 |    0.92983 |
| 12967.5 |   0.923232 |
| 12997.3 |   0.905103 |
| 13031.4 |   0.881538 |
| 13057.0 |   0.861585 |
| 13082.6 |   0.847091 |
| 13116.6 |   0.834431 |
| 13153.3 |   0.829053 |
| 13191.4 |   0.827309 |
| 13216.8 |   0.818273 |
| 13233.9 |   0.804371 |
| 13245.4 |   0.789239 |
| 13261.3 |   0.756524 |
| 13281.8 |    0.68804 |
| 13299.9 |   0.591069 |
| 13313.6 |   0.511042 |
| 13327.3 |   0.424372 |
| 13347.1 |   0.304337 |
| 13368.1 |   0.198273 |
| 13381.4 |   0.147964 |
| 13394.5 |   0.115249 |
| 13409.0 |  0.0843456 |
| 13421.9 |  0.0637663 |
| 13440.5 |  0.0438023 |
| 13460.4 |  0.0299004 |
| 13488.7 |  0.0172178 |
| 13519.8 | 0.00940085 |
| 13560.7 | 0.00463775 |
| 13615.7 |  0.0011281 |
| 13832.8 | 0.00041022 |
