# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): Ks
# 
# Instrument: Calar Alto/Omega
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Notes: response function including filter+QE+telescope
#   optics+atmosphere.  Obtained from Leopoldo Infante (Chile)
# 
# J. Moustakas, 2014-Jul-06, Siena
|  lambda |    pass |
| 17881.0 | 0.00058 |
| 17886.0 | 0.00059 |
| 17891.0 | 0.00024 |
| 17896.0 | 0.00071 |
| 17901.0 | 0.00054 |
| 17906.0 |   1e-06 |
| 17911.0 | 0.00071 |
| 17916.0 |  0.0007 |
| 17921.0 | 0.00058 |
| 17926.0 | 0.00083 |
| 17931.0 | 0.00054 |
| 17936.0 | 0.00029 |
| 17941.0 | 0.00033 |
| 17946.0 | 0.00041 |
| 17951.0 | 0.00069 |
| 17956.0 | 0.00101 |
| 17961.0 | 0.00079 |
| 17966.0 | 0.00073 |
| 17971.0 | 0.00017 |
| 17976.0 |  0.0003 |
| 17981.0 | 0.00048 |
| 17986.0 | 0.00091 |
| 17991.0 | 0.00036 |
| 17996.0 |   1e-06 |
| 18001.0 | 0.00055 |
| 18006.0 | 0.00018 |
| 18011.0 | 0.00091 |
| 18016.0 | 0.00056 |
| 18021.0 | 0.00087 |
| 18026.0 | 0.00082 |
| 18031.0 | 0.00048 |
| 18036.0 | 0.00031 |
| 18041.0 | 0.00048 |
| 18046.0 |  0.0004 |
| 18051.0 | 0.00079 |
| 18056.0 | 0.00057 |
| 18061.0 |   0.001 |
| 18066.0 | 0.00095 |
| 18071.0 | 0.00026 |
| 18076.0 | 0.00052 |
| 18081.0 | 0.00082 |
| 18086.0 | 0.00092 |
| 18091.0 | 0.00025 |
| 18096.0 | 0.00033 |
| 18101.0 |  0.0009 |
| 18106.0 | 0.00085 |
| 18111.0 | 0.00137 |
| 18116.0 | 0.00045 |
| 18121.0 | 0.00095 |
| 18126.0 | 0.00047 |
| 18131.0 | 0.00095 |
| 18136.0 | 0.00025 |
| 18141.0 |  0.0004 |
| 18146.0 | 0.00066 |
| 18151.0 | 0.00092 |
| 18156.0 | 0.00054 |
| 18161.0 | 0.00055 |
| 18166.0 | 0.00015 |
| 18171.0 | 0.00051 |
| 18176.0 | 0.00064 |
| 18181.0 | 0.00055 |
| 18186.0 | 0.00082 |
| 18191.0 |   1e-06 |
| 18196.0 | 0.00058 |
| 18201.0 | 0.00061 |
| 18206.0 | 0.00031 |
| 18211.0 | 0.00019 |
| 18216.0 |   6e-05 |
| 18221.0 | 0.00041 |
| 18226.0 | 0.00051 |
| 18231.0 | 0.00033 |
| 18236.0 | 0.00054 |
| 18241.0 | 0.00049 |
| 18246.0 | 0.00083 |
| 18251.0 | 0.00058 |
| 18256.0 | 0.00031 |
| 18261.0 | 0.00093 |
| 18266.0 |  0.0004 |
| 18271.0 |   5e-05 |
| 18276.0 | 0.00082 |
| 18281.0 |   1e-06 |
| 18286.0 | 0.00074 |
| 18291.0 |  0.0003 |
| 18296.0 | 0.00016 |
| 18301.0 | 0.00067 |
| 18306.0 | 0.00137 |
| 18311.0 | 0.00055 |
| 18316.0 | 0.00017 |
| 18321.0 | 0.00011 |
| 18326.0 |  0.0005 |
| 18331.0 | 0.00027 |
| 18336.0 | 0.00088 |
| 18341.0 |   1e-06 |
| 18346.0 | 0.00014 |
| 18351.0 | 0.00069 |
| 18356.0 | 0.00064 |
| 18361.0 | 0.00097 |
| 18366.0 | 0.00047 |
| 18371.0 | 0.00079 |
| 18376.0 | 0.00045 |
| 18381.0 | 0.00063 |
| 18386.0 | 0.00021 |
| 18391.0 |  0.0005 |
| 18396.0 |   5e-05 |
| 18401.0 | 0.00044 |
| 18406.0 | 0.00039 |
| 18411.0 | 0.00059 |
| 18416.0 | 0.00037 |
| 18421.0 |  0.0012 |
| 18426.0 | 0.00081 |
| 18431.0 |   1e-06 |
| 18436.0 | 0.00101 |
| 18441.0 | 0.00023 |
| 18446.0 | 0.00012 |
| 18451.0 | 0.00037 |
| 18456.0 |  0.0008 |
| 18461.0 | 0.00045 |
| 18466.0 | 0.00063 |
| 18471.0 |   1e-06 |
| 18476.0 | 0.00043 |
| 18481.0 |  0.0003 |
| 18486.0 | 0.00085 |
| 18491.0 | 0.00072 |
| 18496.0 |  0.0011 |
| 18501.0 | 0.00083 |
| 18506.0 | 0.00086 |
| 18511.0 | 0.00114 |
| 18516.0 | 0.00035 |
| 18521.0 |   5e-05 |
| 18526.0 | 0.00015 |
| 18531.0 | 0.00045 |
| 18536.0 | 0.00085 |
| 18541.0 | 0.00037 |
| 18546.0 | 0.00075 |
| 18551.0 | 0.00021 |
| 18556.0 |   1e-06 |
| 18561.0 | 0.00012 |
| 18566.0 | 0.00091 |
| 18571.0 | 0.00035 |
| 18576.0 | 0.00031 |
| 18581.0 | 0.00016 |
| 18586.0 | 0.00032 |
| 18591.0 |   3e-05 |
| 18596.0 | 0.00074 |
| 18601.0 | 0.00097 |
| 18606.0 |  0.0001 |
| 18611.0 |   1e-06 |
| 18616.0 |  0.0006 |
| 18621.0 | 0.00097 |
| 18626.0 | 0.00055 |
| 18631.0 | 0.00035 |
| 18636.0 | 0.00055 |
| 18641.0 | 0.00054 |
| 18646.0 | 0.00037 |
| 18651.0 | 0.00063 |
| 18656.0 | 0.00059 |
| 18661.0 | 0.00084 |
| 18666.0 | 0.00097 |
| 18671.0 | 0.00025 |
| 18676.0 |   1e-06 |
| 18681.0 | 0.00072 |
| 18686.0 | 0.00065 |
| 18691.0 | 0.00034 |
| 18696.0 | 0.00053 |
| 18701.0 | 0.00026 |
| 18706.0 | 0.00111 |
| 18711.0 |  0.0003 |
| 18716.0 | 0.00071 |
| 18721.0 | 0.00059 |
| 18726.0 | 0.00012 |
| 18731.0 |   0.001 |
| 18736.0 | 0.00093 |
| 18741.0 | 0.00016 |
| 18746.0 | 0.00045 |
| 18751.0 | 0.00054 |
| 18756.0 | 0.00037 |
| 18761.0 | 0.00034 |
| 18766.0 |  0.0006 |
| 18771.0 | 0.00092 |
| 18776.0 | 0.00083 |
| 18781.0 | 0.00089 |
| 18786.0 | 0.00037 |
| 18791.0 |  0.0011 |
| 18796.0 | 0.00048 |
| 18801.0 | 0.00023 |
| 18806.0 |   0.001 |
| 18811.0 |   1e-06 |
| 18816.0 | 0.00039 |
| 18821.0 | 0.00027 |
| 18826.0 | 0.00044 |
| 18831.0 | 0.00034 |
| 18836.0 | 0.00066 |
| 18841.0 | 0.00082 |
| 18846.0 | 0.00048 |
| 18851.0 | 0.00035 |
| 18856.0 | 0.00065 |
| 18861.0 | 0.00047 |
| 18866.0 |  0.0008 |
| 18871.0 | 0.00064 |
| 18876.0 |  0.0008 |
| 18881.0 | 0.00076 |
| 18886.0 | 0.00084 |
| 18891.0 |  0.0012 |
| 18896.0 | 0.00013 |
| 18901.0 | 0.00063 |
| 18906.0 | 0.00065 |
| 18911.0 | 0.00054 |
| 18916.0 |  0.0003 |
| 18921.0 | 0.00145 |
| 18926.0 |  0.0009 |
| 18931.0 | 0.00079 |
| 18936.0 |   6e-05 |
| 18941.0 | 0.00104 |
| 18946.0 |  0.0006 |
| 18951.0 | 0.00129 |
| 18956.0 | 0.00097 |
| 18961.0 | 0.00151 |
| 18966.0 | 0.00026 |
| 18971.0 | 0.00043 |
| 18976.0 | 0.00092 |
| 18981.0 | 0.00056 |
| 18986.0 | 0.00037 |
| 18991.0 | 0.00021 |
| 18996.0 |  0.0006 |
| 19001.0 | 0.00049 |
| 19006.0 | 0.00095 |
| 19011.0 | 0.00052 |
| 19016.0 | 0.00041 |
| 19021.0 | 0.00058 |
| 19026.0 | 0.00049 |
| 19031.0 | 0.00016 |
| 19036.0 | 0.00109 |
| 19041.0 | 0.00132 |
| 19046.0 | 0.00127 |
| 19051.0 |  0.0008 |
| 19056.0 | 0.00084 |
| 19061.0 | 0.00061 |
| 19066.0 | 0.00145 |
| 19071.0 | 0.00062 |
| 19076.0 | 0.00076 |
| 19081.0 | 0.00089 |
| 19086.0 | 0.00083 |
| 19091.0 | 0.00044 |
| 19096.0 | 0.00092 |
| 19101.0 |  0.0008 |
| 19106.0 | 0.00078 |
| 19111.0 |  0.0006 |
| 19116.0 | 0.00101 |
| 19121.0 | 0.00089 |
| 19126.0 | 0.00088 |
| 19131.0 | 0.00089 |
| 19136.0 | 0.00107 |
| 19141.0 | 0.00126 |
| 19146.0 | 0.00103 |
| 19151.0 | 0.00135 |
| 19156.0 |  0.0009 |
| 19161.0 | 0.00091 |
| 19166.0 | 0.00115 |
| 19171.0 | 0.00109 |
| 19176.0 | 0.00101 |
| 19181.0 |  0.0009 |
| 19186.0 | 0.00072 |
| 19191.0 | 0.00122 |
| 19196.0 | 0.00104 |
| 19201.0 | 0.00149 |
| 19206.0 | 0.00129 |
| 19211.0 | 0.00118 |
| 19216.0 | 0.00149 |
| 19221.0 | 0.00109 |
| 19226.0 |  0.0014 |
| 19231.0 | 0.00157 |
| 19236.0 | 0.00106 |
| 19241.0 | 0.00151 |
| 19246.0 | 0.00147 |
| 19251.0 | 0.00084 |
| 19256.0 | 0.00142 |
| 19261.0 | 0.00111 |
| 19266.0 | 0.00158 |
| 19271.0 | 0.00145 |
| 19276.0 | 0.00182 |
| 19281.0 | 0.00095 |
| 19286.0 | 0.00203 |
| 19291.0 | 0.00203 |
| 19296.0 | 0.00197 |
| 19301.0 | 0.00196 |
| 19306.0 | 0.00205 |
| 19311.0 | 0.00159 |
| 19316.0 | 0.00207 |
| 19321.0 |  0.0017 |
| 19326.0 | 0.00197 |
| 19331.0 | 0.00209 |
| 19336.0 | 0.00219 |
| 19341.0 | 0.00218 |
| 19346.0 | 0.00214 |
| 19351.0 | 0.00249 |
| 19356.0 | 0.00237 |
| 19361.0 | 0.00232 |
| 19366.0 | 0.00257 |
| 19371.0 | 0.00287 |
| 19376.0 |  0.0027 |
| 19381.0 | 0.00304 |
| 19386.0 | 0.00346 |
| 19391.0 | 0.00341 |
| 19396.0 | 0.00343 |
| 19401.0 | 0.00332 |
| 19406.0 | 0.00361 |
| 19411.0 | 0.00313 |
| 19416.0 | 0.00381 |
| 19421.0 | 0.00349 |
| 19426.0 | 0.00354 |
| 19431.0 | 0.00411 |
| 19436.0 | 0.00415 |
| 19441.0 | 0.00424 |
| 19446.0 |  0.0049 |
| 19451.0 | 0.00439 |
| 19456.0 | 0.00506 |
| 19461.0 | 0.00566 |
| 19466.0 | 0.00497 |
| 19471.0 | 0.00548 |
| 19476.0 | 0.00536 |
| 19481.0 | 0.00576 |
| 19486.0 | 0.00615 |
| 19491.0 | 0.00681 |
| 19496.0 | 0.00635 |
| 19501.0 | 0.00683 |
| 19506.0 | 0.00737 |
| 19511.0 |  0.0075 |
| 19516.0 | 0.00665 |
| 19521.0 | 0.00835 |
| 19526.0 | 0.00875 |
| 19531.0 | 0.00844 |
| 19536.0 | 0.00944 |
| 19541.0 | 0.00878 |
| 19546.0 |  0.0099 |
| 19551.0 | 0.01017 |
| 19556.0 | 0.01017 |
| 19561.0 |  0.0112 |
| 19566.0 | 0.01127 |
| 19571.0 | 0.01178 |
| 19576.0 | 0.01294 |
| 19581.0 | 0.01284 |
| 19586.0 | 0.01362 |
| 19591.0 | 0.01347 |
| 19596.0 | 0.01454 |
| 19601.0 | 0.01541 |
| 19606.0 | 0.01595 |
| 19611.0 | 0.01703 |
| 19616.0 | 0.01802 |
| 19621.0 | 0.01836 |
| 19626.0 | 0.01869 |
| 19631.0 | 0.01995 |
| 19636.0 | 0.02128 |
| 19641.0 | 0.02144 |
| 19646.0 | 0.02233 |
| 19651.0 | 0.02348 |
| 19656.0 | 0.02476 |
| 19661.0 | 0.02625 |
| 19666.0 | 0.02702 |
| 19671.0 | 0.02824 |
| 19676.0 | 0.02982 |
| 19681.0 |  0.0308 |
| 19686.0 | 0.03172 |
| 19691.0 | 0.03378 |
| 19696.0 | 0.03525 |
| 19701.0 | 0.03762 |
| 19706.0 | 0.03893 |
| 19711.0 | 0.04082 |
| 19716.0 | 0.04252 |
| 19721.0 | 0.04455 |
| 19726.0 | 0.04614 |
| 19731.0 | 0.04851 |
| 19736.0 | 0.05097 |
| 19741.0 | 0.05381 |
| 19746.0 | 0.05547 |
| 19751.0 | 0.05864 |
| 19756.0 | 0.06107 |
| 19761.0 | 0.06394 |
| 19766.0 | 0.06722 |
| 19771.0 | 0.07029 |
| 19776.0 | 0.07338 |
| 19781.0 |  0.0772 |
| 19786.0 | 0.08001 |
| 19791.0 | 0.08414 |
| 19796.0 | 0.08858 |
| 19801.0 | 0.09301 |
| 19806.0 | 0.09729 |
| 19811.0 | 0.10167 |
| 19816.0 | 0.10611 |
| 19821.0 | 0.11101 |
| 19826.0 | 0.11672 |
| 19831.0 | 0.12266 |
| 19836.0 | 0.12844 |
| 19841.0 |  0.1333 |
| 19846.0 | 0.13989 |
| 19851.0 | 0.14607 |
| 19856.0 | 0.15259 |
| 19861.0 | 0.16075 |
| 19866.0 | 0.16778 |
| 19871.0 | 0.17505 |
| 19876.0 |   0.183 |
| 19881.0 | 0.19045 |
| 19886.0 | 0.19942 |
| 19891.0 | 0.20828 |
| 19896.0 | 0.21802 |
| 19901.0 | 0.22761 |
| 19906.0 | 0.23678 |
| 19911.0 | 0.24679 |
| 19916.0 | 0.25662 |
| 19921.0 | 0.26818 |
| 19926.0 | 0.28022 |
| 19931.0 | 0.29149 |
| 19936.0 | 0.30256 |
| 19941.0 |  0.3141 |
| 19946.0 | 0.32671 |
| 19951.0 | 0.33989 |
| 19956.0 | 0.35257 |
| 19961.0 | 0.36672 |
| 19966.0 | 0.37971 |
| 19971.0 | 0.39224 |
| 19976.0 | 0.40586 |
| 19981.0 | 0.42014 |
| 19986.0 | 0.43534 |
| 19991.0 | 0.44972 |
| 19996.0 | 0.46371 |
| 20001.0 | 0.47733 |
| 20006.0 | 0.49127 |
| 20011.0 | 0.50603 |
| 20016.0 | 0.52137 |
| 20021.0 | 0.53618 |
| 20026.0 | 0.54998 |
| 20031.0 | 0.56344 |
| 20036.0 | 0.57699 |
| 20041.0 | 0.59119 |
| 20046.0 | 0.60356 |
| 20051.0 | 0.61841 |
| 20056.0 | 0.63243 |
| 20061.0 | 0.64436 |
| 20066.0 | 0.65563 |
| 20071.0 | 0.66791 |
| 20076.0 | 0.68042 |
| 20081.0 |  0.6919 |
| 20086.0 | 0.70315 |
| 20091.0 | 0.71335 |
| 20096.0 | 0.72292 |
| 20101.0 | 0.73287 |
| 20106.0 | 0.74203 |
| 20111.0 | 0.75106 |
| 20116.0 | 0.76015 |
| 20121.0 | 0.76812 |
| 20126.0 |  0.7743 |
| 20131.0 | 0.78094 |
| 20136.0 | 0.78733 |
| 20141.0 |  0.7936 |
| 20146.0 | 0.79954 |
