# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): BASS-g
# 
# Instrument: Bok/90Prime
# 
# Determined by: 
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# Taken from https://speclite.readthedocs.io/en/stable/filters.html#desi-imaging-survey-filters
# See also https://desi.lbl.gov/trac/wiki/ImagingStandardBandpass
# 
# Filter measured at a mean airmass of 1.1.
# 
# J. Moustakas, 2018-Oct 5, Siena College
|  lambda |        pass |
| 3874.38 |        -0.0 |
| 3889.28 |  0.00132918 |
| 3901.67 |  0.00333882 |
| 3909.03 |  0.00669621 |
|  3918.8 |   0.0114249 |
| 3923.57 |   0.0181771 |
| 3928.21 |   0.0276486 |
| 3928.38 |   0.0229295 |
| 3932.86 |   0.0317476 |
| 3933.06 |   0.0317498 |
| 3940.13 |   0.0433419 |
|  3944.7 |   0.0556203 |
| 3944.89 |   0.0495189 |
| 3949.39 |    0.063863 |
| 3951.57 |   0.0727493 |
| 3953.76 |   0.0816488 |
| 3958.37 |   0.0926795 |
| 3966.61 |    0.143502 |
| 3975.25 |    0.182288 |
| 4008.42 |    0.309021 |
| 4044.86 |     0.41517 |
| 4046.97 |    0.421765 |
| 4051.81 |     0.43225 |
| 4059.06 |    0.440278 |
|  4063.8 |    0.447984 |
| 4066.07 |    0.454656 |
| 4070.81 |    0.463106 |
| 4080.57 |    0.470194 |
| 4087.86 |    0.476949 |
| 4102.54 |    0.487674 |
| 4124.68 |    0.499503 |
| 4141.94 |    0.506959 |
| 4154.16 |    0.516541 |
|  4163.9 |    0.524307 |
| 4178.53 |    0.536268 |
| 4195.67 |    0.547906 |
|  4203.0 |    0.553295 |
| 4240.33 |    0.560321 |
|  4252.9 |    0.558527 |
| 4287.76 |    0.564374 |
| 4292.64 |    0.568042 |
| 4310.15 |    0.568794 |
| 4315.05 |    0.571651 |
| 4330.04 |    0.571885 |
|  4352.5 |    0.573596 |
| 4362.38 |    0.577708 |
| 4382.22 |    0.582952 |
| 4397.07 |    0.586914 |
| 4404.35 |    0.594637 |
| 4419.16 |    0.600941 |
| 4429.02 |    0.605166 |
| 4433.85 |    0.611133 |
| 4448.82 |    0.612156 |
| 4458.56 |    0.621107 |
| 4465.95 |    0.624376 |
| 4493.36 |    0.627933 |
| 4501.01 |    0.623421 |
| 4513.63 |    0.617886 |
| 4523.76 |    0.612763 |
| 4538.95 |    0.604971 |
| 4546.74 |    0.593953 |
| 4557.11 |    0.580772 |
|  4572.1 |    0.579842 |
| 4584.65 |    0.577057 |
| 4599.59 |    0.576812 |
| 4611.98 |    0.579462 |
| 4621.84 |     0.58266 |
| 4636.57 |     0.59022 |
| 4648.79 |    0.597589 |
| 4656.03 |    0.605385 |
| 4665.79 |     0.61262 |
| 4680.48 |      0.6212 |
| 4687.74 |    0.628375 |
| 4692.49 |     0.63613 |
| 4702.23 |    0.644444 |
| 4714.46 |    0.652206 |
| 4731.69 |    0.658676 |
| 4739.03 |    0.663288 |
| 4748.77 |    0.664711 |
| 4748.93 |    0.664721 |
| 4785.99 |    0.674095 |
| 4795.93 |     0.67402 |
| 4810.99 |    0.670389 |
| 4836.01 |    0.666876 |
| 4855.86 |    0.668645 |
| 4860.93 |    0.665801 |
| 4875.87 |    0.666268 |
| 4885.75 |    0.668739 |
| 4898.25 |    0.667242 |
| 4925.64 |     0.66655 |
| 4965.34 |    0.670078 |
| 5015.09 |    0.670838 |
| 5077.24 |    0.677254 |
| 5114.48 |    0.683807 |
| 5139.46 |    0.681911 |
| 5147.07 |    0.678115 |
| 5179.59 |    0.674633 |
| 5207.19 |    0.668069 |
| 5247.14 |    0.664821 |
| 5269.64 |     0.66276 |
| 5279.47 |    0.667242 |
| 5311.98 |    0.662969 |
| 5329.54 |    0.659186 |
| 5334.84 |    0.648263 |
|  5355.1 |    0.637782 |
| 5365.33 |    0.628714 |
| 5380.57 |    0.618958 |
| 5403.25 |    0.611155 |
| 5425.51 |    0.616153 |
| 5437.79 |    0.622533 |
| 5450.06 |    0.628915 |
| 5460.39 |     0.61638 |
| 5460.68 |    0.615531 |
| 5463.36 |     0.60018 |
| 5466.09 |    0.592544 |
| 5466.32 |    0.584833 |
| 5469.48 |    0.562625 |
| 5470.18 |    0.524049 |
| 5470.81 |    0.517203 |
| 5476.92 |    0.479605 |
| 5477.82 |    0.475335 |
| 5478.46 |    0.343213 |
| 5479.37 |    0.395569 |
| 5484.55 |    0.305545 |
| 5507.14 |    0.131447 |
| 5512.58 |     0.11601 |
| 5523.21 |     0.09371 |
| 5531.35 |   0.0713806 |
| 5536.78 |   0.0559119 |
|  5542.0 |   0.0481793 |
| 5544.72 |     0.04044 |
|  5552.4 |   0.0327042 |
| 5555.11 |   0.0258211 |
| 5567.78 |   0.0180806 |
| 5585.46 |   0.0103349 |
| 5603.01 |  0.00689138 |
| 5615.53 |  0.00430764 |
| 5625.53 |  0.00344641 |
| 5660.43 |  0.00258565 |
| 5690.37 | 0.000862196 |
| 5740.19 | 0.000862954 |
| 5804.96 | 0.000866955 |
| 5869.73 | 0.000871489 |
| 5949.46 |         0.0 |
| 6009.25 |         0.0 |
| 6151.24 |         0.0 |
| 6278.29 |         0.0 |
| 6395.37 |         0.0 |
|  6495.0 | 0.000901144 |
|  6496.0 |         0.0 |
