# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): BASS-r
# 
# Instrument: Bok/90Prime
# 
# Determined by: 
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# Taken from https://speclite.readthedocs.io/en/stable/filters.html#desi-imaging-survey-filters
# See also https://desi.lbl.gov/trac/wiki/ImagingStandardBandpass
# 
# Filter measured at a mean airmass of 1.1.
# 
# J. Moustakas, 2018-Oct 5, Siena College
| lambda |        pass |
| 5550.0 |         0.0 |
| 5560.0 | 0.000860821 |
| 5570.0 | 0.000861021 |
| 5580.0 |  0.00172234 |
| 5590.0 |  0.00172258 |
| 5600.0 |  0.00344558 |
| 5610.0 |   0.0051689 |
| 5620.0 |  0.00947718 |
| 5630.0 |   0.0163711 |
| 5640.0 |   0.0292983 |
| 5650.0 |   0.0534312 |
| 5660.0 |   0.0965304 |
| 5670.0 |    0.164637 |
| 5680.0 |    0.259485 |
| 5690.0 |    0.368155 |
| 5700.0 |    0.469967 |
| 5710.0 |    0.553705 |
| 5720.0 |     0.61504 |
| 5730.0 |     0.65656 |
| 5740.0 |    0.683457 |
| 5750.0 |    0.699199 |
| 5760.0 |    0.706397 |
| 5770.0 |    0.708526 |
| 5780.0 |    0.709061 |
| 5790.0 |       0.708 |
| 5800.0 |    0.707901 |
| 5810.0 |    0.709585 |
| 5820.0 |    0.712151 |
| 5830.0 |    0.716428 |
| 5840.0 |    0.720638 |
| 5850.0 |    0.723883 |
| 5860.0 |    0.726944 |
| 5870.0 |    0.727674 |
| 5880.0 |    0.726604 |
| 5890.0 |    0.724687 |
| 5900.0 |    0.724799 |
| 5910.0 |    0.724528 |
| 5920.0 |    0.724921 |
| 5930.0 |    0.726169 |
| 5940.0 |    0.725872 |
| 5950.0 |     0.72501 |
| 5960.0 |    0.724798 |
| 5970.0 |    0.723439 |
| 5980.0 |    0.722042 |
| 5990.0 |    0.719862 |
| 6000.0 |    0.718601 |
| 6010.0 |    0.718154 |
| 6020.0 |    0.718401 |
| 6030.0 |     0.71855 |
| 6040.0 |    0.720472 |
| 6050.0 |    0.721595 |
| 6060.0 |    0.723688 |
| 6070.0 |    0.724129 |
