# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): g
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
| lambda |         pass |
| 3830.0 | 6.472562e-05 |
| 3835.0 | 6.472562e-05 |
| 3840.0 | 6.472562e-05 |
| 3845.0 | 6.472562e-05 |
| 3850.0 | 6.652355e-05 |
| 3855.0 | 6.652355e-05 |
| 3860.0 | 6.652355e-05 |
| 3865.0 | 6.652355e-05 |
| 3870.0 | 6.832148e-05 |
| 3875.0 | 6.832148e-05 |
| 3880.0 | 6.832148e-05 |
| 3885.0 | 6.832148e-05 |
| 3890.0 | 0.0001384409 |
| 3895.0 | 0.0001402388 |
| 3900.0 | 0.0001402388 |
| 3905.0 | 0.0001420368 |
| 3910.0 | 0.0002139541 |
| 3915.0 | 0.0002139541 |
| 3920.0 | 0.0002876694 |
| 3925.0 | 0.0002894673 |
| 3930.0 | 0.0002930632 |
| 3935.0 | 0.0003667785 |
| 3940.0 | 0.0003703744 |
| 3945.0 | 0.0004476855 |
| 3950.0 | 0.0004494835 |
| 3955.0 | 0.0005285925 |
| 3960.0 | 0.0005303905 |
| 3965.0 | 0.0006112975 |
| 3970.0 | 0.0007677177 |
| 3975.0 | 0.0009277338 |
| 3980.0 |  0.001089548 |
| 3985.0 |  0.001330471 |
| 3990.0 |  0.001654099 |
| 3995.0 |  0.001981323 |
| 4000.0 |   0.00239305 |
| 4005.0 |  0.002876694 |
| 4010.0 |  0.003363934 |
| 4015.0 |  0.003935677 |
| 4020.0 |  0.004426513 |
| 4025.0 |  0.005001852 |
| 4030.0 |  0.005661694 |
| 4035.0 |   0.00640424 |
| 4040.0 |  0.007394902 |
| 4045.0 |  0.008714585 |
| 4050.0 |   0.01069411 |
| 4055.0 |   0.01341978 |
| 4060.0 |   0.01730511 |
| 4065.0 |   0.02260542 |
| 4070.0 |   0.02949331 |
| 4075.0 |   0.03831217 |
| 4080.0 |   0.04924001 |
| 4085.0 |    0.0619568 |
| 4090.0 |   0.07656321 |
| 4095.0 |   0.09224299 |
| 4100.0 |    0.1091723 |
| 4105.0 |    0.1274052 |
| 4110.0 |    0.1469757 |
| 4115.0 |    0.1699875 |
| 4120.0 |    0.1971363 |
| 4125.0 |    0.2294649 |
| 4130.0 |     0.269379 |
| 4135.0 |    0.3149836 |
| 4140.0 |    0.3685153 |
| 4145.0 |    0.4295893 |
| 4150.0 |    0.4938996 |
| 4155.0 |    0.5611567 |
| 4160.0 |    0.6245015 |
| 4165.0 |     0.679236 |
| 4170.0 |    0.7223289 |
| 4175.0 |    0.7517323 |
| 4180.0 |    0.7694276 |
| 4185.0 |    0.7785377 |
| 4190.0 |    0.7824051 |
| 4195.0 |    0.7837373 |
| 4200.0 |    0.7841581 |
| 4205.0 |    0.7835863 |
| 4210.0 |    0.7815456 |
| 4215.0 |     0.776898 |
| 4220.0 |    0.7693898 |
| 4225.0 |    0.7584961 |
| 4230.0 |    0.7459681 |
| 4235.0 |    0.7327389 |
| 4240.0 |    0.7209535 |
| 4245.0 |    0.7126398 |
| 4250.0 |    0.7089253 |
| 4255.0 |    0.7108743 |
| 4260.0 |    0.7184436 |
| 4265.0 |    0.7311855 |
| 4270.0 |    0.7477751 |
| 4275.0 |    0.7672287 |
| 4280.0 |    0.7868028 |
| 4285.0 |     0.804588 |
| 4290.0 |     0.819572 |
| 4295.0 |    0.8304818 |
| 4300.0 |    0.8370892 |
| 4305.0 |    0.8393115 |
| 4310.0 |    0.8381392 |
| 4315.0 |    0.8345955 |
| 4320.0 |     0.829786 |
| 4325.0 |     0.824786 |
| 4330.0 |    0.8204943 |
| 4335.0 |    0.8174881 |
| 4340.0 |    0.8162997 |
| 4345.0 |    0.8169218 |
| 4350.0 |    0.8193993 |
| 4355.0 |    0.8226572 |
| 4360.0 |    0.8264814 |
| 4365.0 |    0.8305232 |
| 4370.0 |    0.8342341 |
| 4375.0 |    0.8371144 |
| 4380.0 |    0.8392144 |
| 4385.0 |    0.8408379 |
| 4390.0 |    0.8419347 |
| 4395.0 |    0.8432741 |
| 4400.0 |    0.8450253 |
| 4405.0 |    0.8473572 |
| 4410.0 |    0.8504263 |
| 4415.0 |    0.8543098 |
| 4420.0 |    0.8583246 |
| 4425.0 |    0.8631089 |
| 4430.0 |    0.8677763 |
| 4435.0 |      0.87262 |
| 4440.0 |    0.8775266 |
| 4445.0 |    0.8822839 |
| 4450.0 |     0.887052 |
| 4455.0 |    0.8917176 |
| 4460.0 |    0.8960129 |
| 4465.0 |    0.8998605 |
| 4470.0 |    0.9029421 |
| 4475.0 |    0.9049918 |
| 4480.0 |    0.9060328 |
| 4485.0 |      0.90563 |
| 4490.0 |    0.9040047 |
| 4495.0 |    0.9016153 |
| 4500.0 |    0.8984941 |
| 4505.0 |    0.8944199 |
| 4510.0 |    0.8909265 |
| 4515.0 |    0.8885119 |
| 4520.0 |    0.8876058 |
| 4525.0 |    0.8883986 |
| 4530.0 |    0.8907144 |
| 4535.0 |     0.895238 |
| 4540.0 |    0.9008799 |
| 4545.0 |    0.9077912 |
| 4550.0 |     0.914893 |
| 4555.0 |    0.9219823 |
| 4560.0 |    0.9283811 |
| 4565.0 |    0.9335016 |
| 4570.0 |    0.9376009 |
| 4575.0 |    0.9404506 |
| 4580.0 |    0.9423762 |
| 4585.0 |    0.9435053 |
| 4590.0 |    0.9441921 |
| 4595.0 |    0.9446021 |
| 4600.0 |    0.9446992 |
| 4605.0 |    0.9447621 |
| 4610.0 |    0.9447387 |
| 4615.0 |    0.9446542 |
| 4620.0 |    0.9444816 |
| 4625.0 |    0.9440986 |
| 4630.0 |    0.9439224 |
| 4635.0 |    0.9431925 |
| 4640.0 |    0.9425362 |
| 4645.0 |    0.9416193 |
| 4650.0 |    0.9403823 |
| 4655.0 |    0.9389422 |
| 4660.0 |    0.9369608 |
| 4665.0 |    0.9345336 |
| 4670.0 |    0.9321891 |
| 4675.0 |    0.9297493 |
| 4680.0 |    0.9276386 |
| 4685.0 |    0.9258784 |
| 4690.0 |    0.9247781 |
| 4695.0 |    0.9242962 |
| 4700.0 |    0.9242243 |
| 4705.0 |    0.9242584 |
| 4710.0 |    0.9246702 |
| 4715.0 |    0.9248985 |
| 4720.0 |    0.9252743 |
| 4725.0 |    0.9256069 |
| 4730.0 |    0.9261481 |
| 4735.0 |    0.9273922 |
| 4740.0 |    0.9293898 |
| 4745.0 |    0.9326584 |
| 4750.0 |    0.9368835 |
| 4755.0 |    0.9424769 |
| 4760.0 |    0.9487283 |
| 4765.0 |    0.9554634 |
| 4770.0 |    0.9624591 |
| 4775.0 |    0.9686818 |
| 4780.0 |    0.9740504 |
| 4785.0 |    0.9779699 |
| 4790.0 |     0.980701 |
| 4795.0 |    0.9823641 |
| 4800.0 |    0.9834123 |
| 4805.0 |    0.9842321 |
| 4810.0 |    0.9852965 |
| 4815.0 |    0.9866468 |
| 4820.0 |    0.9887431 |
| 4825.0 |    0.9911344 |
| 4830.0 |    0.9939446 |
| 4835.0 |    0.9964868 |
| 4840.0 |    0.9985994 |
| 4845.0 |    0.9999479 |
| 4850.0 |          1.0 |
| 4855.0 |     0.999297 |
| 4860.0 |    0.9975224 |
| 4865.0 |     0.994759 |
| 4870.0 |    0.9917529 |
| 4875.0 |    0.9881067 |
| 4880.0 |    0.9844083 |
| 4885.0 |     0.980665 |
| 4890.0 |    0.9772525 |
| 4895.0 |    0.9744999 |
| 4900.0 |    0.9722848 |
| 4905.0 |     0.970967 |
| 4910.0 |    0.9705283 |
| 4915.0 |    0.9711953 |
| 4920.0 |    0.9727307 |
| 4925.0 |    0.9754294 |
| 4930.0 |    0.9786783 |
| 4935.0 |    0.9821753 |
| 4940.0 |    0.9850915 |
| 4945.0 |    0.9870872 |
| 4950.0 |    0.9872131 |
| 4955.0 |    0.9850106 |
| 4960.0 |    0.9802785 |
| 4965.0 |     0.973031 |
| 4970.0 |    0.9635828 |
| 4975.0 |     0.952637 |
| 4980.0 |    0.9404884 |
| 4985.0 |    0.9282319 |
| 4990.0 |    0.9168312 |
| 4995.0 |    0.9065182 |
| 5000.0 |    0.8984077 |
| 5005.0 |    0.8919693 |
| 5010.0 |    0.8878988 |
| 5015.0 |    0.8865738 |
| 5020.0 |    0.8871527 |
| 5025.0 |    0.8893587 |
| 5030.0 |    0.8931074 |
| 5035.0 |    0.8976634 |
| 5040.0 |    0.9025268 |
| 5045.0 |    0.9073381 |
