# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): i
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
| lambda |         pass |
| 6295.0 | 0.0001162523 |
| 6300.0 | 0.0001162523 |
| 6305.0 | 0.0001162523 |
| 6310.0 | 0.0001162523 |
| 6315.0 | 0.0001162523 |
| 6320.0 | 0.0001162523 |
| 6325.0 | 0.0001162523 |
| 6330.0 | 0.0001162523 |
| 6335.0 | 0.0001162523 |
| 6340.0 | 0.0001162523 |
| 6345.0 | 0.0001162523 |
| 6350.0 | 0.0001162523 |
| 6355.0 | 0.0001162523 |
| 6360.0 | 0.0001162523 |
| 6365.0 | 0.0001162523 |
| 6370.0 | 0.0002325046 |
| 6375.0 | 0.0002325046 |
| 6380.0 | 0.0002325046 |
| 6385.0 | 0.0002325046 |
| 6390.0 | 0.0002325046 |
| 6395.0 | 0.0002325046 |
| 6400.0 | 0.0002325046 |
| 6405.0 | 0.0002325046 |
| 6410.0 | 0.0002325046 |
| 6415.0 | 0.0002325046 |
| 6420.0 | 0.0003487568 |
| 6425.0 | 0.0003487568 |
| 6430.0 | 0.0003487568 |
| 6435.0 | 0.0003487568 |
| 6440.0 | 0.0004650091 |
| 6445.0 | 0.0004650091 |
| 6450.0 | 0.0004650091 |
| 6455.0 | 0.0004650091 |
| 6460.0 | 0.0004628954 |
| 6465.0 | 0.0005791477 |
| 6470.0 | 0.0005791477 |
| 6475.0 | 0.0005791477 |
| 6480.0 |    0.0006954 |
| 6485.0 |    0.0006954 |
| 6490.0 |    0.0006954 |
| 6495.0 | 0.0008095386 |
| 6500.0 | 0.0008095386 |
| 6505.0 | 0.0009257909 |
| 6510.0 | 0.0009257909 |
| 6515.0 | 0.0009236772 |
| 6520.0 |  0.001039929 |
| 6525.0 |  0.001037816 |
| 6530.0 |  0.001154068 |
| 6535.0 |  0.001268207 |
| 6540.0 |  0.001266093 |
| 6545.0 |  0.001380232 |
| 6550.0 |   0.00149437 |
| 6555.0 |  0.001608509 |
| 6560.0 |  0.001608509 |
| 6565.0 |  0.001720534 |
| 6570.0 |  0.001834672 |
| 6575.0 |  0.001948811 |
| 6580.0 |  0.002060836 |
| 6585.0 |  0.002174974 |
| 6590.0 |  0.002286999 |
| 6595.0 |  0.002515277 |
| 6600.0 |  0.002627302 |
| 6605.0 |  0.002853465 |
| 6610.0 |   0.00296549 |
| 6615.0 |  0.003191654 |
| 6620.0 |  0.003417817 |
| 6625.0 |  0.003643981 |
| 6630.0 |  0.003870144 |
| 6635.0 |  0.004094194 |
| 6640.0 |  0.004320358 |
| 6645.0 |  0.004656432 |
| 6650.0 |  0.004880482 |
| 6655.0 |  0.005332809 |
| 6660.0 |  0.005668884 |
| 6665.0 |  0.006004959 |
| 6670.0 |  0.006455172 |
| 6675.0 |  0.006903272 |
| 6680.0 |  0.007351372 |
| 6685.0 |  0.007909382 |
| 6690.0 |  0.008355368 |
| 6695.0 |  0.009025404 |
| 6700.0 |  0.009583415 |
| 6705.0 |   0.01025134 |
| 6710.0 |   0.01103129 |
| 6715.0 |   0.01192537 |
| 6720.0 |   0.01270743 |
| 6725.0 |   0.01370931 |
| 6730.0 |    0.0147112 |
| 6735.0 |   0.01582299 |
| 6740.0 |   0.01704681 |
| 6745.0 |   0.01837843 |
| 6750.0 |   0.01981996 |
| 6755.0 |   0.02126149 |
| 6760.0 |   0.02303909 |
| 6765.0 |   0.02492238 |
| 6770.0 |   0.02680566 |
| 6775.0 |    0.0290208 |
| 6780.0 |   0.03134584 |
| 6785.0 |   0.03389494 |
| 6790.0 |   0.03666386 |
| 6795.0 |    0.0396526 |
| 6800.0 |    0.0430831 |
| 6805.0 |   0.04661928 |
| 6810.0 |   0.05048731 |
| 6815.0 |   0.05479287 |
| 6820.0 |   0.05931403 |
| 6825.0 |   0.06393875 |
| 6830.0 |   0.06905808 |
| 6835.0 |   0.07444373 |
| 6840.0 |   0.08041065 |
| 6845.0 |   0.08672843 |
| 6850.0 |   0.09360845 |
| 6855.0 |    0.1011564 |
| 6860.0 |    0.1090383 |
| 6865.0 |    0.1177615 |
| 6870.0 |    0.1272075 |
| 6875.0 |     0.137258 |
| 6880.0 |    0.1479025 |
| 6885.0 |    0.1604366 |
| 6890.0 |    0.1738711 |
| 6895.0 |     0.188316 |
| 6900.0 |     0.203674 |
| 6905.0 |    0.2200783 |
| 6910.0 |     0.237514 |
| 6915.0 |    0.2555288 |
| 6920.0 |    0.2748986 |
| 6925.0 |    0.2950208 |
| 6930.0 |    0.3160857 |
| 6935.0 |    0.3383998 |
| 6940.0 |    0.3612254 |
| 6945.0 |    0.3849282 |
| 6950.0 |    0.4093877 |
| 6955.0 |    0.4338556 |
| 6960.0 |    0.4593043 |
| 6965.0 |    0.4846684 |
| 6970.0 |    0.5108125 |
| 6975.0 |    0.5378845 |
| 6980.0 |    0.5646458 |
| 6985.0 |     0.589938 |
| 6990.0 |    0.6149682 |
| 6995.0 |    0.6394763 |
| 7000.0 |     0.664293 |
| 7005.0 |    0.6878309 |
| 7010.0 |    0.7106586 |
| 7015.0 |    0.7336808 |
| 7020.0 |    0.7553524 |
| 7025.0 |    0.7769288 |
| 7030.0 |    0.7972814 |
| 7035.0 |    0.8167336 |
| 7040.0 |     0.835818 |
| 7045.0 |    0.8532347 |
| 7050.0 |    0.8698418 |
| 7055.0 |    0.8856986 |
| 7060.0 |    0.8998899 |
| 7065.0 |    0.9136415 |
| 7070.0 |    0.9259769 |
| 7075.0 |    0.9372745 |
| 7080.0 |    0.9478281 |
| 7085.0 |    0.9570881 |
| 7090.0 |    0.9654752 |
| 7095.0 |    0.9727188 |
| 7100.0 |    0.9787639 |
| 7105.0 |    0.9839847 |
| 7110.0 |    0.9883346 |
| 7115.0 |    0.9919215 |
| 7120.0 |    0.9948447 |
| 7125.0 |    0.9970599 |
| 7130.0 |    0.9983957 |
| 7135.0 |    0.9994018 |
| 7140.0 |          1.0 |
| 7145.0 |    0.9917059 |
| 7150.0 |    0.9828729 |
| 7155.0 |    0.9738094 |
| 7160.0 |     0.964505 |
| 7165.0 |      0.95493 |
| 7170.0 |    0.9451078 |
| 7175.0 |    0.9353067 |
| 7180.0 |    0.9253491 |
| 7185.0 |    0.9276763 |
| 7190.0 |    0.9297836 |
| 7195.0 |    0.9317874 |
| 7200.0 |    0.9337531 |
| 7205.0 |     0.935778 |
| 7210.0 |    0.9379361 |
| 7215.0 |    0.9398067 |
| 7220.0 |    0.9418802 |
| 7225.0 |    0.9408931 |
| 7230.0 |     0.939775 |
| 7235.0 |    0.9387667 |
| 7240.0 |     0.937619 |
| 7245.0 |    0.9365453 |
| 7250.0 |    0.9354863 |
| 7255.0 |    0.9347022 |
| 7260.0 |    0.9338165 |
| 7265.0 |    0.9330154 |
| 7270.0 |    0.9322143 |
| 7275.0 |    0.9314598 |
| 7280.0 |    0.9309757 |
| 7285.0 |    0.9301345 |
| 7290.0 |     0.929456 |
| 7295.0 |    0.9288008 |
| 7300.0 |    0.9283231 |
| 7305.0 |     0.930999 |
| 7310.0 |     0.933789 |
| 7315.0 |    0.9367545 |
| 7320.0 |    0.9396524 |
| 7325.0 |    0.9423198 |
| 7330.0 |    0.9453741 |
| 7335.0 |    0.9481451 |
| 7340.0 |    0.9511191 |
| 7345.0 |    0.9502229 |
| 7350.0 |    0.9493309 |
| 7355.0 |    0.9483312 |
| 7360.0 |    0.9476421 |
