# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): r
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
| lambda |         pass |
| 5020.0 | 0.0001156052 |
| 5025.0 | 0.0001156052 |
| 5030.0 | 0.0001156052 |
| 5035.0 | 0.0001156052 |
| 5040.0 | 0.0001156052 |
| 5045.0 | 0.0001156052 |
| 5050.0 | 0.0001156052 |
| 5055.0 | 0.0001156052 |
| 5060.0 | 0.0001156052 |
| 5065.0 | 0.0001156052 |
| 5070.0 | 0.0001156052 |
| 5075.0 | 0.0001156052 |
| 5080.0 | 0.0001156052 |
| 5085.0 | 0.0001156052 |
| 5090.0 | 0.0001156052 |
| 5095.0 | 0.0001156052 |
| 5100.0 | 0.0001156052 |
| 5105.0 | 0.0001156052 |
| 5110.0 | 0.0001156052 |
| 5115.0 |   0.00011371 |
| 5120.0 |   0.00011371 |
| 5125.0 | 0.0002293152 |
| 5130.0 | 0.0002293152 |
| 5135.0 | 0.0002293152 |
| 5140.0 | 0.0002293152 |
| 5145.0 | 0.0002293152 |
| 5150.0 | 0.0002293152 |
| 5155.0 | 0.0002293152 |
| 5160.0 | 0.0002293152 |
| 5165.0 | 0.0002293152 |
| 5170.0 | 0.0003430252 |
| 5175.0 | 0.0003430252 |
| 5180.0 | 0.0003430252 |
| 5185.0 | 0.0003430252 |
| 5190.0 | 0.0003430252 |
| 5195.0 | 0.0004567352 |
| 5200.0 | 0.0004567352 |
| 5205.0 | 0.0004567352 |
| 5210.0 | 0.0004567352 |
| 5215.0 | 0.0005704453 |
| 5220.0 | 0.0005704453 |
| 5225.0 | 0.0005704453 |
| 5230.0 | 0.0006841553 |
| 5235.0 | 0.0006822601 |
| 5240.0 | 0.0007959701 |
| 5245.0 | 0.0007959701 |
| 5250.0 | 0.0009096801 |
| 5255.0 | 0.0009096801 |
| 5260.0 |  0.001021495 |
| 5265.0 |  0.001021495 |
| 5270.0 |  0.001135205 |
| 5275.0 |  0.001248915 |
| 5280.0 |   0.00136073 |
| 5285.0 |   0.00147444 |
| 5290.0 |  0.001586255 |
| 5295.0 |  0.001699965 |
| 5300.0 |   0.00181178 |
| 5305.0 |  0.001923594 |
| 5310.0 |  0.002149119 |
| 5315.0 |  0.002262829 |
| 5320.0 |  0.002488354 |
| 5325.0 |  0.002711984 |
| 5330.0 |  0.002937509 |
| 5335.0 |  0.003163034 |
| 5340.0 |  0.003500373 |
| 5345.0 |  0.003724003 |
| 5350.0 |  0.004175053 |
| 5355.0 |  0.004512393 |
| 5360.0 |  0.004961547 |
| 5365.0 |  0.005410702 |
| 5370.0 |  0.005857961 |
| 5375.0 |   0.00653264 |
| 5380.0 |  0.007091715 |
| 5385.0 |  0.007762604 |
| 5390.0 |  0.008545308 |
| 5395.0 |  0.009326117 |
| 5400.0 |   0.01022064 |
| 5405.0 |   0.01133499 |
| 5410.0 |   0.01244935 |
| 5415.0 |   0.01367742 |
| 5420.0 |   0.01501541 |
| 5425.0 |   0.01646331 |
| 5430.0 |   0.01824477 |
| 5435.0 |   0.02013804 |
| 5440.0 |   0.02214123 |
| 5445.0 |   0.02436806 |
| 5450.0 |   0.02692464 |
| 5455.0 |   0.02970485 |
| 5460.0 |   0.03292663 |
| 5465.0 |   0.03636825 |
| 5470.0 |   0.04024956 |
| 5475.0 |   0.04457243 |
| 5480.0 |   0.04922507 |
| 5485.0 |   0.05453911 |
| 5490.0 |   0.06029284 |
| 5495.0 |   0.06659996 |
| 5500.0 |    0.0735628 |
| 5505.0 |   0.08117379 |
| 5510.0 |   0.08944051 |
| 5515.0 |   0.09859416 |
| 5520.0 |    0.1082917 |
| 5525.0 |    0.1190771 |
| 5530.0 |    0.1305145 |
| 5535.0 |    0.1427231 |
| 5540.0 |    0.1561333 |
| 5545.0 |    0.1699586 |
| 5550.0 |    0.1848641 |
| 5555.0 |    0.2009673 |
| 5560.0 |    0.2176031 |
| 5565.0 |    0.2354271 |
| 5570.0 |    0.2537799 |
| 5575.0 |    0.2728567 |
| 5580.0 |    0.2924735 |
| 5585.0 |    0.3122041 |
| 5590.0 |    0.3322455 |
| 5595.0 |    0.3529331 |
| 5600.0 |    0.3733668 |
| 5605.0 |    0.3943008 |
| 5610.0 |    0.4149828 |
| 5615.0 |    0.4356572 |
| 5620.0 |    0.4568546 |
| 5625.0 |    0.4775252 |
| 5630.0 |    0.4984896 |
| 5635.0 |    0.5195941 |
| 5640.0 |    0.5402325 |
| 5645.0 |    0.5609922 |
| 5650.0 |    0.5813955 |
| 5655.0 |    0.6015468 |
| 5660.0 |    0.6215863 |
| 5665.0 |    0.6408185 |
| 5670.0 |    0.6597076 |
| 5675.0 |    0.6784015 |
| 5680.0 |    0.6961896 |
| 5685.0 |    0.7135645 |
| 5690.0 |    0.7305888 |
| 5695.0 |    0.7449901 |
| 5700.0 |    0.7592702 |
| 5705.0 |    0.7725496 |
| 5710.0 |    0.7847128 |
| 5715.0 |    0.7957332 |
| 5720.0 |     0.805355 |
| 5725.0 |    0.8140121 |
| 5730.0 |    0.8210129 |
| 5735.0 |    0.8267571 |
| 5740.0 |    0.8310705 |
| 5745.0 |    0.8339929 |
| 5750.0 |    0.8357648 |
| 5755.0 |    0.8362121 |
| 5760.0 |    0.8352645 |
| 5765.0 |     0.833032 |
| 5770.0 |    0.8301172 |
| 5775.0 |    0.8260635 |
| 5780.0 |    0.8211209 |
