# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): u
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
| lambda |         pass |
| 3180.0 | 3.063829e-06 |
| 3185.0 | 6.127658e-06 |
| 3190.0 | 6.127658e-06 |
| 3195.0 | 6.127658e-06 |
| 3200.0 | 1.531914e-05 |
| 3205.0 | 1.838297e-05 |
| 3210.0 | 1.838297e-05 |
| 3215.0 | 3.063829e-05 |
| 3220.0 | 3.370212e-05 |
| 3225.0 | 4.902126e-05 |
| 3230.0 |  6.43404e-05 |
| 3235.0 | 8.578721e-05 |
| 3240.0 | 0.0001041702 |
| 3245.0 | 0.0001286808 |
| 3250.0 | 0.0001562553 |
| 3255.0 | 0.0002022127 |
| 3260.0 |  0.000232851 |
| 3265.0 | 0.0002879999 |
| 3270.0 | 0.0003737871 |
| 3275.0 |  0.000465702 |
| 3280.0 | 0.0005913189 |
| 3285.0 | 0.0007537019 |
| 3290.0 | 0.0009896167 |
| 3295.0 |  0.001338893 |
| 3300.0 |  0.001835233 |
| 3305.0 |  0.002555233 |
| 3310.0 |  0.003554041 |
| 3315.0 |    0.0050737 |
| 3320.0 |  0.007350125 |
| 3325.0 |   0.01064068 |
| 3330.0 |   0.01562246 |
| 3335.0 |   0.02273667 |
| 3340.0 |   0.03276458 |
| 3345.0 |   0.04696849 |
| 3350.0 |   0.06511555 |
| 3355.0 |   0.08809427 |
| 3360.0 |    0.1160119 |
| 3365.0 |    0.1468187 |
| 3370.0 |    0.1808456 |
| 3375.0 |    0.2148112 |
| 3380.0 |    0.2465095 |
| 3385.0 |    0.2742372 |
| 3390.0 |    0.2967808 |
| 3395.0 |    0.3124493 |
| 3400.0 |    0.3241378 |
| 3405.0 |    0.3296649 |
| 3410.0 |    0.3316441 |
| 3415.0 |    0.3317728 |
| 3420.0 |    0.3310957 |
| 3425.0 |     0.331543 |
| 3430.0 |    0.3330658 |
| 3435.0 |    0.3348397 |
| 3440.0 |    0.3373275 |
| 3445.0 |    0.3414024 |
| 3450.0 |     0.349445 |
| 3455.0 |    0.3641575 |
| 3460.0 |    0.3845718 |
| 3465.0 |    0.4080897 |
| 3470.0 |     0.429656 |
| 3475.0 |    0.4460567 |
| 3480.0 |    0.4538051 |
| 3485.0 |    0.4543658 |
| 3490.0 |    0.4499141 |
| 3495.0 |    0.4392764 |
| 3500.0 |    0.4436975 |
| 3505.0 |    0.4529809 |
| 3510.0 |     0.466664 |
| 3515.0 |    0.4829421 |
| 3520.0 |    0.4982521 |
| 3525.0 |    0.5097414 |
| 3530.0 |    0.5180444 |
| 3535.0 |    0.5242487 |
| 3540.0 |    0.5309646 |
| 3545.0 |    0.5386088 |
| 3550.0 |    0.5477145 |
| 3555.0 |    0.5561738 |
| 3560.0 |    0.5623045 |
| 3565.0 |    0.5642776 |
| 3570.0 |    0.5626201 |
| 3575.0 |    0.5571879 |
| 3580.0 |    0.5473193 |
| 3585.0 |     0.532662 |
| 3590.0 |    0.5161724 |
| 3595.0 |    0.5011872 |
| 3600.0 |    0.4935399 |
| 3605.0 |    0.4975382 |
| 3610.0 |    0.5139818 |
| 3615.0 |    0.5379256 |
| 3620.0 |    0.5632175 |
| 3625.0 |    0.5851331 |
| 3630.0 |    0.6006207 |
| 3635.0 |    0.6117884 |
| 3640.0 |    0.6204406 |
| 3645.0 |    0.6279654 |
| 3650.0 |     0.633802 |
| 3655.0 |    0.6351194 |
| 3660.0 |     0.631881 |
| 3665.0 |    0.6251038 |
| 3670.0 |    0.6188352 |
| 3675.0 |    0.6140035 |
| 3680.0 |    0.6101799 |
| 3685.0 |    0.6030871 |
| 3690.0 |    0.5873176 |
| 3695.0 |    0.5621973 |
| 3700.0 |    0.5339365 |
| 3705.0 |    0.5104768 |
| 3710.0 |    0.5026088 |
| 3715.0 |    0.5125019 |
| 3720.0 |    0.5345676 |
| 3725.0 |    0.5582357 |
| 3730.0 |    0.5748815 |
| 3735.0 |    0.5803382 |
| 3740.0 |    0.5800624 |
| 3745.0 |    0.5791647 |
| 3750.0 |    0.5810612 |
| 3755.0 |    0.5833223 |
| 3760.0 |    0.5826146 |
| 3765.0 |     0.579226 |
| 3770.0 |    0.5794864 |
| 3775.0 |    0.5912607 |
| 3780.0 |    0.6180417 |
| 3785.0 |     0.656505 |
| 3790.0 |    0.6938163 |
| 3795.0 |    0.7205819 |
| 3800.0 |    0.7324266 |
| 3805.0 |    0.7353587 |
| 3810.0 |    0.7395286 |
| 3815.0 |    0.7524763 |
| 3820.0 |    0.7768797 |
| 3825.0 |    0.8082043 |
| 3830.0 |    0.8384014 |
| 3835.0 |    0.8636137 |
| 3840.0 |    0.8834336 |
| 3845.0 |    0.8993747 |
| 3850.0 |    0.9119425 |
| 3855.0 |    0.9207234 |
| 3860.0 |    0.9244245 |
| 3865.0 |    0.9223044 |
| 3870.0 |    0.9173042 |
| 3875.0 |    0.9094945 |
| 3880.0 |    0.8985781 |
| 3885.0 |    0.8837829 |
| 3890.0 |    0.8644654 |
| 3895.0 |    0.8434598 |
| 3900.0 |    0.8268171 |
| 3905.0 |    0.8197304 |
| 3910.0 |    0.8244058 |
| 3915.0 |     0.838622 |
| 3920.0 |     0.856141 |
| 3925.0 |    0.8703847 |
| 3930.0 |    0.8780198 |
| 3935.0 |    0.8795364 |
| 3940.0 |    0.8788072 |
| 3945.0 |    0.8811357 |
| 3950.0 |    0.8895214 |
| 3955.0 |    0.9039857 |
| 3960.0 |    0.9223258 |
| 3965.0 |    0.9407272 |
| 3970.0 |    0.9571033 |
| 3975.0 |    0.9700511 |
| 3980.0 |    0.9792824 |
| 3985.0 |    0.9852323 |
| 3990.0 |    0.9891969 |
| 3995.0 |    0.9918441 |
| 4000.0 |    0.9939459 |
| 4005.0 |    0.9931217 |
| 4010.0 |    0.9927847 |
| 4015.0 |     0.991694 |
| 4020.0 |    0.9884218 |
| 4025.0 |     0.981663 |
| 4030.0 |    0.9722417 |
| 4035.0 |    0.9642206 |
| 4040.0 |    0.9595942 |
| 4045.0 |    0.9611231 |
| 4050.0 |    0.9698734 |
| 4055.0 |    0.9826036 |
| 4060.0 |    0.9946751 |
| 4065.0 |          1.0 |
| 4070.0 |    0.9959037 |
| 4075.0 |     0.982242 |
| 4080.0 |    0.9600722 |
| 4085.0 |    0.9331197 |
| 4090.0 |    0.9019544 |
| 4095.0 |    0.8675997 |
| 4100.0 |    0.8287013 |
| 4105.0 |    0.7818523 |
| 4110.0 |    0.7290779 |
| 4115.0 |    0.6691708 |
| 4120.0 |    0.6041104 |
| 4125.0 |    0.5397823 |
| 4130.0 |    0.4766337 |
| 4135.0 |      0.41756 |
| 4140.0 |    0.3638726 |
| 4145.0 |    0.3144438 |
| 4150.0 |    0.2720649 |
| 4155.0 |    0.2341837 |
| 4160.0 |    0.2009535 |
| 4165.0 |    0.1728367 |
| 4170.0 |    0.1485651 |
| 4175.0 |    0.1280129 |
| 4180.0 |    0.1104664 |
| 4185.0 |   0.09535554 |
| 4190.0 |   0.08254567 |
| 4195.0 |   0.07161087 |
| 4200.0 |   0.06211606 |
| 4205.0 |   0.05406126 |
| 4210.0 |   0.04701445 |
| 4215.0 |   0.04098484 |
| 4220.0 |   0.03597548 |
| 4225.0 |   0.03139199 |
| 4230.0 |   0.02754688 |
| 4235.0 |   0.02413684 |
| 4240.0 |   0.02116799 |
| 4245.0 |   0.01863727 |
| 4250.0 |   0.01639761 |
| 4255.0 |   0.01445821 |
| 4260.0 |   0.01281293 |
| 4265.0 |   0.01146178 |
| 4270.0 |   0.01010757 |
| 4275.0 |  0.009056678 |
| 4280.0 |  0.008152848 |
| 4285.0 |  0.007399146 |
| 4290.0 |  0.006645445 |
| 4295.0 |  0.006195062 |
| 4300.0 |  0.005744679 |
| 4305.0 |  0.005291232 |
| 4310.0 |  0.004834722 |
| 4315.0 |  0.004531403 |
| 4320.0 |  0.004231147 |
| 4325.0 |  0.004084084 |
| 4330.0 |  0.003777701 |
| 4335.0 |  0.003627573 |
| 4340.0 |  0.003480509 |
| 4345.0 |  0.003330382 |
| 4350.0 |   0.00317719 |
| 4355.0 |  0.003027063 |
| 4360.0 |  0.002873871 |
| 4365.0 |  0.002561361 |
| 4370.0 |  0.002405106 |
| 4375.0 |  0.002251914 |
| 4380.0 |  0.002095659 |
| 4385.0 |   0.00193634 |
| 4390.0 |  0.001780085 |
| 4395.0 |  0.001786212 |
| 4400.0 |  0.001626893 |
| 4405.0 |  0.001467574 |
| 4410.0 |  0.001308255 |
| 4415.0 |  0.001311319 |
| 4420.0 |  0.001148936 |
| 4425.0 |     0.001152 |
| 4430.0 |  0.001155063 |
| 4435.0 | 0.0009926805 |
| 4440.0 | 0.0009957443 |
| 4445.0 | 0.0009988082 |
| 4450.0 | 0.0008333614 |
| 4455.0 | 0.0008364252 |
| 4460.0 | 0.0008364252 |
| 4465.0 | 0.0008394891 |
| 4470.0 | 0.0006740423 |
| 4475.0 | 0.0006740423 |
| 4480.0 | 0.0006771061 |
| 4485.0 | 0.0005085956 |
| 4490.0 | 0.0005085956 |
| 4495.0 | 0.0005116594 |
| 4500.0 |  0.000340085 |
| 4505.0 | 0.0003431488 |
| 4510.0 | 0.0003431488 |
| 4515.0 | 0.0001715744 |
| 4520.0 | 0.0001715744 |
| 4525.0 | 0.0001715744 |
| 4530.0 | 0.0001715744 |
| 4535.0 | 0.0001715744 |
| 4540.0 | 0.0001715744 |
