# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): z
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
|  lambda |         pass |
|  7575.0 | 0.0001594051 |
|  7580.0 | 0.0003151031 |
|  7585.0 | 0.0001519909 |
|  7590.0 | 0.0002891534 |
|  7595.0 | 0.0002520825 |
|  7600.0 | 0.0002113044 |
|  7605.0 | 0.0001927689 |
|  7610.0 | 0.0001779406 |
|  7615.0 | 0.0002038902 |
|  7620.0 | 0.0002298399 |
|  7625.0 | 0.0002224257 |
|  7630.0 | 0.0002150115 |
|  7635.0 | 0.0002150115 |
|  7640.0 | 0.0002187186 |
|  7645.0 |  0.000233547 |
|  7650.0 | 0.0002446683 |
|  7655.0 | 0.0002557896 |
|  7660.0 | 0.0004040734 |
|  7665.0 | 0.0004189017 |
|  7670.0 |  0.000430023 |
|  7675.0 | 0.0004485585 |
|  7680.0 |  0.000467094 |
|  7685.0 |  0.000467094 |
|  7690.0 |  0.000467094 |
|  7695.0 | 0.0004633869 |
|  7700.0 | 0.0004633869 |
|  7705.0 | 0.0006153778 |
|  7710.0 | 0.0006153778 |
|  7715.0 | 0.0006153778 |
|  7720.0 | 0.0006116707 |
|  7725.0 | 0.0006116707 |
|  7730.0 | 0.0006116707 |
|  7735.0 | 0.0007599545 |
|  7740.0 | 0.0007599545 |
|  7745.0 | 0.0007599545 |
|  7750.0 | 0.0007562474 |
|  7755.0 | 0.0009045312 |
|  7760.0 | 0.0009045312 |
|  7765.0 | 0.0009008241 |
|  7770.0 | 0.0009008241 |
|  7775.0 |  0.001049108 |
|  7780.0 |  0.001045401 |
|  7785.0 |  0.001041694 |
|  7790.0 |  0.001189978 |
|  7795.0 |   0.00118627 |
|  7800.0 |  0.001330847 |
|  7805.0 |   0.00132714 |
|  7810.0 |   0.00132714 |
|  7815.0 |   0.00146801 |
|  7820.0 |   0.00146801 |
|  7825.0 |  0.001608879 |
|  7830.0 |  0.001753456 |
|  7835.0 |  0.001746042 |
|  7840.0 |  0.001890618 |
|  7845.0 |  0.002027781 |
|  7850.0 |  0.002024074 |
|  7855.0 |  0.002164944 |
|  7860.0 |  0.002302106 |
|  7865.0 |  0.002442976 |
|  7870.0 |  0.002580138 |
|  7875.0 |  0.002717301 |
|  7880.0 |  0.002854463 |
|  7885.0 |  0.003132495 |
|  7890.0 |  0.003265951 |
|  7895.0 |  0.003399406 |
|  7900.0 |  0.003673731 |
|  7905.0 |  0.003948056 |
|  7910.0 |  0.004077804 |
|  7915.0 |  0.004348422 |
|  7920.0 |   0.00461904 |
|  7925.0 |  0.004885951 |
|  7930.0 |  0.005293732 |
|  7935.0 |  0.005560642 |
|  7940.0 |  0.005964716 |
|  7945.0 |  0.006365082 |
|  7950.0 |  0.006765448 |
|  7955.0 |   0.00729927 |
|  7960.0 |  0.007692222 |
|  7965.0 |   0.00821863 |
|  7970.0 |    0.0088822 |
|  7975.0 |  0.009542063 |
|  7980.0 |   0.01019451 |
|  7985.0 |   0.01084696 |
|  7990.0 |   0.01176632 |
|  7995.0 |   0.01524728 |
|  8000.0 |   0.01641872 |
|  8005.0 |   0.01758646 |
|  8010.0 |   0.01888394 |
