# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): K
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
|  lambda |         pass |
| 19395.0 | 0.0002745896 |
| 19400.0 | 0.0003113523 |
| 19405.0 | 0.0004179343 |
| 19410.0 | 0.0005856049 |
| 19415.0 | 0.0006576892 |
| 19420.0 |  0.001682634 |
| 19425.0 |  0.002883389 |
| 19430.0 |  0.002216193 |
| 19435.0 |  0.001622374 |
| 19440.0 |  0.001393211 |
| 19445.0 |   0.00111455 |
| 19450.0 |  0.001946222 |
| 19455.0 |  0.002651533 |
| 19460.0 |  0.003506643 |
| 19465.0 |  0.003754624 |
| 19470.0 |  0.003799586 |
| 19475.0 |  0.003415503 |
| 19480.0 |  0.003608905 |
| 19485.0 |  0.003278927 |
| 19490.0 |  0.002994617 |
| 19495.0 |  0.003736277 |
| 19500.0 |  0.003575306 |
| 19505.0 |  0.003671627 |
| 19510.0 |  0.004494783 |
| 19515.0 |  0.005635372 |
| 19520.0 |  0.005031863 |
| 19525.0 |  0.005033766 |
| 19530.0 |  0.004119148 |
| 19535.0 |  0.003575562 |
| 19540.0 |  0.004211566 |
| 19545.0 |  0.004217237 |
| 19550.0 |  0.003833015 |
| 19555.0 |  0.002707387 |
| 19560.0 |  0.003109418 |
| 19565.0 |  0.003454136 |
| 19570.0 |  0.003382485 |
| 19575.0 |  0.004122116 |
| 19580.0 |   0.00385208 |
| 19585.0 |    0.0044154 |
| 19590.0 |  0.004615267 |
| 19595.0 |  0.006138873 |
| 19600.0 |  0.008543969 |
| 19605.0 |  0.008741199 |
| 19610.0 |  0.008855186 |
| 19615.0 |  0.009288329 |
| 19620.0 |   0.01002084 |
| 19625.0 |  0.009344011 |
| 19630.0 |  0.008308436 |
| 19635.0 |  0.008131556 |
| 19640.0 |  0.009126265 |
| 19645.0 |    0.0119421 |
| 19650.0 |   0.01448369 |
| 19655.0 |   0.01547639 |
| 19660.0 |   0.01773417 |
| 19665.0 |   0.01969466 |
| 19670.0 |   0.02183849 |
| 19675.0 |   0.02391831 |
| 19680.0 |   0.02507619 |
| 19685.0 |    0.0276036 |
| 19690.0 |   0.02941616 |
| 19695.0 |   0.03276286 |
| 19700.0 |   0.03479106 |
| 19705.0 |   0.03798622 |
| 19710.0 |   0.03961547 |
| 19715.0 |   0.03987414 |
| 19720.0 |   0.04412736 |
| 19725.0 |   0.05108285 |
| 19730.0 |   0.05909158 |
| 19735.0 |   0.06229975 |
| 19740.0 |   0.06235387 |
| 19745.0 |   0.06898948 |
| 19750.0 |   0.07968623 |
| 19755.0 |   0.08629074 |
| 19760.0 |   0.09178547 |
| 19765.0 |    0.1021371 |
| 19770.0 |    0.1108695 |
| 19775.0 |    0.1176564 |
| 19780.0 |    0.1264462 |
| 19785.0 |    0.1358176 |
| 19790.0 |    0.1432096 |
| 19795.0 |    0.1359612 |
| 19800.0 |    0.1288489 |
| 19805.0 |     0.147679 |
| 19810.0 |    0.1795824 |
| 19815.0 |    0.2029417 |
| 19820.0 |    0.2181147 |
| 19825.0 |    0.2276518 |
| 19830.0 |    0.2358362 |
| 19835.0 |    0.2562879 |
| 19840.0 |    0.2765629 |
| 19845.0 |    0.2916946 |
| 19850.0 |    0.2979883 |
| 19855.0 |    0.3162698 |
| 19860.0 |    0.3388492 |
| 19865.0 |    0.3346443 |
| 19870.0 |    0.3194248 |
| 19875.0 |    0.3621302 |
| 19880.0 |    0.4129216 |
| 19885.0 |    0.4391609 |
| 19890.0 |    0.4593936 |
| 19895.0 |    0.4611622 |
| 19900.0 |    0.4434161 |
| 19905.0 |    0.4601529 |
| 19910.0 |    0.5168816 |
| 19915.0 |    0.5655012 |
| 19920.0 |    0.5909796 |
| 19925.0 |    0.6146943 |
| 19930.0 |    0.6362741 |
| 19935.0 |    0.6451308 |
| 19940.0 |    0.6353753 |
| 19945.0 |    0.6509094 |
| 19950.0 |    0.6833745 |
| 19955.0 |    0.6833533 |
| 19960.0 |    0.6865372 |
| 19965.0 |    0.6788379 |
| 19970.0 |    0.6632914 |
| 19975.0 |    0.6450541 |
| 19980.0 |    0.5909057 |
| 19985.0 |     0.564249 |
| 19990.0 |    0.5548734 |
| 19995.0 |    0.5255394 |
| 20000.0 |    0.4964139 |
| 20005.0 |     0.460892 |
| 20010.0 |    0.4153114 |
| 20015.0 |    0.3847325 |
| 20020.0 |    0.3606241 |
| 20025.0 |     0.324451 |
| 20030.0 |    0.3096919 |
| 20035.0 |    0.3201181 |
| 20040.0 |    0.3230232 |
| 20045.0 |    0.3181745 |
| 20050.0 |    0.3108445 |
| 20055.0 |    0.3068854 |
| 20060.0 |    0.3261777 |
| 20065.0 |    0.3759478 |
| 20070.0 |    0.4241325 |
| 20075.0 |    0.4624311 |
| 20080.0 |    0.5088408 |
| 20085.0 |    0.5866339 |
| 20090.0 |    0.6502547 |
| 20095.0 |    0.6034377 |
| 20100.0 |    0.5157461 |
| 20105.0 |    0.4637775 |
| 20110.0 |    0.4444589 |
| 20115.0 |    0.4390057 |
| 20120.0 |    0.4348549 |
| 20125.0 |    0.4351786 |
| 20130.0 |    0.4406855 |
| 20135.0 |    0.4448974 |
| 20140.0 |     0.455511 |
| 20145.0 |    0.4740617 |
| 20150.0 |    0.4835974 |
| 20155.0 |    0.4933818 |
| 20160.0 |     0.504679 |
| 20165.0 |    0.5058098 |
| 20170.0 |    0.5113483 |
| 20175.0 |    0.5344001 |
| 20180.0 |    0.5518235 |
| 20185.0 |    0.5729025 |
| 20190.0 |    0.5969158 |
| 20195.0 |    0.6283388 |
| 20200.0 |    0.6541104 |
| 20205.0 |    0.6698303 |
| 20210.0 |    0.6850348 |
| 20215.0 |    0.7098345 |
| 20220.0 |    0.7382809 |
| 20225.0 |    0.7648408 |
| 20230.0 |    0.7790712 |
| 20235.0 |    0.7928709 |
| 20240.0 |    0.8099045 |
| 20245.0 |    0.8309981 |
| 20250.0 |    0.8447126 |
| 20255.0 |    0.8616402 |
| 20260.0 |    0.8779766 |
| 20265.0 |    0.8893004 |
| 20270.0 |    0.9016005 |
| 20275.0 |    0.9024488 |
| 20280.0 |    0.8954499 |
| 20285.0 |    0.8970328 |
| 20290.0 |    0.9198428 |
| 20295.0 |    0.9380588 |
| 20300.0 |    0.9451096 |
| 20305.0 |    0.9443076 |
| 20310.0 |    0.9487674 |
| 20315.0 |    0.9533134 |
| 20320.0 |    0.9558617 |
| 20325.0 |     0.949871 |
| 20330.0 |     0.939787 |
| 20335.0 |    0.9384102 |
| 20340.0 |    0.9485262 |
| 20345.0 |    0.9514048 |
| 20350.0 |    0.9520975 |
| 20355.0 |    0.9523983 |
| 20360.0 |     0.951328 |
| 20365.0 |    0.9522356 |
| 20370.0 |    0.9514175 |
| 20375.0 |    0.9506613 |
| 20380.0 |    0.9474879 |
| 20385.0 |     0.944673 |
| 20390.0 |    0.9440718 |
| 20395.0 |    0.9340882 |
| 20400.0 |    0.9165145 |
| 20405.0 |    0.9158395 |
| 20410.0 |    0.9260677 |
| 20415.0 |    0.9282503 |
| 20420.0 |    0.9308142 |
| 20425.0 |    0.9314026 |
| 20430.0 |    0.9309647 |
| 20435.0 |    0.9323195 |
| 20440.0 |    0.9335205 |
| 20445.0 |    0.9360266 |
| 20450.0 |    0.9423007 |
| 20455.0 |    0.9462807 |
| 20460.0 |    0.9402774 |
| 20465.0 |     0.925764 |
| 20470.0 |    0.9063551 |
| 20475.0 |    0.8828731 |
| 20480.0 |    0.8585084 |
| 20485.0 |    0.8375121 |
| 20490.0 |    0.8163747 |
| 20495.0 |    0.7932255 |
| 20500.0 |    0.7709463 |
| 20505.0 |    0.7558015 |
| 20510.0 |    0.7428955 |
| 20515.0 |    0.7228757 |
| 20520.0 |    0.7047577 |
| 20525.0 |    0.6927148 |
| 20530.0 |    0.6870953 |
| 20535.0 |    0.6743568 |
| 20540.0 |    0.6581864 |
| 20545.0 |     0.652124 |
| 20550.0 |    0.6558447 |
| 20555.0 |    0.6618778 |
| 20560.0 |    0.6591097 |
| 20565.0 |    0.6562427 |
| 20570.0 |    0.6686991 |
| 20575.0 |    0.6888748 |
| 20580.0 |    0.7131016 |
| 20585.0 |    0.7390368 |
| 20590.0 |    0.7717386 |
| 20595.0 |    0.8200335 |
| 20600.0 |    0.8716142 |
| 20605.0 |    0.8823026 |
| 20610.0 |     0.837354 |
| 20615.0 |    0.7979846 |
| 20620.0 |     0.771442 |
| 20625.0 |    0.7467894 |
| 20630.0 |    0.7336399 |
| 20635.0 |    0.7288222 |
| 20640.0 |    0.7248683 |
| 20645.0 |    0.7217345 |
| 20650.0 |    0.7222677 |
| 20655.0 |    0.7244234 |
| 20660.0 |     0.724939 |
| 20665.0 |    0.7342734 |
| 20670.0 |    0.7453133 |
| 20675.0 |    0.7554912 |
| 20680.0 |    0.7640482 |
| 20685.0 |    0.7735807 |
| 20690.0 |    0.7815678 |
| 20695.0 |    0.7875775 |
| 20700.0 |    0.7979156 |
| 20705.0 |    0.8063521 |
| 20710.0 |    0.8156088 |
| 20715.0 |    0.8273328 |
| 20720.0 |    0.8372019 |
| 20725.0 |     0.850622 |
| 20730.0 |    0.8548634 |
| 20735.0 |    0.8570775 |
| 20740.0 |    0.8657758 |
| 20745.0 |    0.8709968 |
| 20750.0 |    0.8762805 |
| 20755.0 |    0.8857693 |
| 20760.0 |    0.8951271 |
| 20765.0 |    0.9031321 |
| 20770.0 |    0.9089698 |
| 20775.0 |    0.9066533 |
| 20780.0 |    0.9139226 |
| 20785.0 |    0.9357479 |
| 20790.0 |    0.9493731 |
| 20795.0 |    0.9576405 |
| 20800.0 |     0.958014 |
| 20805.0 |    0.9594664 |
| 20810.0 |    0.9593822 |
| 20815.0 |      0.95368 |
| 20820.0 |     0.949178 |
| 20825.0 |      0.94417 |
| 20830.0 |    0.9436199 |
| 20835.0 |    0.9440122 |
| 20840.0 |    0.9426459 |
| 20845.0 |    0.9367857 |
| 20850.0 |    0.9334215 |
| 20855.0 |     0.945555 |
| 20860.0 |     0.953544 |
| 20865.0 |    0.9577406 |
| 20870.0 |     0.961692 |
| 20875.0 |    0.9636242 |
| 20880.0 |    0.9660965 |
| 20885.0 |    0.9656004 |
| 20890.0 |    0.9667279 |
| 20895.0 |    0.9650802 |
| 20900.0 |    0.9627175 |
| 20905.0 |    0.9661253 |
| 20910.0 |    0.9682899 |
| 20915.0 |    0.9688603 |
| 20920.0 |    0.9681034 |
| 20925.0 |    0.9671177 |
| 20930.0 |    0.9671919 |
| 20935.0 |       0.9589 |
| 20940.0 |    0.9554431 |
| 20945.0 |    0.9687688 |
| 20950.0 |    0.9779789 |
| 20955.0 |    0.9803775 |
| 20960.0 |     0.981281 |
| 20965.0 |    0.9839463 |
| 20970.0 |    0.9830372 |
| 20975.0 |    0.9844886 |
| 20980.0 |    0.9809368 |
| 20985.0 |    0.9641562 |
| 20990.0 |    0.9616594 |
| 20995.0 |    0.9748742 |
| 21000.0 |    0.9774831 |
| 21005.0 |    0.9757924 |
| 21010.0 |      0.97655 |
| 21015.0 |    0.9647124 |
