# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): B
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
| lambda |         pass |
| 3600.0 | 0.0002426764 |
| 3610.0 | 0.0004931757 |
| 3620.0 | 0.0009530691 |
| 3630.0 |  0.001754222 |
| 3640.0 |  0.002939191 |
| 3650.0 |  0.004639275 |
| 3660.0 |  0.006875233 |
| 3670.0 |   0.00975927 |
| 3680.0 |   0.01316217 |
| 3690.0 |   0.01720329 |
| 3700.0 |   0.02201865 |
| 3710.0 |   0.02785533 |
| 3720.0 |   0.03504042 |
| 3730.0 |   0.04402272 |
| 3740.0 |   0.05519984 |
| 3750.0 |   0.06747381 |
| 3760.0 |   0.08068722 |
| 3770.0 |   0.09473408 |
| 3780.0 |     0.108487 |
| 3790.0 |     0.122173 |
| 3800.0 |    0.1359137 |
| 3810.0 |    0.1480823 |
| 3820.0 |    0.1602667 |
| 3830.0 |    0.1740467 |
| 3840.0 |    0.1883799 |
| 3850.0 |     0.205065 |
| 3860.0 |    0.2238614 |
| 3870.0 |    0.2428268 |
| 3880.0 |    0.2638701 |
| 3890.0 |    0.2842886 |
| 3900.0 |    0.3031979 |
| 3910.0 |    0.3215125 |
| 3920.0 |    0.3403871 |
| 3930.0 |    0.3592548 |
| 3940.0 |     0.378067 |
| 3950.0 |    0.3952729 |
| 3960.0 |    0.4127033 |
| 3970.0 |    0.4313372 |
| 3980.0 |    0.4486496 |
| 3990.0 |    0.4662953 |
| 4000.0 |     0.480821 |
| 4010.0 |    0.4897665 |
| 4020.0 |    0.5003645 |
| 4030.0 |    0.5118907 |
| 4040.0 |      0.52188 |
| 4050.0 |    0.5286221 |
| 4060.0 |    0.5364358 |
| 4070.0 |    0.5453744 |
| 4080.0 |    0.5555373 |
| 4090.0 |    0.5655336 |
| 4100.0 |     0.576171 |
| 4110.0 |      0.58816 |
| 4120.0 |    0.5995889 |
| 4130.0 |     0.610143 |
| 4140.0 |    0.6241989 |
| 4150.0 |    0.6374169 |
| 4160.0 |    0.6485612 |
| 4170.0 |    0.6577266 |
| 4180.0 |    0.6672137 |
| 4190.0 |     0.679448 |
| 4200.0 |    0.6909071 |
| 4210.0 |    0.6991258 |
| 4220.0 |    0.7027873 |
