# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): V
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
| lambda |         pass |
| 4780.0 | 0.0002561639 |
| 4790.0 | 0.0003424346 |
| 4800.0 | 0.0004291542 |
| 4810.0 |   0.00103313 |
| 4820.0 |  0.002245279 |
| 4830.0 |  0.005024139 |
| 4840.0 |   0.01025268 |
| 4850.0 |   0.01934789 |
| 4860.0 |   0.03374399 |
| 4870.0 |   0.05401416 |
| 4880.0 |   0.08012463 |
| 4890.0 |    0.1118627 |
| 4900.0 |    0.1487489 |
| 4910.0 |    0.1889043 |
| 4920.0 |    0.2318116 |
| 4930.0 |    0.2769578 |
| 4940.0 |     0.321858 |
| 4950.0 |     0.368304 |
| 4960.0 |     0.415039 |
| 4970.0 |    0.4573988 |
| 4980.0 |    0.4969667 |
| 4990.0 |    0.5338183 |
| 5000.0 |    0.5663934 |
| 5010.0 |    0.5962664 |
| 5020.0 |    0.6228216 |
| 5030.0 |    0.6453138 |
| 5040.0 |    0.6643411 |
| 5050.0 |    0.6799841 |
| 5060.0 |    0.6957796 |
| 5070.0 |    0.7104603 |
| 5080.0 |    0.7260297 |
| 5090.0 |     0.742784 |
| 5100.0 |    0.7519296 |
| 5110.0 |    0.7601595 |
| 5120.0 |    0.7754703 |
| 5130.0 |    0.7877614 |
| 5140.0 |    0.7995102 |
| 5150.0 |    0.8089556 |
| 5160.0 |    0.8163776 |
| 5170.0 |    0.8251175 |
| 5180.0 |    0.8313545 |
| 5190.0 |    0.8350763 |
| 5200.0 |    0.8382308 |
| 5210.0 |    0.8437569 |
| 5220.0 |    0.8513638 |
| 5230.0 |    0.8606153 |
| 5240.0 |     0.870664 |
| 5250.0 |    0.8771327 |
| 5260.0 |    0.8839191 |
| 5270.0 |    0.8914848 |
| 5280.0 |    0.9004436 |
| 5290.0 |    0.9095246 |
| 5300.0 |    0.9151638 |
| 5310.0 |    0.9206289 |
| 5320.0 |    0.9239754 |
| 5330.0 |    0.9246092 |
| 5340.0 |    0.9267062 |
| 5350.0 |    0.9310492 |
| 5360.0 |    0.9351893 |
| 5370.0 |    0.9353544 |
| 5380.0 |    0.9360995 |
| 5390.0 |    0.9408464 |
| 5400.0 |    0.9462002 |
| 5410.0 |    0.9474641 |
| 5420.0 |    0.9474498 |
| 5430.0 |    0.9502757 |
| 5440.0 |    0.9523296 |
| 5450.0 |    0.9528933 |
| 5460.0 |    0.9542793 |
| 5470.0 |    0.9571214 |
| 5480.0 |    0.9591843 |
| 5490.0 |    0.9627319 |
| 5500.0 |      0.96789 |
| 5510.0 |    0.9704699 |
| 5520.0 |    0.9729529 |
| 5530.0 |      0.97633 |
| 5540.0 |    0.9785347 |
| 5550.0 |    0.9815221 |
| 5560.0 |    0.9844288 |
| 5570.0 |     0.985928 |
| 5580.0 |    0.9852062 |
| 5590.0 |    0.9835599 |
| 5600.0 |    0.9821182 |
| 5610.0 |    0.9786047 |
| 5620.0 |     0.974671 |
| 5630.0 |    0.9698828 |
