# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): g
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
| lambda |         pass |
| 3790.0 | 9.650074e-05 |
| 3800.0 |  0.000134215 |
| 3810.0 | 0.0001391381 |
| 3820.0 | 0.0002162431 |
| 3830.0 | 0.0003358931 |
| 3840.0 | 0.0005794288 |
| 3850.0 |   0.00123883 |
| 3860.0 |  0.002479239 |
| 3870.0 |  0.004697679 |
| 3880.0 |  0.008382368 |
| 3890.0 |   0.01416804 |
| 3900.0 |    0.0227587 |
| 3910.0 |   0.03492579 |
| 3920.0 |   0.05045543 |
| 3930.0 |   0.06912117 |
| 3940.0 |   0.09044648 |
| 3950.0 |    0.1138343 |
| 3960.0 |    0.1394446 |
| 3970.0 |    0.1652357 |
| 3980.0 |    0.1897132 |
| 3990.0 |    0.2141913 |
| 4000.0 |    0.2388711 |
| 4010.0 |    0.2619321 |
| 4020.0 |    0.2874533 |
| 4030.0 |    0.3156965 |
| 4040.0 |    0.3464163 |
| 4050.0 |    0.3743667 |
| 4060.0 |     0.395978 |
| 4070.0 |    0.4127577 |
| 4080.0 |    0.4256606 |
| 4090.0 |    0.4382417 |
| 4100.0 |    0.4523716 |
| 4110.0 |    0.4677614 |
| 4120.0 |    0.4870281 |
| 4130.0 |    0.5060287 |
| 4140.0 |    0.5217299 |
| 4150.0 |    0.5366001 |
| 4160.0 |    0.5496122 |
| 4170.0 |    0.5602632 |
| 4180.0 |    0.5717659 |
| 4190.0 |    0.5841553 |
| 4200.0 |    0.5932143 |
| 4210.0 |    0.6011226 |
| 4220.0 |    0.6123428 |
| 4230.0 |     0.624495 |
| 4240.0 |    0.6361049 |
| 4250.0 |    0.6437596 |
| 4260.0 |     0.651402 |
| 4270.0 |    0.6588009 |
| 4280.0 |    0.6650658 |
| 4290.0 |    0.6735927 |
| 4300.0 |     0.680037 |
| 4310.0 |    0.6833137 |
| 4320.0 |    0.6865719 |
| 4330.0 |    0.6908137 |
| 4340.0 |    0.6949813 |
| 4350.0 |    0.7012111 |
| 4360.0 |    0.7101464 |
| 4370.0 |    0.7202221 |
| 4380.0 |    0.7314051 |
| 4390.0 |    0.7418354 |
| 4400.0 |    0.7506697 |
| 4410.0 |    0.7580707 |
| 4420.0 |    0.7660636 |
| 4430.0 |    0.7731409 |
| 4440.0 |    0.7779107 |
| 4450.0 |     0.785751 |
| 4460.0 |    0.7940202 |
| 4470.0 |    0.7990518 |
| 4480.0 |    0.8027616 |
| 4490.0 |     0.808812 |
| 4500.0 |    0.8147056 |
| 4510.0 |    0.8171616 |
| 4520.0 |    0.8203373 |
| 4530.0 |    0.8217148 |
| 4540.0 |    0.8261794 |
| 4550.0 |      0.83038 |
| 4560.0 |    0.8295531 |
| 4570.0 |    0.8306295 |
| 4580.0 |    0.8361581 |
| 4590.0 |    0.8430952 |
| 4600.0 |    0.8490466 |
| 4610.0 |    0.8557671 |
| 4620.0 |    0.8618669 |
| 4630.0 |     0.866946 |
| 4640.0 |    0.8717714 |
| 4650.0 |    0.8758463 |
| 4660.0 |    0.8799458 |
| 4670.0 |    0.8798551 |
| 4680.0 |    0.8786157 |
| 4690.0 |    0.8797437 |
| 4700.0 |    0.8824018 |
| 4710.0 |     0.883468 |
| 4720.0 |    0.8848929 |
| 4730.0 |    0.8885553 |
| 4740.0 |    0.8928219 |
| 4750.0 |    0.8965049 |
| 4760.0 |    0.8980515 |
| 4770.0 |     0.899495 |
| 4780.0 |    0.9021077 |
| 4790.0 |    0.9038461 |
| 4800.0 |    0.9065867 |
| 4810.0 |     0.912536 |
| 4820.0 |    0.9185987 |
| 4830.0 |    0.9250058 |
| 4840.0 |    0.9320171 |
| 4850.0 |    0.9376715 |
| 4860.0 |    0.9419464 |
| 4870.0 |    0.9467223 |
| 4880.0 |    0.9495042 |
| 4890.0 |    0.9495557 |
| 4900.0 |    0.9463532 |
| 4910.0 |    0.9448045 |
| 4920.0 |    0.9450788 |
| 4930.0 |    0.9416515 |
| 4940.0 |    0.9385212 |
| 4950.0 |    0.9371271 |
| 4960.0 |    0.9372509 |
| 4970.0 |    0.9389315 |
| 4980.0 |    0.9404946 |
| 4990.0 |    0.9391563 |
| 5000.0 |    0.9414391 |
| 5010.0 |     0.946879 |
| 5020.0 |    0.9525396 |
| 5030.0 |    0.9589632 |
| 5040.0 |    0.9606728 |
| 5050.0 |    0.9647104 |
| 5060.0 |    0.9701236 |
| 5070.0 |    0.9752439 |
| 5080.0 |    0.9800549 |
| 5090.0 |    0.9836162 |
| 5100.0 |    0.9889015 |
| 5110.0 |    0.9929722 |
| 5120.0 |    0.9955581 |
| 5130.0 |     0.996981 |
| 5140.0 |          1.0 |
| 5151.3 |     0.999835 |
| 5161.0 |    0.9987132 |
| 5170.7 |     0.996981 |
| 5180.5 |    0.9944569 |
| 5190.2 |    0.9917555 |
| 5199.9 |     0.989483 |
| 5209.7 |     0.988619 |
| 5219.4 |    0.9882148 |
| 5229.2 |    0.9887139 |
| 5238.9 |    0.9900151 |
| 5248.6 |    0.9915782 |
| 5258.4 |    0.9931248 |
| 5268.1 |    0.9948817 |
| 5277.8 |    0.9968408 |
| 5287.6 |    0.9984781 |
| 5297.3 |    0.9988473 |
| 5307.0 |    0.9923041 |
| 5316.8 |     0.979692 |
| 5326.5 |    0.9581116 |
| 5336.2 |     0.924449 |
| 5346.0 |     0.876533 |
| 5355.7 |    0.8139735 |
| 5365.5 |    0.7404105 |
| 5375.2 |    0.6564192 |
| 5384.9 |    0.5669136 |
| 5394.7 |    0.4772452 |
| 5404.4 |    0.3921857 |
| 5414.1 |    0.3154676 |
| 5423.9 |    0.2497056 |
| 5433.6 |    0.1955486 |
| 5443.3 |    0.1522025 |
| 5453.1 |    0.1181939 |
| 5462.8 |   0.09186709 |
| 5472.5 |   0.07173247 |
| 5482.3 |   0.05639524 |
| 5492.0 |   0.04467852 |
| 5501.8 |   0.03563744 |
| 5511.5 |   0.02859582 |
| 5521.2 |   0.02309463 |
| 5531.0 |   0.01872605 |
| 5540.7 |   0.01525328 |
| 5550.4 |   0.01246181 |
| 5560.2 |   0.01021648 |
| 5569.9 |  0.008438417 |
| 5579.6 |  0.006979323 |
| 5589.4 |   0.00578274 |
| 5599.1 |  0.004814891 |
| 5608.8 |  0.004030223 |
| 5618.6 |   0.00314983 |
| 5628.3 |  0.002301771 |
| 5638.1 |  0.001614869 |
| 5647.8 |  0.001054789 |
| 5657.5 | 0.0005868897 |
| 5667.3 | 0.0001763385 |
