# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): i
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
| lambda |         pass |
| 6710.0 | 0.0002000871 |
| 6720.0 | 0.0005002055 |
| 6730.0 |  0.001100387 |
| 6740.0 |   0.00210069 |
| 6750.0 |  0.003701063 |
| 6760.0 |  0.006301657 |
| 6770.0 |   0.01020208 |
| 6780.0 |   0.01600281 |
| 6790.0 |   0.02430343 |
| 6800.0 |   0.03540362 |
| 6810.0 |   0.05010827 |
| 6820.0 |   0.06831682 |
| 6830.0 |   0.09000023 |
| 6840.0 |    0.1156318 |
| 6850.0 |    0.1444938 |
| 6860.0 |    0.1762708 |
| 6870.0 |    0.2103731 |
| 6880.0 |    0.2463259 |
| 6890.0 |    0.2883517 |
| 6900.0 |    0.3317649 |
| 6910.0 |    0.3768775 |
| 6920.0 |    0.4221613 |
| 6930.0 |    0.4675122 |
| 6940.0 |    0.5116529 |
| 6950.0 |    0.5534708 |
| 6960.0 |    0.5949724 |
| 6970.0 |    0.6352606 |
| 6980.0 |    0.6732948 |
| 6990.0 |    0.7041543 |
| 7000.0 |     0.732827 |
| 7010.0 |    0.7584633 |
| 7020.0 |    0.7812985 |
| 7030.0 |    0.8012286 |
| 7040.0 |    0.8177525 |
| 7050.0 |    0.8343727 |
| 7060.0 |    0.8493991 |
| 7070.0 |    0.8611185 |
| 7080.0 |    0.8698305 |
| 7090.0 |    0.8805413 |
| 7100.0 |    0.8860441 |
| 7110.0 |    0.8914599 |
| 7120.0 |    0.8988608 |
| 7130.0 |    0.9054715 |
| 7140.0 |    0.9098665 |
| 7150.0 |    0.8996737 |
| 7160.0 |    0.8896323 |
| 7170.0 |    0.8783041 |
| 7180.0 |    0.8664777 |
| 7190.0 |    0.8771717 |
| 7200.0 |    0.8884724 |
| 7210.0 |    0.8998541 |
| 7220.0 |    0.9118516 |
