# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): r
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
| lambda |         pass |
| 5400.0 | 0.0007056347 |
| 5410.0 |  0.002032033 |
| 5420.0 |  0.004424737 |
| 5430.0 |  0.008775255 |
| 5440.0 |    0.0166028 |
| 5450.0 |   0.02899096 |
| 5460.0 |   0.04631995 |
| 5470.0 |   0.07003906 |
| 5480.0 |    0.1000922 |
| 5490.0 |    0.1357026 |
| 5500.0 |    0.1759119 |
| 5510.0 |    0.2181374 |
| 5520.0 |      0.26293 |
| 5530.0 |    0.3089456 |
| 5540.0 |    0.3516865 |
| 5550.0 |    0.3920283 |
| 5560.0 |    0.4324137 |
| 5570.0 |    0.4708426 |
| 5580.0 |    0.5064848 |
| 5590.0 |    0.5392384 |
| 5600.0 |    0.5697269 |
| 5610.0 |    0.5984691 |
| 5620.0 |    0.6258364 |
| 5630.0 |     0.649522 |
| 5640.0 |    0.6675175 |
| 5650.0 |    0.6850058 |
| 5660.0 |    0.7013519 |
| 5670.0 |    0.7153587 |
| 5680.0 |    0.7296756 |
| 5690.0 |    0.7449684 |
| 5700.0 |    0.7520606 |
| 5710.0 |    0.7590769 |
| 5720.0 |    0.7708575 |
| 5730.0 |    0.7835008 |
| 5740.0 |    0.7954348 |
| 5750.0 |    0.8073301 |
| 5760.0 |    0.8179329 |
| 5770.0 |    0.8263192 |
| 5780.0 |    0.8320107 |
| 5790.0 |    0.8391321 |
| 5800.0 |    0.8466427 |
| 5810.0 |    0.8524603 |
| 5820.0 |    0.8567932 |
| 5830.0 |    0.8583861 |
| 5840.0 |    0.8599823 |
| 5850.0 |    0.8618628 |
| 5860.0 |    0.8621439 |
| 5870.0 |     0.864312 |
| 5880.0 |    0.8682943 |
| 5890.0 |    0.8732475 |
| 5900.0 |    0.8777161 |
| 5910.0 |    0.8818325 |
| 5920.0 |    0.8854578 |
| 5930.0 |    0.8884417 |
| 5940.0 |    0.8931591 |
| 5950.0 |    0.8968119 |
| 5960.0 |    0.8988523 |
| 5970.0 |    0.9015616 |
| 5980.0 |    0.9039752 |
| 5990.0 |    0.9038088 |
| 6006.0 |    0.9041562 |
| 6015.7 |    0.9060253 |
| 6025.3 |    0.9077087 |
| 6035.0 |    0.9089285 |
| 6044.6 |    0.9092516 |
| 6054.3 |    0.9083792 |
| 6063.9 |    0.9059849 |
| 6073.6 |    0.9023548 |
| 6083.2 |    0.8977699 |
| 6092.9 |    0.8924774 |
| 6102.5 |    0.8868084 |
| 6112.2 |    0.8812364 |
| 6121.8 |    0.8763252 |
| 6131.5 |    0.8726579 |
| 6141.1 |    0.8703589 |
| 6150.8 |    0.8694526 |
| 6160.4 |    0.8698678 |
| 6170.1 |    0.8717725 |
| 6179.7 |    0.8753591 |
| 6189.4 |    0.8808115 |
| 6199.0 |    0.8880249 |
| 6208.7 |    0.8959201 |
| 6218.3 |    0.9047216 |
| 6228.0 |    0.9144003 |
| 6237.6 |    0.9243763 |
| 6247.3 |    0.9340098 |
| 6256.9 |    0.9427548 |
| 6266.6 |    0.9501443 |
| 6276.2 |    0.9562995 |
| 6285.9 |    0.9618457 |
| 6295.5 |    0.9663886 |
| 6305.2 |    0.9700801 |
| 6314.8 |    0.9733193 |
| 6324.5 |    0.9761416 |
| 6334.2 |    0.9788525 |
| 6343.8 |    0.9816199 |
| 6353.5 |    0.9838849 |
| 6363.1 |      0.98541 |
| 6372.8 |    0.9867364 |
| 6382.4 |    0.9879771 |
| 6392.1 |     0.989024 |
| 6401.7 |    0.9896847 |
| 6411.4 |    0.9896266 |
| 6421.0 |    0.9893326 |
| 6430.7 |    0.9893035 |
| 6440.3 |    0.9896815 |
| 6450.0 |    0.9900838 |
| 6459.6 |    0.9903019 |
| 6469.3 |    0.9911016 |
| 6478.9 |    0.9926121 |
| 6488.6 |    0.9942616 |
| 6498.2 |    0.9957737 |
| 6507.9 |    0.9961986 |
| 6517.5 |     0.996344 |
| 6527.2 |     0.996966 |
| 6536.8 |     0.997861 |
| 6546.5 |    0.9983166 |
| 6556.1 |    0.9986849 |
| 6565.8 |    0.9991325 |
| 6575.4 |    0.9993231 |
| 6585.1 |    0.9996866 |
| 6594.7 |          1.0 |
| 6604.4 |    0.9995897 |
| 6614.0 |    0.9987641 |
| 6623.7 |    0.9980646 |
| 6633.3 |     0.997378 |
| 6643.0 |    0.9967948 |
| 6652.6 |    0.9963941 |
| 6662.3 |    0.9957899 |
| 6671.9 |    0.9950661 |
| 6681.6 |    0.9945588 |
| 6691.2 |    0.9938803 |
| 6700.9 |    0.9926299 |
| 6710.5 |    0.9914796 |
| 6720.2 |    0.9907655 |
| 6729.8 |    0.9902195 |
| 6739.5 |     0.989961 |
| 6749.1 |     0.989667 |
| 6758.8 |    0.9888915 |
| 6768.4 |    0.9877105 |
| 6778.1 |    0.9842904 |
| 6787.7 |    0.9780383 |
| 6797.4 |    0.9696148 |
| 6807.1 |    0.9599458 |
| 6816.7 |    0.9485513 |
| 6826.4 |    0.9286607 |
| 6836.0 |    0.9034825 |
| 6845.7 |    0.8761119 |
| 6855.3 |    0.8483229 |
| 6865.0 |    0.8197164 |
| 6874.6 |    0.7888288 |
| 6884.3 |    0.7600883 |
| 6893.9 |    0.7346176 |
| 6903.6 |    0.7056848 |
| 6913.2 |    0.6734369 |
| 6922.9 |    0.6377834 |
| 6932.5 |    0.5980991 |
| 6942.2 |    0.5549059 |
| 6951.8 |     0.509577 |
| 6961.5 |    0.4634984 |
| 6971.1 |    0.4175248 |
| 6980.8 |    0.3720278 |
| 6990.4 |    0.3261334 |
| 7000.1 |    0.2831389 |
| 7009.7 |    0.2439522 |
| 7019.4 |    0.2089046 |
| 7029.0 |    0.1780541 |
| 7038.7 |    0.1513075 |
| 7048.3 |    0.1282935 |
| 7058.0 |    0.1087128 |
| 7067.6 |    0.0922638 |
| 7077.3 |   0.07839079 |
| 7086.9 |   0.06668972 |
| 7096.6 |   0.05694814 |
| 7106.2 |   0.04888091 |
| 7115.9 |   0.04201048 |
| 7125.5 |   0.03612618 |
| 7135.2 |   0.03123786 |
| 7144.8 |   0.02695441 |
| 7154.5 |   0.02311183 |
| 7164.1 |   0.01980368 |
| 7173.8 |   0.01614124 |
| 7183.4 |   0.01278984 |
| 7193.1 |      0.01006 |
| 7202.7 |   0.00766935 |
| 7212.4 |  0.005556701 |
| 7222.0 |  0.003662038 |
| 7231.7 |  0.001980675 |
| 7241.3 | 0.0006028925 |
