# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): z
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
|  lambda |         pass |
|  7914.0 | 0.0002158921 |
|  7928.3 | 0.0006349347 |
|  7942.6 |  0.001130089 |
|  7956.8 |  0.001599783 |
|  7971.1 |  0.002158265 |
|  7985.4 |  0.002805546 |
|  7999.7 |  0.003465385 |
|  8013.9 |  0.003906428 |
|  8028.2 |  0.004406135 |
|  8042.5 |  0.005001813 |
|  8056.8 |  0.005592399 |
|  8071.0 |  0.006314643 |
|  8085.3 |  0.007092349 |
|  8099.6 |   0.00813424 |
|  8113.8 |  0.009244865 |
|  8128.1 |   0.01034777 |
|  8142.4 |   0.01163693 |
|  8156.7 |   0.01333533 |
|  8170.9 |   0.01540381 |
|  8185.2 |   0.01766318 |
|  8199.5 |   0.02028014 |
|  8213.8 |   0.02321657 |
|  8228.0 |   0.02685538 |
|  8242.3 |   0.03137288 |
|  8256.6 |   0.03673763 |
|  8270.8 |   0.04287787 |
|  8285.1 |   0.05023284 |
|  8299.4 |   0.05904368 |
|  8313.7 |   0.07079597 |
|  8327.9 |   0.08528813 |
|  8342.2 |    0.1024326 |
|  8356.5 |    0.1229303 |
|  8370.8 |    0.1466943 |
|  8385.0 |     0.174532 |
|  8399.3 |    0.2074273 |
|  8413.6 |    0.2447259 |
|  8427.8 |    0.2871231 |
|  8442.1 |    0.3367156 |
|  8456.4 |    0.3891382 |
|  8470.7 |    0.4441842 |
|  8484.9 |    0.5030769 |
|  8499.2 |    0.5629032 |
|  8513.5 |    0.6208853 |
|  8527.8 |    0.6803412 |
|  8542.0 |    0.7383098 |
|  8556.3 |    0.7952522 |
|  8570.6 |    0.8389611 |
|  8584.8 |    0.8750309 |
|  8599.1 |    0.9130625 |
|  8613.4 |    0.9437791 |
|  8627.7 |    0.9638473 |
|  8641.9 |    0.9746231 |
|  8656.2 |    0.9819825 |
|  8670.5 |    0.9935627 |
|  8684.7 |          1.0 |
|  8699.0 |    0.9983641 |
|  8713.3 |     0.996273 |
|  8727.6 |    0.9923956 |
|  8741.8 |    0.9859564 |
|  8756.1 |     0.977725 |
|  8770.4 |    0.9688899 |
|  8784.7 |    0.9592985 |
|  8798.9 |    0.9502705 |
|  8813.2 |    0.9416398 |
|  8827.5 |    0.9351774 |
|  8841.7 |    0.9311611 |
|  8856.0 |    0.9275402 |
|  8870.3 |    0.9242203 |
|  8884.6 |    0.9219247 |
|  8898.8 |    0.9192992 |
|  8913.1 |    0.9005371 |
|  8927.4 |      0.87957 |
|  8941.7 |    0.8579721 |
|  8955.9 |    0.8361794 |
|  8970.2 |    0.8134182 |
|  8984.5 |    0.7969903 |
|  8998.7 |    0.7954933 |
|  9013.0 |    0.7910584 |
|  9027.3 |    0.7865077 |
|  9041.6 |    0.7818123 |
|  9055.8 |    0.7775587 |
|  9070.1 |    0.7707761 |
|  9084.4 |     0.763191 |
|  9098.7 |    0.7557699 |
|  9112.9 |    0.7484104 |
|  9127.2 |    0.7410742 |
|  9141.5 |    0.7340504 |
|  9155.7 |    0.7268936 |
|  9170.0 |    0.7187992 |
|  9184.3 |    0.7107743 |
|  9198.6 |    0.7027223 |
|  9212.8 |    0.6942151 |
|  9227.1 |    0.6857773 |
