# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): J
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
|  lambda |         pass |
| 11250.0 | 0.0002801329 |
| 11260.0 | 0.0003170737 |
| 11270.0 | 0.0005191252 |
| 11280.0 |  0.000301592 |
| 11290.0 | 0.0003678001 |
| 11300.0 | 0.0007832643 |
| 11310.0 |  0.001175923 |
| 11320.0 |  0.001524983 |
| 11330.0 |  0.001346588 |
| 11340.0 | 0.0009746152 |
| 11350.0 | 0.0004369706 |
| 11360.0 |  0.001149917 |
| 11370.0 |  0.004654312 |
| 11380.0 |  0.005363627 |
| 11390.0 |  0.007142496 |
| 11400.0 |  0.001676838 |
| 11410.0 |    0.0070457 |
| 11420.0 |   0.01140944 |
| 11430.0 |   0.01459096 |
| 11440.0 |   0.01520023 |
| 11450.0 |  0.003226734 |
| 11460.0 |  0.006027953 |
| 11470.0 |   0.01487424 |
| 11480.0 |   0.03264781 |
| 11490.0 |    0.0319559 |
| 11500.0 |   0.02831003 |
| 11510.0 |   0.05027509 |
| 11520.0 |   0.03054777 |
| 11530.0 |   0.07142936 |
| 11540.0 |   0.05145022 |
| 11550.0 |   0.05424367 |
| 11560.0 |   0.09840076 |
| 11570.0 |    0.1279671 |
| 11580.0 |    0.1235952 |
| 11590.0 |   0.04995145 |
| 11600.0 |    0.1807823 |
| 11610.0 |    0.2055813 |
| 11620.0 |    0.2112146 |
| 11630.0 |    0.2553901 |
| 11640.0 |    0.2775407 |
| 11650.0 |    0.2652354 |
| 11660.0 |    0.2954199 |
| 11670.0 |       0.3459 |
| 11680.0 |    0.3714932 |
| 11690.0 |      0.43694 |
| 11700.0 |    0.4586387 |
| 11710.0 |    0.5024514 |
| 11720.0 |    0.5024544 |
| 11730.0 |    0.5690807 |
| 11740.0 |    0.3579636 |
| 11750.0 |     0.619225 |
| 11760.0 |    0.6823306 |
| 11770.0 |    0.7154726 |
| 11780.0 |    0.7427068 |
| 11790.0 |    0.7789635 |
| 11800.0 |    0.7921146 |
| 11810.0 |    0.7936666 |
| 11820.0 |    0.7899117 |
| 11830.0 |    0.8615117 |
| 11840.0 |    0.8946523 |
| 11850.0 |    0.8464231 |
| 11860.0 |    0.8573961 |
| 11870.0 |    0.8744859 |
| 11880.0 |    0.9034807 |
| 11890.0 |    0.9263782 |
| 11900.0 |      0.93627 |
| 11910.0 |    0.8766615 |
| 11920.0 |    0.9215868 |
| 11930.0 |    0.9450799 |
| 11940.0 |    0.9460072 |
| 11950.0 |    0.8582174 |
| 11960.0 |    0.9412674 |
| 11970.0 |    0.9441525 |
| 11980.0 |     0.945595 |
| 11990.0 |    0.8487378 |
| 12000.0 |    0.9432251 |
| 12010.0 |    0.8682638 |
| 12020.0 |    0.8800618 |
| 12030.0 |     0.916847 |
| 12040.0 |    0.8521896 |
| 12050.0 |    0.9268418 |
| 12060.0 |    0.9287996 |
| 12070.0 |    0.8409068 |
| 12080.0 |    0.9404431 |
| 12090.0 |    0.9392066 |
| 12100.0 |    0.8599691 |
| 12110.0 |     0.931118 |
| 12120.0 |    0.8722308 |
| 12130.0 |    0.9006698 |
| 12140.0 |    0.9154044 |
| 12150.0 |    0.8863988 |
| 12160.0 |    0.9493045 |
| 12170.0 |    0.9281814 |
| 12180.0 |    0.9427099 |
| 12190.0 |    0.9020608 |
| 12200.0 |     0.919526 |
| 12210.0 |    0.9499227 |
| 12220.0 |    0.9493045 |
| 12230.0 |    0.9330242 |
| 12240.0 |    0.9501288 |
| 12250.0 |    0.9312725 |
| 12260.0 |    0.9354456 |
| 12270.0 |      0.84678 |
| 12280.0 |    0.9378671 |
| 12290.0 |    0.9237506 |
| 12300.0 |    0.9337455 |
| 12310.0 |    0.9487378 |
| 12320.0 |    0.9512622 |
| 12330.0 |     0.940237 |
| 12340.0 |    0.9516744 |
| 12350.0 |    0.9516744 |
| 12360.0 |    0.9520865 |
| 12370.0 |    0.9467285 |
| 12380.0 |    0.9508501 |
| 12390.0 |    0.9524987 |
| 12400.0 |    0.9523957 |
| 12410.0 |    0.9472437 |
| 12420.0 |    0.9521896 |
| 12430.0 |    0.9528078 |
| 12440.0 |    0.9527048 |
| 12450.0 |    0.9530139 |
| 12460.0 |    0.9531169 |
| 12470.0 |    0.9529109 |
| 12480.0 |      0.95322 |
| 12490.0 |     0.953323 |
| 12500.0 |    0.9534261 |
| 12510.0 |    0.9481195 |
| 12520.0 |    0.9536322 |
| 12530.0 |    0.9535291 |
| 12540.0 |    0.9534776 |
| 12550.0 |    0.9537352 |
| 12560.0 |    0.9536322 |
| 12570.0 |    0.9535806 |
| 12580.0 |    0.9535291 |
| 12590.0 |     0.950747 |
| 12600.0 |    0.9540958 |
| 12610.0 |    0.9489954 |
| 12620.0 |    0.9529109 |
| 12630.0 |    0.9229778 |
| 12640.0 |    0.9137043 |
| 12650.0 |     0.950541 |
| 12660.0 |    0.8602782 |
| 12670.0 |     0.952035 |
| 12680.0 |    0.9533746 |
| 12690.0 |    0.8196806 |
| 12700.0 |    0.9386914 |
| 12710.0 |     0.919526 |
| 12720.0 |    0.9293148 |
| 12730.0 |    0.9278207 |
| 12740.0 |    0.9088099 |
| 12750.0 |    0.9526018 |
| 12760.0 |    0.9154044 |
| 12770.0 |    0.9531169 |
| 12780.0 |     0.955796 |
| 12790.0 |    0.9556414 |
| 12800.0 |    0.9504379 |
| 12810.0 |    0.9432251 |
| 12820.0 |    0.9545595 |
| 12830.0 |    0.9561051 |
| 12840.0 |    0.9482741 |
| 12850.0 |    0.9563112 |
| 12860.0 |    0.9563112 |
| 12870.0 |    0.9563112 |
| 12880.0 |    0.9510562 |
| 12890.0 |    0.9548686 |
| 12900.0 |    0.9433282 |
| 12910.0 |    0.9504379 |
| 12920.0 |    0.9315817 |
| 12930.0 |    0.9475528 |
| 12940.0 |    0.9499227 |
| 12950.0 |    0.9409583 |
| 12960.0 |    0.9551777 |
| 12970.0 |     0.937661 |
| 12980.0 |    0.9231324 |
| 12990.0 |    0.9563112 |
| 13000.0 |    0.9519835 |
| 13010.0 |    0.8887172 |
| 13020.0 |    0.9536322 |
| 13030.0 |    0.9371458 |
| 13040.0 |    0.8667697 |
| 13050.0 |    0.9411643 |
| 13060.0 |    0.9486862 |
| 13070.0 |    0.9410613 |
| 13080.0 |    0.6556002 |
| 13090.0 |    0.9360122 |
| 13100.0 |    0.8474422 |
| 13110.0 |    0.9008213 |
| 13120.0 |     0.918763 |
| 13130.0 |    0.7325122 |
