# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): Y
# 
# collected by: Guangtun Zhu
# 
# from http://www.astro.caltech.edu/~capak/cosmos/filters/
# 
# on Mar 3rd 2009, NYU:
# 
# Note:
# 
|  lambda |         pass |
|  9370.0 | 0.0002469316 |
|  9380.0 | 0.0002481004 |
|  9390.0 | 0.0003199416 |
|  9400.0 | 0.0003736616 |
|  9410.0 | 0.0003860106 |
|  9420.0 | 0.0003970282 |
|  9430.0 | 0.0004235957 |
|  9440.0 |  0.000441362 |
|  9450.0 | 0.0005517201 |
|  9460.0 | 0.0005774357 |
|  9470.0 | 0.0006617174 |
|  9480.0 | 0.0007032649 |
|  9490.0 | 0.0008452824 |
|  9500.0 | 0.0008013337 |
|  9510.0 |   0.00107325 |
|  9520.0 |  0.001139792 |
|  9530.0 |  0.001380088 |
|  9540.0 |  0.001598679 |
|  9550.0 |  0.001780652 |
|  9560.0 |  0.002050711 |
|  9570.0 |  0.002329179 |
|  9580.0 |  0.002904786 |
|  9590.0 |  0.003183053 |
|  9600.0 |  0.003910969 |
|  9610.0 |  0.004742006 |
|  9620.0 |  0.005583362 |
|  9630.0 |  0.006694173 |
|  9640.0 |   0.00781728 |
|  9650.0 |  0.009661275 |
|  9660.0 |   0.01178318 |
|  9670.0 |   0.01415891 |
|  9680.0 |   0.01777007 |
|  9690.0 |    0.0219392 |
|  9700.0 |   0.02681263 |
|  9710.0 |    0.0333543 |
|  9720.0 |   0.04112003 |
|  9730.0 |   0.05090367 |
|  9740.0 |   0.06230991 |
|  9750.0 |   0.07854421 |
|  9760.0 |   0.09749711 |
|  9770.0 |     0.126612 |
|  9780.0 |    0.1583756 |
|  9790.0 |    0.1964317 |
|  9800.0 |    0.2419134 |
|  9810.0 |    0.2994867 |
|  9820.0 |    0.3597383 |
|  9830.0 |    0.4216133 |
|  9840.0 |    0.4925717 |
|  9850.0 |     0.550381 |
|  9860.0 |    0.6096251 |
|  9870.0 |    0.6565133 |
|  9880.0 |    0.6942659 |
|  9890.0 |    0.7259143 |
|  9900.0 |    0.7471804 |
|  9910.0 |    0.7654558 |
|  9920.0 |    0.7783873 |
|  9930.0 |     0.788565 |
|  9940.0 |    0.7997212 |
|  9950.0 |    0.8094232 |
|  9960.0 |    0.8200071 |
|  9970.0 |     0.830934 |
|  9980.0 |    0.8421258 |
|  9990.0 |    0.8539945 |
| 10000.0 |    0.8664076 |
| 10010.0 |     0.878878 |
| 10020.0 |    0.8898412 |
| 10030.0 |    0.9034918 |
| 10040.0 |    0.9139816 |
| 10050.0 |    0.9241474 |
| 10060.0 |     0.932973 |
| 10070.0 |    0.9404236 |
| 10080.0 |     0.946348 |
| 10090.0 |    0.9505995 |
| 10100.0 |    0.9542348 |
| 10110.0 |    0.9573503 |
| 10120.0 |    0.9584414 |
| 10130.0 |    0.9595263 |
| 10140.0 |     0.959504 |
| 10150.0 |    0.9588469 |
| 10160.0 |    0.9582285 |
| 10170.0 |    0.9573542 |
| 10180.0 |    0.9567177 |
| 10190.0 |    0.9555618 |
| 10200.0 |    0.9552173 |
| 10210.0 |    0.9551993 |
| 10220.0 |     0.955041 |
| 10230.0 |    0.9549537 |
| 10240.0 |    0.9550277 |
| 10250.0 |    0.9565787 |
| 10260.0 |    0.9573867 |
| 10270.0 |    0.9584243 |
| 10280.0 |    0.9595834 |
| 10290.0 |    0.9609991 |
| 10300.0 |    0.9624943 |
| 10310.0 |    0.9637665 |
| 10320.0 |    0.9652504 |
| 10330.0 |     0.966511 |
| 10340.0 |    0.9678512 |
| 10350.0 |    0.9690167 |
| 10360.0 |    0.9702983 |
| 10370.0 |    0.9714288 |
| 10380.0 |     0.972697 |
| 10390.0 |    0.9738899 |
| 10400.0 |    0.9751781 |
| 10410.0 |    0.9766324 |
| 10420.0 |    0.9779995 |
| 10430.0 |    0.9794276 |
| 10440.0 |    0.9809677 |
| 10450.0 |    0.9825832 |
| 10460.0 |    0.9842802 |
| 10470.0 |    0.9859993 |
| 10480.0 |    0.9877447 |
| 10490.0 |    0.9889252 |
| 10500.0 |    0.9904731 |
| 10510.0 |    0.9920463 |
| 10520.0 |    0.9932036 |
| 10530.0 |    0.9941835 |
| 10540.0 |    0.9949284 |
| 10550.0 |    0.9954324 |
| 10560.0 |     0.995551 |
| 10570.0 |    0.9952385 |
| 10580.0 |    0.9947545 |
| 10590.0 |    0.9939621 |
| 10600.0 |    0.9930137 |
| 10610.0 |    0.9921144 |
| 10620.0 |     0.990936 |
| 10630.0 |    0.9898682 |
| 10640.0 |    0.9890152 |
| 10650.0 |    0.9884134 |
| 10660.0 |    0.9887243 |
| 10670.0 |    0.9893055 |
| 10680.0 |    0.9895269 |
| 10690.0 |    0.9918604 |
| 10700.0 |     0.993809 |
| 10710.0 |    0.9964621 |
| 10720.0 |    0.9978331 |
| 10730.0 |     0.999174 |
| 10740.0 |    0.9985869 |
| 10750.0 |    0.9942338 |
| 10760.0 |    0.9895381 |
| 10770.0 |    0.9760111 |
| 10780.0 |    0.9575735 |
| 10790.0 |    0.9319928 |
| 10800.0 |    0.8948391 |
| 10810.0 |    0.8502709 |
| 10820.0 |     0.798791 |
| 10830.0 |      0.73898 |
| 10840.0 |    0.6697387 |
| 10850.0 |     0.601981 |
| 10860.0 |    0.5254903 |
| 10870.0 |    0.4643842 |
| 10880.0 |    0.4032927 |
| 10890.0 |    0.3438085 |
| 10900.0 |    0.2932384 |
| 10910.0 |     0.248454 |
| 10920.0 |    0.2094482 |
| 10930.0 |    0.1753104 |
| 10940.0 |    0.1500362 |
| 10950.0 |    0.1255834 |
| 10960.0 |    0.1059892 |
| 10970.0 |   0.09091948 |
| 10980.0 |    0.0758656 |
| 10990.0 |    0.0647734 |
| 11000.0 |   0.05482831 |
| 11010.0 |   0.04721823 |
| 11020.0 |   0.04043195 |
| 11030.0 |   0.03470225 |
| 11040.0 |   0.02998005 |
| 11050.0 |   0.02602266 |
| 11060.0 |    0.0223989 |
| 11070.0 |   0.01989093 |
| 11080.0 |   0.01702611 |
| 11090.0 |   0.01502268 |
| 11100.0 |   0.01330832 |
| 11110.0 |   0.01114823 |
| 11120.0 |   0.01017559 |
| 11130.0 |  0.008365004 |
| 11140.0 |  0.007571185 |
| 11150.0 |  0.006409937 |
| 11160.0 |   0.00536299 |
| 11170.0 |  0.004238823 |
| 11180.0 |   0.00453962 |
| 11190.0 |  0.003537002 |
| 11200.0 |  0.003358465 |
| 11210.0 |  0.003282771 |
| 11220.0 |  0.002271759 |
| 11230.0 |  0.002262329 |
| 11240.0 |  0.002153661 |
| 11250.0 |  0.002029505 |
| 11260.0 |  0.001540293 |
| 11270.0 |  0.001849521 |
| 11280.0 |  0.001477238 |
| 11290.0 |  0.001390526 |
| 11300.0 |  0.001250319 |
| 11310.0 |  0.001494825 |
| 11320.0 |  0.001337938 |
| 11330.0 |  0.001069021 |
| 11340.0 | 0.0007386628 |
| 11350.0 | 0.0005213007 |
| 11360.0 | 0.0007827999 |
| 11370.0 | 0.0009518698 |
| 11380.0 | 0.0008510268 |
| 11390.0 | 0.0008021963 |
| 11400.0 | 0.0007445668 |
| 11410.0 | 0.0006445917 |
| 11420.0 |  0.000652722 |
| 11430.0 |  0.000646454 |
| 11440.0 | 0.0004902799 |
| 11450.0 | 0.0005020899 |
| 11460.0 | 0.0004749407 |
| 11470.0 | 0.0003944647 |
| 11480.0 |  0.000452626 |
| 11490.0 | 0.0004457162 |
| 11500.0 | 0.0003364342 |
| 11510.0 | 0.0003584351 |
| 11520.0 | 0.0003636646 |
| 11530.0 | 0.0003214637 |
| 11540.0 | 0.0003539783 |
| 11550.0 | 0.0003294063 |
| 11560.0 | 0.0003347802 |
| 11570.0 | 0.0003620961 |
| 11580.0 | 0.0002874993 |
| 11590.0 | 0.0002448902 |
| 11600.0 | 0.0002974176 |
| 11610.0 | 0.0003040459 |
| 11620.0 | 0.0002973334 |
