# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): g
# 
# Instrument: CTIO/MOSAIC-II 
# 
# Determined by: 
# 
# Date of determination: ???
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# See the documentation in the CDFS_SWIRE directory
# 
# These curves correspond to the total transmission, a product
# of the T(transmission)*QE(CCD Quantum efficience)*ref(Telescope
# throughput) plus atmosphere at 1.0 airmass.
# 
# J. Moustakas, UCSD 2010-08-16
| lambda |        pass |
| 3685.0 |         0.0 |
| 3690.0 |         0.0 |
| 3695.0 |         0.0 |
| 3700.0 |         0.0 |
| 3705.0 |         0.0 |
| 3710.0 |         0.0 |
| 3715.0 |         0.0 |
| 3720.0 |         0.0 |
| 3725.0 |         0.0 |
| 3730.0 |         0.0 |
| 3735.0 |         0.0 |
| 3740.0 |         0.0 |
| 3745.0 |         0.0 |
| 3750.0 |         0.0 |
| 3755.0 |         0.0 |
| 3760.0 |         0.0 |
| 3765.0 |         0.0 |
| 3770.0 | 1.74029e-05 |
| 3775.0 | 8.76256e-05 |
| 3780.0 | 0.000176477 |
| 3785.0 | 0.000284333 |
| 3790.0 | 0.000483148 |
| 3795.0 | 0.000738754 |
| 3800.0 |    0.001143 |
| 3805.0 |   0.0017167 |
| 3810.0 |  0.00248171 |
| 3815.0 |  0.00346019 |
| 3820.0 |  0.00467482 |
| 3825.0 |  0.00616752 |
| 3830.0 |  0.00756612 |
| 3835.0 |  0.00917237 |
| 3840.0 |    0.010646 |
| 3845.0 |   0.0123881 |
| 3850.0 |   0.0141132 |
| 3855.0 |   0.0163857 |
| 3860.0 |       0.019 |
| 3865.0 |   0.0226727 |
| 3870.0 |   0.0272646 |
| 3875.0 |   0.0330922 |
| 3880.0 |   0.0402988 |
| 3885.0 |   0.0488486 |
| 3890.0 |   0.0579511 |
| 3895.0 |   0.0659966 |
| 3900.0 |   0.0717474 |
| 3905.0 |   0.0744612 |
| 3910.0 |   0.0747623 |
| 3915.0 |   0.0736147 |
| 3920.0 |   0.0719848 |
| 3925.0 |   0.0709901 |
| 3930.0 |   0.0709627 |
| 3935.0 |   0.0721134 |
| 3940.0 |   0.0744199 |
| 3945.0 |   0.0792943 |
| 3950.0 |   0.0857097 |
| 3955.0 |   0.0937364 |
| 3960.0 |     0.10484 |
| 3965.0 |    0.118027 |
| 3970.0 |    0.134071 |
| 3975.0 |    0.150746 |
| 3980.0 |    0.167809 |
| 3985.0 |    0.182693 |
| 3990.0 |    0.194691 |
| 3995.0 |     0.20304 |
| 4000.0 |    0.206932 |
| 4005.0 |    0.207879 |
| 4010.0 |    0.206696 |
| 4015.0 |    0.205797 |
| 4020.0 |    0.205637 |
| 4025.0 |    0.207441 |
| 4030.0 |    0.210572 |
| 4035.0 |    0.215794 |
| 4040.0 |    0.223263 |
| 4045.0 |    0.232308 |
| 4050.0 |    0.243222 |
| 4055.0 |    0.253826 |
| 4060.0 |    0.264372 |
| 4065.0 |    0.274687 |
| 4070.0 |    0.283072 |
| 4075.0 |    0.288652 |
| 4080.0 |    0.292349 |
| 4085.0 |    0.293706 |
| 4090.0 |    0.294051 |
| 4095.0 |    0.292307 |
| 4100.0 |     0.29083 |
| 4105.0 |    0.290104 |
| 4110.0 |     0.28875 |
| 4115.0 |    0.289869 |
| 4120.0 |    0.292321 |
| 4125.0 |    0.295911 |
| 4130.0 |    0.300595 |
| 4135.0 |    0.307338 |
| 4140.0 |    0.314206 |
| 4145.0 |    0.321653 |
| 4150.0 |    0.328315 |
| 4155.0 |     0.33594 |
| 4160.0 |    0.341784 |
| 4165.0 |    0.346296 |
| 4170.0 |    0.348577 |
| 4175.0 |    0.351171 |
| 4180.0 |    0.351569 |
| 4185.0 |    0.350709 |
| 4190.0 |    0.350025 |
| 4195.0 |    0.349079 |
| 4200.0 |    0.348052 |
| 4205.0 |    0.346832 |
| 4210.0 |    0.347006 |
| 4215.0 |    0.348114 |
| 4220.0 |    0.350758 |
| 4225.0 |    0.353097 |
| 4230.0 |    0.357633 |
| 4235.0 |    0.361583 |
| 4240.0 |    0.365362 |
| 4245.0 |    0.369756 |
| 4250.0 |    0.373218 |
| 4255.0 |    0.375113 |
| 4260.0 |    0.378277 |
| 4265.0 |    0.378364 |
| 4270.0 |    0.379058 |
| 4275.0 |    0.378429 |
| 4280.0 |    0.377186 |
| 4285.0 |    0.375567 |
| 4290.0 |    0.373834 |
| 4295.0 |    0.371347 |
| 4300.0 |      0.3704 |
| 4305.0 |    0.370611 |
| 4310.0 |    0.369723 |
| 4315.0 |    0.371353 |
| 4320.0 |     0.37245 |
| 4325.0 |    0.375783 |
| 4330.0 |    0.379474 |
| 4335.0 |    0.383581 |
| 4340.0 |    0.388294 |
| 4345.0 |    0.393913 |
| 4350.0 |    0.399033 |
| 4355.0 |    0.405145 |
| 4360.0 |    0.410839 |
| 4365.0 |    0.415732 |
| 4370.0 |    0.420694 |
| 4375.0 |    0.425068 |
| 4380.0 |    0.428963 |
| 4385.0 |    0.431388 |
| 4390.0 |    0.432421 |
| 4395.0 |    0.434665 |
| 4400.0 |    0.435868 |
| 4405.0 |    0.436786 |
| 4410.0 |    0.437126 |
| 4415.0 |    0.438323 |
| 4420.0 |    0.438415 |
| 4425.0 |    0.439365 |
| 4430.0 |    0.442177 |
| 4435.0 |    0.443106 |
| 4440.0 |    0.446068 |
| 4445.0 |    0.447142 |
| 4450.0 |    0.450786 |
| 4455.0 |    0.454495 |
| 4460.0 |     0.45743 |
| 4465.0 |    0.461381 |
| 4470.0 |    0.464724 |
| 4475.0 |    0.468498 |
| 4480.0 |    0.472309 |
| 4485.0 |    0.474806 |
| 4490.0 |    0.477139 |
| 4495.0 |    0.478008 |
| 4500.0 |    0.481652 |
| 4505.0 |    0.481792 |
| 4510.0 |    0.483066 |
| 4515.0 |    0.484003 |
| 4520.0 |    0.484541 |
| 4525.0 |    0.484453 |
| 4530.0 |    0.484878 |
| 4535.0 |    0.486074 |
| 4540.0 |    0.486413 |
| 4545.0 |    0.487928 |
| 4550.0 |    0.488757 |
| 4555.0 |    0.489702 |
| 4560.0 |    0.491138 |
| 4565.0 |    0.492837 |
| 4570.0 |    0.494684 |
| 4575.0 |    0.496708 |
| 4580.0 |    0.498419 |
| 4585.0 |    0.500713 |
| 4590.0 |    0.503071 |
| 4595.0 |    0.505202 |
| 4600.0 |    0.506579 |
| 4605.0 |    0.507674 |
| 4610.0 |    0.509179 |
| 4615.0 |      0.5106 |
| 4620.0 |    0.511466 |
| 4625.0 |    0.512157 |
| 4630.0 |    0.512291 |
| 4635.0 |    0.513778 |
| 4640.0 |       0.514 |
| 4645.0 |    0.514517 |
| 4650.0 |    0.514502 |
| 4655.0 |    0.514633 |
| 4660.0 |    0.515593 |
| 4665.0 |    0.516466 |
| 4670.0 |    0.516597 |
| 4675.0 |    0.517085 |
| 4680.0 |    0.517542 |
| 4685.0 |    0.518179 |
| 4690.0 |    0.519683 |
| 4695.0 |    0.520471 |
| 4700.0 |    0.521411 |
| 4705.0 |    0.521823 |
| 4710.0 |    0.524129 |
| 4715.0 |    0.524694 |
| 4720.0 |    0.526525 |
| 4725.0 |    0.527394 |
| 4730.0 |    0.529382 |
| 4735.0 |    0.530648 |
| 4740.0 |    0.531674 |
| 4745.0 |    0.533247 |
| 4750.0 |    0.534398 |
| 4755.0 |    0.536494 |
| 4760.0 |    0.537071 |
| 4765.0 |    0.539783 |
| 4770.0 |    0.541555 |
| 4775.0 |    0.543177 |
| 4780.0 |    0.544924 |
| 4785.0 |    0.547901 |
| 4790.0 |    0.550577 |
| 4795.0 |    0.551723 |
| 4800.0 |    0.553609 |
| 4805.0 |    0.555658 |
| 4810.0 |    0.558236 |
| 4815.0 |    0.559614 |
| 4820.0 |    0.559943 |
| 4825.0 |    0.562377 |
| 4830.0 |    0.562492 |
| 4835.0 |    0.564933 |
| 4840.0 |     0.56483 |
| 4845.0 |    0.565287 |
| 4850.0 |    0.564778 |
| 4855.0 |    0.565046 |
| 4860.0 |    0.563971 |
| 4865.0 |    0.564111 |
| 4870.0 |    0.562654 |
| 4875.0 |    0.561788 |
| 4880.0 |    0.561138 |
| 4885.0 |    0.560485 |
| 4890.0 |    0.559232 |
| 4895.0 |    0.559329 |
| 4900.0 |     0.55952 |
| 4905.0 |    0.559128 |
| 4910.0 |    0.558828 |
| 4915.0 |    0.559034 |
| 4920.0 |    0.560918 |
| 4925.0 |     0.56179 |
| 4930.0 |    0.563204 |
| 4935.0 |    0.565477 |
| 4940.0 |    0.567341 |
| 4945.0 |    0.569208 |
| 4950.0 |    0.572195 |
| 4955.0 |    0.575762 |
| 4960.0 |    0.577258 |
| 4965.0 |    0.579812 |
| 4970.0 |    0.581891 |
| 4975.0 |    0.583909 |
| 4980.0 |    0.584743 |
| 4985.0 |    0.585802 |
| 4990.0 |    0.586573 |
| 4995.0 |    0.586314 |
| 5000.0 |    0.585184 |
| 5005.0 |    0.583042 |
| 5010.0 |    0.582447 |
| 5015.0 |    0.579327 |
| 5020.0 |    0.576427 |
| 5025.0 |    0.573358 |
| 5030.0 |    0.570153 |
| 5035.0 |    0.566876 |
| 5040.0 |    0.563755 |
| 5045.0 |    0.560984 |
| 5050.0 |    0.557817 |
| 5055.0 |    0.555457 |
| 5060.0 |    0.553712 |
| 5065.0 |    0.552126 |
| 5070.0 |    0.551027 |
| 5075.0 |    0.551822 |
| 5080.0 |    0.552291 |
| 5085.0 |    0.552858 |
| 5090.0 |    0.555034 |
| 5095.0 |    0.557212 |
| 5100.0 |    0.560808 |
| 5105.0 |    0.563588 |
| 5110.0 |    0.567657 |
| 5115.0 |    0.571436 |
| 5120.0 |    0.575123 |
| 5125.0 |    0.579345 |
