# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): i
# 
# Instrument: CTIO/MOSAIC-II 
# 
# Determined by: 
# 
# Date of determination: ???
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# See the documentation in the CDFS_SWIRE directory
# 
# These curves correspond to the total transmission, a product
# of the T(transmission)*QE(CCD Quantum efficience)*ref(Telescope
# throughput) plus atmosphere at 1.0 airmass.
# 
# J. Moustakas, UCSD 2010-08-16
| lambda |        pass |
| 6485.0 |         0.0 |
| 6490.0 |         0.0 |
| 6495.0 |         0.0 |
| 6500.0 |         0.0 |
| 6505.0 |         0.0 |
| 6510.0 |         0.0 |
| 6515.0 |         0.0 |
| 6520.0 |         0.0 |
| 6525.0 |         0.0 |
| 6530.0 |         0.0 |
| 6535.0 |         0.0 |
| 6540.0 |         0.0 |
| 6545.0 |         0.0 |
| 6550.0 |         0.0 |
| 6555.0 |         0.0 |
| 6560.0 |         0.0 |
| 6565.0 |         0.0 |
| 6570.0 |         0.0 |
| 6575.0 |         0.0 |
| 6580.0 |         0.0 |
| 6585.0 |         0.0 |
| 6590.0 |         0.0 |
| 6595.0 |         0.0 |
| 6600.0 | 4.00388e-05 |
| 6605.0 | 4.00389e-05 |
| 6610.0 | 4.00389e-05 |
| 6615.0 |  8.0078e-05 |
| 6620.0 | 8.00781e-05 |
| 6625.0 | 0.000120117 |
| 6630.0 | 0.000160157 |
| 6635.0 | 0.000200196 |
| 6640.0 | 0.000280275 |
| 6645.0 | 0.000320314 |
| 6650.0 | 0.000400393 |
| 6655.0 | 0.000520511 |
| 6660.0 |  0.00064063 |
| 6665.0 | 0.000800788 |
| 6670.0 |  0.00100099 |
| 6675.0 |  0.00124122 |
| 6680.0 |   0.0015215 |
| 6685.0 |  0.00184182 |
| 6690.0 |  0.00228225 |
| 6695.0 |  0.00280277 |
| 6700.0 |  0.00332328 |
| 6705.0 |  0.00400396 |
| 6710.0 |  0.00488483 |
| 6715.0 |  0.00588582 |
| 6720.0 |  0.00696689 |
| 6725.0 |   0.0082882 |
| 6730.0 |  0.00988978 |
| 6735.0 |   0.0116515 |
| 6740.0 |   0.0136935 |
| 6745.0 |   0.0159358 |
| 6750.0 |   0.0187385 |
| 6755.0 |   0.0217015 |
| 6760.0 |   0.0249447 |
| 6765.0 |   0.0287084 |
| 6770.0 |   0.0330326 |
| 6775.0 |   0.0376772 |
| 6780.0 |   0.0430425 |
| 6785.0 |   0.0483677 |
| 6790.0 |   0.0546139 |
| 6795.0 |   0.0611803 |
| 6800.0 |   0.0684674 |
| 6805.0 |   0.0760749 |
| 6810.0 |   0.0846432 |
| 6815.0 |   0.0928512 |
| 6820.0 |     0.10238 |
| 6825.0 |    0.111589 |
| 6830.0 |       0.122 |
| 6835.0 |    0.132009 |
| 6840.0 |      0.1429 |
| 6845.0 |    0.152314 |
| 6850.0 |    0.163467 |
| 6855.0 |    0.170864 |
| 6860.0 |    0.176394 |
| 6865.0 |    0.183854 |
| 6870.0 |     0.19228 |
| 6875.0 |      0.2007 |
| 6880.0 |    0.211114 |
| 6885.0 |    0.223405 |
| 6890.0 |    0.236296 |
| 6895.0 |    0.248401 |
| 6900.0 |    0.260945 |
| 6905.0 |    0.274237 |
| 6910.0 |     0.28683 |
| 6915.0 |    0.301284 |
| 6920.0 |    0.315894 |
| 6925.0 |    0.331101 |
| 6930.0 |    0.348353 |
| 6935.0 |    0.360744 |
| 6940.0 |    0.370635 |
| 6945.0 |    0.382308 |
| 6950.0 |    0.392237 |
| 6955.0 |     0.40358 |
| 6960.0 |    0.413126 |
| 6965.0 |    0.423073 |
| 6970.0 |    0.435149 |
| 6975.0 |    0.443718 |
| 6980.0 |    0.457223 |
| 6985.0 |    0.464562 |
| 6990.0 |    0.474102 |
| 6995.0 |     0.48332 |
| 7000.0 |    0.488454 |
| 7005.0 |    0.496586 |
| 7010.0 |    0.503668 |
| 7015.0 |    0.509542 |
| 7020.0 |    0.515767 |
| 7025.0 |    0.522582 |
| 7030.0 |    0.529308 |
| 7035.0 |    0.535906 |
| 7040.0 |     0.54345 |
| 7045.0 |    0.547999 |
| 7050.0 |    0.553218 |
| 7055.0 |    0.559782 |
| 7060.0 |     0.56566 |
| 7065.0 |     0.57169 |
| 7070.0 |    0.575847 |
| 7075.0 |    0.581465 |
| 7080.0 |    0.586441 |
| 7085.0 |    0.593072 |
| 7090.0 |    0.598627 |
| 7095.0 |     0.60275 |
| 7100.0 |     0.60746 |
| 7105.0 |    0.613466 |
| 7110.0 |    0.620056 |
| 7115.0 |    0.622732 |
| 7120.0 |     0.63179 |
| 7125.0 |    0.634532 |
| 7130.0 |    0.639042 |
| 7135.0 |    0.643899 |
| 7140.0 |    0.650793 |
| 7145.0 |    0.653433 |
| 7150.0 |     0.65277 |
| 7155.0 |    0.652961 |
| 7160.0 |    0.655395 |
| 7165.0 |      0.6492 |
| 7170.0 |    0.644183 |
| 7175.0 |    0.637925 |
| 7180.0 |    0.636067 |
| 7185.0 |    0.633769 |
| 7190.0 |    0.633951 |
| 7195.0 |    0.637732 |
| 7200.0 |    0.639138 |
| 7205.0 |    0.644692 |
| 7210.0 |    0.649372 |
| 7215.0 |    0.655689 |
| 7220.0 |     0.66038 |
| 7225.0 |    0.656951 |
| 7230.0 |    0.652476 |
| 7235.0 |    0.650974 |
| 7240.0 |    0.647862 |
| 7245.0 |    0.646323 |
| 7250.0 |    0.646269 |
| 7255.0 |     0.64246 |
| 7260.0 |    0.646173 |
| 7265.0 |    0.645069 |
| 7270.0 |    0.642673 |
| 7275.0 |    0.643224 |
| 7280.0 |    0.643564 |
| 7285.0 |    0.642441 |
| 7290.0 |    0.642336 |
| 7295.0 |    0.642188 |
| 7300.0 |    0.641936 |
| 7305.0 |    0.642747 |
| 7310.0 |    0.643981 |
| 7315.0 |    0.644348 |
| 7320.0 |    0.644529 |
| 7325.0 |    0.647498 |
| 7330.0 |    0.649657 |
| 7335.0 |    0.651978 |
| 7340.0 |     0.65168 |
| 7345.0 |    0.657176 |
| 7350.0 |    0.657872 |
| 7355.0 |    0.658169 |
| 7360.0 |    0.659358 |
| 7365.0 |    0.659476 |
| 7370.0 |    0.663223 |
| 7375.0 |    0.663087 |
| 7380.0 |    0.663862 |
| 7385.0 |    0.669562 |
| 7390.0 |    0.671377 |
| 7395.0 |    0.671555 |
| 7400.0 |    0.677599 |
| 7405.0 |    0.675767 |
| 7410.0 |    0.679567 |
| 7415.0 |     0.68151 |
| 7420.0 |     0.68345 |
| 7425.0 |    0.685611 |
| 7430.0 |    0.689276 |
| 7435.0 |    0.688078 |
| 7440.0 |    0.693238 |
| 7445.0 |    0.692638 |
| 7450.0 |    0.698312 |
| 7455.0 |    0.698157 |
| 7460.0 |    0.699652 |
| 7465.0 |    0.703506 |
| 7470.0 |    0.701472 |
| 7475.0 |    0.702136 |
| 7480.0 |    0.704517 |
| 7485.0 |    0.706558 |
| 7490.0 |    0.703666 |
| 7495.0 |    0.704583 |
| 7500.0 |    0.703037 |
| 7505.0 |    0.706803 |
| 7510.0 |    0.705203 |
| 7515.0 |    0.703047 |
| 7520.0 |     0.70223 |
| 7525.0 |    0.703228 |
| 7530.0 |    0.700632 |
| 7535.0 |     0.69815 |
| 7540.0 |      0.6987 |
| 7545.0 |    0.692867 |
| 7550.0 |    0.692717 |
| 7555.0 |    0.686165 |
| 7560.0 |    0.685836 |
| 7565.0 |    0.670988 |
| 7570.0 |    0.663107 |
| 7575.0 |    0.652253 |
| 7580.0 |    0.621541 |
| 7585.0 |    0.583279 |
| 7590.0 |    0.556421 |
| 7595.0 |    0.441385 |
| 7600.0 |    0.382542 |
| 7605.0 |     0.34191 |
| 7610.0 |    0.348325 |
| 7615.0 |    0.358037 |
| 7620.0 |    0.367635 |
| 7625.0 |    0.377355 |
| 7630.0 |    0.387965 |
| 7635.0 |    0.399523 |
| 7640.0 |    0.414376 |
| 7645.0 |    0.432161 |
| 7650.0 |    0.450731 |
| 7655.0 |    0.478306 |
| 7660.0 |    0.512739 |
| 7665.0 |    0.547943 |
| 7670.0 |     0.55533 |
| 7675.0 |    0.574958 |
| 7680.0 |    0.599542 |
| 7685.0 |    0.618716 |
| 7690.0 |    0.622152 |
| 7695.0 |    0.630884 |
| 7700.0 |    0.641453 |
| 7705.0 |    0.647992 |
| 7710.0 |    0.646916 |
| 7715.0 |    0.651662 |
| 7720.0 |    0.651385 |
| 7725.0 |    0.653053 |
| 7730.0 |    0.659511 |
| 7735.0 |    0.657967 |
| 7740.0 |    0.662211 |
| 7745.0 |    0.663639 |
| 7750.0 |    0.658905 |
| 7755.0 |    0.663158 |
| 7760.0 |     0.66234 |
| 7765.0 |    0.660127 |
| 7770.0 |    0.661988 |
| 7775.0 |     0.65811 |
| 7780.0 |    0.658715 |
| 7785.0 |    0.659489 |
| 7790.0 |    0.655933 |
| 7795.0 |    0.652039 |
| 7800.0 |     0.65326 |
| 7805.0 |    0.648857 |
| 7810.0 |    0.651003 |
| 7815.0 |     0.64747 |
| 7820.0 |    0.643533 |
| 7825.0 |    0.637958 |
| 7830.0 |    0.636914 |
| 7835.0 |     0.63464 |
| 7840.0 |    0.633837 |
| 7845.0 |    0.630273 |
| 7850.0 |    0.623789 |
| 7855.0 |    0.616947 |
| 7860.0 |    0.614907 |
| 7865.0 |    0.614565 |
| 7870.0 |    0.611581 |
| 7875.0 |    0.611138 |
| 7880.0 |    0.606238 |
| 7885.0 |     0.60344 |
| 7890.0 |    0.600579 |
| 7895.0 |    0.602934 |
| 7900.0 |    0.597492 |
| 7905.0 |    0.596321 |
| 7910.0 |    0.593978 |
| 7915.0 |    0.593144 |
| 7920.0 |    0.593611 |
| 7925.0 |    0.589542 |
| 7930.0 |    0.589575 |
| 7935.0 |    0.588144 |
| 7940.0 |    0.585552 |
| 7945.0 |    0.584225 |
| 7950.0 |    0.585646 |
| 7955.0 |     0.58706 |
| 7960.0 |    0.585003 |
| 7965.0 |    0.577939 |
| 7970.0 |    0.579714 |
| 7975.0 |    0.582203 |
| 7980.0 |    0.579629 |
| 7985.0 |    0.581353 |
| 7990.0 |    0.581531 |
| 7995.0 |    0.579289 |
| 8000.0 |    0.579236 |
| 8005.0 |    0.581647 |
| 8010.0 |    0.578324 |
| 8015.0 |     0.57913 |
| 8020.0 |    0.578697 |
| 8025.0 |    0.573123 |
| 8030.0 |    0.572082 |
| 8035.0 |    0.573553 |
| 8040.0 |    0.573631 |
| 8045.0 |    0.567674 |
| 8050.0 |    0.568396 |
| 8055.0 |    0.567161 |
| 8060.0 |    0.566086 |
| 8065.0 |    0.567112 |
| 8070.0 |    0.566541 |
| 8075.0 |    0.565873 |
| 8080.0 |    0.566786 |
| 8085.0 |     0.56232 |
| 8090.0 |    0.560799 |
| 8095.0 |    0.558745 |
| 8100.0 |    0.561062 |
| 8105.0 |    0.560104 |
| 8110.0 |    0.557458 |
| 8115.0 |    0.548892 |
| 8120.0 |    0.547819 |
| 8125.0 |    0.543794 |
| 8130.0 |    0.545215 |
| 8135.0 |    0.538916 |
| 8140.0 |    0.540846 |
| 8145.0 |    0.537406 |
| 8150.0 |    0.526883 |
| 8155.0 |     0.52289 |
| 8160.0 |    0.519981 |
| 8165.0 |    0.512234 |
| 8170.0 |    0.506645 |
| 8175.0 |    0.515556 |
| 8180.0 |    0.516247 |
| 8185.0 |    0.511299 |
| 8190.0 |    0.510441 |
| 8195.0 |    0.514589 |
| 8200.0 |    0.517518 |
| 8205.0 |    0.511981 |
| 8210.0 |    0.513433 |
| 8215.0 |    0.504586 |
| 8220.0 |     0.50058 |
| 8225.0 |    0.494134 |
| 8230.0 |    0.483497 |
| 8235.0 |    0.483978 |
| 8240.0 |    0.482588 |
| 8245.0 |    0.482887 |
| 8250.0 |    0.480869 |
| 8255.0 |    0.485401 |
| 8260.0 |    0.486489 |
| 8265.0 |    0.486543 |
| 8270.0 |    0.493798 |
| 8275.0 |    0.485618 |
| 8280.0 |    0.480703 |
| 8285.0 |    0.484204 |
| 8290.0 |    0.485191 |
| 8295.0 |    0.486025 |
| 8300.0 |    0.490821 |
| 8305.0 |    0.492695 |
| 8310.0 |    0.488978 |
| 8315.0 |    0.489033 |
| 8320.0 |     0.47908 |
| 8325.0 |     0.48398 |
| 8330.0 |     0.48672 |
| 8335.0 |    0.475464 |
| 8340.0 |    0.470802 |
| 8345.0 |     0.45732 |
| 8350.0 |    0.456111 |
| 8355.0 |    0.445223 |
| 8360.0 |    0.436354 |
| 8365.0 |     0.41865 |
| 8370.0 |    0.405866 |
| 8375.0 |    0.391016 |
| 8380.0 |    0.381794 |
| 8385.0 |    0.371918 |
| 8390.0 |    0.360454 |
| 8395.0 |    0.347934 |
| 8400.0 |    0.339954 |
| 8405.0 |    0.338089 |
| 8410.0 |    0.325492 |
| 8415.0 |    0.331623 |
| 8420.0 |    0.330585 |
| 8425.0 |    0.340572 |
| 8430.0 |    0.346603 |
| 8435.0 |    0.365078 |
| 8440.0 |    0.388645 |
| 8445.0 |    0.408765 |
| 8450.0 |    0.440692 |
| 8455.0 |    0.468924 |
| 8460.0 |     0.49138 |
| 8465.0 |    0.468762 |
| 8470.0 |    0.435094 |
| 8475.0 |    0.355664 |
| 8480.0 |    0.273523 |
| 8485.0 |    0.195415 |
| 8490.0 |    0.137337 |
| 8495.0 |   0.0983805 |
| 8500.0 |   0.0677117 |
| 8505.0 |   0.0486912 |
| 8510.0 |   0.0357012 |
| 8515.0 |   0.0259344 |
| 8520.0 |   0.0187098 |
| 8525.0 |    0.014608 |
| 8530.0 |   0.0105546 |
| 8535.0 |  0.00808252 |
| 8540.0 |  0.00632375 |
| 8545.0 |   0.0048589 |
| 8550.0 |  0.00386601 |
| 8555.0 |  0.00310989 |
| 8560.0 |  0.00258861 |
| 8565.0 |  0.00230021 |
| 8570.0 |  0.00160562 |
| 8575.0 |   0.0014232 |
| 8580.0 |   0.0010137 |
| 8585.0 | 0.000884469 |
| 8590.0 |   0.0018899 |
| 8595.0 |  0.00783957 |
| 8600.0 |  0.00636396 |
| 8605.0 |  0.00469682 |
| 8610.0 |  0.00381141 |
| 8615.0 |  0.00293104 |
| 8620.0 |   0.0022043 |
| 8625.0 |  0.00185216 |
| 8630.0 |  0.00155129 |
