# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): r
# 
# Instrument: CTIO/MOSAIC-II 
# 
# Determined by: 
# 
# Date of determination: ???
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# See the documentation in the CDFS_SWIRE directory
# 
# These curves correspond to the total transmission, a product
# of the T(transmission)*QE(CCD Quantum efficience)*ref(Telescope
# throughput) plus atmosphere at 1.0 airmass.
# 
# J. Moustakas, UCSD 2010-08-16
| lambda |        pass |
| 5285.0 |         0.0 |
| 5290.0 |         0.0 |
| 5295.0 |         0.0 |
| 5300.0 |         0.0 |
| 5305.0 |         0.0 |
| 5310.0 |         0.0 |
| 5315.0 |         0.0 |
| 5320.0 |         0.0 |
| 5325.0 |         0.0 |
| 5330.0 |         0.0 |
| 5335.0 |         0.0 |
| 5340.0 |         0.0 |
| 5345.0 |         0.0 |
| 5350.0 |         0.0 |
| 5355.0 |         0.0 |
| 5360.0 | 3.44761e-05 |
| 5365.0 | 3.45063e-05 |
| 5370.0 |  0.00010361 |
| 5375.0 | 0.000207401 |
| 5380.0 | 0.000380569 |
| 5385.0 | 0.000623295 |
| 5390.0 |  0.00107439 |
| 5395.0 |  0.00169972 |
| 5400.0 |  0.00267332 |
| 5405.0 |  0.00392635 |
| 5410.0 |  0.00563346 |
| 5415.0 |  0.00793495 |
| 5420.0 |   0.0110064 |
| 5425.0 |   0.0146405 |
| 5430.0 |   0.0192922 |
| 5435.0 |   0.0249289 |
| 5440.0 |   0.0315182 |
| 5445.0 |   0.0389572 |
| 5450.0 |   0.0475981 |
| 5455.0 |   0.0573387 |
| 5460.0 |   0.0683919 |
| 5465.0 |   0.0805503 |
| 5470.0 |   0.0936761 |
| 5475.0 |    0.107736 |
| 5480.0 |    0.123085 |
| 5485.0 |    0.138986 |
| 5490.0 |     0.15604 |
| 5495.0 |    0.173791 |
| 5500.0 |    0.190687 |
| 5505.0 |    0.209374 |
| 5510.0 |    0.227064 |
| 5515.0 |    0.245172 |
| 5520.0 |     0.26306 |
| 5525.0 |    0.280515 |
| 5530.0 |    0.297998 |
| 5535.0 |    0.315046 |
| 5540.0 |    0.330523 |
| 5545.0 |    0.345989 |
| 5550.0 |    0.360519 |
| 5555.0 |    0.374466 |
| 5560.0 |    0.387722 |
| 5565.0 |    0.400357 |
| 5570.0 |    0.412584 |
| 5575.0 |    0.425257 |
| 5580.0 |    0.436557 |
| 5585.0 |    0.447623 |
| 5590.0 |    0.459065 |
| 5595.0 |    0.469807 |
| 5600.0 |    0.478703 |
| 5605.0 |     0.48906 |
| 5610.0 |    0.497888 |
| 5615.0 |     0.50734 |
| 5620.0 |    0.515942 |
| 5625.0 |    0.525096 |
| 5630.0 |    0.533327 |
| 5635.0 |    0.542254 |
| 5640.0 |    0.549391 |
| 5645.0 |    0.556827 |
| 5650.0 |    0.564381 |
| 5655.0 |    0.570899 |
| 5660.0 |    0.576124 |
| 5665.0 |    0.581537 |
| 5670.0 |    0.587392 |
| 5675.0 |    0.592856 |
| 5680.0 |    0.596334 |
| 5685.0 |    0.601304 |
| 5690.0 |    0.604428 |
| 5695.0 |    0.608138 |
| 5700.0 |    0.610944 |
| 5705.0 |    0.613899 |
| 5710.0 |    0.616822 |
| 5715.0 |    0.620185 |
| 5720.0 |    0.622131 |
| 5725.0 |    0.624079 |
| 5730.0 |    0.628403 |
| 5735.0 |    0.629809 |
| 5740.0 |    0.632167 |
| 5745.0 |    0.634272 |
| 5750.0 |    0.636416 |
| 5755.0 |      0.6386 |
| 5760.0 |    0.639098 |
| 5765.0 |    0.640331 |
| 5770.0 |    0.643072 |
| 5775.0 |    0.643206 |
| 5780.0 |    0.643339 |
| 5785.0 |    0.644908 |
| 5790.0 |    0.643016 |
| 5795.0 |     0.64429 |
| 5800.0 |    0.644202 |
| 5805.0 |     0.64268 |
| 5810.0 |    0.641413 |
| 5815.0 |    0.641661 |
| 5820.0 |    0.639948 |
| 5825.0 |    0.638083 |
| 5830.0 |    0.637031 |
| 5835.0 |    0.636422 |
| 5840.0 |    0.633919 |
| 5845.0 |    0.634791 |
| 5850.0 |    0.633471 |
| 5855.0 |    0.633228 |
| 5860.0 |    0.632909 |
| 5865.0 |    0.633445 |
| 5870.0 |    0.634354 |
| 5875.0 |    0.634295 |
| 5880.0 |    0.635913 |
| 5885.0 |    0.637085 |
| 5890.0 |    0.640014 |
| 5895.0 |    0.643543 |
| 5900.0 |     0.64618 |
| 5905.0 |    0.649044 |
| 5910.0 |    0.652698 |
| 5915.0 |    0.655869 |
| 5920.0 |    0.659831 |
| 5925.0 |    0.662747 |
| 5930.0 |     0.66623 |
| 5935.0 |    0.671144 |
| 5940.0 |    0.673659 |
| 5945.0 |    0.677117 |
| 5950.0 |    0.679149 |
| 5955.0 |    0.683405 |
| 5960.0 |    0.685594 |
| 5965.0 |    0.687671 |
| 5970.0 |    0.688204 |
| 5975.0 |    0.690209 |
| 5980.0 |    0.690214 |
| 5985.0 |     0.68984 |
| 5990.0 |    0.689276 |
| 5995.0 |    0.689657 |
| 6000.0 |    0.689129 |
| 6005.0 |    0.688075 |
| 6010.0 |    0.686376 |
