# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): z
# 
# Instrument: CTIO/MOSAIC-II 
# 
# Determined by: 
# 
# Date of determination: ???
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# See the documentation in the CDFS_SWIRE directory
# 
# These curves correspond to the total transmission, a product
# of the T(transmission)*QE(CCD Quantum efficience)*ref(Telescope
# throughput) plus atmosphere at 1.0 airmass.
# 
# J. Moustakas, UCSD 2010-08-16
|  lambda |        pass |
|  6985.0 |         0.0 |
|  6990.0 |         0.0 |
|  6995.0 |         0.0 |
|  7000.0 |         0.0 |
|  7005.0 |         0.0 |
|  7010.0 |         0.0 |
|  7015.0 |         0.0 |
|  7020.0 |         0.0 |
|  7025.0 |         0.0 |
|  7030.0 |         0.0 |
|  7035.0 |         0.0 |
|  7040.0 |         0.0 |
|  7045.0 |         0.0 |
|  7050.0 |         0.0 |
|  7055.0 |         0.0 |
|  7060.0 |         0.0 |
|  7065.0 |         0.0 |
|  7070.0 |         0.0 |
|  7075.0 |         0.0 |
|  7080.0 |         0.0 |
|  7085.0 |         0.0 |
|  7090.0 |         0.0 |
|  7095.0 |         0.0 |
|  7100.0 |         0.0 |
|  7105.0 |         0.0 |
|  7110.0 |         0.0 |
|  7115.0 |         0.0 |
|  7120.0 |         0.0 |
|  7125.0 |         0.0 |
|  7130.0 |         0.0 |
|  7135.0 |         0.0 |
|  7140.0 |         0.0 |
|  7145.0 |         0.0 |
|  7150.0 |         0.0 |
|  7155.0 |         0.0 |
|  7160.0 |         0.0 |
|  7165.0 |         0.0 |
|  7170.0 |         0.0 |
|  7175.0 |         0.0 |
|  7180.0 |         0.0 |
|  7185.0 |         0.0 |
|  7190.0 |         0.0 |
|  7195.0 |         0.0 |
|  7200.0 |         0.0 |
|  7205.0 |         0.0 |
|  7210.0 |         0.0 |
|  7215.0 |         0.0 |
|  7220.0 |         0.0 |
|  7225.0 |         0.0 |
|  7230.0 |         0.0 |
|  7235.0 |         0.0 |
|  7240.0 |         0.0 |
|  7245.0 |         0.0 |
|  7250.0 |         0.0 |
|  7255.0 |         0.0 |
|  7260.0 |         0.0 |
|  7265.0 |         0.0 |
|  7270.0 |         0.0 |
|  7275.0 |         0.0 |
|  7280.0 |         0.0 |
|  7285.0 |         0.0 |
|  7290.0 |         0.0 |
|  7295.0 |         0.0 |
|  7300.0 |         0.0 |
|  7305.0 |         0.0 |
|  7310.0 |         0.0 |
|  7315.0 |         0.0 |
|  7320.0 | 3.73705e-05 |
|  7325.0 |         0.0 |
|  7330.0 |         0.0 |
|  7335.0 |         0.0 |
|  7340.0 |         0.0 |
|  7345.0 |         0.0 |
|  7350.0 |         0.0 |
|  7355.0 |         0.0 |
|  7360.0 |         0.0 |
|  7365.0 |         0.0 |
|  7370.0 |         0.0 |
|  7375.0 |         0.0 |
|  7380.0 |         0.0 |
|  7385.0 |         0.0 |
|  7390.0 |         0.0 |
|  7395.0 |         0.0 |
|  7400.0 |         0.0 |
|  7405.0 |         0.0 |
|  7410.0 |         0.0 |
|  7415.0 |         0.0 |
|  7420.0 |         0.0 |
|  7425.0 | 3.77083e-05 |
|  7430.0 |         0.0 |
|  7435.0 | 3.76513e-05 |
|  7440.0 |         0.0 |
|  7445.0 |         0.0 |
|  7450.0 | 3.75659e-05 |
|  7455.0 | 3.75374e-05 |
|  7460.0 | 3.75088e-05 |
|  7465.0 | 3.74803e-05 |
|  7470.0 | 3.74518e-05 |
|  7475.0 | 3.74233e-05 |
|  7480.0 | 3.73948e-05 |
|  7485.0 | 3.73662e-05 |
|  7490.0 | 3.73377e-05 |
|  7495.0 | 3.73091e-05 |
|  7500.0 | 7.45611e-05 |
|  7505.0 | 7.44709e-05 |
|  7510.0 | 3.71903e-05 |
|  7515.0 | 7.42904e-05 |
|  7520.0 | 3.71001e-05 |
|  7525.0 | 7.41098e-05 |
|  7530.0 | 7.40195e-05 |
|  7535.0 | 7.39292e-05 |
|  7540.0 | 7.38388e-05 |
|  7545.0 | 7.37485e-05 |
|  7550.0 | 7.36581e-05 |
|  7555.0 | 0.000110351 |
|  7560.0 | 7.34772e-05 |
|  7565.0 | 7.17328e-05 |
|  7570.0 | 7.09699e-05 |
|  7575.0 | 7.03693e-05 |
|  7580.0 | 0.000100568 |
|  7585.0 | 6.30436e-05 |
|  7590.0 | 9.05683e-05 |
|  7595.0 |  9.6089e-05 |
|  7600.0 | 6.24966e-05 |
|  7605.0 | 5.58008e-05 |
|  7610.0 | 9.53376e-05 |
|  7615.0 | 9.78402e-05 |
|  7620.0 | 8.04277e-05 |
|  7625.0 | 0.000103453 |
|  7630.0 | 0.000127964 |
|  7635.0 | 0.000132168 |
|  7640.0 | 0.000136848 |
|  7645.0 | 0.000142135 |
|  7650.0 | 0.000123997 |
|  7655.0 | 0.000183551 |
|  7660.0 | 0.000196624 |
|  7665.0 | 0.000239094 |
|  7670.0 | 0.000275507 |
|  7675.0 | 0.000283619 |
|  7680.0 | 0.000360577 |
|  7685.0 | 0.000336808 |
|  7690.0 | 0.000339454 |
|  7695.0 | 0.000342928 |
|  7700.0 | 0.000383686 |
|  7705.0 | 0.000418599 |
|  7710.0 | 0.000453584 |
|  7715.0 | 0.000418873 |
|  7720.0 | 0.000489054 |
|  7725.0 | 0.000524709 |
|  7730.0 | 0.000457115 |
|  7735.0 | 0.000596971 |
|  7740.0 | 0.000701383 |
|  7745.0 | 0.000700448 |
|  7750.0 | 0.000769463 |
|  7755.0 | 0.000768434 |
|  7760.0 | 0.000837168 |
|  7765.0 |  0.00087088 |
|  7770.0 | 0.000834922 |
|  7775.0 | 0.000938023 |
|  7780.0 |  0.00100615 |
|  7785.0 |  0.00107409 |
|  7790.0 |  0.00114184 |
|  7795.0 |  0.00117484 |
|  7800.0 |  0.00120776 |
|  7805.0 |  0.00134396 |
|  7810.0 |  0.00144537 |
|  7815.0 |  0.00144341 |
|  7820.0 |  0.00151008 |
|  7825.0 |  0.00167938 |
|  7830.0 |  0.00184821 |
|  7835.0 |   0.0019824 |
|  7840.0 |  0.00208207 |
|  7845.0 |  0.00228372 |
|  7850.0 |  0.00245077 |
|  7855.0 |  0.00251538 |
|  7860.0 |  0.00264768 |
|  7865.0 |   0.0029152 |
|  7870.0 |  0.00311427 |
|  7875.0 |  0.00321136 |
|  7880.0 |  0.00354446 |
|  7885.0 |  0.00380921 |
|  7890.0 |  0.00393855 |
|  7895.0 |  0.00430283 |
|  7900.0 |  0.00449823 |
|  7905.0 |  0.00486067 |
|  7910.0 |   0.0051886 |
|  7915.0 |  0.00548217 |
|  7920.0 |  0.00587503 |
|  7925.0 |  0.00650009 |
|  7930.0 |   0.0067905 |
|  7935.0 |  0.00754542 |
|  7940.0 |  0.00789986 |
|  7945.0 |  0.00802124 |
|  7950.0 |  0.00880422 |
|  7955.0 |  0.00932052 |
|  7960.0 |   0.0100663 |
|  7965.0 |   0.0109418 |
|  7970.0 |   0.0115844 |
|  7975.0 |   0.0123565 |
|  7980.0 |   0.0127654 |
|  7985.0 |   0.0136974 |
|  7990.0 |   0.0147248 |
|  7995.0 |   0.0154878 |
|  8000.0 |   0.0167053 |
|  8005.0 |   0.0176188 |
|  8010.0 |   0.0195689 |
|  8015.0 |   0.0201165 |
|  8020.0 |   0.0216659 |
|  8025.0 |   0.0225952 |
|  8030.0 |   0.0241016 |
|  8035.0 |    0.025731 |
|  8040.0 |   0.0272898 |
|  8045.0 |   0.0295483 |
|  8050.0 |   0.0308695 |
|  8055.0 |   0.0331443 |
|  8060.0 |   0.0339747 |
|  8065.0 |    0.036744 |
|  8070.0 |   0.0392165 |
|  8075.0 |   0.0414572 |
|  8080.0 |   0.0447021 |
|  8085.0 |    0.046544 |
|  8090.0 |   0.0494192 |
|  8095.0 |   0.0526293 |
|  8100.0 |   0.0548527 |
|  8105.0 |   0.0586035 |
|  8110.0 |    0.061093 |
|  8115.0 |   0.0638046 |
|  8120.0 |   0.0672347 |
|  8125.0 |   0.0702416 |
|  8130.0 |   0.0742442 |
|  8135.0 |   0.0764796 |
|  8140.0 |   0.0820428 |
|  8145.0 |   0.0838001 |
|  8150.0 |   0.0883078 |
|  8155.0 |   0.0904734 |
|  8160.0 |   0.0943978 |
|  8165.0 |   0.0972494 |
|  8170.0 |    0.102029 |
|  8175.0 |    0.105505 |
|  8180.0 |    0.111179 |
|  8185.0 |    0.116094 |
|  8190.0 |    0.122317 |
|  8195.0 |    0.126364 |
|  8200.0 |    0.134484 |
|  8205.0 |    0.140007 |
|  8210.0 |    0.146459 |
|  8215.0 |    0.150006 |
|  8220.0 |    0.152761 |
|  8225.0 |    0.157553 |
|  8230.0 |     0.16072 |
|  8235.0 |     0.16475 |
|  8240.0 |     0.17476 |
|  8245.0 |     0.18123 |
|  8250.0 |    0.187989 |
|  8255.0 |    0.194919 |
|  8260.0 |    0.200619 |
|  8265.0 |    0.206445 |
|  8270.0 |    0.212412 |
|  8275.0 |    0.216798 |
|  8280.0 |    0.223493 |
|  8285.0 |    0.226676 |
|  8290.0 |    0.235548 |
|  8295.0 |    0.239961 |
|  8300.0 |    0.247368 |
|  8305.0 |    0.252874 |
|  8310.0 |    0.257658 |
|  8315.0 |    0.263482 |
|  8320.0 |    0.270349 |
|  8325.0 |    0.276504 |
|  8330.0 |    0.279364 |
|  8335.0 |    0.284555 |
|  8340.0 |    0.293183 |
|  8345.0 |    0.296935 |
|  8350.0 |    0.303472 |
|  8355.0 |    0.307607 |
|  8360.0 |    0.312364 |
|  8365.0 |     0.31742 |
|  8370.0 |    0.321744 |
|  8375.0 |    0.327619 |
|  8380.0 |    0.334198 |
|  8385.0 |    0.338545 |
|  8390.0 |    0.347636 |
|  8395.0 |    0.343935 |
|  8400.0 |    0.354519 |
|  8405.0 |    0.354226 |
|  8410.0 |     0.35851 |
|  8415.0 |     0.36558 |
|  8420.0 |    0.367317 |
|  8425.0 |    0.374263 |
|  8430.0 |    0.377294 |
|  8435.0 |    0.379707 |
|  8440.0 |    0.386793 |
|  8445.0 |    0.388982 |
|  8450.0 |    0.385219 |
|  8455.0 |     0.39402 |
|  8460.0 |    0.393952 |
|  8465.0 |    0.397838 |
|  8470.0 |    0.398558 |
|  8475.0 |    0.407928 |
|  8480.0 |    0.409522 |
|  8485.0 |    0.408517 |
|  8490.0 |    0.413234 |
|  8495.0 |    0.418721 |
|  8500.0 |    0.415092 |
|  8505.0 |    0.416873 |
|  8510.0 |    0.415267 |
|  8515.0 |    0.424278 |
|  8520.0 |      0.4227 |
|  8525.0 |    0.426167 |
|  8530.0 |    0.429635 |
|  8535.0 |    0.426035 |
|  8540.0 |     0.42592 |
|  8545.0 |    0.430168 |
|  8550.0 |    0.424617 |
|  8555.0 |    0.428959 |
|  8560.0 |    0.430811 |
|  8565.0 |    0.435149 |
|  8570.0 |    0.432677 |
|  8575.0 |    0.434355 |
|  8580.0 |    0.436117 |
|  8585.0 |    0.438014 |
|  8590.0 |    0.438709 |
|  8595.0 |    0.437156 |
|  8600.0 |    0.437384 |
|  8605.0 |    0.437903 |
|  8610.0 |    0.438188 |
|  8615.0 |    0.438439 |
|  8620.0 |    0.439101 |
|  8625.0 |    0.438913 |
|  8630.0 |    0.439507 |
|  8635.0 |    0.439303 |
|  8640.0 |    0.439363 |
|  8645.0 |    0.439219 |
|  8650.0 |    0.438996 |
|  8655.0 |    0.438911 |
|  8660.0 |    0.438699 |
|  8665.0 |    0.438334 |
|  8670.0 |    0.438518 |
|  8675.0 |    0.438021 |
|  8680.0 |    0.437878 |
|  8685.0 |    0.437465 |
|  8690.0 |    0.436975 |
|  8695.0 |    0.436859 |
|  8700.0 |    0.436311 |
|  8705.0 |    0.435735 |
|  8710.0 |    0.435318 |
|  8715.0 |    0.434895 |
|  8720.0 |     0.43407 |
|  8725.0 |    0.433334 |
|  8730.0 |    0.432804 |
|  8735.0 |    0.432129 |
|  8740.0 |    0.431474 |
|  8745.0 |    0.430699 |
|  8750.0 |    0.430493 |
|  8755.0 |    0.429435 |
