# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): CFH12K I_AB
# 
# Instrument: CFHT 12K Mould I
# 
# Determined by: Nick Kaiser
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# These curves obtained from: Christopher Willmer, 04 Jan 2011
# The last column in Willmer's file is Transmission * QE * ref * LAMBDA
# which is the contribution to the detector signal per ENERGY entering 
# the telescope. I divided out the lambda to get the total transmission
# which is defined as detector signal per photon. It is a product
# of the T(transmission)*QE(CCD Quantum efficience)*ref(Telescope
# throughput)
# 
# In an earlier version, the filter was actually given as detector signal
#  per ENERGY. 
# 
# 
# Atmospheric extinction added:
#    oke, filter.lambda, 1., 1.3, ext
#    filter.pass=filter.pass*10.^(-0.4*ext)
# R Yan, NYU 2011-03-08
|    lambda |          pass |
|    1400.0 |           0.0 |
|    1402.8 |           0.0 |
| 1405.6056 |           0.0 |
| 1408.4168 |           0.0 |
| 1411.2336 |           0.0 |
| 1414.0561 |           0.0 |
| 1416.8842 |           0.0 |
|  1419.718 |           0.0 |
| 1422.5574 |           0.0 |
| 1425.4025 |           0.0 |
| 1428.2533 |           0.0 |
| 1431.1099 |           0.0 |
| 1433.9721 |           0.0 |
|   1436.84 |           0.0 |
| 1439.7137 |           0.0 |
| 1442.5931 |           0.0 |
| 1445.4783 |           0.0 |
| 1448.3693 |           0.0 |
|  1451.266 |           0.0 |
| 1454.1685 |           0.0 |
| 1457.0769 |           0.0 |
|  1459.991 |           0.0 |
|  1462.911 |           0.0 |
| 1465.8368 |           0.0 |
| 1468.7685 |           0.0 |
|  1471.706 |           0.0 |
| 1474.6495 |           0.0 |
| 1477.5988 |           0.0 |
|  1480.554 |           0.0 |
| 1483.5151 |           0.0 |
| 1486.4821 |           0.0 |
| 1489.4551 |           0.0 |
|  1492.434 |           0.0 |
| 1495.4188 |           0.0 |
| 1498.4097 |           0.0 |
| 1501.4065 |           0.0 |
| 1504.4093 |           0.0 |
| 1507.4181 |           0.0 |
|  1510.433 |           0.0 |
| 1513.4538 |           0.0 |
| 1516.4807 |           0.0 |
| 1519.5137 |           0.0 |
| 1522.5527 |           0.0 |
| 1525.5978 |           0.0 |
|  1528.649 |           0.0 |
| 1531.7063 |           0.0 |
| 1534.7697 |           0.0 |
| 1537.8393 |           0.0 |
|  1540.915 |           0.0 |
| 1543.9968 |           0.0 |
| 1547.0848 |           0.0 |
| 1550.1789 |           0.0 |
| 1553.2793 |           0.0 |
| 1556.3859 |           0.0 |
| 1559.4986 |           0.0 |
| 1562.6176 |           0.0 |
| 1565.7429 |           0.0 |
| 1568.8744 |           0.0 |
| 1572.0121 |           0.0 |
| 1575.1561 |           0.0 |
| 1578.3064 |           0.0 |
|  1581.463 |           0.0 |
|  1584.626 |           0.0 |
| 1587.7952 |           0.0 |
| 1590.9708 |           0.0 |
| 1594.1528 |           0.0 |
| 1597.3411 |           0.0 |
| 1600.5357 |           0.0 |
| 1603.7368 |           0.0 |
| 1606.9443 |           0.0 |
| 1610.1582 |           0.0 |
| 1613.3785 |           0.0 |
| 1616.6053 |           0.0 |
| 1619.8385 |           0.0 |
| 1623.0781 |           0.0 |
| 1626.3243 |           0.0 |
| 1629.5769 |           0.0 |
| 1632.8361 |           0.0 |
| 1636.1018 |           0.0 |
|  1639.374 |           0.0 |
| 1642.6527 |           0.0 |
|  1645.938 |           0.0 |
| 1649.2299 |           0.0 |
| 1652.5284 |           0.0 |
| 1655.8334 |           0.0 |
| 1659.1451 |           0.0 |
| 1662.4634 |           0.0 |
| 1665.7883 |           0.0 |
| 1669.1199 |           0.0 |
| 1672.4581 |           0.0 |
|  1675.803 |           0.0 |
| 1679.1546 |           0.0 |
|  1682.513 |           0.0 |
|  1685.878 |           0.0 |
| 1689.2497 |           0.0 |
| 1692.6282 |           0.0 |
| 1696.0135 |           0.0 |
| 1699.4055 |           0.0 |
| 1702.8043 |           0.0 |
| 1706.2099 |           0.0 |
| 1709.6224 |           0.0 |
| 1713.0416 |           0.0 |
| 1716.4677 |           0.0 |
| 1719.9006 |           0.0 |
| 1723.3404 |           0.0 |
| 1726.7871 |           0.0 |
| 1730.2407 |           0.0 |
| 1733.7012 |           0.0 |
| 1737.1686 |           0.0 |
| 1740.6429 |           0.0 |
| 1744.1242 |           0.0 |
| 1747.6124 |           0.0 |
| 1751.1077 |           0.0 |
| 1754.6099 |           0.0 |
| 1758.1191 |           0.0 |
| 1761.6353 |           0.0 |
| 1765.1586 |           0.0 |
| 1768.6889 |           0.0 |
| 1772.2263 |           0.0 |
| 1775.7707 |           0.0 |
| 1779.3223 |           0.0 |
| 1782.8809 |           0.0 |
| 1786.4467 |           0.0 |
| 1790.0196 |           0.0 |
| 1793.5996 |           0.0 |
| 1797.1868 |           0.0 |
| 1800.7812 |           0.0 |
| 1804.3828 |           0.0 |
| 1807.9915 |           0.0 |
| 1811.6075 |           0.0 |
| 1815.2307 |           0.0 |
| 1818.8612 |           0.0 |
| 1822.4989 |           0.0 |
| 1826.1439 |           0.0 |
| 1829.7962 |           0.0 |
| 1833.4558 |           0.0 |
| 1837.1227 |           0.0 |
| 1840.7969 |           0.0 |
| 1844.4785 |           0.0 |
| 1848.1675 |           0.0 |
| 1851.8638 |           0.0 |
| 1855.5676 |           0.0 |
| 1859.2787 |           0.0 |
| 1862.9973 |           0.0 |
| 1866.7232 |           0.0 |
| 1870.4567 |           0.0 |
| 1874.1976 |           0.0 |
|  1877.946 |           0.0 |
| 1881.7019 |           0.0 |
| 1885.4653 |           0.0 |
| 1889.2362 |           0.0 |
| 1893.0147 |           0.0 |
| 1896.8007 |           0.0 |
| 1900.5943 |           0.0 |
| 1904.3955 |           0.0 |
| 1908.2043 |           0.0 |
| 1912.0207 |           0.0 |
| 1915.8448 |           0.0 |
| 1919.6765 |           0.0 |
| 1923.5158 |           0.0 |
| 1927.3628 |           0.0 |
| 1931.2176 |           0.0 |
|   1935.08 |           0.0 |
| 1938.9502 |           0.0 |
| 1942.8281 |           0.0 |
| 1946.7137 |           0.0 |
| 1950.6071 |           0.0 |
| 1954.5084 |           0.0 |
| 1958.4174 |           0.0 |
| 1962.3342 |           0.0 |
| 1966.2589 |           0.0 |
| 1970.1914 |           0.0 |
| 1974.1318 |           0.0 |
|   1978.08 |           0.0 |
| 1982.0362 |           0.0 |
| 1986.0003 |           0.0 |
| 1989.9723 |           0.0 |
| 1993.9522 |           0.0 |
| 1997.9401 |           0.0 |
|  2001.936 |           0.0 |
| 2005.9399 |           0.0 |
| 2009.9518 |           0.0 |
| 2013.9717 |           0.0 |
| 2017.9996 |           0.0 |
| 2022.0356 |           0.0 |
| 2026.0797 |           0.0 |
| 2030.1318 |           0.0 |
| 2034.1921 |           0.0 |
| 2038.2605 |           0.0 |
|  2042.337 |           0.0 |
| 2046.4217 |           0.0 |
| 2050.5145 |           0.0 |
| 2054.6155 |           0.0 |
| 2058.7248 |           0.0 |
| 2062.8422 |           0.0 |
| 2066.9679 |           0.0 |
| 2071.1018 |           0.0 |
|  2075.244 |           0.0 |
| 2079.3945 |           0.0 |
| 2083.5533 |           0.0 |
| 2087.7204 |           0.0 |
| 2091.8959 |           0.0 |
| 2096.0797 |           0.0 |
| 2100.2718 |           0.0 |
| 2104.4724 |           0.0 |
| 2108.6813 |           0.0 |
| 2112.8987 |           0.0 |
| 2117.1245 |           0.0 |
| 2121.3587 |           0.0 |
| 2125.6014 |           0.0 |
| 2129.8526 |           0.0 |
| 2134.1123 |           0.0 |
| 2138.3806 |           0.0 |
| 2142.6573 |           0.0 |
| 2146.9426 |           0.0 |
| 2151.2365 |           0.0 |
|  2155.539 |           0.0 |
| 2159.8501 |           0.0 |
| 2164.1698 |           0.0 |
| 2168.4981 |           0.0 |
| 2172.8351 |           0.0 |
| 2177.1808 |           0.0 |
| 2181.5352 |           0.0 |
| 2185.8982 |           0.0 |
|   2190.27 |           0.0 |
| 2194.6506 |           0.0 |
| 2199.0399 |           0.0 |
| 2203.4379 |           0.0 |
| 2207.8448 |           0.0 |
| 2212.2605 |           0.0 |
|  2216.685 |           0.0 |
| 2221.1184 |           0.0 |
| 2225.5606 |           0.0 |
| 2230.0118 |           0.0 |
| 2234.4718 |           0.0 |
| 2238.9407 |           0.0 |
| 2243.4186 |           0.0 |
| 2247.9054 |           0.0 |
| 2252.4013 |           0.0 |
| 2256.9061 |           0.0 |
| 2261.4199 |           0.0 |
| 2265.9427 |           0.0 |
| 2270.4746 |           0.0 |
| 2275.0155 |           0.0 |
| 2279.5656 |           0.0 |
| 2284.1247 |           0.0 |
|  2288.693 |           0.0 |
| 2293.2703 |           0.0 |
| 2297.8569 |           0.0 |
| 2302.4526 |           0.0 |
| 2307.0575 |           0.0 |
| 2311.6716 |           0.0 |
|  2316.295 |           0.0 |
| 2320.9275 |           0.0 |
| 2325.5694 |           0.0 |
| 2330.2205 |           0.0 |
|  2334.881 |           0.0 |
| 2339.5507 |           0.0 |
| 2344.2298 |           0.0 |
| 2348.9183 |           0.0 |
| 2353.6161 |           0.0 |
| 2358.3234 |           0.0 |
|   2363.04 |           0.0 |
| 2367.7661 |           0.0 |
| 2372.5016 |           0.0 |
| 2377.2466 |           0.0 |
| 2382.0011 |           0.0 |
| 2386.7651 |           0.0 |
| 2391.5387 |           0.0 |
| 2396.3217 |           0.0 |
| 2401.1144 |           0.0 |
| 2405.9166 |           0.0 |
| 2410.7284 |           0.0 |
| 2415.5499 |           0.0 |
|  2420.381 |           0.0 |
| 2425.2218 |           0.0 |
| 2430.0722 |           0.0 |
| 2434.9324 |           0.0 |
| 2439.8022 |           0.0 |
| 2444.6818 |           0.0 |
| 2449.5712 |           0.0 |
| 2454.4703 |           0.0 |
| 2459.3793 |           0.0 |
|  2464.298 |           0.0 |
| 2469.2266 |           0.0 |
| 2474.1651 |           0.0 |
| 2479.1134 |           0.0 |
| 2484.0716 |           0.0 |
| 2489.0398 |           0.0 |
| 2494.0179 |           0.0 |
| 2499.0059 |           0.0 |
| 2504.0039 |           0.0 |
| 2509.0119 |           0.0 |
| 2514.0299 |           0.0 |
|  2519.058 |           0.0 |
| 2524.0961 |           0.0 |
| 2529.1443 |           0.0 |
| 2534.2026 |           0.0 |
|  2539.271 |           0.0 |
| 2544.3495 |           0.0 |
| 2549.4382 |           0.0 |
| 2554.5371 |           0.0 |
| 2559.6462 |           0.0 |
| 2564.7655 |           0.0 |
|  2569.895 |           0.0 |
| 2575.0348 |           0.0 |
| 2580.1849 |           0.0 |
| 2585.3452 |           0.0 |
| 2590.5159 |           0.0 |
|  2595.697 |           0.0 |
| 2600.8884 |           0.0 |
| 2606.0901 |           0.0 |
| 2611.3023 |           0.0 |
| 2616.5249 |           0.0 |
|  2621.758 |           0.0 |
| 2627.0015 |           0.0 |
| 2632.2555 |           0.0 |
|   2637.52 |           0.0 |
|  2642.795 |           0.0 |
| 2648.0806 |           0.0 |
| 2653.3768 |           0.0 |
| 2658.6835 |           0.0 |
| 2664.0009 |           0.0 |
| 2669.3289 |           0.0 |
| 2674.6676 |           0.0 |
| 2680.0169 |           0.0 |
| 2685.3769 |           0.0 |
| 2690.7477 |           0.0 |
| 2696.1292 |           0.0 |
| 2701.5214 |           0.0 |
| 2706.9245 |           0.0 |
| 2712.3383 |           0.0 |
|  2717.763 |           0.0 |
| 2723.1985 |           0.0 |
| 2728.6449 |           0.0 |
| 2734.1022 |           0.0 |
| 2739.5704 |           0.0 |
| 2745.0496 |           0.0 |
| 2750.5397 |           0.0 |
| 2756.0408 |           0.0 |
| 2761.5528 |           0.0 |
| 2767.0759 |           0.0 |
| 2772.6101 |           0.0 |
| 2778.1553 |           0.0 |
| 2783.7116 |           0.0 |
|  2789.279 |           0.0 |
| 2794.8576 |           0.0 |
| 2800.4473 |           0.0 |
| 2806.0482 |           0.0 |
| 2811.6603 |           0.0 |
| 2817.2836 |           0.0 |
| 2822.9182 |           0.0 |
|  2828.564 |           0.0 |
| 2834.2212 |           0.0 |
| 2839.8896 |           0.0 |
| 2845.5694 |           0.0 |
| 2851.2605 |           0.0 |
|  2856.963 |           0.0 |
|  2862.677 |           0.0 |
| 2868.4023 |           0.0 |
| 2874.1391 |           0.0 |
| 2879.8874 |           0.0 |
| 2885.6472 |           0.0 |
| 2891.4185 |           0.0 |
| 2897.2013 |           0.0 |
| 2902.9957 |           0.0 |
| 2908.8017 |           0.0 |
| 2914.6193 |           0.0 |
