# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): g
# 
# collected by: Guangtun Zhu
# 
# from http://www2.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/megapipe/docs/filters.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  3740.0 AA and  5980.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
| lambda |          pass |
| 3740.0 | 0.00019886905 |
| 3780.0 | 0.00047527353 |
| 3820.0 | 0.00082858064 |
| 3860.0 |  0.0012516394 |
| 3900.0 |  0.0018518693 |
| 3940.0 |  0.0027494754 |
| 3980.0 |  0.0042374558 |
| 4020.0 |  0.0077401455 |
| 4060.0 |   0.020417672 |
| 4100.0 |   0.066037506 |
| 4140.0 |    0.16872291 |
| 4180.0 |    0.28972527 |
| 4220.0 |    0.35618204 |
| 4260.0 |    0.37420288 |
| 4300.0 |     0.3894656 |
| 4340.0 |    0.40070117 |
| 4380.0 |    0.40584835 |
| 4420.0 |    0.41842535 |
| 4460.0 |     0.4337129 |
| 4500.0 |    0.44313446 |
| 4540.0 |     0.4490999 |
| 4580.0 |    0.46278918 |
| 4620.0 |    0.47404346 |
| 4660.0 |    0.47493595 |
| 4700.0 |    0.47202796 |
| 4740.0 |    0.47564855 |
| 4780.0 |    0.48690024 |
| 4820.0 |    0.49669933 |
| 4860.0 |    0.49998221 |
| 4900.0 |     0.5014981 |
| 4940.0 |    0.49982011 |
| 4980.0 |    0.48554304 |
| 5020.0 |    0.46835884 |
| 5060.0 |    0.46320665 |
| 5100.0 |    0.45823008 |
| 5140.0 |    0.44606453 |
| 5180.0 |    0.43712291 |
| 5220.0 |    0.44112116 |
| 5260.0 |    0.45296931 |
| 5300.0 |    0.45073366 |
| 5340.0 |    0.43883598 |
| 5380.0 |    0.44015846 |
| 5420.0 |    0.43715775 |
| 5460.0 |     0.4030827 |
| 5500.0 |     0.3566384 |
| 5540.0 |    0.32346767 |
| 5580.0 |    0.28106689 |
| 5620.0 |    0.20778468 |
| 5660.0 |    0.12124471 |
| 5700.0 |   0.055156935 |
| 5740.0 |   0.020860471 |
| 5780.0 |  0.0071148467 |
| 5820.0 |  0.0023898922 |
| 5860.0 | 0.00090232154 |
| 5900.0 | 0.00053505535 |
| 5940.0 | 0.00049474224 |
| 5980.0 | 0.00044664746 |
