# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): i
# 
# collected by: Guangtun Zhu
# 
# from http://www2.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/megapipe/docs/filters.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  6600.0 AA and  8960.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
| lambda |          pass |
| 6600.0 | 0.00076742959 |
| 6640.0 |  0.0012041882 |
| 6680.0 |  0.0019169048 |
| 6720.0 |   0.003126431 |
| 6760.0 |  0.0052927784 |
| 6800.0 |  0.0092129717 |
| 6840.0 |   0.016487684 |
| 6880.0 |    0.02674322 |
| 6920.0 |   0.053253099 |
| 6960.0 |    0.10137594 |
| 7000.0 |    0.17414512 |
| 7040.0 |    0.26234591 |
| 7080.0 |    0.34795558 |
| 7120.0 |    0.40861183 |
| 7160.0 |    0.42941692 |
| 7200.0 |    0.41082853 |
| 7240.0 |     0.4133082 |
| 7280.0 |    0.41224962 |
| 7320.0 |     0.4152478 |
| 7360.0 |    0.41988349 |
| 7400.0 |    0.41899633 |
| 7440.0 |    0.41507429 |
| 7480.0 |    0.41062757 |
| 7520.0 |    0.40430132 |
| 7560.0 |    0.39660624 |
| 7600.0 |    0.20560619 |
| 7640.0 |    0.22626884 |
| 7680.0 |    0.34023514 |
| 7720.0 |     0.3653647 |
| 7760.0 |    0.36600471 |
| 7800.0 |     0.3635813 |
| 7840.0 |    0.36107552 |
| 7880.0 |    0.35722148 |
| 7920.0 |    0.35126325 |
| 7960.0 |    0.34341997 |
| 8000.0 |    0.33406192 |
| 8040.0 |    0.32649067 |
| 8080.0 |    0.32007766 |
| 8120.0 |    0.30823585 |
| 8160.0 |    0.28865296 |
| 8200.0 |    0.28588888 |
| 8240.0 |    0.26994494 |
| 8280.0 |    0.25979346 |
| 8320.0 |    0.24444076 |
| 8360.0 |    0.23358324 |
| 8400.0 |    0.22057201 |
| 8440.0 |    0.20462543 |
| 8480.0 |    0.18137503 |
| 8520.0 |    0.14576688 |
| 8560.0 |    0.10362882 |
| 8600.0 |   0.064448945 |
| 8640.0 |   0.035425015 |
| 8680.0 |   0.017376089 |
| 8720.0 |  0.0087046074 |
| 8760.0 |  0.0053587216 |
| 8800.0 |  0.0031018374 |
| 8840.0 |  0.0019512518 |
| 8880.0 | 0.00089440949 |
| 8920.0 | 0.00072651991 |
| 8960.0 | 0.00078669377 |
