# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): r
# 
# collected by: Guangtun Zhu
# 
# from http://www2.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/megapipe/docs/filters.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  5120.0 AA and  7200.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
| lambda |          pass |
| 5120.0 |  0.0010686269 |
| 5160.0 | 0.00098504522 |
| 5200.0 | 0.00096681225 |
| 5240.0 |  0.0010636436 |
| 5280.0 |  0.0012913704 |
| 5320.0 |  0.0017303949 |
| 5360.0 |  0.0025195957 |
| 5400.0 |  0.0040342407 |
| 5440.0 |  0.0072357017 |
| 5480.0 |   0.014357628 |
| 5520.0 |   0.029457739 |
| 5560.0 |   0.058309376 |
| 5600.0 |    0.10639909 |
| 5640.0 |    0.17574257 |
| 5680.0 |    0.26027831 |
| 5720.0 |    0.33949155 |
| 5760.0 |    0.38767052 |
| 5800.0 |    0.39743403 |
| 5840.0 |    0.38806403 |
| 5880.0 |    0.38369671 |
| 5920.0 |    0.38935366 |
| 5960.0 |    0.39594597 |
| 6000.0 |    0.40057719 |
| 6040.0 |    0.40977535 |
| 6080.0 |    0.42508659 |
| 6120.0 |    0.44182551 |
| 6160.0 |    0.45391315 |
| 6200.0 |    0.46067396 |
| 6240.0 |    0.46738374 |
| 6280.0 |    0.47512102 |
| 6320.0 |    0.48058197 |
| 6360.0 |    0.48250556 |
| 6400.0 |    0.48105732 |
| 6440.0 |    0.47616673 |
| 6480.0 |    0.46981257 |
| 6520.0 |    0.46078497 |
| 6560.0 |    0.44393575 |
| 6600.0 |     0.4164339 |
| 6640.0 |    0.38091263 |
| 6680.0 |    0.34737721 |
| 6720.0 |    0.32924059 |
| 6760.0 |    0.33551997 |
| 6800.0 |    0.36304194 |
| 6840.0 |    0.36201751 |
| 6880.0 |    0.23565811 |
| 6920.0 |    0.12038842 |
| 6960.0 |   0.039852705 |
| 7000.0 |   0.011865889 |
| 7040.0 |  0.0044294703 |
| 7080.0 |  0.0019399126 |
| 7120.0 |  0.0009509903 |
| 7160.0 | 0.00051526376 |
| 7200.0 |  0.0002993581 |
