# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): z
# 
# collected by: Guangtun Zhu
# 
# from http://www2.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/megapipe/docs/filters.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  7800.0 AA and 10200.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
|  lambda |          pass |
|  7800.0 | 0.00027885742 |
|  7840.0 | 0.00039441133 |
|  7880.0 | 0.00057874073 |
|  7920.0 | 0.00086604938 |
|  7960.0 |   0.001364665 |
|  8000.0 |  0.0022408839 |
|  8040.0 |  0.0038084304 |
|  8080.0 |  0.0068920115 |
|  8120.0 |   0.012874485 |
|  8160.0 |   0.024441041 |
|  8200.0 |   0.049459234 |
|  8240.0 |    0.09211503 |
|  8280.0 |    0.15390052 |
|  8320.0 |    0.20824568 |
|  8360.0 |    0.24415182 |
|  8400.0 |    0.25944075 |
|  8440.0 |    0.26059473 |
|  8480.0 |    0.25590548 |
|  8520.0 |    0.25188994 |
|  8560.0 |    0.24678807 |
|  8600.0 |    0.24086121 |
|  8640.0 |    0.23507509 |
|  8680.0 |    0.22883092 |
|  8720.0 |    0.22047903 |
|  8760.0 |    0.21082969 |
|  8800.0 |    0.20254864 |
|  8840.0 |    0.19551007 |
|  8880.0 |    0.18866611 |
|  8920.0 |    0.17826374 |
|  8960.0 |    0.16964643 |
|  9000.0 |    0.14967136 |
|  9040.0 |    0.15399851 |
|  9080.0 |    0.14144659 |
|  9120.0 |    0.13394144 |
|  9160.0 |    0.12616953 |
|  9200.0 |    0.12398081 |
|  9240.0 |    0.11571746 |
|  9280.0 |    0.10942619 |
|  9320.0 |   0.072919704 |
|  9360.0 |   0.060746919 |
|  9400.0 |   0.075594805 |
|  9440.0 |   0.064852968 |
|  9480.0 |   0.058765154 |
|  9520.0 |   0.057067927 |
|  9560.0 |   0.056407675 |
|  9600.0 |   0.055948675 |
|  9640.0 |   0.055320613 |
|  9680.0 |   0.055134382 |
|  9720.0 |   0.056917813 |
|  9760.0 |   0.052711885 |
|  9800.0 |    0.04847867 |
|  9840.0 |   0.044256557 |
|  9880.0 |   0.039968062 |
|  9920.0 |   0.035672296 |
|  9960.0 |   0.031454619 |
| 10000.0 |   0.027305514 |
| 10040.0 |   0.023231415 |
| 10080.0 |   0.019200232 |
| 10120.0 |   0.015227424 |
| 10160.0 |   0.011345652 |
| 10200.0 |  0.0075174435 |
