# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): F555W
# 
# Instrument: ACS_WFC_F555W
# 
# Determined by: 
# 
# Date of determination: 2010-May-02
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# 
# Obtained from Leonidas Moustakas on 2011-Apr-02 for the CLASH team.
# 
# J. Moustakas, UCSD 2011-Apr-07
|  lambda |        pass |
| 4479.99 | 0.000100575 |
| 4480.48 | 0.000104119 |
| 4480.98 | 0.000107738 |
| 4481.47 | 0.000111358 |
| 4481.97 | 0.000114994 |
| 4482.46 | 0.000118627 |
| 4482.96 | 0.000122227 |
| 4483.46 | 0.000125866 |
| 4483.95 | 0.000129483 |
| 4484.44 |   0.0001331 |
| 4484.94 | 0.000136702 |
| 4485.43 | 0.000140336 |
| 4485.93 | 0.000143956 |
| 4486.42 | 0.000147574 |
| 4486.92 | 0.000151211 |
| 4487.42 | 0.000154829 |
| 4487.91 | 0.000158447 |
| 4488.41 | 0.000162082 |
|  4488.9 | 0.000165684 |
|  4489.4 | 0.000169318 |
| 4489.89 |  0.00017292 |
| 4490.39 |  0.00017656 |
| 4490.89 | 0.000180205 |
| 4491.38 | 0.000183814 |
| 4491.88 | 0.000187458 |
| 4492.38 | 0.000191085 |
| 4492.87 | 0.000194715 |
| 4493.37 | 0.000198324 |
| 4493.86 | 0.000201972 |
| 4494.36 | 0.000205598 |
| 4494.85 | 0.000209228 |
| 4495.35 | 0.000212876 |
| 4495.85 | 0.000216488 |
| 4496.34 | 0.000220117 |
| 4496.84 | 0.000223782 |
| 4497.34 | 0.000227412 |
| 4497.84 | 0.000231045 |
| 4498.33 | 0.000234656 |
| 4498.83 | 0.000238307 |
| 4499.33 |  0.00024194 |
| 4499.82 | 0.000245568 |
| 4500.32 | 0.000249212 |
| 4500.82 | 0.000252837 |
| 4501.31 | 0.000256459 |
| 4501.81 |  0.00026008 |
| 4502.31 |   0.0002637 |
| 4502.81 | 0.000267342 |
|  4503.3 | 0.000270947 |
|  4503.8 | 0.000274584 |
|  4504.3 | 0.000278189 |
| 4504.79 | 0.000281829 |
| 4505.29 |  0.00028545 |
| 4505.79 | 0.000289089 |
| 4506.29 | 0.000292713 |
| 4506.78 | 0.000296316 |
| 4507.28 | 0.000299958 |
| 4507.78 | 0.000303577 |
| 4508.28 |   0.0003072 |
| 4508.78 |  0.00031084 |
| 4509.28 |  0.00031448 |
| 4509.77 | 0.000318084 |
| 4510.27 | 0.000321708 |
| 4510.77 | 0.000325355 |
| 4511.27 | 0.000328981 |
| 4511.77 | 0.000332591 |
| 4512.27 | 0.000336234 |
| 4512.76 | 0.000339862 |
| 4513.26 |  0.00034349 |
| 4513.76 | 0.000347136 |
| 4514.26 | 0.000350745 |
| 4514.76 |  0.00035439 |
| 4515.26 |  0.00035802 |
| 4515.75 | 0.000361647 |
| 4516.25 | 0.000365276 |
| 4516.75 | 0.000368902 |
| 4517.25 | 0.000372549 |
| 4517.75 | 0.000376178 |
| 4518.25 | 0.000379806 |
| 4518.75 | 0.000383434 |
| 4519.25 | 0.000387083 |
| 4519.75 | 0.000390711 |
| 4520.24 | 0.000398675 |
| 4520.75 | 0.000411287 |
| 4521.24 | 0.000423837 |
| 4521.74 | 0.000436376 |
| 4522.24 | 0.000448988 |
| 4522.74 | 0.000461479 |
| 4523.24 |  0.00047403 |
| 4523.74 | 0.000486656 |
| 4524.24 |  0.00049927 |
| 4524.74 | 0.000511834 |
| 4525.24 | 0.000524326 |
| 4525.74 | 0.000536953 |
| 4526.24 | 0.000549519 |
| 4526.74 | 0.000562084 |
| 4527.24 | 0.000574712 |
| 4527.74 | 0.000587278 |
| 4528.24 | 0.000599844 |
| 4528.74 | 0.000612424 |
| 4529.24 | 0.000624991 |
| 4529.74 | 0.000637571 |
| 4530.24 | 0.000650119 |
| 4530.74 |  0.00066272 |
| 4531.24 | 0.000675258 |
| 4531.74 | 0.000687795 |
| 4532.24 | 0.000700343 |
| 4532.75 | 0.000712938 |
| 4533.25 |  0.00072547 |
| 4533.74 | 0.000737952 |
| 4534.25 | 0.000750543 |
| 4534.75 | 0.000763085 |
| 4535.25 | 0.000775625 |
| 4535.75 | 0.000788225 |
| 4536.25 | 0.000800823 |
| 4536.75 | 0.000813298 |
| 4537.25 | 0.000825844 |
| 4537.75 | 0.000838438 |
| 4538.26 | 0.000850982 |
| 4538.75 | 0.000863452 |
| 4539.26 | 0.000876055 |
| 4539.76 | 0.000888596 |
| 4540.26 | 0.000901146 |
| 4540.76 | 0.000913768 |
| 4541.26 | 0.000926267 |
| 4541.77 | 0.000938902 |
| 4542.27 | 0.000951462 |
| 4542.77 | 0.000964034 |
| 4543.27 | 0.000976592 |
| 4543.77 | 0.000989161 |
| 4544.27 |  0.00100179 |
| 4544.77 |  0.00101436 |
| 4545.28 |  0.00102693 |
| 4545.78 |  0.00103949 |
| 4546.28 |  0.00105213 |
| 4546.78 |   0.0010647 |
| 4547.28 |  0.00107721 |
| 4547.79 |  0.00108985 |
| 4548.29 |  0.00110242 |
| 4548.79 |  0.00111499 |
|  4549.3 |  0.00112763 |
| 4549.79 |  0.00114014 |
|  4550.3 |  0.00115268 |
|  4550.8 |  0.00116525 |
| 4551.31 |  0.00117782 |
| 4551.81 |  0.00119032 |
| 4552.31 |  0.00120277 |
| 4552.81 |  0.00121534 |
| 4553.32 |  0.00122784 |
| 4553.82 |  0.00124035 |
| 4554.32 |  0.00125285 |
| 4554.83 |  0.00126541 |
| 4555.33 |  0.00127791 |
| 4555.83 |  0.00129041 |
| 4556.33 |  0.00130291 |
| 4556.84 |  0.00131542 |
| 4557.34 |   0.0013279 |
| 4557.85 |  0.00134046 |
| 4558.35 |  0.00135297 |
| 4558.85 |   0.0013654 |
| 4559.35 |  0.00137789 |
| 4559.86 |  0.00139052 |
| 4560.36 |  0.00143938 |
| 4560.86 |  0.00150199 |
| 4561.37 |  0.00156514 |
| 4561.87 |  0.00162805 |
| 4562.38 |  0.00169096 |
| 4562.88 |  0.00175387 |
| 4563.39 |  0.00181715 |
| 4563.89 |  0.00188006 |
| 4564.39 |  0.00194297 |
|  4564.9 |  0.00200624 |
|  4565.4 |  0.00206921 |
|  4565.9 |  0.00213181 |
| 4566.41 |  0.00219509 |
| 4566.92 |  0.00225806 |
| 4567.42 |  0.00232109 |
| 4567.92 |  0.00238375 |
| 4568.43 |  0.00244702 |
| 4568.93 |  0.00251035 |
| 4569.44 |  0.00257332 |
| 4569.94 |  0.00263635 |
| 4570.45 |  0.00269925 |
| 4570.95 |  0.00276212 |
| 4571.46 |  0.00282499 |
| 4571.96 |  0.00288815 |
| 4572.47 |    0.002951 |
| 4572.97 |   0.0030139 |
| 4573.48 |  0.00307705 |
| 4573.98 |  0.00313994 |
| 4574.49 |  0.00320283 |
| 4574.99 |  0.00326564 |
|  4575.5 |  0.00332851 |
|  4576.0 |  0.00339137 |
| 4576.51 |  0.00345429 |
| 4577.01 |  0.00351713 |
| 4577.52 |  0.00357997 |
| 4578.02 |  0.00364317 |
| 4578.53 |  0.00370636 |
| 4579.04 |  0.00376918 |
| 4579.54 |  0.00383175 |
| 4580.05 |  0.00389506 |
| 4580.55 |  0.00396324 |
| 4581.06 |  0.00403115 |
| 4581.57 |   0.0040993 |
| 4582.07 |  0.00416712 |
| 4582.58 |    0.004235 |
| 4583.08 |  0.00430287 |
| 4583.59 |  0.00437066 |
|  4584.1 |  0.00443884 |
|  4584.6 |  0.00450636 |
| 4585.11 |  0.00457419 |
| 4585.61 |  0.00464208 |
| 4586.12 |  0.00471022 |
| 4586.62 |   0.0047777 |
| 4587.13 |  0.00484588 |
| 4587.64 |  0.00491373 |
| 4588.15 |  0.00498157 |
| 4588.66 |  0.00504973 |
| 4589.16 |  0.00511756 |
| 4589.67 |  0.00518537 |
| 4590.18 |  0.00525994 |
| 4590.69 |  0.00534665 |
| 4591.19 |  0.00543244 |
|  4591.7 |  0.00551873 |
| 4592.21 |  0.00560543 |
| 4592.71 |  0.00569173 |
| 4593.22 |  0.00577752 |
| 4593.72 |   0.0058638 |
| 4594.23 |  0.00595059 |
| 4594.74 |  0.00603688 |
| 4595.25 |  0.00612276 |
| 4595.75 |  0.00620954 |
| 4596.26 |   0.0062959 |
| 4596.77 |  0.00638219 |
| 4597.28 |  0.00646897 |
| 4597.79 |  0.00655575 |
| 4598.29 |   0.0066417 |
|  4598.8 |  0.00672815 |
| 4599.31 |  0.00681535 |
| 4599.82 |  0.00690138 |
| 4600.33 |  0.00700876 |
| 4600.84 |  0.00712849 |
| 4601.34 |  0.00724763 |
| 4601.85 |  0.00736608 |
| 4602.36 |  0.00748589 |
| 4602.87 |  0.00760501 |
| 4603.38 |  0.00772412 |
| 4603.88 |  0.00784264 |
| 4604.39 |  0.00796242 |
|  4604.9 |  0.00808151 |
| 4605.41 |  0.00820069 |
| 4605.92 |  0.00832044 |
| 4606.43 |  0.00844018 |
| 4606.94 |  0.00855876 |
| 4607.44 |  0.00867792 |
| 4607.96 |  0.00879775 |
| 4608.46 |  0.00891689 |
| 4608.97 |   0.0090367 |
| 4609.48 |  0.00915583 |
| 4609.99 |  0.00927506 |
|  4610.5 |  0.00942435 |
| 4611.01 |  0.00957415 |
| 4611.52 |  0.00972391 |
| 4612.03 |  0.00987366 |
| 4612.54 |   0.0100235 |
| 4613.04 |   0.0101732 |
| 4613.56 |   0.0103238 |
| 4614.06 |   0.0104727 |
| 4614.57 |   0.0106233 |
| 4615.08 |    0.010773 |
| 4615.59 |   0.0109228 |
|  4616.1 |   0.0110725 |
| 4616.61 |   0.0112231 |
| 4617.12 |   0.0113727 |
| 4617.64 |   0.0115233 |
| 4618.15 |   0.0116736 |
| 4618.65 |   0.0118227 |
| 4619.17 |   0.0119724 |
| 4619.67 |   0.0121221 |
| 4620.19 |   0.0122902 |
| 4620.69 |   0.0124873 |
|  4621.2 |   0.0126853 |
| 4621.72 |   0.0128845 |
| 4622.23 |   0.0130825 |
| 4622.73 |   0.0132797 |
| 4623.25 |   0.0134787 |
| 4623.76 |   0.0136769 |
| 4624.27 |   0.0138751 |
| 4624.78 |   0.0140745 |
| 4625.29 |   0.0142727 |
|  4625.8 |   0.0144709 |
| 4626.31 |   0.0146691 |
| 4626.83 |   0.0148694 |
| 4627.33 |   0.0150668 |
| 4627.85 |   0.0152652 |
| 4628.36 |   0.0154636 |
| 4628.87 |    0.015663 |
| 4629.38 |   0.0158604 |
| 4629.89 |   0.0160588 |
|  4630.4 |   0.0162948 |
| 4630.91 |   0.0165399 |
| 4631.42 |   0.0167837 |
| 4631.94 |     0.01703 |
| 4632.45 |   0.0172751 |
| 4632.96 |   0.0175201 |
| 4633.47 |   0.0177664 |
| 4633.98 |   0.0180128 |
| 4634.49 |   0.0182566 |
|  4635.0 |   0.0185016 |
| 4635.52 |   0.0187479 |
| 4636.03 |   0.0189927 |
| 4636.54 |    0.019239 |
| 4637.05 |   0.0194829 |
| 4637.57 |   0.0197292 |
| 4638.08 |   0.0199742 |
| 4638.59 |   0.0202191 |
|  4639.1 |   0.0204643 |
| 4639.62 |   0.0207093 |
| 4640.13 |    0.020971 |
| 4640.64 |   0.0212826 |
| 4641.15 |   0.0215959 |
| 4641.66 |   0.0219062 |
| 4642.18 |   0.0222194 |
| 4642.69 |   0.0225312 |
|  4643.2 |   0.0228432 |
| 4643.71 |   0.0231549 |
| 4644.23 |   0.0234684 |
| 4644.74 |   0.0237801 |
| 4645.25 |    0.024092 |
| 4645.77 |   0.0244039 |
| 4646.28 |   0.0247173 |
|  4646.8 |   0.0250292 |
| 4647.31 |    0.025341 |
| 4647.82 |   0.0256546 |
| 4648.33 |    0.025965 |
| 4648.85 |   0.0262768 |
| 4649.36 |   0.0265903 |
| 4649.88 |   0.0269023 |
| 4650.39 |   0.0272677 |
|  4650.9 |   0.0276543 |
| 4651.42 |   0.0280391 |
| 4651.93 |   0.0284238 |
| 4652.44 |   0.0288107 |
| 4652.96 |   0.0291954 |
| 4653.47 |   0.0295804 |
| 4653.98 |    0.029965 |
|  4654.5 |   0.0303519 |
| 4655.02 |   0.0307369 |
| 4655.53 |   0.0311218 |
| 4656.04 |   0.0315067 |
| 4656.56 |   0.0318938 |
| 4657.07 |   0.0322769 |
| 4657.58 |   0.0326621 |
|  4658.1 |   0.0330488 |
| 4658.61 |    0.033434 |
| 4659.13 |   0.0338192 |
| 4659.64 |   0.0342043 |
| 4660.16 |   0.0346086 |
| 4660.67 |   0.0350565 |
| 4661.19 |   0.0355048 |
| 4661.71 |   0.0359568 |
| 4662.22 |   0.0364029 |
| 4662.73 |   0.0368507 |
