# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): F850LP
# 
# Instrument: ACS_WFC_F850LP
# 
# Determined by: 
# 
# Date of determination: 2010-May-02
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# 
# Obtained from Leonidas Moustakas on 2011-Apr-02 for the CLASH team.
# 
# J. Moustakas, UCSD 2011-Apr-07
|  lambda |        pass |
| 7821.19 | 0.000100794 |
| 7821.98 | 0.000101985 |
| 7822.77 |  0.00010317 |
| 7823.55 | 0.000104347 |
| 7824.34 | 0.000105536 |
| 7825.12 | 0.000106713 |
| 7825.92 | 0.000107901 |
|  7826.7 | 0.000109076 |
| 7827.48 | 0.000110257 |
| 7828.27 | 0.000111444 |
| 7829.06 | 0.000112623 |
| 7829.85 | 0.000113801 |
| 7830.63 | 0.000114972 |
| 7831.42 | 0.000116141 |
| 7832.21 | 0.000117308 |
| 7832.99 | 0.000118469 |
| 7833.78 | 0.000119641 |
| 7834.56 | 0.000120799 |
| 7835.35 |  0.00012197 |
| 7836.15 |  0.00012314 |
| 7836.93 | 0.000124296 |
| 7837.72 | 0.000125464 |
|  7838.5 | 0.000126619 |
| 7839.29 |  0.00012778 |
| 7840.08 | 0.000129065 |
| 7840.87 | 0.000131466 |
| 7841.66 |  0.00013388 |
| 7842.45 |  0.00013628 |
| 7843.23 | 0.000138666 |
| 7844.02 | 0.000141079 |
| 7844.81 | 0.000143464 |
|  7845.6 | 0.000145875 |
| 7846.38 | 0.000148258 |
| 7847.18 | 0.000150669 |
| 7847.96 | 0.000153052 |
| 7848.75 | 0.000155459 |
| 7849.54 | 0.000157854 |
| 7850.33 | 0.000160231 |
| 7851.12 | 0.000162583 |
| 7851.91 | 0.000164932 |
|  7852.7 |  0.00016728 |
| 7853.48 | 0.000169625 |
| 7854.27 | 0.000171956 |
| 7855.06 |  0.00017431 |
| 7855.86 | 0.000176663 |
| 7856.64 |  0.00017899 |
| 7857.44 | 0.000181338 |
| 7858.22 |  0.00018366 |
| 7859.01 | 0.000185993 |
|  7859.8 | 0.000188324 |
| 7860.59 | 0.000190682 |
| 7861.38 | 0.000193049 |
| 7862.17 | 0.000195427 |
| 7862.96 | 0.000197793 |
| 7863.75 | 0.000200157 |
| 7864.54 | 0.000202506 |
| 7865.33 | 0.000204881 |
| 7866.12 |  0.00020723 |
| 7866.91 | 0.000209603 |
|  7867.7 |  0.00021195 |
|  7868.5 | 0.000214322 |
| 7869.29 | 0.000216679 |
| 7870.08 | 0.000219034 |
| 7870.87 |  0.00022137 |
| 7871.66 | 0.000223706 |
| 7872.45 | 0.000226039 |
| 7873.24 | 0.000228372 |
| 7874.03 | 0.000230691 |
| 7874.82 | 0.000233034 |
| 7875.62 | 0.000235375 |
|  7876.4 | 0.000237691 |
|  7877.2 | 0.000240029 |
| 7877.99 | 0.000242342 |
| 7878.78 | 0.000244678 |
| 7879.57 | 0.000246988 |
| 7880.36 | 0.000250416 |
| 7881.15 |  0.00025516 |
| 7881.94 | 0.000259903 |
| 7882.74 | 0.000264668 |
| 7883.53 | 0.000269403 |
