# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): F110W
# 
# Instrument: WFC3_IR_F110W
# 
# Determined by: 
# 
# Date of determination: 2010-May-02
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# 
# Obtained from Leonidas Moustakas on 2011-Apr-02 for the CLASH team.
# 
# J. Moustakas, UCSD 2011-Apr-07
|  lambda |        pass |
| 8660.15 | 0.000102633 |
| 8660.85 | 0.000108494 |
| 8661.55 | 0.000114405 |
| 8662.26 |  0.00012035 |
| 8662.96 | 0.000122539 |
| 8663.67 | 0.000124004 |
| 8664.37 | 0.000125469 |
| 8665.06 | 0.000126915 |
| 8665.77 | 0.000128392 |
| 8666.48 | 0.000129858 |
| 8667.18 | 0.000131315 |
| 8667.88 | 0.000132782 |
| 8668.58 |  0.00013425 |
| 8669.29 |  0.00013572 |
| 8669.99 | 0.000137178 |
| 8670.69 | 0.000138647 |
| 8671.39 | 0.000140107 |
|  8672.1 | 0.000141577 |
|  8672.8 | 0.000139982 |
| 8673.51 | 0.000136316 |
| 8674.21 |  0.00013268 |
| 8674.92 | 0.000128987 |
| 8675.62 | 0.000125319 |
| 8676.32 | 0.000121675 |
| 8677.03 | 0.000118005 |
| 8677.73 |  0.00011434 |
| 8678.43 | 0.000110688 |
| 8679.14 | 0.000107016 |
| 8679.84 | 0.000103342 |
| 8684.07 | 0.000106873 |
| 8684.77 | 0.000113851 |
| 8685.48 | 0.000120869 |
| 8686.18 | 0.000127898 |
| 8686.88 | 0.000134881 |
| 8687.59 | 0.000141952 |
|  8688.3 | 0.000148986 |
|  8689.0 | 0.000155974 |
| 8689.71 | 0.000163011 |
| 8690.41 |  0.00017005 |
| 8691.11 | 0.000177042 |
| 8691.82 | 0.000184085 |
| 8692.53 | 0.000190223 |
| 8693.23 | 0.000192669 |
| 8693.94 | 0.000195117 |
| 8694.65 | 0.000197565 |
| 8695.35 |      0.0002 |
| 8696.05 | 0.000202449 |
| 8696.76 | 0.000204902 |
| 8697.46 | 0.000207338 |
| 8698.17 | 0.000209789 |
| 8698.88 | 0.000212243 |
| 8699.57 | 0.000214665 |
| 8700.29 | 0.000217154 |
|  8701.0 | 0.000219607 |
| 8701.69 | 0.000222033 |
|  8702.4 | 0.000224445 |
| 8703.11 | 0.000224122 |
| 8703.82 | 0.000223799 |
| 8704.52 | 0.000223479 |
| 8705.22 | 0.000223155 |
| 8705.94 |  0.00022283 |
| 8706.64 | 0.000222509 |
| 8707.35 | 0.000222186 |
| 8708.05 | 0.000221862 |
| 8708.76 | 0.000221541 |
| 8709.46 | 0.000221217 |
| 8710.17 | 0.000220893 |
| 8710.88 | 0.000220571 |
| 8711.58 | 0.000220247 |
| 8712.29 | 0.000219923 |
|  8713.0 | 0.000227643 |
| 8713.71 | 0.000236712 |
| 8714.42 | 0.000245784 |
| 8715.12 | 0.000254794 |
| 8715.83 |  0.00026387 |
| 8716.53 | 0.000272947 |
| 8717.24 | 0.000281977 |
| 8717.95 | 0.000291058 |
| 8718.66 | 0.000300205 |
| 8719.36 |  0.00030924 |
| 8720.07 | 0.000318339 |
| 8720.78 | 0.000327551 |
| 8721.48 | 0.000336695 |
| 8722.19 | 0.000345923 |
|  8722.9 | 0.000352955 |
| 8723.61 |  0.00035907 |
| 8724.31 | 0.000365234 |
| 8725.02 | 0.000371394 |
| 8725.73 | 0.000377568 |
| 8726.44 | 0.000383748 |
| 8727.15 | 0.000389933 |
| 8727.85 |  0.00039609 |
| 8728.56 | 0.000402285 |
| 8729.27 | 0.000408487 |
| 8729.98 | 0.000414651 |
| 8730.69 | 0.000420872 |
|  8731.4 | 0.000427132 |
| 8732.11 | 0.000433321 |
| 8732.81 | 0.000436723 |
| 8733.52 | 0.000438151 |
| 8734.23 | 0.000439569 |
