# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): F300X
# 
# Instrument: WFC3_UVIS_F300X
# 
# Determined by: 
# 
# Date of determination: 2010-May-02
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# 
# Obtained from Leonidas Moustakas on 2011-Apr-02 for the CLASH team.
# 
# J. Moustakas, UCSD 2011-Apr-07
|  lambda |        pass |
| 1990.02 | 0.000286723 |
| 1990.36 | 0.000286817 |
|  1990.7 |  0.00028691 |
| 1991.04 | 0.000287001 |
| 1991.38 | 0.000287091 |
| 1991.72 |  0.00028718 |
| 1992.06 | 0.000287267 |
| 1992.41 | 0.000287354 |
| 1992.75 | 0.000287439 |
| 1993.09 | 0.000287522 |
| 1993.43 | 0.000287605 |
| 1993.77 | 0.000287686 |
| 1994.11 | 0.000287766 |
| 1994.45 | 0.000287845 |
| 1994.79 | 0.000287922 |
| 1995.14 | 0.000287998 |
| 1995.48 | 0.000288073 |
| 1995.82 | 0.000288146 |
| 1996.16 | 0.000288219 |
|  1996.5 |  0.00028829 |
| 1996.84 | 0.000288359 |
| 1997.18 | 0.000288427 |
| 1997.53 | 0.000288494 |
| 1997.87 |  0.00028856 |
| 1998.21 | 0.000288624 |
| 1998.55 | 0.000288687 |
| 1998.89 | 0.000288749 |
| 1999.23 | 0.000288809 |
| 1999.58 | 0.000288868 |
| 1999.92 | 0.000288926 |
| 2000.26 | 0.000288696 |
|  2000.6 | 0.000288379 |
| 2000.94 | 0.000289479 |
| 2001.29 | 0.000290793 |
| 2001.63 | 0.000292117 |
| 2001.97 | 0.000293434 |
| 2002.31 | 0.000294753 |
| 2002.66 | 0.000296078 |
|  2003.0 | 0.000297404 |
| 2003.34 | 0.000298728 |
| 2003.69 | 0.000300061 |
| 2004.03 | 0.000301388 |
| 2004.37 | 0.000302717 |
| 2004.71 | 0.000304051 |
| 2005.06 | 0.000305387 |
|  2005.4 | 0.000306721 |
| 2005.74 |  0.00030806 |
| 2006.09 | 0.000309401 |
| 2006.43 | 0.000310739 |
| 2006.78 | 0.000312088 |
| 2007.12 | 0.000313429 |
| 2007.46 | 0.000314772 |
|  2007.8 | 0.000316121 |
| 2008.15 | 0.000317468 |
| 2008.49 |  0.00031882 |
| 2008.83 | 0.000320174 |
| 2009.18 | 0.000321529 |
| 2009.52 | 0.000322882 |
| 2009.86 | 0.000324237 |
| 2010.21 | 0.000325602 |
| 2010.55 | 0.000326959 |
|  2010.9 | 0.000328433 |
| 2011.24 | 0.000329958 |
| 2011.58 |  0.00033148 |
| 2011.93 | 0.000333009 |
| 2012.28 | 0.000334545 |
| 2012.62 | 0.000336073 |
| 2012.96 | 0.000337603 |
| 2013.31 | 0.000339139 |
| 2013.65 | 0.000340678 |
|  2014.0 | 0.000342213 |
| 2014.34 | 0.000343755 |
| 2014.69 | 0.000345294 |
| 2015.03 | 0.000346839 |
| 2015.38 | 0.000348392 |
| 2015.72 | 0.000349937 |
| 2016.06 | 0.000351483 |
| 2016.41 | 0.000353037 |
| 2016.75 | 0.000354587 |
|  2017.1 | 0.000356144 |
| 2017.44 | 0.000357698 |
| 2017.79 | 0.000359259 |
| 2018.13 | 0.000360817 |
| 2018.48 | 0.000362382 |
| 2018.83 | 0.000363953 |
| 2019.17 | 0.000365517 |
| 2019.52 | 0.000367082 |
| 2019.86 | 0.000368654 |
