# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): F475W
# 
# Instrument: WFC3_UVIS_F475W
# 
# Determined by: 
# 
# Date of determination: 2010-May-02
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# 
# Obtained from Leonidas Moustakas on 2011-Apr-02 for the CLASH team.
# 
# J. Moustakas, UCSD 2011-Apr-07
|  lambda |        pass |
| 3902.11 | 0.000105277 |
| 3902.77 |  0.00011291 |
| 3903.44 | 0.000120603 |
| 3904.11 | 0.000128299 |
| 3904.77 | 0.000135981 |
| 3905.44 | 0.000143669 |
| 3906.11 | 0.000151388 |
| 3906.78 | 0.000159113 |
| 3907.45 |  0.00016685 |
| 3908.12 |  0.00017459 |
| 3908.79 | 0.000182338 |
| 3909.45 | 0.000190045 |
| 3910.12 | 0.000197806 |
| 3910.79 | 0.000205566 |
| 3911.46 | 0.000218263 |
| 3912.13 |  0.00023537 |
|  3912.8 | 0.000252494 |
| 3913.47 | 0.000269629 |
| 3914.14 |  0.00028667 |
| 3914.81 |  0.00030384 |
| 3915.48 | 0.000321016 |
| 3916.15 | 0.000338159 |
| 3916.82 | 0.000355363 |
| 3917.49 | 0.000372534 |
| 3918.16 | 0.000389767 |
| 3918.83 | 0.000406967 |
|  3919.5 | 0.000424228 |
| 3920.17 |  0.00044145 |
| 3920.84 | 0.000458747 |
| 3921.51 | 0.000489154 |
| 3922.18 | 0.000528446 |
| 3922.85 | 0.000567777 |
| 3923.52 | 0.000607019 |
|  3924.2 | 0.000646416 |
| 3924.87 |  0.00068571 |
| 3925.54 | 0.000725172 |
| 3926.21 |  0.00076466 |
| 3926.88 | 0.000804188 |
| 3927.55 | 0.000843613 |
| 3928.23 | 0.000883077 |
|  3928.9 | 0.000922697 |
| 3929.57 | 0.000962357 |
| 3930.24 |  0.00100193 |
| 3930.91 |  0.00104159 |
| 3931.59 |  0.00111585 |
| 3932.26 |  0.00120477 |
| 3932.93 |  0.00129376 |
| 3933.61 |  0.00138282 |
| 3934.28 |  0.00147168 |
| 3934.95 |  0.00156094 |
