# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): F850LP
# 
# Instrument: WFC3_UVIS_F850LP
# 
# Determined by: 
# 
# Date of determination: 2010-May-02
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# 
# Obtained from Leonidas Moustakas on 2011-Apr-02 for the CLASH team.
# 
# J. Moustakas, UCSD 2011-Apr-07
|  lambda |        pass |
| 8159.74 | 0.000100379 |
| 8161.14 | 0.000103728 |
| 8162.53 | 0.000107183 |
| 8163.93 |   0.0001111 |
| 8165.33 | 0.000115024 |
| 8166.72 | 0.000118941 |
| 8168.12 | 0.000122854 |
| 8169.52 | 0.000126747 |
| 8170.92 | 0.000130648 |
| 8172.31 | 0.000134623 |
| 8173.71 | 0.000140448 |
| 8175.11 | 0.000146263 |
| 8176.51 | 0.000152053 |
| 8177.91 | 0.000157851 |
| 8179.31 | 0.000163624 |
| 8180.71 | 0.000169436 |
| 8182.11 | 0.000175213 |
|  8183.5 | 0.000181737 |
| 8184.91 | 0.000188357 |
|  8186.3 | 0.000194947 |
| 8187.71 | 0.000201573 |
| 8189.11 | 0.000208147 |
| 8190.51 | 0.000214725 |
| 8191.91 | 0.000221255 |
| 8193.31 | 0.000229412 |
| 8194.72 | 0.000238142 |
| 8196.12 | 0.000246797 |
| 8197.52 | 0.000255474 |
| 8198.92 | 0.000264106 |
| 8200.33 | 0.000272786 |
| 8201.73 | 0.000281402 |
| 8203.13 | 0.000291724 |
| 8204.53 | 0.000303102 |
| 8205.93 | 0.000314421 |
| 8207.34 | 0.000325802 |
| 8208.75 | 0.000337093 |
| 8210.15 |  0.00034841 |
| 8211.55 | 0.000359719 |
| 8212.96 | 0.000372856 |
| 8214.37 | 0.000387949 |
| 8215.77 | 0.000402917 |
| 8217.18 | 0.000417917 |
| 8218.58 | 0.000432855 |
| 8219.99 | 0.000447814 |
|  8221.4 | 0.000462703 |
|  8222.8 | 0.000479031 |
| 8224.21 | 0.000497785 |
| 8225.61 | 0.000516455 |
| 8227.02 |  0.00053516 |
| 8228.43 | 0.000553834 |
| 8229.84 | 0.000572478 |
| 8231.25 | 0.000591083 |
| 8232.65 | 0.000610759 |
| 8234.06 | 0.000633341 |
| 8235.47 | 0.000655904 |
| 8236.88 | 0.000678419 |
| 8238.29 | 0.000700839 |
|  8239.7 | 0.000723318 |
| 8241.11 | 0.000745748 |
| 8242.52 | 0.000769324 |
| 8243.93 | 0.000797678 |
| 8245.34 | 0.000825901 |
| 8246.75 | 0.000854187 |
| 8248.16 |  0.00088236 |
| 8249.57 | 0.000910597 |
| 8250.99 | 0.000938714 |
|  8252.4 | 0.000967531 |
| 8253.81 |  0.00100382 |
| 8255.22 |  0.00104005 |
| 8256.64 |  0.00107649 |
| 8258.05 |  0.00111264 |
| 8259.46 |  0.00114884 |
| 8260.87 |  0.00118488 |
| 8262.29 |  0.00122125 |
|  8263.7 |  0.00126602 |
| 8265.11 |    0.001311 |
| 8266.53 |  0.00135595 |
| 8267.94 |  0.00140068 |
| 8269.36 |  0.00144564 |
| 8270.77 |  0.00149037 |
| 8272.19 |  0.00153529 |
|  8273.6 |  0.00159005 |
| 8275.01 |  0.00164542 |
| 8276.44 |  0.00170108 |
| 8277.85 |  0.00175632 |
