# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): B
# 
# collected by: Guangtun Zhu
# 
# from http://www.ctio.noao.edu/instruments/FILTERS/index.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  3302.0 AA and  5830.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3: mean CCD response:http://www.ctio.noao.edu/pfccd/mosaic_ccds.html
# 
| lambda |          pass |
| 3302.0 | 6.1662163e-06 |
| 3310.0 | 1.9024052e-05 |
| 3314.0 | 3.2151955e-05 |
| 3318.0 | 3.2602125e-05 |
| 3322.0 | 1.9820143e-05 |
| 3338.0 | 1.3881691e-05 |
| 3346.0 | 5.8244084e-05 |
| 3350.0 | 7.4811804e-05 |
| 3354.0 | 3.0735991e-05 |
| 3358.0 | 3.1555919e-05 |
| 3362.0 | 8.0913014e-06 |
| 3366.0 | 1.6581229e-05 |
| 3370.0 | 5.0949937e-05 |
| 3374.0 | 4.3472177e-05 |
| 3382.0 | 2.7312512e-05 |
| 3386.0 | 4.6549932e-05 |
| 3390.0 | 1.9034978e-05 |
| 3394.0 | 4.8633457e-05 |
| 3398.0 | 2.9812811e-05 |
| 3402.0 | 2.0299016e-05 |
| 3406.0 | 2.0724739e-05 |
| 3410.0 | 7.4038398e-05 |
| 3414.0 | 5.3965672e-05 |
| 3418.0 | 4.4044227e-05 |
| 3422.0 | 2.2461405e-05 |
| 3434.0 | 8.3300423e-05 |
| 3446.0 | 2.5170491e-05 |
| 3450.0 | 2.5634416e-05 |
| 3454.0 | 0.00010432782 |
| 3458.0 |  0.0001326621 |
| 3462.0 | 0.00010794325 |
| 3466.0 | 0.00012348978 |
| 3474.0 | 1.4181902e-05 |
| 3478.0 | 0.00011531645 |
| 3482.0 | 0.00010254105 |
| 3486.0 | 2.9768797e-05 |
| 3490.0 | 0.00018145924 |
| 3494.0 |  0.0002457654 |
| 3498.0 | 0.00028081104 |
| 3502.0 | 0.00026925691 |
| 3506.0 | 0.00048222794 |
| 3510.0 | 0.00057089259 |
| 3514.0 | 0.00064543088 |
| 3518.0 | 0.00070514425 |
| 3522.0 | 0.00078338641 |
| 3526.0 | 0.00088089687 |
| 3530.0 |   0.001050972 |
| 3534.0 |   0.001136722 |
| 3538.0 |  0.0012965573 |
| 3542.0 |  0.0014421907 |
| 3546.0 |   0.001628423 |
| 3550.0 |  0.0018755433 |
| 3554.0 |  0.0021288355 |
