# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): I
# 
# collected by: Guangtun Zhu
# 
# from http://www.ctio.noao.edu/instruments/FILTERS/index.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  6756.0 AA and  9496.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3: mean CCD response:http://www.ctio.noao.edu/pfccd/mosaic_ccds.html
# 
| lambda |          pass |
| 6756.0 | 0.00014305756 |
| 6768.0 | 0.00014298297 |
| 6772.0 | 0.00028591612 |
| 6776.0 |  0.0002143997 |
| 6788.0 | 0.00014285822 |
| 6792.0 | 0.00049991626 |
| 6796.0 | 0.00014280819 |
| 6800.0 | 0.00014278314 |
| 6804.0 | 0.00014275807 |
| 6816.0 | 0.00042804822 |
| 6820.0 | 0.00049930153 |
| 6824.0 | 0.00049921346 |
| 6828.0 | 0.00057042891 |
| 6832.0 | 0.00035645501 |
| 6836.0 |  7.127838e-05 |
| 6844.0 | 0.00014146157 |
| 6848.0 | 0.00021023393 |
| 6852.0 | 0.00034836406 |
| 6856.0 | 0.00013611199 |
| 6860.0 | 0.00033174179 |
| 6864.0 | 0.00032565425 |
| 6868.0 | 0.00044897653 |
| 6872.0 | 0.00063286058 |
| 6876.0 | 0.00062527996 |
| 6880.0 | 0.00050055998 |
| 6884.0 | 0.00018862408 |
| 6888.0 | 0.00012638884 |
| 6892.0 | 0.00025412531 |
| 6896.0 | 0.00044721633 |
| 6900.0 | 0.00044987624 |
| 6904.0 | 0.00064675865 |
| 6908.0 | 0.00052094227 |
| 6912.0 | 0.00032801414 |
| 6916.0 | 0.00033072426 |
| 6920.0 | 0.00066767208 |
| 6924.0 | 0.00067515462 |
| 6928.0 | 0.00068507582 |
| 6932.0 | 0.00069250341 |
| 6936.0 | 0.00069310231 |
| 6940.0 | 0.00069373538 |
| 6944.0 | 0.00069440802 |
| 6948.0 | 0.00069512695 |
| 6952.0 | 0.00069590122 |
| 6956.0 | 0.00069674349 |
| 6960.0 | 0.00069767144 |
| 6964.0 | 0.00069871283 |
| 6968.0 | 0.00069991371 |
| 6972.0 | 0.00070136477 |
| 6976.0 | 0.00070329913 |
| 6980.0 | 0.00070817437 |
| 6984.0 | 0.00070800207 |
| 6988.0 | 0.00070782966 |
| 6992.0 | 0.00070765708 |
| 6996.0 | 0.00084898144 |
| 7000.0 | 0.00084877422 |
| 7004.0 | 0.00084856688 |
| 7008.0 | 0.00084835954 |
| 7012.0 |  0.0010601901 |
| 7016.0 |  0.0012012548 |
| 7020.0 |  0.0012009605 |
| 7024.0 |  0.0014125484 |
| 7028.0 |  0.0015534218 |
| 7032.0 |  0.0015530406 |
| 7036.0 |   0.001552659 |
| 7040.0 |  0.0015522771 |
| 7044.0 |  0.0019045989 |
| 7048.0 |  0.0019746532 |
| 7052.0 |  0.0021151789 |
| 7056.0 |  0.0021851456 |
| 7060.0 |  0.0022550777 |
| 7064.0 |  0.0026067898 |
| 7068.0 |  0.0026765817 |
| 7072.0 |  0.0026759198 |
| 7076.0 |  0.0030272652 |
| 7080.0 |  0.0033784355 |
| 7084.0 |  0.0035886981 |
| 7088.0 |  0.0041506011 |
| 7092.0 |  0.0042199031 |
| 7096.0 |  0.0047813687 |
| 7100.0 |  0.0050613675 |
| 7104.0 |  0.0054817828 |
| 7108.0 |  0.0062532984 |
| 7112.0 |  0.0067434502 |
| 7116.0 |  0.0072333566 |
| 7120.0 |  0.0080038533 |
| 7124.0 |  0.0084931972 |
| 7128.0 |  0.0094033387 |
| 7132.0 |   0.010523494 |
| 7136.0 |   0.011713225 |
| 7140.0 |   0.012762114 |
| 7144.0 |   0.013809581 |
| 7148.0 |   0.015273836 |
| 7152.0 |   0.016773337 |
| 7156.0 |   0.018709077 |
| 7160.0 |   0.020369574 |
| 7164.0 |   0.022292817 |
| 7168.0 |   0.024382479 |
| 7172.0 |   0.026569048 |
| 7176.0 |    0.02888713 |
| 7180.0 |    0.03171593 |
| 7184.0 |   0.035235099 |
| 7188.0 |   0.038744632 |
| 7192.0 |   0.043048844 |
| 7196.0 |   0.047816519 |
| 7200.0 |   0.053114448 |
| 7204.0 |   0.059266176 |
| 7208.0 |   0.065847866 |
| 7212.0 |   0.073549539 |
| 7216.0 |   0.081639014 |
| 7220.0 |   0.091483288 |
| 7224.0 |    0.10034157 |
| 7228.0 |     0.1098915 |
| 7232.0 |      0.120779 |
| 7236.0 |    0.13193394 |
| 7240.0 |     0.1440084 |
| 7244.0 |    0.15705368 |
| 7248.0 |     0.1717343 |
| 7252.0 |     0.1874982 |
| 7256.0 |    0.20362984 |
| 7260.0 |     0.2211166 |
| 7264.0 |    0.23957133 |
| 7268.0 |    0.25801376 |
| 7272.0 |    0.27730304 |
| 7276.0 |    0.29658887 |
| 7280.0 |     0.3164697 |
| 7284.0 |    0.33635786 |
| 7288.0 |    0.35572937 |
| 7292.0 |    0.37525192 |
| 7296.0 |    0.39466849 |
| 7300.0 |    0.41425464 |
| 7304.0 |     0.4326902 |
| 7308.0 |    0.45005089 |
| 7312.0 |    0.46726584 |
| 7316.0 |    0.48298869 |
| 7320.0 |    0.49791926 |
| 7324.0 |    0.51215351 |
| 7328.0 |    0.52553588 |
| 7332.0 |     0.5382849 |
| 7336.0 |    0.55044776 |
| 7340.0 |    0.56290609 |
| 7344.0 |    0.57079214 |
| 7348.0 |       0.57773 |
| 7352.0 |     0.5841319 |
| 7356.0 |    0.58979452 |
| 7360.0 |    0.59458333 |
| 7364.0 |    0.59870702 |
| 7368.0 |    0.60217005 |
| 7372.0 |    0.60511583 |
| 7376.0 |    0.60755521 |
| 7380.0 |    0.60984969 |
| 7384.0 |    0.61190456 |
| 7388.0 |     0.6135897 |
| 7392.0 |    0.61529183 |
| 7396.0 |    0.61618817 |
| 7400.0 |    0.61653441 |
| 7404.0 |    0.61667424 |
| 7408.0 |    0.61633343 |
| 7412.0 |     0.6161986 |
| 7416.0 |    0.61640644 |
| 7420.0 |    0.61565417 |
| 7424.0 |    0.61524481 |
| 7428.0 |    0.61476713 |
| 7432.0 |    0.61456347 |
| 7436.0 |    0.61401743 |
| 7440.0 |    0.61360848 |
| 7444.0 |    0.61361009 |
| 7448.0 |    0.61340636 |
| 7452.0 |    0.61299741 |
| 7456.0 |    0.61252022 |
| 7460.0 |    0.61272645 |
| 7464.0 |      0.613069 |
| 7468.0 |    0.61313802 |
| 7472.0 |    0.61341149 |
| 7476.0 |    0.61368465 |
| 7480.0 |    0.61375278 |
| 7484.0 |    0.61279774 |
| 7488.0 |    0.61252481 |
| 7492.0 |    0.61238825 |
| 7496.0 |    0.61266035 |
| 7500.0 |    0.61252344 |
| 7504.0 |    0.61225033 |
| 7508.0 |    0.61252159 |
| 7512.0 |    0.61292851 |
| 7516.0 |    0.61326706 |
| 7520.0 |    0.61319721 |
| 7524.0 |    0.61367095 |
| 7528.0 |     0.6142801 |
| 7532.0 |    0.61441308 |
| 7536.0 |    0.61427438 |
| 7540.0 |    0.61420327 |
| 7544.0 |    0.61481065 |
| 7548.0 |    0.61541736 |
| 7552.0 |    0.61595565 |
| 7556.0 |    0.61622226 |
| 7560.0 |     0.6167596 |
| 7564.0 |    0.60311115 |
| 7568.0 |    0.59836459 |
| 7572.0 |     0.5949176 |
| 7576.0 |    0.59210896 |
| 7580.0 |    0.56310242 |
| 7584.0 |    0.53258562 |
| 7588.0 |     0.5114221 |
| 7592.0 |    0.44239923 |
| 7596.0 |    0.37463829 |
| 7600.0 |    0.33101574 |
| 7604.0 |    0.29850781 |
