# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): R
# 
# collected by: Guangtun Zhu
# 
# from http://www.ctio.noao.edu/instruments/FILTERS/index.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  5317.1 AA and  9744.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3: mean CCD response:http://www.ctio.noao.edu/pfccd/mosaic_ccds.html
# 
|    lambda |          pass |
| 5317.1001 | 0.00013074942 |
| 5323.1001 | 0.00013089608 |
| 5329.1001 | 0.00013104283 |
| 5335.1001 | 0.00013118969 |
| 5353.1001 | 0.00019744625 |
| 5359.2002 | 0.00013178046 |
| 5377.2002 | 6.6111439e-05 |
| 5383.2002 | 0.00026474107 |
| 5395.2002 | 0.00013266623 |
| 5401.2002 | 0.00033202837 |
| 5407.2002 | 0.00033236283 |
| 5413.2002 | 0.00013307891 |
| 5419.2002 | 0.00026642543 |
| 5425.2002 | 0.00033336668 |
| 5431.2002 | 0.00033370181 |
| 5437.2002 | 0.00040084455 |
| 5443.2002 | 0.00040124715 |
| 5449.2998 | 0.00046859941 |
| 5491.2998 | 0.00074155029 |
| 5497.2998 |  0.0011471787 |
| 5503.2998 |  0.0013509713 |
| 5509.2998 |  0.0013523211 |
| 5515.2998 |    0.00169209 |
| 5521.2998 |   0.002168037 |
| 5527.2998 |  0.0029840239 |
| 5533.2998 |  0.0035979764 |
| 5539.3999 |  0.0045529963 |
| 5545.3999 |  0.0057819453 |
| 5551.3999 |  0.0072176075 |
| 5557.3999 |   0.009678497 |
| 5563.3999 |    0.01207605 |
| 5569.3999 |   0.015297887 |
| 5575.3999 |   0.019004647 |
| 5581.3999 |   0.024018921 |
| 5587.3999 |   0.029728092 |
| 5593.3999 |   0.036751322 |
| 5599.3999 |   0.044749334 |
| 5605.3999 |   0.054202396 |
| 5611.3999 |   0.065047689 |
| 5617.3999 |   0.076945223 |
| 5623.3999 |   0.090242267 |
|    5629.5 |    0.10522005 |
|    5635.5 |    0.12105194 |
|    5641.5 |    0.13787982 |
|    5647.5 |    0.15570647 |
|    5653.5 |    0.17405006 |
|    5659.5 |    0.19284265 |
|    5665.5 |    0.21250142 |
|    5671.5 |    0.23219593 |
|    5677.5 |    0.25213459 |
|    5683.5 |    0.27197033 |
|    5689.5 |    0.29142454 |
|    5695.5 |    0.31091374 |
|    5701.5 |    0.32939249 |
|    5707.5 |    0.34720692 |
|    5713.5 |    0.36435509 |
| 5719.6001 |     0.3805612 |
| 5725.6001 |    0.39560139 |
| 5731.6001 |     0.4108786 |
| 5737.6001 |    0.42478114 |
| 5743.6001 |    0.43800676 |
| 5749.6001 |    0.44978103 |
| 5755.6001 |    0.46101412 |
| 5761.6001 |    0.47191542 |
| 5767.6001 |    0.48234299 |
| 5773.6001 |    0.49152029 |
| 5779.6001 |    0.50007874 |
| 5785.6001 |    0.50829905 |
| 5791.6001 |    0.51504958 |
| 5797.6001 |    0.52209467 |
| 5803.6001 |    0.52842081 |
| 5809.7002 |    0.53439492 |
| 5815.7002 |    0.53973317 |
| 5821.7002 |    0.54436988 |
| 5827.7002 |    0.54915589 |
| 5833.7002 |    0.55338055 |
| 5839.7002 |    0.55754042 |
| 5845.7002 |    0.56085199 |
| 5851.7002 |    0.56366944 |
| 5857.7002 |    0.56691873 |
| 5863.7002 |    0.57010162 |
| 5869.7002 |    0.57236046 |
| 5875.7002 |    0.57433641 |
| 5881.7002 |     0.5756709 |
| 5887.7002 |    0.57786644 |
| 5893.7002 |    0.57941991 |
| 5899.7998 |    0.58127004 |
| 5905.7998 |    0.58225316 |
| 5911.7998 |    0.58309352 |
| 5917.7998 |    0.58443761 |
| 5923.7998 |     0.5857836 |
| 5929.7998 |    0.58698726 |
| 5935.7998 |    0.58855271 |
| 5941.7998 |    0.58961505 |
| 5947.7998 |     0.5898118 |
| 5953.7998 |    0.59080333 |
| 5959.7998 |    0.59157884 |
| 5965.7998 |    0.59257221 |
| 5971.7998 |    0.59320408 |
| 5977.7998 |    0.59376353 |
| 5983.7998 |    0.59468651 |
| 5989.8999 |    0.59547329 |
| 5995.8999 |    0.59487134 |
| 6001.8999 |      0.595164 |
| 6007.8999 |    0.59503555 |
| 6013.8999 |    0.59417999 |
| 6019.8999 |    0.59405136 |
| 6025.8999 |    0.59341389 |
| 6031.8999 |    0.59248585 |
| 6037.8999 |    0.59155798 |
| 6043.8999 |    0.59077555 |
| 6049.8999 |    0.59050149 |
| 6055.8999 |    0.58979172 |
| 6061.8999 |    0.58835632 |
| 6067.8999 |    0.58750188 |
| 6073.8999 |    0.58679259 |
| 6079.8999 |    0.58615589 |
|    6086.0 |    0.58529961 |
|    6092.0 |    0.58480811 |
|    6098.0 |    0.58409911 |
|    6104.0 |    0.58332914 |
|    6110.0 |    0.58238351 |
|    6116.0 |    0.58187252 |
|    6122.0 |    0.58172375 |
|    6128.0 |    0.58128476 |
|    6134.0 |      0.580266 |
|    6140.0 |    0.57939184 |
|    6146.0 |    0.57844514 |
|    6152.0 |    0.57720834 |
|    6158.0 |    0.57640618 |
|    6164.0 |    0.57480675 |
|    6170.0 |    0.57356936 |
| 6176.1001 |    0.57262158 |
| 6182.1001 |    0.57167375 |
| 6188.1001 |     0.5705809 |
| 6194.1001 |    0.56977761 |
| 6200.1001 |    0.56839436 |
| 6206.1001 |    0.56735975 |
| 6212.1001 |    0.56632513 |
| 6218.1001 |    0.56529033 |
| 6224.1001 |    0.56432784 |
| 6230.1001 |    0.56394482 |
| 6236.1001 |    0.56327188 |
| 6242.1001 |    0.56194687 |
| 6248.1001 |    0.55967993 |
| 6254.1001 |    0.55625397 |
| 6260.1001 |    0.55478382 |
| 6266.2002 |    0.55425489 |
| 6272.2002 |    0.55336392 |
| 6278.2002 |    0.55254549 |
| 6284.2002 |     0.5517267 |
| 6290.2002 |    0.55003881 |
| 6296.2002 |    0.54864055 |
| 6302.2002 |    0.54724211 |
| 6308.2002 |     0.5464955 |
| 6314.2002 |    0.54560375 |
| 6320.2002 |    0.54406035 |
| 6326.2002 |    0.54237205 |
| 6332.2002 |    0.54104561 |
| 6338.2002 |    0.54015356 |
| 6344.2002 |    0.53933382 |
| 6350.2002 |    0.53836918 |
| 6356.2998 |    0.53711438 |
| 6362.2998 |       0.53586 |
| 6368.2998 |    0.53453308 |
| 6374.2998 |    0.53327852 |
| 6380.2998 |    0.53187913 |
| 6386.2998 |    0.53062439 |
| 6392.2998 |    0.52951431 |
| 6398.2998 |    0.52804238 |
| 6404.2998 |    0.52649808 |
| 6410.2998 |    0.52509832 |
| 6416.2998 |    0.52348149 |
| 6422.2998 |    0.52215403 |
| 6428.2998 |    0.52104354 |
| 6434.2998 |    0.51993299 |
| 6440.2998 |    0.51795429 |
| 6446.3999 |    0.51669854 |
| 6452.3999 |    0.51544309 |
| 6458.3999 |    0.51375359 |
| 6464.3999 |    0.51235348 |
| 6470.3999 |    0.51095331 |
| 6476.3999 |    0.50976998 |
| 6482.3999 |    0.50757426 |
| 6488.3999 |    0.50610155 |
| 6494.3999 |    0.50513512 |
| 6500.3999 |    0.50336683 |
| 6506.3999 |    0.50165337 |
| 6512.3999 |    0.50008512 |
| 6518.3999 |     0.4982284 |
| 6524.3999 |     0.4964447 |
| 6530.3999 |    0.49480596 |
|    6536.5 |    0.49374348 |
|    6542.5 |    0.49225017 |
|    6548.5 |    0.49061319 |
|    6554.5 |    0.48897666 |
|    6560.5 |    0.48712447 |
|    6566.5 |    0.48563349 |
|    6572.5 |    0.48407105 |
|    6578.5 |    0.48207664 |
|    6584.5 |    0.48001099 |
|    6590.5 |    0.47845036 |
|    6596.5 |    0.47631419 |
|    6602.5 |    0.47504294 |
|    6608.5 |    0.47334018 |
|    6614.5 |    0.47178194 |
|    6620.5 |    0.47022432 |
| 6626.6001 |    0.46873724 |
| 6632.6001 |    0.46631789 |
| 6638.6001 |    0.46454665 |
| 6644.6001 |    0.46277595 |
| 6650.6001 |    0.46114966 |
| 6656.6001 |     0.4599551 |
| 6662.6001 |    0.45811456 |
| 6668.6001 |    0.45627475 |
| 6674.6001 |    0.45436385 |
| 6680.6001 |     0.4525255 |
| 6686.6001 |    0.45047274 |
| 6692.6001 |    0.44863594 |
| 6698.6001 |    0.44694334 |
| 6704.6001 |    0.44517967 |
| 6710.6001 |    0.44334501 |
| 6716.7002 |    0.44186756 |
| 6722.7002 |    0.43967617 |
| 6728.7002 |    0.43727091 |
| 6734.7002 |    0.43536785 |
| 6740.7002 |    0.43353713 |
| 6746.7002 |    0.43213657 |
| 6752.7002 |    0.43030727 |
| 6758.7002 |    0.42869329 |
| 6764.7002 |    0.42665094 |
| 6770.7002 |    0.42460951 |
| 6776.7002 |    0.42271185 |
| 6782.7002 |    0.42110074 |
| 6788.7002 |    0.41891894 |
| 6794.7002 |    0.41709507 |
| 6800.7002 |    0.41527203 |
| 6806.7998 |    0.41344786 |
| 6812.7998 |     0.4114123 |
| 6818.7998 |    0.40959159 |
| 6824.7998 |    0.40762904 |
| 6830.7998 |    0.40552479 |
| 6836.7998 |    0.40320754 |
| 6842.7998 |    0.40124771 |
| 6848.7998 |    0.39143592 |
| 6854.7998 |    0.38280863 |
| 6860.7998 |    0.36555025 |
| 6866.7998 |     0.3541154 |
