# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): U
# 
# collected by: Guangtun Zhu
# 
# from http://www.ctio.noao.edu/instruments/FILTERS/index.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  3002.0 AA and  4247.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3: mean CCD response:http://www.ctio.noao.edu/pfccd/mosaic_ccds.html
# 
| lambda |          pass |
| 3002.0 | 3.3991788e-07 |
| 3005.0 | 4.6531213e-07 |
| 3008.0 | 5.8622265e-07 |
| 3011.0 | 7.6508576e-07 |
| 3014.0 | 9.4068008e-07 |
| 3017.0 | 1.1926256e-06 |
| 3020.0 | 1.4434928e-06 |
| 3023.0 | 1.7386878e-06 |
| 3026.0 | 2.1485728e-06 |
| 3029.0 | 2.5630252e-06 |
| 3032.0 | 3.0477697e-06 |
| 3035.0 | 3.4332024e-06 |
| 3038.0 | 3.6635781e-06 |
| 3041.0 | 4.0117002e-06 |
| 3044.0 | 5.2926443e-06 |
| 3047.0 | 6.8326049e-06 |
| 3050.0 | 9.3311392e-06 |
| 3053.0 | 1.2165973e-05 |
| 3056.0 | 1.4943463e-05 |
| 3059.0 | 1.8460125e-05 |
| 3062.0 | 2.1308595e-05 |
| 3065.0 | 2.5764739e-05 |
| 3068.0 | 3.3002929e-05 |
| 3071.0 | 4.0525312e-05 |
| 3074.0 | 4.7724527e-05 |
| 3077.0 | 5.9416794e-05 |
| 3080.0 | 7.2217903e-05 |
| 3083.0 | 9.2106806e-05 |
| 3086.0 | 0.00011448604 |
| 3089.0 | 0.00014254428 |
| 3092.0 | 0.00017410978 |
| 3095.0 | 0.00021229791 |
| 3098.0 | 0.00026164585 |
| 3101.0 | 0.00031201105 |
| 3104.0 | 0.00036063502 |
| 3107.0 | 0.00041097138 |
| 3110.0 | 0.00047413277 |
| 3113.0 | 0.00054037798 |
| 3116.0 | 0.00061560504 |
| 3119.0 | 0.00070571736 |
| 3122.0 | 0.00079791015 |
| 3125.0 | 0.00090180989 |
| 3128.0 |   0.001012185 |
| 3131.0 |  0.0011356866 |
| 3134.0 |  0.0012623869 |
| 3137.0 |  0.0013995173 |
| 3140.0 |  0.0015522891 |
| 3143.0 |  0.0017138341 |
| 3146.0 |  0.0018795832 |
| 3149.0 |  0.0020494615 |
| 3152.0 |   0.002241554 |
| 3155.0 |  0.0024364996 |
| 3158.0 |  0.0026432662 |
| 3161.0 |  0.0028661042 |
| 3164.0 |  0.0030949893 |
| 3167.0 |  0.0033425221 |
| 3170.0 |  0.0035796699 |
| 3173.0 |  0.0038483317 |
| 3176.0 |  0.0041473582 |
| 3179.0 |  0.0044656289 |
