# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): V
# 
# collected by: Guangtun Zhu
# 
# from http://www.ctio.noao.edu/instruments/FILTERS/index.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  4540.0 AA and  6844.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3: mean CCD response:http://www.ctio.noao.edu/pfccd/mosaic_ccds.html
# 
| lambda |          pass |
| 4540.0 | 5.4053384e-05 |
| 4544.0 | 5.4122153e-05 |
| 4548.0 | 0.00021676399 |
| 4552.0 | 0.00027129959 |
| 4556.0 |  5.432891e-05 |
| 4560.0 | 0.00027198991 |
| 4564.0 | 5.4467113e-05 |
| 4568.0 | 0.00027268167 |
| 4572.0 | 0.00038223932 |
| 4576.0 | 0.00043739984 |
| 4580.0 | 0.00054744422 |
| 4584.0 | 0.00071258069 |
| 4588.0 | 0.00038418421 |
| 4592.0 | 0.00038467176 |
| 4596.0 | 0.00060525123 |
| 4600.0 | 0.00071620441 |
| 4604.0 | 0.00071707857 |
| 4608.0 | 0.00033136318 |
| 4612.0 | 0.00038706209 |
| 4616.0 | 0.00049825833 |
| 4620.0 | 0.00038800683 |
| 4624.0 | 0.00027748567 |
| 4628.0 | 0.00027782391 |
| 4632.0 | 0.00044505982 |
| 4636.0 | 0.00066840288 |
| 4640.0 | 0.00050191267 |
| 4644.0 | 0.00039085199 |
| 4648.0 | 0.00044723196 |
| 4652.0 | 0.00083958096 |
| 4656.0 | 0.00078456267 |
| 4660.0 |  0.0010660595 |
| 4664.0 |    0.00134824 |
| 4668.0 |  0.0011811451 |
| 4672.0 | 0.00033788054 |
| 4676.0 |  0.0001127638 |
| 4680.0 |  0.0001129009 |
| 4684.0 | 0.00022607626 |
| 4688.0 | 0.00045270202 |
| 4692.0 | 0.00090650393 |
| 4696.0 |  0.0016450335 |
| 4700.0 |  0.0013062657 |
| 4704.0 |  0.0013077266 |
| 4708.0 |  0.0013091889 |
| 4712.0 |  0.0013676372 |
| 4716.0 |  0.0018826033 |
| 4720.0 |  0.0021702682 |
| 4724.0 |  0.0029159829 |
| 4728.0 |  0.0029764797 |
| 4732.0 |  0.0030371072 |
| 4736.0 |  0.0032699697 |
| 4740.0 |  0.0039053711 |
| 4744.0 |  0.0046571754 |
| 4748.0 |  0.0050652898 |
| 4752.0 |  0.0058200541 |
| 4756.0 |  0.0065764966 |
| 4760.0 |  0.0076811346 |
| 4764.0 |  0.0090194941 |
| 4768.0 |     0.0101293 |
| 4772.0 |   0.011647188 |
| 4776.0 |   0.013400485 |
| 4780.0 |   0.015389974 |
| 4784.0 |   0.018081553 |
| 4788.0 |   0.020953717 |
| 4792.0 |     0.0241236 |
| 4796.0 |   0.027767178 |
| 4800.0 |   0.031710826 |
| 4804.0 |    0.03618763 |
| 4808.0 |    0.04055687 |
| 4812.0 |   0.046048496 |
| 4816.0 |    0.05196229 |
| 4820.0 |   0.058534425 |
| 4824.0 |   0.064944148 |
| 4828.0 |    0.07260295 |
| 4832.0 |   0.080808036 |
| 4836.0 |   0.089325242 |
| 4840.0 |   0.099158965 |
| 4844.0 |    0.10936796 |
| 4848.0 |    0.12001254 |
| 4852.0 |    0.13245589 |
| 4856.0 |    0.14676291 |
| 4860.0 |    0.15730256 |
| 4864.0 |    0.16483501 |
| 4868.0 |    0.17297788 |
| 4872.0 |    0.18298312 |
| 4876.0 |    0.19342643 |
| 4880.0 |    0.20442851 |
| 4884.0 |    0.21706596 |
| 4888.0 |    0.23146352 |
| 4892.0 |    0.24619049 |
| 4896.0 |    0.25957051 |
| 4900.0 |    0.27267864 |
| 4904.0 |    0.28523293 |
| 4908.0 |    0.29756957 |
| 4912.0 |    0.30914661 |
| 4916.0 |     0.3200824 |
| 4920.0 |    0.33115834 |
| 4924.0 |    0.34213364 |
| 4928.0 |    0.35198197 |
| 4932.0 |    0.36184791 |
| 4936.0 |    0.37173149 |
| 4940.0 |    0.38108805 |
| 4944.0 |    0.39015844 |
| 4948.0 |    0.39863864 |
| 4952.0 |     0.4070732 |
| 4956.0 |    0.41467234 |
| 4960.0 |     0.4221026 |
| 4964.0 |    0.42887655 |
| 4968.0 |    0.43499243 |
| 4972.0 |    0.44154564 |
| 4976.0 |    0.44835424 |
| 4980.0 |    0.45456403 |
| 4984.0 |    0.46023473 |
| 4988.0 |    0.46518108 |
| 4992.0 |     0.4701359 |
| 4996.0 |    0.47485414 |
| 5000.0 |    0.47951904 |
| 5004.0 |    0.48415715 |
| 5008.0 |    0.48806509 |
| 5012.0 |    0.49247128 |
